# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00070
# Species         : Buteo_albigula
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 291.00 mm
# Secondary1       : 181.40 mm
# Kipps Distance   : 109.60 mm
# Hand-Wing Index  : 37.60
# Tail Length      : 182.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.604
# Pointedness Index: 0.3766
# Efficiency Index : 0.1416
# Wing Loading Proxy: 0.0088
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1619  at x/c = 0.2603
# Max f/c          : 0.0550  at x/c = 0.3367
# Est. Reynolds    : 6.77e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939156  0.00008884
0.99866523  0.00020807
0.99781457  0.00035743
0.99683381  0.00053669
0.99571789  0.00074557
0.99446241  0.00098378
0.99306355  0.00125105
0.99151811  0.00154706
0.98982344  0.00187148
0.98797741  0.00222400
0.98597839  0.00260426
0.98382522  0.00301192
0.98151722  0.00344660
0.97905408  0.00390795
0.97643594  0.00439557
0.97366328  0.00490907
0.97073694  0.00544806
0.96765810  0.00601213
0.96442824  0.00660086
0.96104914  0.00721383
0.95752283  0.00785062
0.95385161  0.00851079
0.95003801  0.00919390
0.94608476  0.00989951
0.94199481  0.01062717
0.93777127  0.01137641
0.93341743  0.01214679
0.92893672  0.01293783
0.92433274  0.01374908
0.91960916  0.01458006
0.91476982  0.01543030
0.90981860  0.01629933
0.90475951  0.01718665
0.89959661  0.01809181
0.89433403  0.01901431
0.88897596  0.01995367
0.88352663  0.02090941
0.87799028  0.02188103
0.87237120  0.02286806
0.86667368  0.02387001
0.86090204  0.02488638
0.85506058  0.02591670
0.84915357  0.02696047
0.84318532  0.02801722
0.83716006  0.02908644
0.83108203  0.03016766
0.82495542  0.03126039
0.81878437  0.03236416
0.81257300  0.03347847
0.80632536  0.03460284
0.80004544  0.03573681
0.79373720  0.03687989
0.78740450  0.03803160
0.78105115  0.03919148
0.77468089  0.04035906
0.76829738  0.04153386
0.76190421  0.04271542
0.75550488  0.04390328
0.74910281  0.04509698
0.74270135  0.04629606
0.73630375  0.04750007
0.72991316  0.04870856
0.72353266  0.04992108
0.71716523  0.05113719
0.71081375  0.05235645
0.70448101  0.05357842
0.69816973  0.05480267
0.69188248  0.05602877
0.68562179  0.05725629
0.67939005  0.05848482
0.67318958  0.05971394
0.66702259  0.06094323
0.66089120  0.06217228
0.65479742  0.06340069
0.64874318  0.06462807
0.64273031  0.06585400
0.63676053  0.06707811
0.63083547  0.06830001
0.62495668  0.06951931
0.61912559  0.07073563
0.61334357  0.07194860
0.60761187  0.07315785
0.60193165  0.07436302
0.59630400  0.07556375
0.59072991  0.07675969
0.58521027  0.07795047
0.57974591  0.07913576
0.57433755  0.08031523
0.56898584  0.08148852
0.56369135  0.08265531
0.55845456  0.08381528
0.55327587  0.08496810
0.54815562  0.08611346
0.54309406  0.08725104
0.53809137  0.08838055
0.53314765  0.08950167
0.52826295  0.09061412
0.52343723  0.09171759
0.51867039  0.09281181
0.51396227  0.09389649
0.50931266  0.09497136
0.50472125  0.09603614
0.50018771  0.09709056
0.49571164  0.09813438
0.49129257  0.09916731
0.48692999  0.10018913
0.48262335  0.10119957
0.47837202  0.10219840
0.47417536  0.10318538
0.47003266  0.10416027
0.46594317  0.10512286
0.46190609  0.10607291
0.45792061  0.10701020
0.45398584  0.10793453
0.45010090  0.10884569
0.44626484  0.10974347
0.44247670  0.11062768
0.43873547  0.11149812
0.43504013  0.11235459
0.43138963  0.11319693
0.42778289  0.11402494
0.42421881  0.11483845
0.42069626  0.11563729
0.41721411  0.11642130
0.41377121  0.11719031
0.41036637  0.11794417
0.40699842  0.11868273
0.40366616  0.11940583
0.40036837  0.12011334
0.39710385  0.12080511
0.39387137  0.12148101
0.39066971  0.12214092
0.38749762  0.12278470
0.38435389  0.12341224
0.38123727  0.12402342
0.37814653  0.12461812
0.37508045  0.12519624
0.37203779  0.12575768
0.36901734  0.12630233
0.36601789  0.12683010
0.36303824  0.12734089
0.36007718  0.12783463
0.35713354  0.12831123
0.35420614  0.12877060
0.35129384  0.12921268
0.34839549  0.12963739
0.34550996  0.13004466
0.34263615  0.13043444
0.33977297  0.13080666
0.33691935  0.13116126
0.33407425  0.13149820
0.33123665  0.13181743
0.32840553  0.13211889
0.32557992  0.13240256
0.32275887  0.13266840
0.31994145  0.13291636
0.31712677  0.13314643
0.31431395  0.13335857
0.31150215  0.13355276
0.30869056  0.13372898
0.30587839  0.13388722
0.30306489  0.13402746
0.30024935  0.13414969
0.29743107  0.13425391
0.29460940  0.13434011
0.29178372  0.13440829
0.28895344  0.13445847
0.28611801  0.13449063
0.28327692  0.13450479
0.28042968  0.13450097
0.27757586  0.13447917
0.27471503  0.13443941
0.27184684  0.13438173
0.26897094  0.13430612
0.26608705  0.13421264
0.26319489  0.13410129
0.26029426  0.13397212
0.25738497  0.13382515
0.25446688  0.13366042
0.25153987  0.13347797
0.24860389  0.13327783
0.24565889  0.13306006
0.24270490  0.13282470
0.23974196  0.13257178
0.23677015  0.13230137
0.23378960  0.13201350
0.23080047  0.13170824
0.22780296  0.13138564
0.22479729  0.13104575
0.22178376  0.13068862
0.21876266  0.13031433
0.21573434  0.12992292
0.21269918  0.12951447
0.20965760  0.12908903
0.20661005  0.12864667
0.20355702  0.12818745
0.20049903  0.12771144
0.19743662  0.12721871
0.19437039  0.12670932
0.19130094  0.12618335
0.18822893  0.12564086
0.18515504  0.12508193
0.18207996  0.12450662
0.17900444  0.12391502
0.17592923  0.12330718
0.17285513  0.12268318
0.16978294  0.12204310
0.16671350  0.12138701
0.16364768  0.12071497
0.16058636  0.12002706
0.15753044  0.11932336
0.15448085  0.11860393
0.15143852  0.11786885
0.14840442  0.11711818
0.14537952  0.11635201
0.14236481  0.11557039
0.13936129  0.11477339
0.13636999  0.11396109
0.13339191  0.11313354
0.13042811  0.11229083
0.12747961  0.11143300
0.12454746  0.11056013
0.12163272  0.10967227
0.11873644  0.10876949
0.11585967  0.10785184
0.11300346  0.10691939
0.11016888  0.10597218
0.10735695  0.10501028
0.10456873  0.10403373
0.10180525  0.10304258
0.09906753  0.10203689
0.09635659  0.10101669
0.09367342  0.09998204
0.09101902  0.09893296
0.08839436  0.09786951
0.08580038  0.09679172
0.08323801  0.09569961
0.08070818  0.09459323
0.07821176  0.09347260
0.07574962  0.09233775
0.07332259  0.09118870
0.07093148  0.09002547
0.06857706  0.08884808
0.06626008  0.08765654
0.06398125  0.08645088
0.06174125  0.08523109
0.05954071  0.08399718
0.05738023  0.08274917
0.05526038  0.08148704
0.05318167  0.08021080
0.05114458  0.07892044
0.04914954  0.07761596
0.04719693  0.07629735
0.04528711  0.07496459
0.04342036  0.07361767
0.04159693  0.07225658
0.03981700  0.07088128
0.03808074  0.06949177
0.03638823  0.06808802
0.03473952  0.06666999
0.03313459  0.06523767
0.03157338  0.06379102
0.03005579  0.06233002
0.02858165  0.06085463
0.02715073  0.05936481
0.02576277  0.05786053
0.02441745  0.05634177
0.02311440  0.05480848
0.02185319  0.05326062
0.02063334  0.05169817
0.01945436  0.05012108
0.01831566  0.04852934
0.01721664  0.04692289
0.01615665  0.04530172
0.01513499  0.04366579
0.01415095  0.04201509
0.01320375  0.04034958
0.01229261  0.03866925
0.01141669  0.03697408
0.01057516  0.03526408
0.00976715  0.03353922
0.00899178  0.03179951
0.00824815  0.03004497
0.00753537  0.02827561
0.00685255  0.02649145
0.00619879  0.02469252
0.00557322  0.02287887
0.00497498  0.02105056
0.00440325  0.01920764
0.00385724  0.01735020
0.00333621  0.01547833
0.00283945  0.01359212
0.00236634  0.01169171
0.00191634  0.00977724
0.00148896  0.00784885
0.00108384  0.00590672
0.00070071  0.00395106
0.00033943  0.00198207
0.00000000  0.00000000
0.00033943  -0.00127371
0.00070071  -0.00248001
0.00108384  -0.00362237
0.00148896  -0.00470413
0.00191634  -0.00572845
0.00236634  -0.00669836
0.00283945  -0.00761678
0.00333621  -0.00848646
0.00385724  -0.00931006
0.00440325  -0.01009009
0.00497498  -0.01082896
0.00557322  -0.01152897
0.00619879  -0.01219231
0.00685255  -0.01282106
0.00753537  -0.01341721
0.00824815  -0.01398266
0.00899178  -0.01451921
0.00976715  -0.01502857
0.01057516  -0.01551237
0.01141669  -0.01597217
0.01229261  -0.01640944
0.01320375  -0.01682558
0.01415095  -0.01722191
0.01513499  -0.01759970
0.01615665  -0.01796013
0.01721664  -0.01830435
0.01831566  -0.01863342
0.01945436  -0.01894835
0.02063334  -0.01925010
0.02185319  -0.01953958
0.02311440  -0.01981764
0.02441745  -0.02008508
0.02576277  -0.02034266
0.02715073  -0.02059110
0.02858165  -0.02083106
0.03005579  -0.02106316
0.03157338  -0.02128801
0.03313459  -0.02150614
0.03473952  -0.02171807
0.03638823  -0.02192428
0.03808074  -0.02212522
0.03981700  -0.02232130
0.04159693  -0.02251290
0.04342036  -0.02270038
0.04528711  -0.02288406
0.04719693  -0.02306424
0.04914954  -0.02324119
0.05114458  -0.02341517
0.05318167  -0.02358639
0.05526038  -0.02375506
0.05738023  -0.02392136
0.05954071  -0.02408545
0.06174125  -0.02424748
0.06398125  -0.02440756
0.06626008  -0.02456580
0.06857706  -0.02472229
0.07093148  -0.02487709
0.07332259  -0.02503027
0.07574962  -0.02518186
