# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00090
# Species         : Buteo_rufinus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 447.50 mm
# Secondary1       : 266.80 mm
# Kipps Distance   : 180.80 mm
# Hand-Wing Index  : 40.50
# Tail Length      : 244.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.677
# Pointedness Index: 0.4040
# Efficiency Index : 0.1636
# Wing Loading Proxy: 0.0069
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1544  at x/c = 0.2586
# Max f/c          : 0.0541  at x/c = 0.3367
# Est. Reynolds    : 1.21e+05
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939154  0.00008844
0.99866512  0.00020645
0.99781420  0.00035379
0.99683296  0.00053021
0.99571627  0.00073544
0.99445967  0.00096921
0.99305929  0.00123123
0.99151189  0.00152118
0.98981476  0.00183875
0.98796574  0.00218361
0.98596317  0.00255542
0.98380588  0.00295383
0.98149313  0.00337849
0.97902462  0.00382901
0.97640044  0.00430503
0.97362109  0.00480615
0.97068738  0.00533198
0.96760048  0.00588212
0.96436189  0.00645616
0.96097335  0.00705368
0.95743692  0.00767425
0.95375490  0.00831747
0.94992980  0.00898287
0.94596439  0.00967004
0.94186160  0.01037852
0.93762456  0.01110787
0.93325658  0.01185763
0.92876111  0.01262735
0.92414174  0.01341656
0.91940217  0.01422482
0.91454625  0.01505165
0.90957789  0.01589658
0.90450111  0.01675915
0.89932000  0.01763889
0.89403870  0.01853531
0.88866142  0.01944796
0.88319240  0.02037634
0.87763594  0.02132000
0.87199632  0.02227844
0.86627787  0.02325120
0.86048493  0.02423780
0.85462180  0.02523776
0.84869282  0.02625060
0.84270227  0.02727585
0.83665445  0.02831304
0.83055359  0.02936169
0.82440393  0.03042133
0.81820962  0.03149148
0.81197480  0.03257169
0.80570355  0.03366147
0.79939989  0.03476037
0.79306777  0.03586792
0.78671111  0.03698366
0.78033373  0.03810713
0.77393938  0.03923787
0.76753176  0.04037543
0.76111447  0.04151936
0.75469103  0.04266921
0.74826489  0.04382452
0.74183940  0.04498487
0.73541784  0.04614981
0.72900338  0.04731890
0.72259912  0.04849171
0.71620805  0.04966782
0.70983307  0.05084679
0.70347700  0.05202821
0.69714255  0.05321165
0.69083232  0.05439671
0.68454885  0.05558297
0.67829456  0.05677003
0.67207176  0.05795747
0.66588269  0.05914492
0.65972947  0.06033197
0.65361414  0.06151822
0.64753863  0.06270331
0.64150476  0.06388684
0.63551429  0.06506844
0.62956886  0.06624774
0.62367001  0.06742436
0.61781920  0.06859795
0.61201778  0.06976815
0.60626703  0.07093461
0.60056811  0.07209697
0.59492212  0.07325488
0.58933005  0.07440802
0.58379280  0.07555604
0.57831120  0.07669862
0.57288598  0.07783542
0.56751779  0.07896613
0.56220720  0.08009044
0.55695469  0.08120802
0.55176069  0.08231857
0.54662551  0.08342179
0.54154942  0.08451739
0.53653259  0.08560507
0.53157513  0.08668454
0.52667708  0.08775553
0.52183841  0.08881775
0.51705903  0.08987093
0.51233876  0.09091480
0.50767738  0.09194910
0.50307461  0.09297357
0.49853010  0.09398796
0.49404344  0.09499201
0.48961418  0.09598549
0.48524179  0.09696816
0.48092572  0.09793977
0.47666536  0.09890011
0.47246003  0.09984893
0.46830903  0.10078604
0.46421161  0.10171120
0.46016698  0.10262421
0.45617430  0.10352486
0.45223270  0.10441295
0.44834127  0.10528828
0.44449908  0.10615067
0.44070514  0.10699991
0.43695846  0.10783583
0.43325801  0.10865826
0.42960272  0.10946700
0.42599151  0.11026191
0.42242328  0.11104280
0.41889690  0.11180953
0.41541123  0.11256192
0.41196510  0.11329984
0.40855734  0.11402313
0.40518676  0.11473165
0.40185215  0.11542526
0.39855229  0.11610382
0.39528598  0.11676721
0.39205198  0.11741530
0.38884905  0.11804797
0.38567596  0.11866509
0.38253147  0.11926656
0.37941435  0.11985227
0.37632334  0.12042210
0.37325723  0.12097596
0.37021478  0.12151375
0.36719476  0.12203538
0.36419595  0.12254076
0.36121715  0.12302980
0.35825716  0.12350241
0.35531479  0.12395853
0.35238887  0.12439808
0.34947823  0.12482098
0.34658173  0.12522717
0.34369824  0.12561659
0.34082665  0.12598917
0.33796587  0.12634487
0.33511482  0.12668363
0.33227245  0.12700540
0.32943774  0.12731013
0.32660967  0.12759779
0.32378728  0.12786834
0.32096959  0.12812174
0.31815569  0.12835795
0.31534467  0.12857696
0.31253565  0.12877874
0.30972779  0.12896326
0.30692027  0.12913052
0.30411231  0.12928048
0.30130316  0.12941315
0.29849208  0.12952850
0.29567840  0.12962654
0.29286146  0.12970727
0.29004062  0.12977067
0.28721531  0.12981677
0.28438498  0.12984555
0.28154909  0.12985703
0.27870718  0.12985122
0.27585880  0.12982814
0.27300353  0.12978780
0.27014101  0.12973021
0.26727091  0.12965541
0.26439292  0.12956341
0.26150678  0.12945425
0.25861229  0.12932794
0.25570925  0.12918453
0.25279752  0.12902404
0.24987699  0.12884652
0.24694760  0.12865199
0.24400933  0.12844049
0.24106217  0.12821208
0.23810618  0.12796679
0.23514145  0.12770467
0.23216809  0.12742576
0.22918628  0.12713012
0.22619621  0.12681780
0.22319812  0.12648884
0.22019228  0.12614330
0.21717901  0.12578124
0.21415865  0.12540272
0.21113160  0.12500778
0.20809826  0.12459650
0.20505908  0.12416893
0.20201457  0.12372513
0.19896524  0.12326516
0.19591164  0.12278910
0.19285437  0.12229700
0.18979404  0.12178892
0.18673130  0.12126494
0.18366683  0.12072512
0.18060134  0.12016953
0.17753557  0.11959823
0.17447028  0.11901129
0.17140626  0.11840879
0.16834432  0.11779078
0.16528532  0.11715734
0.16223011  0.11650853
0.15917958  0.11584443
0.15613463  0.11516509
0.15309620  0.11447060
0.15006521  0.11376101
0.14704265  0.11303639
0.14402948  0.11229682
0.14102669  0.11154235
0.13803530  0.11077305
0.13505631  0.10998898
0.13209076  0.10919021
0.12913968  0.10837680
0.12620411  0.10754881
0.12328510  0.10670631
0.12038370  0.10584934
0.11750097  0.10497797
0.11463796  0.10409226
0.11179572  0.10319226
0.10897531  0.10227801
0.10617778  0.10134959
0.10340416  0.10040702
0.10065549  0.09945036
0.09793280  0.09847966
0.09523709  0.09749496
0.09256936  0.09649631
0.08993061  0.09548373
0.08732179  0.09445728
0.08474387  0.09341697
0.08219776  0.09236286
0.07968438  0.09129496
0.07720461  0.09021331
0.07475931  0.08911793
0.07234930  0.08800885
0.06997541  0.08688608
0.06763838  0.08574964
0.06533897  0.08459955
0.06307788  0.08343583
0.06085577  0.08225847
0.05867329  0.08106749
0.05653102  0.07986290
0.05442952  0.07864469
0.05236930  0.07741287
0.05035082  0.07616742
0.04837452  0.07490836
0.04644077  0.07363566
0.04454990  0.07234932
0.04270220  0.07104932
0.04089789  0.06973565
0.03913717  0.06840829
0.03742017  0.06706721
0.03574698  0.06571241
0.03411761  0.06434385
0.03253206  0.06296151
0.03099025  0.06156536
0.02949205  0.06015537
0.02803729  0.05873150
0.02662572  0.05729374
0.02525707  0.05584205
0.02393101  0.05437638
0.02264713  0.05289672
0.02140501  0.05140302
0.02020416  0.04989525
0.01904405  0.04837338
0.01792409  0.04683737
0.01684365  0.04528720
