# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00300
# Species         : Aythya_fuligula
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 196.90 mm
# Secondary1       : 98.60 mm
# Kipps Distance   : 99.00 mm
# Hand-Wing Index  : 50.10
# Tail Length      : 53.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.997
# Pointedness Index: 0.5028
# Efficiency Index : 0.2519
# Wing Loading Proxy: 0.0374
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1482  at x/c = 0.2530
# Max f/c          : 0.0515  at x/c = 0.3317
# Est. Reynolds    : 4.91e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939150  0.00008764
0.99866476  0.00020326
0.99781300  0.00034665
0.99683016  0.00051758
0.99571092  0.00071581
0.99445061  0.00094108
0.99304520  0.00119314
0.99149128  0.00147169
0.98978602  0.00177644
0.98792712  0.00210709
0.98591282  0.00246333
0.98374185  0.00284483
0.98141339  0.00325126
0.97892707  0.00368227
0.97628294  0.00413751
0.97348142  0.00461663
0.97052331  0.00511924
0.96740976  0.00564499
0.96414223  0.00619347
0.96072248  0.00676431
0.95715254  0.00735711
0.95343474  0.00797146
0.94957160  0.00860695
0.94556591  0.00926319
0.94142062  0.00993974
0.93713892  0.01063619
0.93272414  0.01135211
0.92817977  0.01208707
0.92350946  0.01284064
0.91871696  0.01361238
0.91380617  0.01440185
0.90878107  0.01520861
0.90364573  0.01603223
0.89840431  0.01687224
0.89306103  0.01772821
0.88762015  0.01859969
0.88208601  0.01948622
0.87646295  0.02038736
0.87075534  0.02130266
0.86496760  0.02223166
0.85910412  0.02317391
0.85316930  0.02412895
0.84716754  0.02509635
0.84110321  0.02607564
0.83498069  0.02706637
0.82880428  0.02806810
0.82257830  0.02908037
0.81630698  0.03010274
0.80999454  0.03113476
0.80364513  0.03217598
0.79726284  0.03322597
0.79085172  0.03428427
0.78441574  0.03535046
0.77795879  0.03642408
0.77148472  0.03750472
0.76499727  0.03859193
0.75850012  0.03968528
0.75199686  0.04078434
0.74549100  0.04188870
0.73898596  0.04299792
0.73248509  0.04411159
0.72599160  0.04522930
0.71950867  0.04635062
0.71303933  0.04747515
0.70658656  0.04860248
0.70015321  0.04973221
0.69374205  0.05086393
0.68735574  0.05199726
0.68099686  0.05313180
0.67466787  0.05426717
0.66837114  0.05540296
0.66210894  0.05653882
0.65588344  0.05767435
0.64969671  0.05880919
0.64355072  0.05994296
0.63744735  0.06107531
0.63138836  0.06220586
0.62537542  0.06333427
0.61941013  0.06446018
0.61349395  0.06558324
0.60762828  0.06670311
0.60181441  0.06781946
0.59605352  0.06893193
0.59034674  0.07004021
0.58469507  0.07114397
0.57909944  0.07224289
0.57356068  0.07333664
0.56807955  0.07442492
0.56265670  0.07550741
0.55729273  0.07658382
0.55198811  0.07765384
0.54674328  0.07871718
0.54155857  0.07977355
0.53643424  0.08082267
0.53137047  0.08186424
0.52636738  0.08289800
0.52142500  0.08392368
0.51654331  0.08494100
0.51172221  0.08594971
0.50696152  0.08694954
0.50226103  0.08794024
0.49762043  0.08892157
0.49303938  0.08989327
0.48851747  0.09085512
0.48405422  0.09180687
0.47964912  0.09274829
0.47530160  0.09367915
0.47101102  0.09459924
0.46677671  0.09550834
0.46259796  0.09640624
0.45847399  0.09729272
0.45440401  0.09816758
0.45038717  0.09903062
0.44642257  0.09988166
0.44250931  0.10072049
0.43864641  0.10154694
0.43483290  0.10236081
0.43106774  0.10316194
0.42734990  0.10395014
0.42367830  0.10472526
0.42005184  0.10548712
0.41646939  0.10623557
0.41292981  0.10697045
0.40943193  0.10769161
0.40597459  0.10839890
0.40255657  0.10909218
0.39917667  0.10977130
0.39583367  0.11043614
0.39252633  0.11108656
0.38925342  0.11172243
0.38601369  0.11234364
0.38280588  0.11295006
0.37962874  0.11354157
0.37648102  0.11411808
0.37336145  0.11467946
0.37026877  0.11522562
0.36720174  0.11575646
