# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00354
# Species         : Melanitta_americana
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 220.00 mm
# Secondary1       : 114.80 mm
# Kipps Distance   : 105.20 mm
# Hand-Wing Index  : 47.90
# Tail Length      : 75.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.916
# Pointedness Index: 0.4782
# Efficiency Index : 0.2290
# Wing Loading Proxy: 0.0255
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1513  at x/c = 0.2543
# Max f/c          : 0.0522  at x/c = 0.3317
# Est. Reynolds    : 4.70e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939151  0.00008788
0.99866484  0.00020424
0.99781327  0.00034886
0.99683081  0.00052150
0.99571215  0.00072192
0.99445269  0.00094985
0.99304843  0.00120503
0.99149600  0.00148718
0.98979260  0.00179598
0.98793597  0.00213114
0.98592436  0.00249234
0.98375652  0.00287924
0.98143166  0.00329151
0.97894942  0.00372880
0.97630986  0.00419074
0.97351343  0.00467698
0.97056091  0.00518713
0.96745347  0.00572083
0.96419257  0.00627767
0.96077997  0.00685727
0.95721771  0.00745921
0.95350811  0.00808310
0.94965369  0.00872851
0.94565722  0.00939504
0.94152168  0.01008225
0.93725022  0.01078972
0.93284616  0.01151702
0.92831300  0.01226370
0.92365435  0.01302934
0.91887399  0.01381349
0.91397577  0.01461570
0.90896368  0.01543552
0.90384176  0.01627251
0.89861416  0.01712620
0.89328508  0.01799616
0.88785878  0.01888192
0.88233956  0.01978302
0.87673176  0.02069901
0.87103974  0.02162943
0.86526787  0.02257382
0.85942055  0.02353173
0.85350216  0.02450268
0.84751708  0.02548623
0.84146967  0.02648190
0.83536426  0.02748926
0.82920517  0.02850784
0.82299667  0.02953717
0.81674301  0.03057682
0.81044835  0.03162631
0.80411685  0.03268521
0.79775259  0.03375306
0.79135957  0.03482940
0.78494177  0.03591380
0.77850306  0.03700581
0.77204726  0.03810499
0.76557810  0.03921089
0.75909925  0.04032308
0.75261429  0.04144112
0.74612670  0.04256458
0.73963990  0.04369303
0.73315720  0.04482605
0.72668183  0.04596320
0.72021692  0.04710408
0.71376553  0.04824825
0.70733059  0.04939532
0.70091495  0.05054486
0.69452137  0.05169648
0.68815251  0.05284976
0.68181091  0.05400431
0.67549904  0.05515973
0.66921926  0.05631564
0.66297383  0.05747163
0.65676490  0.05862734
0.65059454  0.05978237
0.64446471  0.06093636
0.63837728  0.06208893
0.63233400  0.06323971
0.62633655  0.06438835
0.62038649  0.06553447
0.61448531  0.06667773
0.60863437  0.06781777
0.60283498  0.06895426
0.59708831  0.07008684
0.59139548  0.07121519
0.58575748  0.07233896
0.58017525  0.07345783
0.57464961  0.07457148
0.56918132  0.07567959
0.56377102  0.07678184
0.55841930  0.07787792
0.55312666  0.07896753
0.54789350  0.08005036
0.54272017  0.08112613
0.53760693  0.08219454
0.53255395  0.08325530
0.52756135  0.08430812
0.52262917  0.08535275
0.51775738  0.08638889
0.51294588  0.08741628
0.50819450  0.08843466
0.50350302  0.08944377
0.49887114  0.09044336
0.49429851  0.09143317
0.48978473  0.09241296
0.48532933  0.09338249
0.48093179  0.09434152
0.47659154  0.09528983
0.47230795  0.09622718
0.46808035  0.09715336
0.46390803  0.09806814
0.45979023  0.09897132
0.45572614  0.09986269
0.45171491  0.10074204
0.44775568  0.10160917
0.44384751  0.10246388
0.43998945  0.10330600
0.43618052  0.10413533
0.43241971  0.10495168
0.42870596  0.10575490
0.42503820  0.10654479
0.42141535  0.10732119
0.41783628  0.10808395
0.41429985  0.10883289
0.41080491  0.10956787
0.40735026  0.11028873
0.40393474  0.11099533
0.40055712  0.11168752
0.39721619  0.11236517
0.39391073  0.11302814
0.39063949  0.11367630
0.38740123  0.11430953
0.38419472  0.11492770
0.38101868  0.11553069
0.37787188  0.11611840
0.37475306  0.11669072
0.37166096  0.11724752
0.36859434  0.11778873
0.36555196  0.11831423
0.36253256  0.11882394
0.35953493  0.11931776
0.35655784  0.11979561
0.35360008  0.12025740
0.35066044  0.12070306
0.34773774  0.12113250
0.34483081  0.12154567
0.34193849  0.12194249
0.33905964  0.12232290
0.33619313  0.12268684
0.33333787  0.12303424
0.33049276  0.12336506
0.32765675  0.12367925
0.32482880  0.12397676
0.32200788  0.12425754
0.31919303  0.12452156
0.31638325  0.12476878
0.31357763  0.12499917
0.31077524  0.12521270
0.30797521  0.12540933
0.30517668  0.12558906
0.30237883  0.12575184
0.29958087  0.12589768
0.29678203  0.12602655
0.29398160  0.12613844
0.29117887  0.12623335
0.28837318  0.12631126
0.28556391  0.12637218
0.28275046  0.12641611
0.27993229  0.12644304
0.27710886  0.12645299
0.27427969  0.12644596
0.27144434  0.12642196
0.26860240  0.12638100
0.26575349  0.12632311
0.26289728  0.12624830
0.26003347  0.12615659
0.25716180  0.12604800
0.25428206  0.12592256
0.25139406  0.12578029
0.24849767  0.12562123
0.24559276  0.12544541
0.24267929  0.12525287
0.23975723  0.12504363
0.23682659  0.12481773
0.23388742  0.12457522
0.23093981  0.12431614
0.22798389  0.12404053
0.22501983  0.12374844
0.22204783  0.12343990
0.21906814  0.12311499
0.21608104  0.12277373
0.21308684  0.12241618
0.21008590  0.12204240
0.20707860  0.12165244
0.20406539  0.12124636
0.20104670  0.12082421
0.19802305  0.12038605
0.19499495  0.11993193
0.19196298  0.11946193
0.18892773  0.11897609
0.18588981  0.11847449
0.18284990  0.11795718
0.17980868  0.11742423
0.17676686  0.11687569
0.17372519  0.11631164
0.17068445  0.11573214
0.16764543  0.11513726
0.16460895  0.11452705
0.16157588  0.11390159
0.15854706  0.11326095
0.15552341  0.11260518
0.15250583  0.11193435
0.14949527  0.11124853
0.14649266  0.11054779
0.14349898  0.10983219
0.14051522  0.10910180
0.13754237  0.10835668
0.13458144  0.10759690
0.13163346  0.10682252
0.12869946  0.10603361
0.12578048  0.10523022
0.12287757  0.10441242
0.11999178  0.10358028
0.11712417  0.10273385
0.11427579  0.10187320
0.11144770  0.10099838
0.10864096  0.10010945
0.10585663  0.09920647
0.10309575  0.09828950
0.10035936  0.09735858
0.09764850  0.09641378
0.09496419  0.09545515
0.09230744  0.09448273
0.08967925  0.09349658
0.08708060  0.09249674
0.08451246  0.09148327
0.08197577  0.09045621
0.07947146  0.08941560
0.07700042  0.08836149
0.07456353  0.08729391
0.07216165  0.08621292
0.06979560  0.08511854
0.06746616  0.08401081
0.06517410  0.08288977
0.06292014  0.08175546
0.06070498  0.08060790
0.05852927  0.07944713
0.05639363  0.07827318
0.05429863  0.07708608
0.05224481  0.07588585
0.05023266  0.07467253
0.04826263  0.07344613
0.04633512  0.07220669
0.04445049  0.07095422
0.04260904  0.06968875
0.04081103  0.06841031
0.03905667  0.06711891
0.03734612  0.06581457
0.03567948  0.06449733
0.03405681  0.06316719
0.03247810  0.06182419
0.03094330  0.06046834
0.02945231  0.05909967
0.02800495  0.05771820
0.02660103  0.05632396
0.02524025  0.05491697
0.02392231  0.05349727
0.02264683  0.05206488
0.02141338  0.05061983
0.02022147  0.04916217
0.01907059  0.04769193
0.01796014  0.04620916
0.01688952  0.04471389
0.01585804  0.04320619
0.01486499  0.04168610
0.01390962  0.04015370
0.01299113  0.03860904
0.01210870  0.03705220
0.01126146  0.03548327
0.01044854  0.03390232
0.00966900  0.03230947
0.00892194  0.03070481
0.00820638  0.02908846
0.00752139  0.02746055
0.00686599  0.02582121
0.00623922  0.02417061
0.00564014  0.02250889
0.00506780  0.02083625
0.00452128  0.01915286
0.00399971  0.01745894
0.00350222  0.01575472
0.00302802  0.01404043
0.00257636  0.01231635
0.00214657  0.01058275
0.00173803  0.00883993
0.00135024  0.00708823
0.00098278  0.00532800
0.00063534  0.00355961
0.00030776  0.00178346
0.00000000  0.00000000
0.00030776  -0.00115956
0.00063534  -0.00225779
0.00098278  -0.00329787
0.00135024  -0.00428283
0.00173803  -0.00521558
0.00214657  -0.00609888
0.00257636  -0.00693537
0.00302802  -0.00772758
0.00350222  -0.00847793
0.00399971  -0.00918871
0.00452128  -0.00986211
0.00506780  -0.01050023
0.00564014  -0.01110506
0.00623922  -0.01167850
0.00686599  -0.01222235
0.00752139  -0.01273835
0.00820638  -0.01322812
0.00892194  -0.01369323
0.00966900  -0.01413516
0.01044854  -0.01455532
0.01126146  -0.01495504
0.01210870  -0.01533560
0.01299113  -0.01569821
0.01390962  -0.01604399
0.01486499  -0.01637404
0.01585804  -0.01668939
0.01688952  -0.01699099
0.01796014  -0.01727978
0.01907059  -0.01755661
0.02022147  -0.01782230
0.02141338  -0.01807763
0.02264683  -0.01832333
0.02392231  -0.01856007
0.02524025  -0.01878851
0.02660103  -0.01900924
0.02800495  -0.01922284
0.02945231  -0.01942983
0.03094330  -0.01963070
0.03247810  -0.01982593
0.03405681  -0.02001595
0.03567948  -0.02020115
0.03734612  -0.02038190
0.03905667  -0.02055856
0.04081103  -0.02073144
0.04260904  -0.02090083
0.04445049  -0.02106700
0.04633512  -0.02123019
0.04826263  -0.02139064
0.05023266  -0.02154852
0.05224481  -0.02170404
0.05429863  -0.02185735
0.05639363  -0.02200859
0.05852927  -0.02215789
0.06070498  -0.02230536
0.06292014  -0.02245108
0.06517410  -0.02259514
0.06746616  -0.02273760
0.06979560  -0.02287850
0.07216165  -0.02301789
0.07456353  -0.02315577
0.07700042  -0.02329217
0.07947146  -0.02342708
0.08197577  -0.02356049
0.08451246  -0.02369238
0.08708060  -0.02382271
0.08967925  -0.02395145
0.09230744  -0.02407854
0.09496419  -0.02420393
0.09764850  -0.02432754
0.10035936  -0.02444931
0.10309575  -0.02456916
0.10585663  -0.02468700
0.10864096  -0.02480274
0.11144770  -0.02491628
0.11427579  -0.02502752
0.11712417  -0.02513635
0.11999178  -0.02524265
0.12287757  -0.02534632
0.12578048  -0.02544724
0.12869946  -0.02554527
0.13163346  -0.02564030
0.13458144  -0.02573220
0.13754237  -0.02582083
0.14051522  -0.02590607
0.14349898  -0.02598778
0.14649266  -0.02606583
0.14949527  -0.02614007
0.15250583  -0.02621037
0.15552341  -0.02627660
0.15854706  -0.02633862
0.16157588  -0.02639628
0.16460895  -0.02644946
0.16764543  -0.02649801
0.17068445  -0.02654180
0.17372519  -0.02658070
0.17676686  -0.02661456
0.17980868  -0.02664327
0.18284990  -0.02666668
0.18588981  -0.02668468
0.18892773  -0.02669714
0.19196298  -0.02670392
0.19499495  -0.02670492
0.19802305  -0.02670002
0.20104670  -0.02668910
0.20406539  -0.02667205
0.20707860  -0.02664876
0.21008590  -0.02661914
0.21308684  -0.02658307
0.21608104  -0.02654046
0.21906814  -0.02649123
0.22204783  -0.02643528
0.22501983  -0.02637254
0.22798389  -0.02630292
0.23093981  -0.02622635
0.23388742  -0.02614276
0.23682659  -0.02605209
0.23975723  -0.02595428
0.24267929  -0.02584929
0.24559276  -0.02573705
0.24849767  -0.02561753
0.25139406  -0.02549070
0.25428206  -0.02535653
0.25716180  -0.02521499
0.26003347  -0.02506606
0.26289728  -0.02490973
0.26575349  -0.02474599
0.26860240  -0.02457486
0.27144434  -0.02439632
0.27427969  -0.02421041
0.27710886  -0.02401713
0.27993229  -0.02381651
0.28275046  -0.02360858
0.28556391  -0.02339339
0.28837318  -0.02317098
0.29117887  -0.02294140
0.29398160  -0.02270472
0.29678203  -0.02246099
0.29958087  -0.02221028
0.30237883  -0.02195269
0.30517668  -0.02168829
0.30797521  -0.02141717
0.31077524  -0.02113944
0.31357763  -0.02085520
0.31638325  -0.02056455
0.31919303  -0.02026763
0.32200788  -0.01996454
0.32482880  -0.01965543
0.32765675  -0.01934043
0.33049276  -0.01901968
0.33333787  -0.01869333
0.33619313  -0.01836153
0.33905964  -0.01802446
0.34193849  -0.01768227
0.34483081  -0.01733513
0.34773774  -0.01698323
0.35066044  -0.01662675
0.35360008  -0.01626588
0.35655784  -0.01590080
0.35953493  -0.01553173
0.36253256  -0.01515886
0.36555196  -0.01478240
0.36859434  -0.01440257
0.37166096  -0.01401958
0.37475306  -0.01363366
0.37787188  -0.01324503
0.38101868  -0.01285392
0.38419472  -0.01246056
0.38740123  -0.01206520
0.39063949  -0.01166807
0.39391073  -0.01126941
0.39721619  -0.01086948
0.40055712  -0.01046852
0.40393474  -0.01006678
0.40735026  -0.00966452
0.41080491  -0.00926199
0.41429985  -0.00885946
0.41783628  -0.00845717
0.42141535  -0.00805539
0.42503820  -0.00765439
0.42870596  -0.00725441
0.43241971  -0.00685574
0.43618052  -0.00645863
0.43998945  -0.00606334
0.44384751  -0.00567013
0.44775568  -0.00527928
0.45171491  -0.00489104
0.45572614  -0.00450567
0.45979023  -0.00412344
0.46390803  -0.00374460
0.46808035  -0.00336940
0.47230795  -0.00299811
0.47659154  -0.00263097
0.48093179  -0.00226823
0.48532933  -0.00191015
0.48978473  -0.00155696
0.49429851  -0.00120891
0.49887114  -0.00086622
0.50350302  -0.00052914
0.50819450  -0.00019790
0.51294588  0.00012729
0.51775738  0.00044621
0.52262917  0.00075863
0.52756135  0.00106436
0.53255395  0.00136319
0.53760693  0.00165491
0.54272017  0.00193934
0.54789350  0.00221630
0.55312666  0.00248560
0.55841930  0.00274707
0.56377102  0.00300055
0.56918132  0.00324588
0.57464961  0.00348291
0.58017525  0.00371150
0.58575748  0.00393150
0.59139548  0.00414281
0.59708831  0.00434529
0.60283498  0.00453884
0.60863437  0.00472335
0.61448531  0.00489874
0.62038649  0.00506493
0.62633655  0.00522183
0.63233400  0.00536939
0.63837728  0.00550755
0.64446471  0.00563627
0.65059454  0.00575551
0.65676490  0.00586525
0.66297383  0.00596548
0.66921926  0.00605619
0.67549904  0.00613738
0.68181091  0.00620909
0.68815251  0.00627133
0.69452137  0.00632414
0.70091495  0.00636757
0.70733059  0.00640170
0.71376553  0.00642658
0.72021692  0.00644230
0.72668183  0.00644895
0.73315720  0.00644665
0.73963990  0.00643551
0.74612670  0.00641565
0.75261429  0.00638722
0.75909925  0.00635037
0.76557810  0.00630526
0.77204726  0.00625205
0.77850306  0.00619095
0.78494177  0.00612213
0.79135957  0.00604581
0.79775259  0.00596221
0.80411685  0.00587155
0.81044835  0.00577407
0.81674301  0.00567003
0.82299667  0.00555968
0.82920517  0.00544329
0.83536426  0.00532115
0.84146967  0.00519354
0.84751708  0.00506077
0.85350216  0.00492315
0.85942055  0.00478100
0.86526787  0.00463464
0.87103974  0.00448443
0.87673176  0.00433071
0.88233956  0.00417383
0.88785878  0.00401416
0.89328508  0.00385208
0.89861416  0.00368796
0.90384176  0.00352221
0.90896368  0.00335521
0.91397577  0.00318737
0.91887399  0.00301911
0.92365435  0.00285083
0.92831300  0.00268297
0.93284616  0.00251596
0.93725022  0.00235023
0.94152168  0.00218623
0.94565722  0.00202439
0.94965369  0.00186518
0.95350811  0.00170905
0.95721771  0.00155645
0.96077997  0.00140785
0.96419257  0.00126371
0.96745347  0.00112451
0.97056091  0.00099070
0.97351343  0.00086278
0.97630986  0.00074120
0.97894942  0.00062644
0.98143166  0.00051897
0.98375652  0.00041928
0.98592436  0.00032783
0.98793597  0.00024510
0.98979260  0.00017157
0.99149600  0.00010769
0.99304843  0.00005394
0.99445269  0.00001079
0.99571215  -0.00002130
0.99683081  -0.00004188
0.99781327  -0.00005049
0.99866484  -0.00004667
0.99939151  -0.00002999
1.00000000  0.00000000
