# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00391
# Species         : Somateria_spectabilis
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 266.30 mm
# Secondary1       : 136.70 mm
# Kipps Distance   : 130.80 mm
# Hand-Wing Index  : 48.90
# Tail Length      : 76.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.948
# Pointedness Index: 0.4912
# Efficiency Index : 0.2402
# Wing Loading Proxy: 0.0256
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1483  at x/c = 0.2537
# Max f/c          : 0.0518  at x/c = 0.3317
# Est. Reynolds    : 6.07e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939150  0.00008772
0.99866481  0.00020359
0.99781315  0.00034740
0.99683051  0.00051890
0.99571159  0.00071786
0.99445174  0.00094401
0.99304696  0.00119709
0.99149386  0.00147681
0.98978961  0.00178287
0.98793195  0.00211497
0.98591911  0.00247278
0.98374985  0.00285598
0.98142335  0.00326424
0.97893926  0.00369719
0.97629762  0.00415450
0.97349888  0.00463578
0.97054382  0.00514068
0.96743360  0.00566881
0.96416969  0.00621977
0.96075383  0.00679319
0.95718809  0.00738866
0.95347476  0.00800577
0.94961638  0.00864412
0.94561572  0.00930328
0.94147575  0.00998283
0.93719963  0.01068236
0.93279070  0.01140143
0.92825244  0.01213961
0.92358849  0.01289645
0.91880261  0.01367153
0.91389868  0.01446440
0.90888067  0.01527462
0.90375266  0.01610173
0.89851877  0.01694529
0.89318324  0.01780485
0.88775031  0.01867996
0.88222431  0.01957017
0.87660957  0.02047501
0.87091047  0.02139404
0.86513138  0.02232681
0.85927672  0.02327284
0.85335086  0.02423171
0.84735820  0.02520294
0.84130310  0.02618608
0.83518991  0.02718068
0.82902295  0.02818629
0.82280650  0.02920245
0.81654481  0.03022872
0.81024207  0.03126465
0.80390243  0.03230978
0.79752997  0.03336368
0.79112872  0.03442590
0.78470266  0.03549599
0.77825566  0.03657352
0.77179155  0.03765805
0.76531407  0.03874915
0.75882691  0.03984638
0.75233362  0.04094931
0.74583773  0.04205752
0.73934264  0.04317057
0.73285167  0.04428806
0.72636807  0.04540957
0.71989496  0.04653467
0.71343541  0.04766295
0.70699236  0.04879402
0.70056867  0.04992745
0.69416709  0.05106287
0.68779030  0.05219985
0.68144084  0.05333802
0.67512118  0.05447698
0.66883369  0.05561635
0.66258063  0.05675574
0.65636417  0.05789477
0.65018636  0.05903308
0.64404918  0.06017029
0.63795449  0.06130603
0.63190406  0.06243995
0.62589956  0.06357169
0.61994256  0.06470089
0.61403455  0.06582721
0.60817691  0.06695029
0.60237092  0.06806981
0.59661777  0.06918542
0.59091858  0.07029679
0.58527436  0.07140360
0.57968602  0.07250553
0.57415440  0.07360225
0.56868025  0.07469346
0.56326422  0.07577884
0.55790691  0.07685809
0.55260880  0.07793091
0.54737031  0.07899701
0.54219178  0.08005609
0.53707347  0.08110787
0.53201555  0.08215207
0.52701815  0.08318841
0.52208131  0.08421663
0.51720498  0.08523644
0.51238907  0.08624760
0.50763342  0.08724984
0.50293780  0.08824290
0.49830191  0.08922655
0.49372541  0.09020053
0.48920789  0.09116460
0.48474887  0.09211853
0.48034783  0.09306210
0.47600422  0.09399506
0.47171739  0.09491721
0.46748668  0.09582832
0.46331137  0.09672819
0.45919069  0.09761660
0.45512385  0.09849335
0.45111000  0.09935824
0.44714825  0.10021107
0.44323767  0.10105167
0.43937733  0.10187983
0.43556623  0.10269538
0.43180335  0.10349815
0.42808764  0.10428795
0.42441803  0.10506463
0.42079343  0.10582801
0.41721272  0.10657794
0.41367474  0.10731426
0.41017834  0.10803682
0.40672235  0.10874547
0.40330556  0.10944008
0.39992677  0.11012049
0.39658477  0.11078658
0.39327831  0.11143822
0.39000616  0.11207527
0.38676709  0.11269763
0.38355983  0.11330516
0.38038313  0.11389775
0.37723574  0.11447530
0.37411640  0.11503769
0.37102387  0.11558482
0.36795688  0.11611661
0.36491419  0.11663293
0.36189456  0.11713372
0.35889676  0.11761888
0.35591956  0.11808833
0.35296175  0.11854198
0.35002213  0.11897976
0.34709950  0.11940159
0.34419270  0.11980742
0.34130056  0.12019717
