# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00543
# Species         : Apus_unicolor
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 149.50 mm
# Secondary1       : 42.30 mm
# Kipps Distance   : 107.20 mm
# Hand-Wing Index  : 71.70
# Tail Length      : 69.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 3.534
# Pointedness Index: 0.7171
# Efficiency Index : 0.5141
# Wing Loading Proxy: 0.0509
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1222  at x/c = 0.2404
# Max f/c          : 0.0437  at x/c = 0.3166
# Est. Reynolds    : 3.98e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939139  0.00008505
0.99866394  0.00019295
0.99781029  0.00032355
0.99682387  0.00047668
0.99569888  0.00065215
0.99443023  0.00084979
0.99301349  0.00106938
0.99144491  0.00131070
0.98972134  0.00157354
0.98784022  0.00185765
0.98579952  0.00216280
0.98359777  0.00248871
0.98123397  0.00283513
0.97870759  0.00320179
0.97601855  0.00358839
0.97316717  0.00399466
0.97015417  0.00442030
0.96698064  0.00486500
0.96364800  0.00532845
0.96015800  0.00581033
0.95651269  0.00631033
0.95271437  0.00682811
0.94876564  0.00736335
0.94466932  0.00791570
0.94042844  0.00848483
0.93604624  0.00907038
0.93152615  0.00967201
0.92687176  0.01028936
0.92208683  0.01092208
0.91717524  0.01156980
0.91214099  0.01223217
0.90698822  0.01290883
0.90172113  0.01359939
0.89634402  0.01430350
0.89086127  0.01502079
0.88527731  0.01575087
0.87959662  0.01649339
0.87382372  0.01724796
0.86796315  0.01801422
0.86201949  0.01879178
0.85599730  0.01958027
0.84990117  0.02037931
0.84373567  0.02118853
0.83750534  0.02200756
0.83121473  0.02283602
0.82486834  0.02367352
0.81847064  0.02451971
0.81202606  0.02537421
0.80553896  0.02623664
0.79901369  0.02710664
0.79245451  0.02798383
0.78586563  0.02886785
0.77925117  0.02975833
0.77261522  0.03065491
0.76596176  0.03155722
0.75929470  0.03246490
0.75261787  0.03337760
0.74593503  0.03429496
0.73924982  0.03521663
0.73256581  0.03614224
0.72588648  0.03707146
0.71921520  0.03800394
0.71255526  0.03893933
0.70590985  0.03987729
0.69928205  0.04081748
0.69267483  0.04175958
0.68609110  0.04270323
0.67953362  0.04364812
0.67300508  0.04459393
0.66650805  0.04554031
0.66004500  0.04648696
0.65361829  0.04743356
0.64723019  0.04837980
0.64088285  0.04932536
0.63457834  0.05026994
0.62831859  0.05121324
0.62210547  0.05215495
0.61594071  0.05309478
0.60982596  0.05403244
0.60376277  0.05496764
0.59775258  0.05590009
0.59179674  0.05682951
0.58589649  0.05775562
0.58005299  0.05867815
0.57426731  0.05959684
0.56854039  0.06051140
0.56287312  0.06142158
0.55726627  0.06232713
0.55172055  0.06322777
0.54623655  0.06412327
0.54081479  0.06501338
0.53545572  0.06589785
0.53015967  0.06677644
0.52492693  0.06764891
0.51975769  0.06851504
0.51465207  0.06937459
0.50961011  0.07022734
0.50463178  0.07107307
0.49971698  0.07191156
0.49486553  0.07274260
0.49007721  0.07356598
0.48535171  0.07438149
0.48068866  0.07518894
0.47608764  0.07598812
0.47154817  0.07677884
0.46706971  0.07756091
0.46265165  0.07833415
0.45829336  0.07909836
0.45399413  0.07985338
0.44975323  0.08059903
0.44556985  0.08133513
0.44144316  0.08206152
0.43737228  0.08277803
0.43335630  0.08348450
0.42939426  0.08418078
0.42548517  0.08486672
0.42162801  0.08554216
0.41782171  0.08620695
0.41406519  0.08686096
0.41035734  0.08750405
0.40669701  0.08813608
0.40308305  0.08875691
0.39951427  0.08936643
0.39598947  0.08996451
0.39250742  0.09055102
0.38906689  0.09112584
0.38566662  0.09168887
0.38230535  0.09223999
0.37898181  0.09277909
0.37569470  0.09330607
0.37244275  0.09382083
0.36922466  0.09432327
0.36603912  0.09481329
0.36288485  0.09529081
0.35976053  0.09575573
0.35666488  0.09620797
0.35359659  0.09664744
0.35055438  0.09707408
0.34753696  0.09748779
0.34454307  0.09788852
0.34157142  0.09827618
0.33862078  0.09865072
0.33568989  0.09901206
0.33277753  0.09936015
0.32988249  0.09969493
0.32700356  0.10001634
0.32413958  0.10032433
0.32128937  0.10061886
0.31845180  0.10089986
0.31562575  0.10116731
0.31281013  0.10142116
0.31000386  0.10166136
0.30720590  0.10188789
0.30441523  0.10210070
0.30163084  0.10229977
0.29885179  0.10248508
0.29607712  0.10265658
0.29330593  0.10281427
0.29053735  0.10295811
0.28777053  0.10308809
0.28500466  0.10320419
0.28223895  0.10330641
0.27947266  0.10339471
0.27670508  0.10346911
0.27393554  0.10352958
0.27116339  0.10357613
0.26838803  0.10360875
0.26560889  0.10362744
0.26282544  0.10363220
0.26003720  0.10362303
0.25724370  0.10359994
0.25444453  0.10356294
0.25163931  0.10351203
0.24882772  0.10344722
0.24600944  0.10336853
0.24318423  0.10327598
0.24035187  0.10316957
0.23751217  0.10304932
0.23466501  0.10291526
0.23181028  0.10276740
0.22894793  0.10260578
0.22607793  0.10243040
0.22320033  0.10224130
0.22031516  0.10203850
0.21742255  0.10182203
0.21452264  0.10159193
0.21161559  0.10134822
0.20870165  0.10109093
0.20578106  0.10082010
0.20285413  0.10053576
0.19992119  0.10023795
0.19698261  0.09992670
0.19403881  0.09960206
0.19109024  0.09926405
0.18813737  0.09891273
0.18518073  0.09854813
0.18222086  0.09817029
0.17925836  0.09777925
0.17629385  0.09737506
0.17332797  0.09695776
0.17036141  0.09652739
0.16739488  0.09608400
0.16442913  0.09562764
0.16146493  0.09515835
0.15850307  0.09467618
0.15554439  0.09418116
0.15258973  0.09367336
0.14963997  0.09315282
0.14669600  0.09261958
0.14375874  0.09207370
0.14082914  0.09151522
0.13790816  0.09094419
0.13499676  0.09036066
0.13209594  0.08976467
0.12920672  0.08915629
0.12633010  0.08853555
0.12346712  0.08790250
0.12061883  0.08725720
0.11778627  0.08659969
0.11497051  0.08593002
0.11217261  0.08524824
0.10939363  0.08455439
0.10663465  0.08384854
0.10389674  0.08313072
0.10118096  0.08240098
0.09848838  0.08165937
0.09582006  0.08090594
0.09317705  0.08014074
0.09056040  0.07936381
0.08797113  0.07857520
0.08541029  0.07777497
0.08287885  0.07696314
0.08037783  0.07613978
0.07790819  0.07530493
0.07547089  0.07445863
0.07306684  0.07360094
0.07069697  0.07273190
0.06836215  0.07185155
0.06606323  0.07095995
0.06380104  0.07005713
0.06157637  0.06914316
0.05938997  0.06821807
0.05724258  0.06728192
0.05513487  0.06633475
0.05306749  0.06537661
0.05104105  0.06440755
0.04905612  0.06342763
0.04711322  0.06243689
0.04521282  0.06143539
0.04335536  0.06042319
0.04154121  0.05940033
0.03977071  0.05836688
0.03804414  0.05732289
0.03636173  0.05626843
0.03472365  0.05520356
0.03313003  0.05412834
0.03158094  0.05304285
0.03007638  0.05194715
0.02861630  0.05084132
0.02720062  0.04972544
0.02582916  0.04859958
0.02450172  0.04746384
0.02321801  0.04631831
0.02197770  0.04516307
0.02078040  0.04399823
0.01962567  0.04282390
0.01851300  0.04164018
0.01744183  0.04044720
0.01641156  0.03924508
0.01542150  0.03803394
0.01447095  0.03681394
0.01355913  0.03558522
0.01268523  0.03434794
0.01184838  0.03310226
0.01104769  0.03184836
0.01028221  0.03058642
0.00955095  0.02931666
0.00885290  0.02803927
0.00818702  0.02675448
0.00755224  0.02546254
0.00694748  0.02416368
0.00637161  0.02285818
0.00582355  0.02154632
0.00530216  0.02022840
0.00480633  0.01890474
0.00433496  0.01757567
0.00388696  0.01624156
0.00346126  0.01490277
0.00305685  0.01355971
0.00267273  0.01221280
0.00230796  0.01086248
0.00196167  0.00950923
0.00163306  0.00815355
0.00132142  0.00679596
0.00102612  0.00543703
0.00074665  0.00407732
0.00048261  0.00271748
0.00023377  0.00135814
0.00000000  0.00000000
0.00023377  -0.00088074
0.00048261  -0.00171491
0.00074665  -0.00250494
0.00102612  -0.00325316
0.00132142  -0.00396178
0.00163306  -0.00463293
0.00196167  -0.00526863
0.00230796  -0.00587080
0.00267273  -0.00644128
0.00305685  -0.00698184
0.00346126  -0.00749413
0.00388696  -0.00797975
0.00433496  -0.00844023
0.00480633  -0.00887699
0.00530216  -0.00929142
0.00582355  -0.00968482
0.00637161  -0.01005844
