# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00607
# Species         : Antrostomus_saturatus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 144.50 mm
# Secondary1       : 75.60 mm
# Kipps Distance   : 68.90 mm
# Hand-Wing Index  : 47.80
# Tail Length      : 109.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.911
# Pointedness Index: 0.4768
# Efficiency Index : 0.2279
# Wing Loading Proxy: 0.0175
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1551  at x/c = 0.2543
# Max f/c          : 0.0523  at x/c = 0.3317
# Est. Reynolds    : 2.67e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939151  0.00008802
0.99866485  0.00020477
0.99781329  0.00035006
0.99683083  0.00052364
0.99571221  0.00072527
0.99445278  0.00095470
0.99304858  0.00121166
0.99149622  0.00149587
0.98979290  0.00180703
0.98793637  0.00214483
0.98592488  0.00250896
0.98375719  0.00289909
0.98143249  0.00331489
0.97895044  0.00375600
0.97631109  0.00422207
0.97351488  0.00471274
0.97056262  0.00522763
0.96745546  0.00576637
0.96419486  0.00632856
0.96078258  0.00691381
0.95722068  0.00752172
0.95351144  0.00815189
0.94965742  0.00880389
0.94566137  0.00947731
0.94152627  0.01017174
0.93725527  0.01088673
0.93285171  0.01162186
0.92831905  0.01237668
0.92366094  0.01315077
0.91888113  0.01394368
0.91398348  0.01475495
0.90897198  0.01558415
0.90385067  0.01643082
0.89862370  0.01729450
0.89329526  0.01817474
0.88786962  0.01907108
0.88235108  0.01998307
0.87674398  0.02091024
0.87105266  0.02185213
0.86528152  0.02280828
0.85943494  0.02377823
0.85351729  0.02476152
0.84753297  0.02575767
0.84148632  0.02676625
0.83538169  0.02778677
0.82922339  0.02881877
0.82301569  0.02986181
0.81676282  0.03091542
0.81046898  0.03197914
0.80413830  0.03305251
0.79777485  0.03413508
0.79138266  0.03522639
0.78496568  0.03632600
0.77852780  0.03743345
0.77207283  0.03854830
0.76560450  0.03967009
0.75912649  0.04079840
0.75264235  0.04193276
0.74615560  0.04307276
0.73966962  0.04421794
0.73318775  0.04536789
0.72671320  0.04652217
0.72024912  0.04768034
0.71379854  0.04884200
0.70736441  0.05000672
0.70094958  0.05117408
0.69455680  0.05234367
0.68818873  0.05351508
0.68184792  0.05468790
0.67553683  0.05586174
0.66925782  0.05703618
0.66301315  0.05821085
0.65680498  0.05938534
0.65063537  0.06055926
0.64450627  0.06173225
0.63841956  0.06290391
0.63237700  0.06407388
0.62638025  0.06524177
0.62043089  0.06640724
0.61453039  0.06756990
0.60868013  0.06872941
0.60288139  0.06988542
0.59713537  0.07103756
0.59144317  0.07218551
0.58580580  0.07332891
0.58022418  0.07446744
0.57469914  0.07560076
0.56923143  0.07672854
0.56382171  0.07785047
0.55847055  0.07896622
0.55317845  0.08007549
0.54794583  0.08117796
0.54277302  0.08227333
0.53766029  0.08336131
0.53260780  0.08444159
0.52761569  0.08551389
0.52268398  0.08657792
0.51781264  0.08763341
0.51300158  0.08868008
0.50825063  0.08971765
0.50355956  0.09074586
0.49892809  0.09176446
0.49435585  0.09277317
0.48984245  0.09377176
0.48538741  0.09475997
0.48099022  0.09573756
0.47665030  0.09670429
0.47236704  0.09765993
0.46813976  0.09860425
0.46396774  0.09953702
0.45985023  0.10045804
0.45578641  0.10136707
0.45177546  0.10226392
0.44781647  0.10314837
0.44390855  0.10402022
0.44005072  0.10487928
0.43624201  0.10572536
0.43248141  0.10655827
0.42876786  0.10737782
0.42510030  0.10818384
0.42147762  0.10897615
0.41789872  0.10975458
0.41436245  0.11051897
0.41086765  0.11126916
0.40741315  0.11200498
0.40399775  0.11272630
0.40062026  0.11343295
0.39727944  0.11412480
0.39397408  0.11480171
0.39070294  0.11546354
0.38746478  0.11611016
0.38425834  0.11674145
0.38108238  0.11735728
0.37793564  0.11795753
0.37481688  0.11854209
0.37172483  0.11911085
0.36865825  0.11966371
0.36561590  0.12020056
0.36259654  0.12072130
0.35959893  0.12122584
0.35662186  0.12171409
0.35366411  0.12218596
0.35072448  0.12264138
0.34780178  0.12308025
0.34489485  0.12350252
0.34200252  0.12390810
0.33912365  0.12429692
0.33625712  0.12466894
0.33340183  0.12502407
0.33055670  0.12536228
0.32772065  0.12568350
0.32489266  0.12598769
0.32207171  0.12627480
0.31925681  0.12654479
0.31644698  0.12679762
0.31364131  0.12703325
0.31083886  0.12725166
0.30803877  0.12745281
0.30524018  0.12763667
0.30244226  0.12780323
0.29964422  0.12795247
0.29684531  0.12808437
0.29404480  0.12819891
0.29124199  0.12829609
0.28843622  0.12837591
0.28562686  0.12843834
0.28281332  0.12848341
0.27999505  0.12851110
0.27717152  0.12852142
0.27434226  0.12851438
0.27150680  0.12849000
0.26866475  0.12844827
0.26581573  0.12838922
0.26295941  0.12831287
0.26009549  0.12821923
0.25722370  0.12810833
0.25434384  0.12798020
0.25145571  0.12783485
0.24855918  0.12767233
0.24565415  0.12749266
0.24274054  0.12729589
0.23981834  0.12708203
0.23688755  0.12685114
0.23394823  0.12660325
0.23100047  0.12633841
0.22804439  0.12605666
0.22508017  0.12575805
0.22210801  0.12544262
0.21912815  0.12511042
0.21614087  0.12476151
0.21314649  0.12439594
0.21014536  0.12401376
0.20713788  0.12361503
0.20412447  0.12319980
0.20110558  0.12276813
0.19808172  0.12232009
0.19505341  0.12185574
0.19202122  0.12137512
0.18898574  0.12087832
0.18594759  0.12036538
0.18290744  0.11983639
0.17986598  0.11929139
0.17682390  0.11873046
0.17378198  0.11815367
0.17074097  0.11756107
0.16770167  0.11695275
0.16466491  0.11632876
0.16163154  0.11568918
0.15860243  0.11503408
0.15557847  0.11436351
0.15256058  0.11367756
0.14954969  0.11297630
0.14654674  0.11225978
0.14355272  0.11152808
0.14056861  0.11078127
0.13759539  0.11001943
0.13463410  0.10924260
0.13168573  0.10845088
0.12875134  0.10764431
0.12583196  0.10682297
0.12292864  0.10598693
0.12004242  0.10513626
0.11717437  0.10427101
0.11432555  0.10339125
0.11149700  0.10249705
0.10868980  0.10158846
0.10590499  0.10066556
0.10314362  0.09972840
0.10040673  0.09877705
0.09769535  0.09781155
0.09501052  0.09683197
0.09235324  0.09583838
0.08972450  0.09483081
0.08712530  0.09380933
0.08455659  0.09277399
0.08201932  0.09172484
0.07951441  0.09066194
0.07704277  0.08958533
0.07460527  0.08849506
0.07220277  0.08739118
0.06983608  0.08627374
0.06750599  0.08514277
0.06521327  0.08399833
0.06295865  0.08284046
0.06074281  0.08166920
0.05856641  0.08048459
0.05643007  0.07928666
0.05433436  0.07807546
0.05227983  0.07685103
0.05026695  0.07561340
0.04829619  0.07436261
0.04636793  0.07309869
0.04448255  0.07182168
0.04264034  0.07053162
0.04084157  0.06922853
0.03908644  0.06791246
0.03737511  0.06658345
0.03570769  0.06524151
0.03408423  0.06388670
0.03250473  0.06251905
0.03096914  0.06113859
0.02947734  0.05974536
0.02802918  0.05833942
0.02662445  0.05692079
0.02526287  0.05548953
0.02394412  0.05404567
0.02266783  0.05258928
0.02143357  0.05112040
0.02024086  0.04963909
0.01908917  0.04814541
0.01797793  0.04663943
0.01690651  0.04512121
0.01587424  0.04359083
0.01488040  0.04204838
0.01392425  0.04049393
0.01300499  0.03892759
0.01212179  0.03734946
0.01127380  0.03575965
0.01046013  0.03415827
0.00967986  0.03254546
0.00893206  0.03092135
0.00821580  0.02928610
0.00753011  0.02763987
0.00687402  0.02598284
0.00624659  0.02431518
0.00564685  0.02263711
0.00507387  0.02094885
0.00452674  0.01925062
0.00400456  0.01754269
0.00350649  0.01582532
0.00303173  0.01409881
0.00257953  0.01236346
0.00214921  0.01061962
0.00174018  0.00886764
0.00135191  0.00710790
0.00098399  0.00534082
0.00063613  0.00356682
0.00030814  0.00178639
0.00000000  0.00000000
0.00030814  -0.00116147
0.00063613  -0.00226247
0.00098399  -0.00330615
0.00135191  -0.00429551
0.00174018  -0.00523342
0.00214921  -0.00612262
0.00257953  -0.00696574
0.00303173  -0.00776528
0.00350649  -0.00852361
0.00400456  -0.00924303
0.00452674  -0.00992569
0.00507387  -0.01057366
0.00564685  -0.01118892
0.00624659  -0.01177334
0.00687402  -0.01232872
0.00753011  -0.01285675
0.00821580  -0.01335906
0.00893206  -0.01383718
0.00967986  -0.01429258
0.01046013  -0.01472664
0.01127380  -0.01514070
0.01212179  -0.01553599
0.01300499  -0.01591371
0.01392425  -0.01627499
0.01488040  -0.01662089
0.01587424  -0.01695243
0.01690651  -0.01727055
0.01797793  -0.01757616
0.01908917  -0.01787011
0.02024086  -0.01815320
0.02143357  -0.01842620
0.02266783  -0.01868982
0.02394412  -0.01894473
0.02526287  -0.01919155
0.02662445  -0.01943088
0.02802918  -0.01966328
0.02947734  -0.01988926
0.03096914  -0.02010931
0.03250473  -0.02032387
0.03408423  -0.02053338
0.03570769  -0.02073820
0.03737511  -0.02093872
0.03908644  -0.02113525
0.04084157  -0.02132811
0.04264034  -0.02151758
0.04448255  -0.02170392
0.04636793  -0.02188735
0.04829619  -0.02206810
0.05026695  -0.02224635
0.05227983  -0.02242227
0.05433436  -0.02259601
0.05643007  -0.02276771
0.05856641  -0.02293749
0.06074281  -0.02310543
0.06295865  -0.02327163
0.06521327  -0.02343615
0.06750599  -0.02359904
0.06983608  -0.02376034
0.07220277  -0.02392007
0.07460527  -0.02407826
0.07704277  -0.02423490
0.07951441  -0.02438998
0.08201932  -0.02454348
0.08455659  -0.02469537
0.08712530  -0.02484560
0.08972450  -0.02499414
0.09235324  -0.02514091
0.09501052  -0.02528585
0.09769535  -0.02542890
0.10040673  -0.02556995
0.10314362  -0.02570894
0.10590499  -0.02584576
0.10868980  -0.02598032
0.11149700  -0.02611251
0.11432555  -0.02624221
0.11717437  -0.02636931
0.12004242  -0.02649370
0.12292864  -0.02661525
0.12583196  -0.02673383
0.12875134  -0.02684931
0.13168573  -0.02696156
0.13463410  -0.02707045
0.13759539  -0.02717583
0.14056861  -0.02727757
0.14355272  -0.02737552
0.14654674  -0.02746955
0.14954969  -0.02755951
0.15256058  -0.02764526
0.15557847  -0.02772665
0.15860243  -0.02780354
0.16163154  -0.02787578
0.16466491  -0.02794324
0.16770167  -0.02800576
0.17074097  -0.02806322
0.17378198  -0.02811546
0.17682390  -0.02816235
0.17986598  -0.02820375
0.18290744  -0.02823953
0.18594759  -0.02826955
0.18898574  -0.02829368
0.19202122  -0.02831180
0.19505341  -0.02832378
0.19808172  -0.02832950
0.20110558  -0.02832883
0.20412447  -0.02832167
0.20713788  -0.02830791
0.21014536  -0.02828743
0.21314649  -0.02826013
0.21614087  -0.02822591
0.21912815  -0.02818468
0.22210801  -0.02813634
0.22508017  -0.02808082
0.22804439  -0.02801803
0.23100047  -0.02794789
0.23394823  -0.02787033
0.23688755  -0.02778529
0.23981834  -0.02769271
0.24274054  -0.02759253
0.24565415  -0.02748470
0.24855918  -0.02736919
0.25145571  -0.02724595
0.25434384  -0.02711496
0.25722370  -0.02697618
0.26009549  -0.02682961
0.26295941  -0.02667522
0.26581573  -0.02651301
0.26866475  -0.02634298
0.27150680  -0.02616514
0.27434226  -0.02597951
0.27717152  -0.02578609
0.27999505  -0.02558492
0.28281332  -0.02537604
0.28562686  -0.02515948
0.28843622  -0.02493529
0.29124199  -0.02470351
0.29404480  -0.02446423
0.29684531  -0.02421749
0.29964422  -0.02396338
0.30244226  -0.02370198
0.30524018  -0.02343336
0.30803877  -0.02315764
0.31083886  -0.02287490
0.31364131  -0.02258527
0.31644698  -0.02228884
0.31925681  -0.02198575
0.32207171  -0.02167612
0.32489266  -0.02136008
0.32772065  -0.02103778
0.33055670  -0.02070936
0.33340183  -0.02037498
0.33625712  -0.02003479
0.33912365  -0.01968897
0.34200252  -0.01933768
0.34489485  -0.01898109
0.34780178  -0.01861940
0.35072448  -0.01825280
0.35366411  -0.01788146
0.35662186  -0.01750561
0.35959893  -0.01712543
0.36259654  -0.01674115
0.36561590  -0.01635297
0.36865825  -0.01596111
0.37172483  -0.01556580
0.37481688  -0.01516727
0.37793564  -0.01476575
0.38108238  -0.01436147
0.38425834  -0.01395469
0.38746478  -0.01354563
0.39070294  -0.01313455
0.39397408  -0.01272169
0.39727944  -0.01230732
0.40062026  -0.01189169
0.40399775  -0.01147506
0.40741315  -0.01105769
0.41086765  -0.01063984
0.41436245  -0.01022178
0.41789872  -0.00980378
0.42147762  -0.00938610
0.42510030  -0.00896901
0.42876786  -0.00855279
0.43248141  -0.00813770
0.43624201  -0.00772402
0.44005072  -0.00731202
0.44390855  -0.00690196
0.44781647  -0.00649413
0.45177546  -0.00608879
0.45578641  -0.00568621
0.45985023  -0.00528667
0.46396774  -0.00489041
0.46813976  -0.00449772
0.47236704  -0.00410885
0.47665030  -0.00372407
0.48099022  -0.00334362
0.48538741  -0.00296778
0.48984245  -0.00259679
0.49435585  -0.00223089
0.49892809  -0.00187034
0.50355956  -0.00151537
0.50825063  -0.00116623
0.51300158  -0.00082313
0.51781264  -0.00048632
0.52268398  -0.00015601
0.52761569  0.00016757
0.53260780  0.00048423
0.53766029  0.00079375
0.54277302  0.00109593
0.54794583  0.00139058
0.55317845  0.00167751
0.55847055  0.00195655
0.56382171  0.00222752
0.56923143  0.00249025
0.57469914  0.00274459
0.58022418  0.00299039
0.58580580  0.00322751
0.59144317  0.00345581
0.59713537  0.00367516
0.60288139  0.00388546
0.60868013  0.00408659
0.61453039  0.00427846
0.62043089  0.00446098
0.62638025  0.00463406
0.63237700  0.00479764
0.63841956  0.00495166
0.64450627  0.00509606
0.65063537  0.00523081
0.65680498  0.00535588
0.66301315  0.00547125
0.66925782  0.00557691
0.67553683  0.00567287
0.68184792  0.00575913
0.68818873  0.00583571
0.69455680  0.00590267
0.70094958  0.00596003
0.70736441  0.00600786
0.71379854  0.00604623
0.72024912  0.00607521
0.72671320  0.00609490
0.73318775  0.00610540
0.73966962  0.00610682
0.74615560  0.00609930
0.75264235  0.00608295
0.75912649  0.00605795
0.76560450  0.00602443
0.77207283  0.00598259
0.77852780  0.00593258
0.78496568  0.00587463
0.79138266  0.00580891
0.79777485  0.00573566
0.80413830  0.00565511
0.81046898  0.00556748
0.81676282  0.00547302
0.82301569  0.00537201
0.82922339  0.00526471
0.83538169  0.00515139
0.84148632  0.00503236
0.84753297  0.00490791
0.85351729  0.00477836
0.85943494  0.00464403
0.86528152  0.00450524
0.87105266  0.00436235
0.87674398  0.00421569
0.88235108  0.00406564
0.88786962  0.00391255
0.89329526  0.00375681
0.89862370  0.00359880
0.90385067  0.00343891
0.90897198  0.00327754
0.91398348  0.00311509
0.91888113  0.00295200
0.92366094  0.00278867
0.92831905  0.00262553
0.93285171  0.00246302
0.93725527  0.00230157
0.94152627  0.00214164
0.94566137  0.00198368
0.94965742  0.00182813
0.95351144  0.00167545
0.95722068  0.00152612
0.96078258  0.00138059
0.96419486  0.00123933
0.96745546  0.00110283
0.97056262  0.00097154
0.97351488  0.00084596
0.97631109  0.00072655
0.97895044  0.00061379
0.98143249  0.00050817
0.98375719  0.00041015
0.98592488  0.00032023
0.98793637  0.00023887
0.98979290  0.00016656
0.99149622  0.00010377
0.99304858  0.00005096
0.99445278  0.00000862
0.99571221  -0.00002280
0.99683083  -0.00004283
0.99781329  -0.00005102
0.99866485  -0.00004691
0.99939151  -0.00003005
1.00000000  0.00000000
