# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00680
# Species         : Nyctipolus_nigrescens
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 138.00 mm
# Secondary1       : 77.30 mm
# Kipps Distance   : 60.70 mm
# Hand-Wing Index  : 44.00
# Tail Length      : 95.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.785
# Pointedness Index: 0.4399
# Efficiency Index : 0.1935
# Wing Loading Proxy: 0.0188
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1603  at x/c = 0.2566
# Max f/c          : 0.0535  at x/c = 0.3317
# Est. Reynolds    : 2.51e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939153  0.00008843
0.99866499  0.00020641
0.99781376  0.00035372
0.99683194  0.00053014
0.99571432  0.00073540
0.99445637  0.00096925
0.99305416  0.00123140
0.99150438  0.00152157
0.98980428  0.00183946
0.98795166  0.00218474
0.98594482  0.00255710
0.98378253  0.00295620
0.98146406  0.00338170
0.97898905  0.00383323
0.97635760  0.00431044
0.97357016  0.00481294
0.97062756  0.00534037
0.96753095  0.00589232
0.96428180  0.00646840
0.96088189  0.00706821
0.95733324  0.00769134
0.95363817  0.00833737
0.94979921  0.00900587
0.94581911  0.00969641
0.94170083  0.01040857
0.93744751  0.01114191
0.93306246  0.01189598
0.92854916  0.01267033
0.92391122  0.01346451
0.91915236  0.01427808
0.91427643  0.01511057
0.90928738  0.01596152
0.90418926  0.01683047
0.89898615  0.01771695
0.89368226  0.01862050
0.88828179  0.01954064
0.88278903  0.02047692
0.87720828  0.02142885
0.87154388  0.02239596
0.86580017  0.02337778
0.85998151  0.02437384
0.85409224  0.02538367
0.84813672  0.02640678
0.84211928  0.02744270
0.83604422  0.02849096
0.82991583  0.02955110
0.82373833  0.03062262
0.81751595  0.03170507
0.81125283  0.03279798
0.80495308  0.03390087
