# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00712
# Species         : Batrachostomus_mixtus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 118.20 mm
# Secondary1       : 85.40 mm
# Kipps Distance   : 32.60 mm
# Hand-Wing Index  : 27.60
# Tail Length      : 88.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.384
# Pointedness Index: 0.2758
# Efficiency Index : 0.0761
# Wing Loading Proxy: 0.0156
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1824  at x/c = 0.2662
# Max f/c          : 0.0576  at x/c = 0.3417
# Est. Reynolds    : 2.05e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939161  0.00008999
0.99866561  0.00021265
0.99781582  0.00036773
0.99683672  0.00055499
0.99572346  0.00077414
0.99447184  0.00102491
0.99307823  0.00130698
0.99153958  0.00162005
0.98985338  0.00196378
0.98801764  0.00233785
0.98603084  0.00274189
0.98389193  0.00317554
0.98160028  0.00363844
0.97915569  0.00413019
0.97655834  0.00465040
0.97380876  0.00519867
0.97090784  0.00577458
0.96785677  0.00637772
0.96465705  0.00700765
0.96131047  0.00766394
0.95781906  0.00834614
0.95418512  0.00905380
0.95041114  0.00978647
0.94649985  0.01054368
0.94245415  0.01132495
0.93827714  0.01212983
0.93397205  0.01295782
0.92954228  0.01380843
0.92499136  0.01468120
0.92032293  0.01557561
0.91554073  0.01649117
0.91064863  0.01742738
0.90565053  0.01838374
0.90055045  0.01935975
0.89535244  0.02035488
0.89006061  0.02136864
0.88467912  0.02240052
0.87921214  0.02344999
0.87366388  0.02451654
0.86803855  0.02559965
0.86234038  0.02669881
0.85657360  0.02781350
0.85074241  0.02894320
0.84485100  0.03008739
0.83890356  0.03124555
0.83290423  0.03241717
0.82685711  0.03360172
0.82076628  0.03479869
0.81463577  0.03600756
0.80846954  0.03722782
0.80227153  0.03845895
0.79604558  0.03970044
0.78979550  0.04095178
0.78352503  0.04221246
0.77723782  0.04348197
0.77093746  0.04475981
0.76462748  0.04604547
0.75831129  0.04733845
0.75199227  0.04863826
0.74567367  0.04994439
0.73935868  0.05125637
0.73305040  0.05257369
0.72675185  0.05389587
0.72046594  0.05522243
0.71419550  0.05655288
0.70794326  0.05788676
0.70171187  0.05922358
0.69550387  0.06056288
0.68932173  0.06190420
0.68316779  0.06324706
0.67704433  0.06459102
0.67095351  0.06593561
0.66489740  0.06728039
0.65887799  0.06862492
0.65289715  0.06996874
0.64695667  0.07131144
0.64105826  0.07265256
0.63520350  0.07399169
0.62939391  0.07532839
0.62363089  0.07666226
0.61791579  0.07799288
0.61224982  0.07931983
0.60663414  0.08064271
0.60106980  0.08196113
0.59555777  0.08327468
0.59009893  0.08458298
0.58469408  0.08588564
0.57934394  0.08718229
0.57404914  0.08847254
0.56881023  0.08975602
0.56362770  0.09103238
0.55850193  0.09230124
0.55343324  0.09356226
0.54842190  0.09481509
0.54346806  0.09605938
0.53857184  0.09729479
0.53373327  0.09852100
0.52895232  0.09973766
0.52422890  0.10094446
0.51956284  0.10214108
0.51495392  0.10332720
0.51040187  0.10450253
0.50590633  0.10566675
0.50146692  0.10681957
0.49708319  0.10796070
0.49275463  0.10908985
0.48848069  0.11020675
0.48426077  0.11131111
0.48009423  0.11240267
0.47598036  0.11348117
0.47191843  0.11454634
0.46790768  0.11559793
0.46394728  0.11663569
0.46003638  0.11765938
0.45617409  0.11866876
0.45235950  0.11966360
0.44859165  0.12064367
0.44486955  0.12160875
0.44119221  0.12255863
0.43755858  0.12349309
0.43396761  0.12441192
0.43041822  0.12531493
0.42690929  0.12620192
0.42343972  0.12707271
0.42000836  0.12792710
0.41661407  0.12876491
0.41325567  0.12958598
0.40993198  0.13039013
0.40664183  0.13117719
0.40338402  0.13194702
0.40015733  0.13269945
0.39696057  0.13343433
0.39379252  0.13415153
0.39065196  0.13485090
0.38753770  0.13553231
0.38444850  0.13619563
0.38138316  0.13684074
0.37834048  0.13746751
0.37531925  0.13807584
0.37231828  0.13866561
0.36933639  0.13923671
0.36637239  0.13978906
0.36342513  0.14032255
0.36049345  0.14083709
0.35757621  0.14133260
0.35467229  0.14180899
0.35178058  0.14226620
0.34889998  0.14270414
0.34602943  0.14312275
0.34316787  0.14352197
0.34031427  0.14390174
0.33746762  0.14426200
0.33462693  0.14460271
0.33179123  0.14492381
0.32895959  0.14522527
0.32613108  0.14550706
0.32330483  0.14576913
0.32047997  0.14601145
0.31765566  0.14623402
0.31483111  0.14643679
0.31200554  0.14661976
0.30917821  0.14678292
0.30634840  0.14692625
0.30351543  0.14704975
0.30067866  0.14715341
0.29783747  0.14723725
0.29499127  0.14730126
0.29213953  0.14734545
0.28928173  0.14736985
0.28641740  0.14737445
0.28354608  0.14735929
0.28066737  0.14732439
0.27778091  0.14726976
0.27488637  0.14719545
0.27198344  0.14710148
0.26907186  0.14698789
0.26615142  0.14685471
0.26322193  0.14670200
0.26028325  0.14652978
0.25733526  0.14633812
0.25437790  0.14612704
0.25141113  0.14589662
0.24843495  0.14564690
0.24544942  0.14537794
0.24245460  0.14508980
0.23945062  0.14478254
0.23643763  0.14445621
0.23341582  0.14411090
0.23038543  0.14374665
0.22734671  0.14336355
0.22429997  0.14296166
0.22124554  0.14254105
0.21818380  0.14210180
0.21511516  0.14164398
0.21204005  0.14116767
0.20895896  0.14067294
0.20587239  0.14015988
0.20278089  0.13962855
0.19968502  0.13907905
0.19658540  0.13851146
0.19348266  0.13792585
0.19037747  0.13732230
0.18727052  0.13670090
0.18416253  0.13606174
0.18105426  0.13540489
0.17794648  0.13473043
0.17483999  0.13403846
0.17173562  0.13332904
0.16863423  0.13260228
0.16553667  0.13185823
0.16244386  0.13109700
0.15935669  0.13031865
0.15627610  0.12952327
