# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00788
# Species         : Archilochus_alexandri
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 42.40 mm
# Secondary1       : 15.00 mm
# Kipps Distance   : 27.40 mm
# Hand-Wing Index  : 64.40
# Tail Length      : 24.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.827
# Pointedness Index: 0.6462
# Efficiency Index : 0.4162
# Wing Loading Proxy: 0.1154
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1398  at x/c = 0.2446
# Max f/c          : 0.0468  at x/c = 0.3216
# Est. Reynolds    : 1.12e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939143  0.00008627
0.99866422  0.00019783
0.99781120  0.00033450
0.99682600  0.00049610
0.99570295  0.00068245
0.99443712  0.00089332
0.99302421  0.00112850
0.99146058  0.00138775
0.98974320  0.00167084
0.98786959  0.00197750
0.98583781  0.00230747
0.98364646  0.00266047
0.98129461  0.00303622
0.97878177  0.00343442
0.97610790  0.00385477
0.97327337  0.00429696
0.97027893  0.00476067
0.96712567  0.00524557
0.96381503  0.00575133
0.96034877  0.00627760
0.95672893  0.00682405
0.95295783  0.00739031
0.94903803  0.00797602
0.94497233  0.00858083
0.94076376  0.00920436
0.93641552  0.00984624
0.93193102  0.01050609
0.92731382  0.01118353
0.92256762  0.01187818
0.91769628  0.01258964
0.91270376  0.01331752
0.90759413  0.01406143
0.90237157  0.01482097
0.89704032  0.01559574
0.89160471  0.01638534
0.88606911  0.01718936
0.88043794  0.01800740
0.87471568  0.01883904
0.86890681  0.01968389
0.86301584  0.02054154
0.85704729  0.02141157
0.85100568  0.02229357
0.84489551  0.02318714
0.83872129  0.02409186
0.83248748  0.02500733
0.82619854  0.02593313
0.81985887  0.02686885
0.81347285  0.02781409
0.80704478  0.02876843
0.80057894  0.02973148
0.79407954  0.03070282
0.78755074  0.03168205
0.78099660  0.03266876
0.77442114  0.03366256
0.76782831  0.03466304
0.76122195  0.03566980
0.75460584  0.03668246
0.74798369  0.03770061
0.74135909  0.03872387
0.73473557  0.03975184
0.72811654  0.04078413
0.72150535  0.04182037
0.71490523  0.04286016
0.70831933  0.04390314
0.70175067  0.04494892
0.69520222  0.04599713
0.68867680  0.04704739
0.68217717  0.04809935
0.67570596  0.04915263
0.66926572  0.05020688
0.66285887  0.05126173
0.65648776  0.05231684
0.65015460  0.05337185
0.64386154  0.05442641
0.63761059  0.05548017
0.63140369  0.05653281
0.62524265  0.05758397
0.61912919  0.05863333
0.61306494  0.05968056
0.60705143  0.06072533
0.60109007  0.06176731
0.59518219  0.06280620
0.58932903  0.06384167
0.58353173  0.06487342
0.57779132  0.06590113
0.57210876  0.06692451
0.56648490  0.06794326
0.56092053  0.06895708
0.55541631  0.06996568
0.54997285  0.07096878
0.54459067  0.07196609
0.53927018  0.07295734
0.53401174  0.07394225
0.52881561  0.07492054
0.52368199  0.07589197
0.51861099  0.07685625
0.51360266  0.07781315
0.50865695  0.07876239
0.50377378  0.07970374
0.49895298  0.08063695
0.49419430  0.08156177
0.48949745  0.08247798
0.48486207  0.08338533
0.48028775  0.08428360
0.47577399  0.08517257
0.47132027  0.08605202
0.46692600  0.08692173
0.46259054  0.08778148
0.45831320  0.08863108
0.45409324  0.08947032
0.44992988  0.09029899
0.44582229  0.09111691
0.44176961  0.09192389
0.43777093  0.09271973
0.43382530  0.09350425
0.42993174  0.09427728
0.42608925  0.09503864
0.42229677  0.09578816
0.41855324  0.09652567
0.41485755  0.09725102
0.41120857  0.09796403
0.40760517  0.09866457
0.40404616  0.09935247
0.40053035  0.10002759
0.39705654  0.10068979
0.39362351  0.10133893
0.39023000  0.10197488
0.38687479  0.10259749
0.38355660  0.10320666
0.38027416  0.10380224
0.37702621  0.10438412
0.37381145  0.10495220
0.37062861  0.10550634
0.36747640  0.10604645
0.36435354  0.10657242
0.36125874  0.10708415
0.35819071  0.10758153
0.35514819  0.10806449
0.35212991  0.10853292
0.34913460  0.10898674
0.34616101  0.10942586
0.34320790  0.10985021
0.34027403  0.11025970
0.33735820  0.11065428
0.33445921  0.11103385
0.33157586  0.11139836
0.32870699  0.11174775
0.32585145  0.11208195
0.32300812  0.11240091
0.32017588  0.11270458
0.31735365  0.11299289
0.31454037  0.11326581
0.31173500  0.11352330
0.30893653  0.11376530
0.30614398  0.11399179
0.30335638  0.11420273
0.30057281  0.11439808
0.29779237  0.11457781
0.29501419  0.11474191
0.29223743  0.11489034
0.28946129  0.11502309
0.28668498  0.11514013
0.28390778  0.11524145
0.28112897  0.11532705
0.27834789  0.11539690
0.27556389  0.11545100
0.27277639  0.11548935
0.26998480  0.11551195
0.26718861  0.11551879
0.26438733  0.11550988
0.26158051  0.11548521
0.25876772  0.11544481
0.25594861  0.11538868
0.25312283  0.11531683
0.25029008  0.11522927
0.24745011  0.11512603
0.24460270  0.11500711
0.24174767  0.11487254
0.23888489  0.11472235
0.23601425  0.11455655
0.23313569  0.11437518
0.23024920  0.11417825
0.22735480  0.11396581
0.22445255  0.11373788
0.22154254  0.11349450
0.21862491  0.11323569
0.21569986  0.11296151
0.21276758  0.11267198
0.20982834  0.11236715
0.20688242  0.11204705
0.20393017  0.11171174
0.20097195  0.11136125
0.19800816  0.11099563
0.19503925  0.11061492
0.19206568  0.11021918
0.18908799  0.10980845
0.18610670  0.10938278
0.18312240  0.10894223
0.18013570  0.10848685
0.17714725  0.10801668
0.17415772  0.10753178
0.17116783  0.10703222
0.16817829  0.10651803
0.16518989  0.10598929
0.16220340  0.10544604
0.15921966  0.10488835
0.15623949  0.10431627
0.15326378  0.10372986
0.15029340  0.10312917
0.14732927  0.10251428
0.14437233  0.10188524
0.14142352  0.10124211
0.13848382  0.10058495
0.13555420  0.09991382
0.13263568  0.09922878
0.12972926  0.09852989
0.12683598  0.09781723
0.12395687  0.09709083
0.12109297  0.09635078
0.11824534  0.09559713
0.11541504  0.09482994
0.11260313  0.09404928
0.10981068  0.09325520
0.10703875  0.09244777
0.10428842  0.09162705
0.10156074  0.09079311
