# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00806
# Species         : Calypte_costae
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 44.70 mm
# Secondary1       : 15.20 mm
# Kipps Distance   : 29.00 mm
# Hand-Wing Index  : 65.70
# Tail Length      : 23.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.941
# Pointedness Index: 0.6488
# Efficiency Index : 0.4262
# Wing Loading Proxy: 0.1246
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1377  at x/c = 0.2439
# Max f/c          : 0.0463  at x/c = 0.3216
# Est. Reynolds    : 1.20e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939142  0.00008609
0.99866417  0.00019712
0.99781104  0.00033290
0.99682562  0.00049327
0.99570223  0.00067804
0.99443589  0.00088699
0.99302230  0.00111991
0.99145779  0.00137658
0.98973931  0.00165674
0.98786436  0.00196016
0.98583099  0.00228656
0.98363779  0.00263568
0.98128381  0.00300723
0.97876856  0.00340093
0.97609199  0.00381647
0.97325446  0.00425355
0.97025671  0.00471185
0.96709984  0.00519105
0.96378529  0.00569082
0.96031480  0.00621082
0.95669042  0.00675072
0.95291447  0.00731015
0.94898952  0.00788877
0.94491837  0.00848622
0.94070404  0.00910214
0.93634976  0.00973615
0.93185892  0.01038788
0.92723510  0.01105696
0.92248200  0.01174300
0.91760349  0.01244562
0.91260354  0.01316443
0.90748623  0.01389904
0.90225574  0.01464906
0.89691633  0.01541410
0.89147232  0.01619375
0.88592811  0.01698762
0.88028812  0.01779531
0.87455684  0.01861642
0.86873877  0.01945054
0.86283841  0.02029726
0.85686031  0.02115620
0.85080899  0.02202693
0.84468897  0.02290906
0.83850476  0.02380218
0.83226084  0.02470588
0.82596167  0.02561976
0.81961167  0.02654342
0.81321522  0.02747645
0.80677664  0.02841845
0.80030022  0.02936902
0.79379019  0.03032775
0.78725068  0.03129425
0.78068581  0.03226812
0.77409959  0.03324897
0.76749596  0.03423639
0.76087880  0.03522999
0.75425189  0.03622939
0.74761894  0.03723419
0.74098355  0.03824401
0.73434927  0.03925846
0.72771952  0.04027716
0.72109764  0.04129973
0.71448689  0.04232580
0.70789040  0.04335499
0.70131123  0.04438692
0.69475233  0.04542123
0.68821655  0.04645756
0.68170665  0.04749553
0.67522526  0.04853480
0.66877493  0.04957500
0.66235810  0.05061578
0.65597712  0.05165680
0.64963422  0.05269769
0.64333153  0.05373813
0.63707109  0.05477777
0.63085483  0.05581628
0.62468456  0.05685331
0.61856203  0.05788856
0.61248884  0.05892168
0.60646655  0.05995236
0.60049656  0.06098027
0.59458022  0.06200512
0.58871876  0.06302658
0.58291331  0.06404435
0.57716493  0.06505812
0.57147457  0.06606761
0.56584309  0.06707251
0.56027126  0.06807254
0.55475977  0.06906740
0.54930922  0.07005682
0.54392013  0.07104052
0.53859291  0.07201822
0.53332792  0.07298966
0.52812544  0.07395456
0.52298565  0.07491267
0.51790867  0.07586372
0.51289454  0.07680748
0.50794323  0.07774367
0.50305464  0.07867207
0.49822860  0.07959242
0.49346489  0.08050449
0.48876319  0.08140805
0.48412315  0.08230287
0.47954435  0.08318873
0.47502631  0.08406539
0.47056849  0.08493266
0.46617031  0.08579031
0.46183112  0.08663813
0.45755024  0.08747593
0.45332692  0.08830350
0.44916038  0.08912065
0.44504980  0.08992718
0.44099431  0.09072291
0.43699299  0.09150764
0.43304490  0.09228122
0.42914907  0.09304345
0.42530446  0.09379416
0.42151005  0.09453319
0.41776476  0.09526038
0.41406747  0.09597556
0.41041707  0.09667857
0.40681240  0.09736928
0.40325229  0.09804752
0.39973554  0.09871315
0.39626096  0.09936604
0.39282730  0.10000604
0.38943333  0.10063303
0.38607781  0.10124687
0.38275945  0.10184744
0.37947701  0.10243462
0.37622919  0.10300829
0.37301471  0.10356833
0.36983230  0.10411464
0.36668065  0.10464711
0.36355849  0.10516563
0.36046453  0.10567012
0.35739748  0.10616046
0.35435607  0.10663657
0.35133902  0.10709835
0.34834507  0.10754573
0.34537297  0.10797862
0.34242147  0.10839695
0.33948934  0.10880062
0.33657537  0.10918959
0.33367835  0.10956377
0.33079709  0.10992310
0.32793042  0.11026752
0.32507719  0.11059697
0.32223628  0.11091139
0.31940657  0.11121073
0.31658698  0.11149495
0.31377644  0.11176399
0.31097391  0.11201782
0.30817839  0.11225638
0.30538888  0.11247965
0.30260442  0.11268759
0.29982408  0.11288017
0.29704697  0.11305736
0.29427220  0.11321913
0.29149895  0.11336547
0.28872640  0.11349635
0.28595378  0.11361175
0.28318034  0.11371166
0.28040538  0.11379606
0.27762823  0.11386496
0.27484824  0.11391833
0.27206483  0.11395618
0.26927741  0.11397850
0.26648546  0.11398530
0.26368850  0.11397657
0.26088606  0.11395233
0.25807774  0.11391257
0.25526316  0.11385732
0.25244198  0.11378657
0.24961390  0.11370035
0.24677867  0.11359868
0.24393606  0.11348156
0.24108590  0.11334902
0.23822804  0.11320108
0.23536239  0.11303777
0.23248888  0.11285912
0.22960750  0.11266514
0.22671827  0.11245587
0.22382124  0.11223135
0.22091651  0.11199160
0.21800422  0.11173666
0.21508455  0.11146656
0.21215771  0.11118135
0.20922396  0.11088106
0.20628360  0.11056574
0.20333694  0.11023542
0.20038435  0.10989016
0.19742625  0.10952999
0.19446307  0.10915495
0.19149529  0.10876511
0.18852341  0.10836050
0.18554799  0.10794118
0.18256960  0.10750720
0.17958885  0.10705860
0.17660639  0.10659544
0.17362289  0.10611777
0.17063906  0.10562566
0.16765562  0.10511914
0.16467336  0.10459828
0.16169304  0.10406313
0.15871550  0.10351375
0.15574157  0.10295020
0.15277212  0.10237254
0.14980804  0.10178082
0.14685024  0.10117510
0.14389965  0.10055544
0.14095722  0.09992190
0.13802392  0.09927454
0.13510073  0.09861342
0.13218865  0.09793859
0.12928871  0.09725013
0.12640191  0.09654809
0.12352931  0.09583253
0.12067193  0.09510351
0.11783084  0.09436109
0.11500709  0.09360533
0.11220175  0.09283630
0.10941588  0.09205404
0.10665054  0.09125864
0.10390680  0.09045013
0.10118573  0.08962859
0.09848837  0.08879407
0.09581577  0.08794664
0.09316899  0.08708635
0.09054906  0.08621327
0.08795698  0.08532745
0.08539378  0.08442896
0.08286044  0.08351784
0.08035793  0.08259417
0.07788721  0.08165801
0.07544922  0.08070940
0.07304486  0.07974842
0.07067503  0.07877512
0.06834056  0.07778957
0.06604231  0.07679181
0.06378106  0.07578192
0.06155758  0.07475996
0.05937261  0.07372598
0.05722684  0.07268005
0.05512093  0.07162223
0.05305550  0.07055259
0.05103114  0.06947119
0.04904837  0.06837810
0.04710768  0.06727338
0.04520953  0.06615710
0.04335432  0.06502933
0.04154239  0.06389015
0.03977405  0.06273963
0.03804954  0.06157784
0.03636907  0.06040487
0.03473279  0.05922079
0.03314077  0.05802568
0.03159307  0.05681965
0.03008966  0.05560277
0.02863048  0.05437514
0.02721537  0.05313686
0.02584418  0.05188803
0.02451664  0.05062876
0.02323246  0.04935917
0.02199128  0.04807937
0.02079269  0.04678949
0.01963622  0.04548966
0.01852136  0.04418001
0.01744752  0.04286069
0.01641407  0.04153187
0.01542034  0.04019369
0.01446561  0.03884633
0.01354908  0.03748998
0.01266995  0.03612481
0.01182736  0.03475105
0.01102039  0.03336889
0.01024812  0.03197857
0.00950957  0.03058032
0.00880375  0.02917441
0.00812962  0.02776109
0.00748615  0.02634066
0.00687228  0.02491341
0.00628693  0.02347966
0.00572903  0.02203974
0.00519752  0.02059403
0.00469134  0.01914288
0.00420942  0.01768671
0.00375077  0.01622592
0.00331438  0.01476097
0.00289931  0.01329232
0.00250467  0.01182048
0.00212960  0.01034596
0.00177336  0.00886932
0.00143525  0.00739114
0.00111468  0.00591205
0.00081116  0.00443268
0.00052434  0.00295373
0.00025398  0.00147592
0.00000000  0.00000000
0.00025398  -0.00095788
0.00052434  -0.00186702
0.00081116  -0.00272999
0.00111468  -0.00354924
0.00143525  -0.00432713
0.00177336  -0.00506588
0.00212960  -0.00576764
0.00250467  -0.00643443
0.00289931  -0.00706820
0.00331438  -0.00767079
0.00375077  -0.00824398
0.00420942  -0.00878943
0.00469134  -0.00930874
0.00519752  -0.00980345
0.00572903  -0.01027499
0.00628693  -0.01072473
0.00687228  -0.01115400
0.00748615  -0.01156402
0.00812962  -0.01195598
0.00880375  -0.01233100
0.00950957  -0.01269014
0.01024812  -0.01303441
0.01102039  -0.01336475
0.01182736  -0.01368208
0.01266995  -0.01398723
0.01354908  -0.01428103
0.01446561  -0.01456424
0.01542034  -0.01483756
0.01641407  -0.01510169
0.01744752  -0.01535726
0.01852136  -0.01560487
0.01963622  -0.01584508
0.02079269  -0.01607842
0.02199128  -0.01630540
0.02323246  -0.01652648
0.02451664  -0.01674209
0.02584418  -0.01695263
0.02721537  -0.01715849
0.02863048  -0.01736002
0.03008966  -0.01755754
0.03159307  -0.01775135
0.03314077  -0.01794173
0.03473279  -0.01812893
0.03636907  -0.01831320
0.03804954  -0.01849473
0.03977405  -0.01867374
0.04154239  -0.01885038
0.04335432  -0.01902483
0.04520953  -0.01919721
0.04710768  -0.01936765
0.04904837  -0.01953626
0.05103114  -0.01970314
0.05305550  -0.01986836
0.05512093  -0.02003198
0.05722684  -0.02019407
0.05937261  -0.02035465
0.06155758  -0.02051377
0.06378106  -0.02067143
0.06604231  -0.02082764
0.06834056  -0.02098241
0.07067503  -0.02113570
0.07304486  -0.02128752
0.07544922  -0.02143781
0.07788721  -0.02158655
0.08035793  -0.02173369
0.08286044  -0.02187918
0.08539378  -0.02202294
0.08795698  -0.02216492
0.09054906  -0.02230505
0.09316899  -0.02244324
