# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00922
# Species         : Heliangelus_amethysticollis
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 62.90 mm
# Secondary1       : 26.10 mm
# Kipps Distance   : 36.70 mm
# Hand-Wing Index  : 58.40
# Tail Length      : 43.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.410
# Pointedness Index: 0.5835
# Efficiency Index : 0.3407
# Wing Loading Proxy: 0.0560
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1461  at x/c = 0.2481
# Max f/c          : 0.0490  at x/c = 0.3266
# Est. Reynolds    : 1.37e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939146  0.00008696
0.99866445  0.00020058
0.99781196  0.00034067
0.99682775  0.00050702
0.99570630  0.00069943
0.99444278  0.00091766
0.99303302  0.00116148
0.99147346  0.00143064
0.98976117  0.00172487
0.98789373  0.00204389
0.98586928  0.00238743
0.98368648  0.00275518
0.98134444  0.00314684
0.97884273  0.00356210
0.97618134  0.00400062
0.97336066  0.00446209
0.97038147  0.00494615
0.96724487  0.00545247
0.96395232  0.00598068
0.96050557  0.00653043
0.95690667  0.00710134
0.95315793  0.00769304
0.94926190  0.00830516
0.94522138  0.00893730
0.94103937  0.00958908
0.93671905  0.01026010
0.93226380  0.01094996
0.92767716  0.01165826
0.92296280  0.01238459
0.91812454  0.01312854
0.91316631  0.01388970
0.90809215  0.01466765
0.90290619  0.01546198
0.89761263  0.01627225
0.89221575  0.01709806
0.88671990  0.01793896
0.88112944  0.01879454
0.87544880  0.01966438
0.86968242  0.02054803
0.86383476  0.02144507
0.85791030  0.02235507
0.85191349  0.02327760
0.84584881  0.02421223
0.83972070  0.02515852
0.83353359  0.02611605
0.82729186  0.02708439
0.82099989  0.02806311
0.81466200  0.02905177
0.80828245  0.03004995
0.80186546  0.03105723
0.79541520  0.03207317
0.78893577  0.03309736
0.78243121  0.03412937
0.77590548  0.03516877
0.76936248  0.03621516
0.76280601  0.03726811
0.75623982  0.03832721
0.74966756  0.03939204
0.74309278  0.04046220
0.73651898  0.04153728
0.72994953  0.04261687
0.72338773  0.04370056
0.71683678  0.04478797
0.71029979  0.04587868
0.70377976  0.04697232
0.69727961  0.04806848
0.69080214  0.04916678
0.68435006  0.05026683
0.67792599  0.05136825
0.67153243  0.05247067
0.66517180  0.05357371
0.65884639  0.05467699
0.65255842  0.05578016
0.64630998  0.05688285
0.64010308  0.05798469
0.63393963  0.05908533
0.62782142  0.06018442
0.62175015  0.06128162
0.61572744  0.06237656
0.60975478  0.06346893
0.60383359  0.06455837
0.59796517  0.06564455
0.59215075  0.06672715
0.58639145  0.06780585
0.58068830  0.06888032
0.57504224  0.06995024
0.56945412  0.07101531
0.56392469  0.07207521
0.55845465  0.07312964
0.55304457  0.07417831
0.54769497  0.07522092
0.54240626  0.07625718
0.53717880  0.07728680
0.53201283  0.07830950
0.52690857  0.07932500
0.52186611  0.08033303
0.51688550  0.08133332
0.51196671  0.08232561
0.50710963  0.08330963
0.50231411  0.08428514
0.49757991  0.08525187
0.49290672  0.08620958
0.48829421  0.08715804
0.48374195  0.08809700
0.47924946  0.08902622
0.47481622  0.08994548
0.47044164  0.09085456
0.46612510  0.09175323
0.46186591  0.09264127
0.45766333  0.09351848
0.45351660  0.09438465
0.44942490  0.09523957
0.44538736  0.09608304
0.44140310  0.09691487
0.43747116  0.09773487
0.43359060  0.09854286
0.42976039  0.09933864
0.42597951  0.10012205
0.42224690  0.10089291
0.41856147  0.10165105
0.41492209  0.10239630
0.41132763  0.10312851
0.40777694  0.10384751
0.40426883  0.10455316
0.40080210  0.10524531
0.39737555  0.10592381
0.39398794  0.10658851
0.39063805  0.10723930
0.38732462  0.10787602
0.38404639  0.10849856
0.38080210  0.10910678
0.37759048  0.10970058
0.37441027  0.11027982
0.37126018  0.11084441
0.36813894  0.11139422
0.36504528  0.11192916
0.36197794  0.11244912
0.35893564  0.11295400
0.35591713  0.11344372
0.35292116  0.11391817
0.34994648  0.11437728
0.34699187  0.11482097
0.34405611  0.11524914
0.34113798  0.11566173
0.33823631  0.11605866
0.33534991  0.11643987
0.33247763  0.11680528
0.32961833  0.11715485
0.32677089  0.11748850
0.32393420  0.11780619
0.32110720  0.11810786
0.31828883  0.11839346
0.31547806  0.11866295
0.31267388  0.11891629
0.30987533  0.11915344
0.30708144  0.11937436
0.30429130  0.11957902
0.30150401  0.11976739
0.29871871  0.11993944
0.29593457  0.12009515
0.29315078  0.12023450
0.29036658  0.12035748
0.28758123  0.12046406
0.28479403  0.12055424
0.28200430  0.12062801
0.27921143  0.12068535
0.27641480  0.12072627
0.27361387  0.12075077
0.27080810  0.12075884
0.26799701  0.12075050
0.26518014  0.12072574
0.26235709  0.12068459
0.25952748  0.12062704
0.25669097  0.12055311
0.25384727  0.12046282
0.25099612  0.12035619
0.24813730  0.12023324
0.24527064  0.12009399
0.24239598  0.11993846
0.23951324  0.11976669
0.23662234  0.11957870
0.23372327  0.11937452
0.23081605  0.11915420
0.22790073  0.11891775
0.22497740  0.11866522
0.22204621  0.11839665
0.21910733  0.11811208
0.21616097  0.11781154
0.21320737  0.11749509
0.21024684  0.11716277
0.20727969  0.11681461
0.20430628  0.11645068
0.20132702  0.11607103
0.19834234  0.11567569
0.19535272  0.11526472
0.19235865  0.11483818
0.18936068  0.11439612
0.18635937  0.11393860
0.18335535  0.11346567
0.18034923  0.11297738
0.17734170  0.11247381
0.17433345  0.11195499
0.17132521  0.11142100
0.16831774  0.11087190
0.16531182  0.11030774
0.16230826  0.10972859
0.15930790  0.10913451
0.15631159  0.10852555
0.15332023  0.10790180
0.15033471  0.10726330
0.14735596  0.10661012
0.14438493  0.10594233
0.14142257  0.10525999
0.13846987  0.10456316
0.13552783  0.10385192
0.13259745  0.10312631
0.12967975  0.10238641
0.12677576  0.10163229
0.12388652  0.10086400
0.12101309  0.10008161
0.11815651  0.09928518
0.11531785  0.09847479
0.11249817  0.09765048
0.10969853  0.09681233
0.10692000  0.09596040
0.10416363  0.09509476
0.10143048  0.09421546
0.09872160  0.09332256
0.09603804  0.09241613
0.09338082  0.09149624
0.09075098  0.09056293
0.08814951  0.08961628
0.08557742  0.08865634
0.08303569  0.08768318
0.08052526  0.08669684
0.07804709  0.08569740
0.07560208  0.08468491
0.07319113  0.08365943
0.07081510  0.08262102
0.06847484  0.08156974
0.06617115  0.08050564
0.06390480  0.07942879
0.06167655  0.07833925
0.05948710  0.07723706
0.05733712  0.07612230
0.05522725  0.07499501
0.05315808  0.07385527
0.05113016  0.07270312
0.04914401  0.07153864
0.04720008  0.07036187
0.04529880  0.06917290
0.04344054  0.06797177
0.04162561  0.06675855
0.03985430  0.06553332
0.03812682  0.06429614
0.03644335  0.06304707
0.03480400  0.06178619
0.03320884  0.06051359
0.03165787  0.05922932
0.03015106  0.05793348
0.02868829  0.05662615
0.02726942  0.05530742
0.02589423  0.05397737
0.02456245  0.05263611
0.02327377  0.05128374
0.02202780  0.04992035
0.02082411  0.04854607
0.01966222  0.04716100
0.01854158  0.04576528
0.01746161  0.04435904
0.01642167  0.04294241
0.01542107  0.04151554
0.01445908  0.04007858
0.01353491  0.03863170
0.01264774  0.03717508
0.01179672  0.03570890
0.01098094  0.03423335
0.01019949  0.03274865
0.00945140  0.03125501
0.00873569  0.02975268
0.00805137  0.02824189
0.00739741  0.02672292
0.00677279  0.02519605
0.00617647  0.02366157
0.00560744  0.02211980
0.00506467  0.02057108
0.00454715  0.01901576
0.00405391  0.01745423
0.00358399  0.01588687
0.00313649  0.01431411
0.00271054  0.01273641
0.00230534  0.01115424
0.00192016  0.00956810
0.00155434  0.00797852
0.00120733  0.00638608
0.00087866  0.00479135
0.00056800  0.00319498
0.00027514  0.00159763
0.00000000  0.00000000
0.00027514  -0.00103753
0.00056800  -0.00202200
0.00087866  -0.00295620
0.00120733  -0.00384279
0.00155434  -0.00468431
0.00192016  -0.00548320
0.00230534  -0.00624177
0.00271054  -0.00696222
0.00313649  -0.00764667
0.00358399  -0.00829712
0.00405391  -0.00891549
0.00454715  -0.00950360
0.00506467  -0.01006320
0.00560744  -0.01059592
0.00617647  -0.01110336
0.00677279  -0.01158700
0.00739741  -0.01204827
0.00805137  -0.01248852
0.00873569  -0.01290903
0.00945140  -0.01331102
0.01019949  -0.01369566
0.01098094  -0.01406403
0.01179672  -0.01441718
0.01264774  -0.01475609
0.01353491  -0.01508169
0.01445908  -0.01539487
0.01542107  -0.01569645
0.01642167  -0.01598722
0.01746161  -0.01626792
0.01854158  -0.01653926
0.01966222  -0.01680188
0.02082411  -0.01705640
0.02202780  -0.01730342
0.02327377  -0.01754346
0.02456245  -0.01777705
0.02589423  -0.01800465
0.02726942  -0.01822672
0.02868829  -0.01844366
0.03015106  -0.01865587
0.03165787  -0.01886370
0.03320884  -0.01906749
0.03480400  -0.01926753
0.03644335  -0.01946412
0.03812682  -0.01965751
0.03985430  -0.01984793
0.04162561  -0.02003561
0.04344054  -0.02022073
0.04529880  -0.02040347
0.04720008  -0.02058399
0.04914401  -0.02076243
0.05113016  -0.02093890
0.05315808  -0.02111351
0.05522725  -0.02128636
0.05733712  -0.02145752
0.05948710  -0.02162704
0.06167655  -0.02179499
0.06390480  -0.02196138
0.06617115  -0.02212625
0.06847484  -0.02228960
0.07081510  -0.02245144
0.07319113  -0.02261175
0.07560208  -0.02277052
0.07804709  -0.02292771
0.08052526  -0.02308329
0.08303569  -0.02323720
0.08557742  -0.02338940
0.08814951  -0.02353983
0.09075098  -0.02368840
0.09338082  -0.02383505
0.09603804  -0.02397970
0.09872160  -0.02412224
0.10143048  -0.02426260
0.10416363  -0.02440068
0.10692000  -0.02453636
0.10969853  -0.02466954
0.11249817  -0.02480011
0.11531785  -0.02492796
0.11815651  -0.02505296
0.12101309  -0.02517499
0.12388652  -0.02529394
0.12677576  -0.02540966
0.12967975  -0.02552204
0.13259745  -0.02563094
0.13552783  -0.02573623
0.13846987  -0.02583778
0.14142257  -0.02593545
0.14438493  -0.02602911
0.14735596  -0.02611862
0.15033471  -0.02620385
0.15332023  -0.02628466
0.15631159  -0.02636091
0.15930790  -0.02643248
0.16230826  -0.02649922
0.16531182  -0.02656102
0.16831774  -0.02661772
0.17132521  -0.02666921
0.17433345  -0.02671536
0.17734170  -0.02675604
0.18034923  -0.02679113
0.18335535  -0.02682050
0.18635937  -0.02684404
0.18936068  -0.02686163
0.19235865  -0.02687315
0.19535272  -0.02687851
0.19834234  -0.02687758
0.20132702  -0.02687027
0.20430628  -0.02685648
0.20727969  -0.02683611
0.21024684  -0.02680907
0.21320737  -0.02677527
0.21616097  -0.02673463
0.21910733  -0.02668707
0.22204621  -0.02663252
0.22497740  -0.02657090
0.22790073  -0.02650216
0.23081605  -0.02642622
0.23372327  -0.02634304
0.23662234  -0.02625257
0.23951324  -0.02615477
0.24239598  -0.02604958
0.24527064  -0.02593699
0.24813730  -0.02581697
0.25099612  -0.02568949
0.25384727  -0.02555453
0.25669097  -0.02541209
0.25952748  -0.02526217
0.26235709  -0.02510476
0.26518014  -0.02493988
0.26799701  -0.02476753
0.27080810  -0.02458774
0.27361387  -0.02440054
0.27641480  -0.02420596
0.27921143  -0.02400403
0.28200430  -0.02379481
0.28479403  -0.02357835
0.28758123  -0.02335470
0.29036658  -0.02312393
0.29315078  -0.02288611
0.29593457  -0.02264132
0.29871871  -0.02238965
0.30150401  -0.02213118
0.30429130  -0.02186601
0.30708144  -0.02159424
0.30987533  -0.02131599
0.31267388  -0.02103137
0.31547806  -0.02074049
0.31828883  -0.02044350
0.32110720  -0.02014051
0.32393420  -0.01983168
0.32677089  -0.01951715
0.32961833  -0.01919706
0.33247763  -0.01887158
0.33534991  -0.01854087
0.33823631  -0.01820510
0.34113798  -0.01786443
0.34405611  -0.01751906
0.34699187  -0.01716916
0.34994648  -0.01681492
0.35292116  -0.01645654
0.35591713  -0.01609422
0.35893564  -0.01572815
0.36197794  -0.01535855
0.36504528  -0.01498563
