# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00939
# Species         : Heliodoxa_whitelyana
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 60.00 mm
# Secondary1       : 20.20 mm
# Kipps Distance   : 39.80 mm
# Hand-Wing Index  : 66.30
# Tail Length      : 47.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.970
# Pointedness Index: 0.6633
# Efficiency Index : 0.4398
# Wing Loading Proxy: 0.0632
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1360  at x/c = 0.2435
# Max f/c          : 0.0461  at x/c = 0.3216
# Est. Reynolds    : 1.38e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939142  0.00008599
0.99866415  0.00019669
0.99781097  0.00033195
0.99682545  0.00049158
0.99570189  0.00067540
0.99443532  0.00088320
0.99302142  0.00111476
0.99145651  0.00136986
0.98973751  0.00164825
0.98786194  0.00194970
0.98582785  0.00227393
0.98363379  0.00262067
0.98127882  0.00298965
0.97876246  0.00338058
0.97608464  0.00379315
0.97324573  0.00422707
0.97024646  0.00468202
0.96708792  0.00515768
0.96377156  0.00565372
0.96029912  0.00616981
0.95667265  0.00670560
0.95289446  0.00726075
0.94896713  0.00783491
0.94489347  0.00842772
0.94067648  0.00903881
0.93631941  0.00966783
0.93182565  0.01031440
0.92719876  0.01097814
0.92244249  0.01165868
0.91756067  0.01235563
0.91255729  0.01306861
0.90743643  0.01379723
0.90220228  0.01454111
0.89685909  0.01529984
0.89141121  0.01607304
0.88586302  0.01686031
0.88021897  0.01766125
0.87448353  0.01847546
0.86866120  0.01930254
0.86275652  0.02014209
0.85677401  0.02099372
0.85071820  0.02185701
0.84459363  0.02273157
0.83840481  0.02361699
0.83215622  0.02451287
0.82585233  0.02541881
0.81949756  0.02633441
0.81309629  0.02725927
0.80665286  0.02819298
0.80017155  0.02913516
0.79365660  0.03008540
0.78711215  0.03104330
0.78054232  0.03200847
0.77395111  0.03298053
0.76734250  0.03395906
0.76072034  0.03494370
0.75408844  0.03593404
0.74745049  0.03692971
0.74081011  0.03793031
0.73417085  0.03893548
0.72753613  0.03994482
0.72090930  0.04095797
0.71429362  0.04197454
0.70769222  0.04299418
0.70110818  0.04401650
0.69454443  0.04504115
0.68800384  0.04606777
0.68148916  0.04709598
0.67500303  0.04812545
0.66854801  0.04915581
0.66212654  0.05018671
0.65574096  0.05121781
0.64939351  0.05224877
0.64308632  0.05327924
0.63682144  0.05430890
0.63060079  0.05533739
0.62442620  0.05636441
0.61829940  0.05738962
0.61222201  0.05841270
0.60619558  0.05943333
0.60022152  0.06045120
0.59430117  0.06146599
0.58843576  0.06247741
0.58262645  0.06348515
0.57687427  0.06448891
0.57118017  0.06548839
0.56554503  0.06648330
0.55996962  0.06747336
0.55445461  0.06845829
0.54900062  0.06943780
0.54360815  0.07041162
0.53827764  0.07137948
0.53300943  0.07234111
0.52780380  0.07329625
0.52266093  0.07424464
0.51758094  0.07518603
0.51256388  0.07612016
