# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00958
# Species         : Lamprolaima_rhami
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 78.00 mm
# Secondary1       : 30.30 mm
# Kipps Distance   : 47.50 mm
# Hand-Wing Index  : 61.00
# Tail Length      : 46.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.574
# Pointedness Index: 0.6090
# Efficiency Index : 0.3715
# Wing Loading Proxy: 0.0550
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1410  at x/c = 0.2466
# Max f/c          : 0.0480  at x/c = 0.3216
# Est. Reynolds    : 1.79e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939145  0.00008659
0.99866435  0.00019911
0.99781163  0.00033736
0.99682699  0.00050115
0.99570485  0.00069028
0.99444032  0.00090452
0.99302920  0.00114364
0.99146788  0.00140739
0.98975338  0.00169552
0.98788327  0.00200776
0.98585565  0.00234382
0.98366914  0.00270343
0.98132285  0.00308627
0.97881631  0.00349205
0.97614952  0.00392045
0.97332284  0.00437113
0.97033703  0.00484378
0.96719322  0.00533804
0.96389283  0.00585358
0.96043763  0.00639004
0.95682965  0.00694705
0.95307122  0.00752425
0.94916489  0.00812128
0.94511346  0.00873775
0.94091994  0.00937328
0.93658752  0.01002748
0.93211960  0.01069998
0.92751971  0.01139036
0.92279156  0.01209824
0.91793896  0.01282321
0.91296587  0.01356487
0.90787634  0.01432281
0.90267452  0.01509662
0.89736463  0.01588589
0.89195097  0.01669021
0.88643789  0.01750917
0.88082979  0.01834234
0.87513112  0.01918931
0.86934632  0.02004965
0.86347990  0.02092296
0.85753633  0.02180881
0.85152011  0.02270678
0.84543571  0.02361645
0.83928762  0.02453740
0.83308028  0.02546920
0.82681809  0.02641145
0.82050546  0.02736372
0.81414670  0.02832560
0.80774613  0.02929666
0.80130797  0.03027649
0.79483642  0.03126467
0.78833560  0.03226080
0.78180955  0.03326446
0.77526228  0.03427524
0.76869768  0.03529274
0.76211959  0.03631654
0.75553178  0.03734625
0.74893789  0.03838145
0.74234153  0.03942176
0.73574618  0.04046678
0.72915525  0.04151610
0.72257205  0.04256935
0.71599980  0.04362613
0.70944162  0.04468605
0.70290052  0.04574874
0.69637944  0.04681380
0.68988120  0.04788088
0.68340852  0.04894958
0.67696402  0.05001955
0.67055024  0.05109041
0.66416958  0.05216181
0.65782438  0.05323337
0.65151683  0.05430475
0.64524906  0.05537560
0.63902309  0.05644555
0.63284081  0.05751428
0.62670405  0.05858143
0.62061451  0.05964667
0.61457381  0.06070966
0.60858346  0.06177008
0.60264487  0.06282759
0.59675937  0.06388189
0.59092818  0.06493264
0.58515242  0.06597953
0.57943314  0.06702226
0.57377128  0.06806052
0.56816769  0.06909401
0.56262314  0.07012242
0.55713831  0.07114547
0.55171379  0.07216287
0.54635009  0.07317433
0.54104763  0.07417957
0.53580677  0.07517832
0.53062776  0.07617029
0.52551080  0.07715524
0.52045601  0.07813288
0.51546342  0.07910296
0.51053300  0.08006523
0.50566465  0.08101943
0.50085821  0.08196532
0.49611344  0.08290266
0.49143005  0.08383121
0.48680767  0.08475072
0.48224589  0.08566099
0.47774424  0.08656177
0.47330217  0.08745285
0.46891912  0.08833401
0.46459443  0.08920504
0.46032744  0.09006573
0.45611739  0.09091587
0.45196352  0.09175527
0.44786500  0.09258373
0.44382097  0.09340106
0.43983053  0.09420707
0.43589274  0.09500158
0.43200663  0.09578441
0.42817119  0.09655539
0.42438537  0.09731433
0.42064812  0.09806109
0.41695833  0.09879548
0.41331490  0.09951736
0.40971667  0.10022658
0.40616247  0.10092297
0.40265114  0.10160639
0.39918146  0.10227671
0.39575222  0.10293378
0.39236218  0.10357746
0.38901011  0.10420763
0.38569475  0.10482416
0.38241483  0.10542692
0.37916910  0.10601580
0.37595627  0.10659068
0.37277507  0.10715145
0.36962422  0.10769800
0.36650244  0.10823022
0.36340845  0.10874802
0.36034098  0.10925129
0.35729876  0.10973995
0.35428053  0.11021390
0.35128503  0.11067306
0.34831102  0.11111734
0.34535725  0.11154667
0.34242252  0.11196097
0.33950559  0.11236016
0.33660529  0.11274418
0.33372043  0.11311297
0.33084985  0.11346645
0.32799241  0.11380457
0.32514698  0.11412727
0.32231246  0.11443451
0.31948778  0.11472623
0.31667186  0.11500238
0.31386369  0.11526293
0.31106224  0.11550782
0.30826656  0.11573704
0.30547567  0.11595053
0.30268865  0.11614827
0.29990461  0.11633024
0.29712268  0.11649640
