# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 00985
# Species         : Metallura_phoebe
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 70.60 mm
# Secondary1       : 29.00 mm
# Kipps Distance   : 41.60 mm
# Hand-Wing Index  : 58.90
# Tail Length      : 49.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.434
# Pointedness Index: 0.5892
# Efficiency Index : 0.3471
# Wing Loading Proxy: 0.0493
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1449  at x/c = 0.2478
# Max f/c          : 0.0488  at x/c = 0.3266
# Est. Reynolds    : 1.49e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939146  0.00008689
0.99866443  0.00020027
0.99781189  0.00033997
0.99682760  0.00050579
0.99570602  0.00069751
0.99444231  0.00091491
0.99303228  0.00115775
0.99147239  0.00142577
0.98975967  0.00171871
0.98789171  0.00203631
0.98586666  0.00237827
0.98368315  0.00274431
0.98134029  0.00313411
0.97883765  0.00354736
0.97617522  0.00398374
0.97335339  0.00444292
0.97037292  0.00492457
0.96723494  0.00542833
0.96394088  0.00595385
0.96049251  0.00650077
0.95689186  0.00706872
0.95314126  0.00765733
0.94924325  0.00826623
0.94520063  0.00889503
0.94101640  0.00954333
0.93669376  0.01021076
0.93223607  0.01089690
0.92764688  0.01160136
0.92292987  0.01232373
0.91808885  0.01306361
0.91312776  0.01382058
0.90805065  0.01459422
0.90286163  0.01538413
0.89756494  0.01618988
0.89216483  0.01701105
0.88666566  0.01784721
0.88107182  0.01869795
0.87538771  0.01956284
0.86961779  0.02044144
0.86376652  0.02133334
0.85783838  0.02223810
0.85183784  0.02315529
0.84576937  0.02408450
0.83963741  0.02502528
0.83344641  0.02597721
0.82720075  0.02693987
0.82090481  0.02791282
0.81456290  0.02889563
0.80817931  0.02988789
0.80175825  0.03088917
0.79530389  0.03189904
0.78882035  0.03291708
0.78231166  0.03394287
0.77578179  0.03497600
0.76923463  0.03601605
0.76267400  0.03706260
0.75610365  0.03811523
0.74952723  0.03917355
0.74294830  0.04023714
0.73637035  0.04130559
0.72979677  0.04237850
0.72323086  0.04345548
0.71667581  0.04453612
0.71013474  0.04562003
0.70361066  0.04670682
0.69710648  0.04779610
0.69062501  0.04888748
0.68416897  0.04998059
0.67774097  0.05107503
0.67134352  0.05217045
0.66497903  0.05326646
0.65864982  0.05436270
0.65235808  0.05545880
0.64610592  0.05655440
0.63989535  0.05764914
0.63372827  0.05874267
0.62760649  0.05983464
0.62153171  0.06092471
0.61550553  0.06201252
0.60952946  0.06309775
0.60360492  0.06418006
0.59773321  0.06525911
0.59191556  0.06633459
0.58615308  0.06740616
0.58044682  0.06847352
0.57479771  0.06953635
0.56920661  0.07059433
0.56367427  0.07164717
0.55820137  0.07269456
0.55278850  0.07373621
0.54743618  0.07477181
0.54214481  0.07580110
0.53691476  0.07682377
0.53174627  0.07783955
0.52663955  0.07884817
0.52159470  0.07984936
0.51661177  0.08084284
0.51169073  0.08182836
0.50683147  0.08280565
0.50203383  0.08377447
0.49729757  0.08473457
0.49262240  0.08568569
0.48800797  0.08662760
0.48345385  0.08756007
0.47895958  0.08848286
0.47452461  0.08939574
0.47014838  0.09029850
0.46583024  0.09119090
0.46156952  0.09207275
0.45736547  0.09294382
0.45321734  0.09380392
0.44912429  0.09465283
0.44508547  0.09549037
0.44109997  0.09631634
0.43716688  0.09713055
0.43328520  0.09793281
0.42945394  0.09872296
0.42567207  0.09950080
0.42193852  0.10026617
0.41825220  0.10101891
0.41461199  0.10175884
0.41101675  0.10248581
0.40746533  0.10319966
0.40395654  0.10390025
0.40048919  0.10458741
0.39706206  0.10526102
0.39367393  0.10592093
0.39032355  0.10656701
0.38700967  0.10719912
0.38373105  0.10781714
0.38048641  0.10842095
0.37727449  0.10901042
0.37409401  0.10958544
0.37094369  0.11014589
0.36782227  0.11069168
0.36472846  0.11122270
0.36166100  0.11173884
0.35861863  0.11224001
0.35560008  0.11272611
0.35260410  0.11319706
0.34962946  0.11365277
0.34667491  0.11409316
0.34373924  0.11451815
0.34082124  0.11492766
0.33791972  0.11532163
0.33503351  0.11569998
0.33216144  0.11606266
0.32930238  0.11640959
0.32645520  0.11674073
0.32361881  0.11705601
0.32079213  0.11735539
0.31797410  0.11763882
0.31516370  0.11790625
0.31235992  0.11815764
0.30956178  0.11839296
0.30676833  0.11861216
0.30397865  0.11881522
0.30119184  0.11900211
0.29840704  0.11917280
0.29562342  0.11932727
0.29284018  0.11946549
0.29005654  0.11958746
0.28727177  0.11969315
0.28448517  0.11978255
0.28169606  0.11985566
0.27890383  0.11991247
0.27610786  0.11995297
0.27330760  0.11997717
0.27050252  0.11998506
0.26769214  0.11997666
0.26487600  0.11995196
0.26205370  0.11991097
0.25922485  0.11985372
0.25638913  0.11978020
0.25354623  0.11969044
0.25069590  0.11958446
0.24783792  0.11946227
0.24497210  0.11932390
0.24209832  0.11916938
0.23921647  0.11899872
0.23632649  0.11881197
0.23342835  0.11860914
0.23052208  0.11839028
0.22760773  0.11815541
0.22468540  0.11790458
0.22175522  0.11763782
0.21881738  0.11735517
0.21587207  0.11705667
0.21291956  0.11674237
0.20996012  0.11641231
0.20699410  0.11606653
0.20402184  0.11570509
0.20104376  0.11532803
0.19806028  0.11493540
0.19507188  0.11452725
0.19207907  0.11410364
0.18908237  0.11366461
0.18608238  0.11321023
0.18307969  0.11274055
0.18007494  0.11225562
0.17706881  0.11175550
0.17406199  0.11124025
0.17105521  0.11070993
0.16804922  0.11016460
0.16504483  0.10960431
0.16204282  0.10902914
0.15904405  0.10843913
0.15604938  0.10783436
0.15305968  0.10721488
0.15007586  0.10658076
0.14709885  0.10593205
0.14412959  0.10526883
0.14116905  0.10459116
0.13821821  0.10389909
0.13527806  0.10319269
0.13234961  0.10247204
0.12943388  0.10173718
0.12653191  0.10098818
0.12364474  0.10022511
0.12077341  0.09944803
0.11791898  0.09865701
0.11508251  0.09785210
0.11226507  0.09703337
0.10946771  0.09620088
0.10669150  0.09535470
0.10393750  0.09449488
0.10120677  0.09362149
0.09850036  0.09273459
0.09581930  0.09183425
0.09316465  0.09092051
0.09053740  0.08999344
0.08793859  0.08905311
0.08536920  0.08809956
0.08283020  0.08713287
0.08032257  0.08615308
0.07784723  0.08516026
0.07540510  0.08415447
0.07299707  0.08313577
0.07062401  0.08210420
0.06828676  0.08105984
0.06598613  0.08000273
0.06372288  0.07893294
0.06149777  0.07785052
0.05931150  0.07675553
0.05716475  0.07564803
0.05505814  0.07452808
0.05299227  0.07339574
0.05096769  0.07225106
0.04898491  0.07109411
0.04704439  0.06992494
0.04514655  0.06874362
0.04329176  0.06755022
0.04148033  0.06634479
0.03971255  0.06512740
0.03798862  0.06389812
0.03630873  0.06265702
0.03467298  0.06140417
0.03308143  0.06013965
0.03153410  0.05886353
0.03003093  0.05757590
0.02857183  0.05627682
0.02715663  0.05496641
0.02578511  0.05364473
0.02445702  0.05231190
0.02317202  0.05096800
0.02192973  0.04961315
0.02072971  0.04824746
0.01957149  0.04687103
0.01845451  0.04548401
0.01737819  0.04408651
0.01634188  0.04267867
0.01534488  0.04126064
0.01438647  0.03983258
0.01346585  0.03839465
0.01258220  0.03694702
0.01173466  0.03548988
0.01092233  0.03402342
0.01014428  0.03254785
0.00939955  0.03106339
0.00868715  0.02957028
0.00800608  0.02806876
0.00735531  0.02655911
0.00673383  0.02504159
0.00614058  0.02351650
0.00557455  0.02198417
0.00503470  0.02044492
0.00452004  0.01889911
0.00402957  0.01734712
0.00356234  0.01578935
0.00311744  0.01422621
0.00269400  0.01265817
0.00229122  0.01108568
0.00190836  0.00950926
0.00154477  0.00792943
0.00119988  0.00634675
0.00087324  0.00476183
0.00056449  0.00317528
0.00027344  0.00158777
0.00000000  0.00000000
0.00027344  -0.00103105
0.00056449  -0.00200925
0.00087324  -0.00293737
0.00119988  -0.00381807
0.00154477  -0.00465387
0.00190836  -0.00544719
0.00229122  -0.00620034
0.00269400  -0.00691551
0.00311744  -0.00759481
0.00356234  -0.00824024
0.00402957  -0.00885370
0.00452004  -0.00943701
0.00503470  -0.00999190
0.00557455  -0.01052001
0.00614058  -0.01102291
0.00673383  -0.01150210
0.00735531  -0.01195899
0.00800608  -0.01239492
0.00868715  -0.01281118
0.00939955  -0.01320898
0.01014428  -0.01358948
0.01092233  -0.01395375
0.01173466  -0.01430285
0.01258220  -0.01463774
0.01346585  -0.01495936
0.01438647  -0.01526859
0.01534488  -0.01556625
0.01634188  -0.01585313
0.01737819  -0.01612996
0.01845451  -0.01639744
0.01957149  -0.01665623
0.02072971  -0.01690694
0.02192973  -0.01715015
0.02317202  -0.01738641
0.02445702  -0.01761621
0.02578511  -0.01784005
0.02715663  -0.01805835
0.02857183  -0.01827154
0.03003093  -0.01848000
0.03153410  -0.01868409
0.03308143  -0.01888413
0.03467298  -0.01908044
0.03630873  -0.01927330
0.03798862  -0.01946295
0.03971255  -0.01964965
0.04148033  -0.01983360
0.04329176  -0.02001500
0.04514655  -0.02019403
0.04704439  -0.02037084
0.04898491  -0.02054556
0.05096769  -0.02071833
0.05299227  -0.02088924
0.05505814  -0.02105840
0.05716475  -0.02122586
0.05931150  -0.02139170
0.06149777  -0.02155597
0.06372288  -0.02171870
0.06598613  -0.02187991
0.06828676  -0.02203961
0.07062401  -0.02219782
0.07299707  -0.02235451
0.07540510  -0.02250967
0.07784723  -0.02266327
0.08032257  -0.02281527
0.08283020  -0.02296563
0.08536920  -0.02311429
0.08793859  -0.02326120
0.09053740  -0.02340628
0.09316465  -0.02354945
0.09581930  -0.02369065
0.09850036  -0.02382978
0.10120677  -0.02396675
0.10393750  -0.02410146
0.10669150  -0.02423381
0.10946771  -0.02436370
0.11226507  -0.02449101
0.11508251  -0.02461563
0.11791898  -0.02473744
0.12077341  -0.02485633
0.12364474  -0.02497216
0.12653191  -0.02508483
0.12943388  -0.02519419
0.13234961  -0.02530011
0.13527806  -0.02540248
0.13821821  -0.02550115
0.14116905  -0.02559600
0.14412959  -0.02568689
0.14709885  -0.02577369
0.15007586  -0.02585626
0.15305968  -0.02593447
0.15604938  -0.02600818
0.15904405  -0.02607727
0.16204282  -0.02614160
0.16504483  -0.02620104
0.16804922  -0.02625546
0.17105521  -0.02630473
0.17406199  -0.02634873
0.17706881  -0.02638733
0.18007494  -0.02642041
0.18307969  -0.02644785
0.18608238  -0.02646953
0.18908237  -0.02648534
