# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 01040
# Species         : Phaethornis_syrmatophorus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 60.90 mm
# Secondary1       : 24.90 mm
# Kipps Distance   : 36.00 mm
# Hand-Wing Index  : 59.10
# Tail Length      : 62.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.446
# Pointedness Index: 0.5911
# Efficiency Index : 0.3494
# Wing Loading Proxy: 0.0391
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1466  at x/c = 0.2477
# Max f/c          : 0.0488  at x/c = 0.3266
# Est. Reynolds    : 1.10e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939145  0.00008693
0.99866442  0.00020044
0.99781187  0.00034035
0.99682754  0.00050647
0.99570591  0.00069858
0.99444212  0.00091646
0.99303199  0.00115987
0.99147196  0.00142857
0.98975907  0.00172229
0.98789091  0.00204077
0.98586561  0.00238371
0.98368181  0.00275084
0.98133863  0.00314183
0.97883562  0.00355639
0.97617277  0.00399419
0.97335048  0.00445491
0.97036950  0.00493820
0.96723096  0.00544372
0.96393630  0.00597112
0.96048728  0.00652004
0.95688594  0.00709011
0.95313459  0.00768097
0.94923579  0.00829223
0.94519233  0.00892351
0.94100721  0.00957443
0.93668364  0.01024460
0.93222498  0.01093360
0.92763477  0.01164105
0.92291669  0.01236655
0.91807458  0.01310967
0.91311235  0.01387001
0.90803405  0.01464716
0.90284381  0.01544070
0.89754586  0.01625021
0.89214446  0.01707527
0.88664397  0.01791545
0.88104877  0.01877033
0.87536327  0.01963949
0.86959193  0.02052249
0.86373922  0.02141891
0.85780961  0.02232832
0.85180758  0.02325030
0.84573759  0.02418440
0.83960410  0.02513020
0.83341154  0.02608728
0.82716431  0.02705520
0.82086678  0.02803353
0.81452326  0.02902185
0.80813805  0.03001973
0.80171536  0.03102674
0.79525937  0.03204246
0.78877418  0.03306647
0.78226384  0.03409834
0.77573231  0.03513764
0.76918349  0.03618398
0.76262120  0.03723692
0.75604919  0.03829605
0.74947110  0.03936096
0.74289051  0.04043124
0.73631091  0.04150648
0.72973568  0.04258628
0.72316811  0.04367023
0.71661143  0.04475793
0.71006873  0.04584899
0.70354303  0.04694302
0.69703724  0.04803961
0.69055417  0.04913839
0.68409655  0.05023896
0.67766698  0.05134095
0.67126797  0.05244398
0.66490194  0.05354767
0.65857120  0.05465165
0.65227796  0.05575555
0.64602431  0.05685902
0.63981227  0.05796168
0.63364375  0.05906318
0.62752054  0.06016317
0.62144435  0.06126130
0.61541679  0.06235723
0.60943936  0.06345061
0.60351348  0.06454110
0.59764046  0.06562837
0.59182152  0.06671209
0.58605778  0.06779194
0.58035028  0.06886760
0.57469995  0.06993874
0.56910766  0.07100506
0.56357416  0.07206625
0.55810012  0.07312200
0.55268615  0.07417201
0.54733274  0.07521598
0.54204032  0.07625363
0.53680923  0.07728467
0.53163975  0.07830881
0.52653205  0.07932578
0.52148625  0.08033529
0.51650240  0.08133709
0.51158046  0.08233091
0.50672034  0.08331647
0.50192186  0.08429354
0.49718479  0.08526185
0.49250884  0.08622115
0.48789365  0.08717121
0.48333880  0.08811178
0.47884382  0.08904263
0.47440818  0.08996353
0.47003130  0.09087425
0.46571254  0.09177457
0.46145121  0.09266426
0.45724660  0.09354313
0.45309791  0.09441096
0.44900434  0.09526754
0.44496502  0.09611268
0.44097906  0.09694617
0.43704551  0.09776784
0.43316342  0.09857748
0.42933176  0.09937491
0.42554951  0.10015997
0.42181561  0.10093247
0.41812895  0.10169224
0.41448844  0.10243911
0.41089291  0.10317293
0.40734123  0.10389353
0.40383220  0.10460076
0.40036462  0.10529448
0.39693729  0.10597453
0.39354897  0.10664078
0.39019843  0.10729308
0.38688441  0.10793130
0.38360566  0.10855532
0.38036092  0.10916500
0.37714891  0.10976023
0.37396836  0.11034089
0.37081799  0.11090686
0.36769653  0.11145803
0.36460270  0.11199430
0.36153524  0.11251557
0.35849288  0.11302173
0.35547436  0.11351269
0.35247843  0.11398837
0.34950384  0.11444866
0.34654936  0.11489349
0.34361378  0.11532278
0.34069588  0.11573645
0.33779448  0.11613443
0.33490839  0.11651665
0.33203646  0.11688304
0.32917755  0.11723354
0.32633054  0.11756808
0.32349432  0.11788663
0.32066783  0.11818911
0.31785000  0.11847548
0.31503981  0.11874571
0.31223625  0.11899973
0.30943834  0.11923752
0.30664513  0.11945904
0.30385570  0.11966425
0.30106915  0.11985312
0.29828463  0.12002563
0.29550128  0.12018176
0.29271833  0.12032147
0.28993499  0.12044476
0.28715052  0.12055161
0.28436424  0.12064201
0.28157546  0.12071594
0.27878355  0.12077340
0.27598793  0.12081438
0.27318802  0.12083889
0.27038330  0.12084692
0.26757328  0.12083849
0.26475751  0.12081358
0.26193559  0.12077222
0.25910713  0.12071442
0.25627181  0.12064018
0.25342931  0.12054953
0.25057940  0.12044248
0.24772184  0.12031905
0.24485646  0.12017927
0.24198311  0.12002315
0.23910170  0.11985074
0.23621217  0.11966205
0.23331450  0.11945712
0.23040870  0.11923597
0.22749482  0.11899865
0.22457298  0.11874520
0.22164330  0.11847564
0.21870595  0.11819002
0.21576116  0.11788838
0.21280916  0.11757077
0.20985026  0.11723722
0.20688477  0.11688779
0.20391307  0.11652253
0.20093554  0.11614147
0.19795263  0.11574468
0.19496480  0.11533221
0.19197257  0.11490410
0.18897648  0.11446041
0.18597709  0.11400121
0.18297502  0.11352653
0.17997090  0.11303645
0.17696540  0.11253101
0.17395923  0.11201028
0.17095310  0.11147432
