# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 01156
# Species         : Charadrius_sanctaehelenae
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 111.40 mm
# Secondary1       : 66.00 mm
# Kipps Distance   : 44.20 mm
# Hand-Wing Index  : 40.10
# Tail Length      : 51.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.688
# Pointedness Index: 0.3968
# Efficiency Index : 0.1591
# Wing Loading Proxy: 0.0331
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1661  at x/c = 0.2589
# Max f/c          : 0.0546  at x/c = 0.3367
# Est. Reynolds    : 2.19e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939155  0.00008885
0.99866514  0.00020808
0.99781425  0.00035748
0.99683308  0.00053680
0.99571650  0.00074579
0.99446005  0.00098417
0.99305988  0.00125167
0.99151275  0.00154798
0.98981596  0.00187279
0.98796735  0.00222579
0.98596527  0.00260665
0.98380855  0.00301501
0.98149645  0.00345053
0.97902868  0.00391284
0.97640534  0.00440157
0.97362690  0.00491634
0.97069421  0.00545675
0.96760843  0.00602242
0.96437104  0.00661292
0.96098380  0.00722786
0.95744877  0.00786681
0.95376824  0.00852934
0.94994473  0.00921503
0.94598099  0.00992342
0.94187997  0.01065409
0.93764480  0.01140658
0.93327877  0.01218043
0.92878533  0.01297520
0.92416808  0.01379042
0.91943072  0.01462562
0.91457709  0.01548034
0.90961109  0.01635411
0.90453675  0.01724645
0.89935815  0.01815688
0.89407943  0.01908493
0.88870480  0.02003012
0.88323850  0.02099197
0.87768481  0.02196999
0.87204803  0.02296370
0.86633247  0.02397261
0.86054246  0.02499624
0.85468232  0.02603410
0.84875637  0.02708571
0.84276890  0.02815058
0.83672419  0.02922823
0.83062649  0.03031816
0.82448000  0.03141990
0.81828890  0.03253296
0.81205732  0.03365686
0.80578932  0.03479112
0.79948894  0.03593525
0.79316012  0.03708878
0.78680676  0.03825124
0.78043270  0.03942214
0.77404168  0.04060102
0.76763738  0.04178740
0.76122342  0.04298081
0.75480331  0.04418080
0.74838050  0.04538689
0.74195833  0.04659863
0.73554007  0.04781557
0.72912891  0.04903723
0.72272793  0.05026318
0.71634013  0.05149296
0.70996840  0.05272614
0.70361555  0.05396226
0.69728430  0.05520089
0.69097726  0.05644160
0.68469694  0.05768396
0.67844576  0.05892753
0.67222606  0.06017190
0.66604005  0.06141664
0.65988985  0.06266134
0.65377751  0.06390560
0.64770494  0.06514899
0.64167399  0.06639113
0.63568639  0.06763161
0.62974379  0.06887003
0.62384772  0.07010601
0.61799965  0.07133916
0.61220094  0.07256910
0.60645284  0.07379545
0.60075653  0.07501784
0.59511310  0.07623591
0.58952354  0.07744929
0.58398875  0.07865762
0.57850956  0.07986055
0.57308671  0.08105773
0.56772083  0.08224882
0.56241251  0.08343348
0.55716222  0.08461136
0.55197038  0.08578216
0.54683731  0.08694553
0.54176328  0.08810116
0.53674846  0.08924873
0.53179296  0.09038794
0.52689682  0.09151848
0.52206000  0.09264005
0.51728242  0.09375235
0.51256391  0.09485509
0.50790424  0.09594799
0.50330312  0.09703076
0.49876022  0.09810314
