# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 01169
# Species         : Phegornis_mitchellii
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 109.00 mm
# Secondary1       : 66.60 mm
# Kipps Distance   : 41.40 mm
# Hand-Wing Index  : 38.30
# Tail Length      : 48.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.637
# Pointedness Index: 0.3798
# Efficiency Index : 0.1455
# Wing Loading Proxy: 0.0338
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1685  at x/c = 0.2599
# Max f/c          : 0.0551  at x/c = 0.3367
# Est. Reynolds    : 2.15e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939156  0.00008902
0.99866521  0.00020879
0.99781448  0.00035907
0.99683360  0.00053962
0.99571750  0.00075019
0.99446174  0.00099049
0.99306252  0.00126024
0.99151661  0.00155915
0.98982135  0.00188689
0.98797459  0.00224315
0.98597471  0.00262759
0.98382055  0.00303986
0.98151140  0.00347961
0.97904697  0.00394647
0.97642737  0.00444006
0.97365309  0.00495999
0.97072497  0.00550589
0.96764419  0.00607733
0.96441222  0.00667391
0.96103084  0.00729522
0.95750209  0.00794083
0.95382827  0.00861030
0.95001189  0.00930321
0.94605571  0.01001912
0.94196265  0.01075756
0.93773585  0.01151810
0.93337860  0.01230027
0.92889433  0.01310361
0.92428663  0.01392765
0.91955920  0.01477194
0.91471585  0.01563598
0.90976050  0.01651932
0.90469714  0.01742146
0.89952984  0.01834194
0.89426275  0.01928026
0.88890004  0.02023594
0.88344595  0.02120849
0.87790475  0.02219744
0.87228071  0.02320227
0.86657815  0.02422252
0.86080136  0.02525768
0.85495467  0.02630727
0.84904236  0.02737079
0.84306872  0.02844776
0.83703802  0.02953768
0.83095448  0.03064006
0.82482230  0.03175441
0.81864564  0.03288025
0.81242861  0.03401708
0.80617527  0.03516442
0.79988963  0.03632179
0.79357562  0.03748870
0.78723714  0.03866466
0.78087799  0.03984920
0.77450192  0.04104184
0.76811259  0.04224211
0.76171360  0.04344952
0.75530846  0.04466362
0.74890059  0.04588393
0.74249333  0.04710998
0.73608995  0.04834132
0.72969360  0.04957747
0.72330737  0.05081800
0.71693424  0.05206243
0.71057709  0.05331033
0.70423873  0.05456125
0.69792186  0.05581473
0.69162908  0.05707035
0.68536289  0.05832767
0.67912572  0.05958624
0.67291987  0.06084566
0.66674757  0.06210548
0.66061092  0.06336530
0.65451195  0.06462469
0.64845260  0.06588324
0.64243467  0.06714054
0.63645991  0.06839620
0.63052996  0.06964980
0.62464634  0.07090096
0.61881052  0.07214929
0.61302384  0.07339439
0.60728756  0.07463590
0.60160286  0.07587342
0.59597081  0.07710659
0.59039241  0.07833504
0.58486856  0.07955841
0.57940007  0.08077634
0.57398768  0.08198848
0.56863203  0.08319447
0.56333370  0.08439398
0.55809316  0.08558666
0.55291083  0.08677219
0.54778703  0.08795022
0.54272201  0.08912045
0.53771596  0.09028254
0.53276899  0.09143618
0.52788113  0.09258107
0.52305236  0.09371690
0.51828256  0.09484337
0.51357159  0.09596018
0.50891922  0.09706705
