# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 01189
# Species         : Vanellus_melanocephalus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 234.50 mm
# Secondary1       : 142.10 mm
# Kipps Distance   : 92.30 mm
# Hand-Wing Index  : 39.40
# Tail Length      : 88.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.650
# Pointedness Index: 0.3936
# Efficiency Index : 0.1551
# Wing Loading Proxy: 0.0188
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1615  at x/c = 0.2593
# Max f/c          : 0.0546  at x/c = 0.3367
# Est. Reynolds    : 5.06e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939155  0.00008873
0.99866517  0.00020763
0.99781434  0.00035645
0.99683328  0.00053496
0.99571689  0.00074288
0.99446071  0.00097995
0.99306091  0.00124587
0.99151425  0.00154034
0.98981805  0.00186304
0.98797017  0.00221366
0.98596894  0.00259184
0.98381322  0.00299724
0.98150227  0.00342951
0.97903579  0.00388828
0.97641391  0.00437316
0.97363709  0.00488378
0.97070618  0.00541973
0.96762234  0.00598062
0.96438705  0.00656603
0.96100210  0.00717555
0.95746951  0.00780876
0.95379158  0.00846522
0.94997085  0.00914451
0.94601005  0.00984617
0.94191213  0.01056977
0.93768021  0.01131485
0.93331759  0.01208097
0.92882772  0.01286765
0.92421418  0.01367444
0.91948069  0.01450087
0.91463105  0.01534648
0.90966920  0.01621079
0.90459913  0.01709332
0.89942492  0.01799361
0.89415072  0.01891117
0.88878073  0.01984553
0.88331918  0.02079620
0.87777034  0.02176270
0.87213851  0.02274455
0.86642801  0.02374127
0.86064314  0.02475237
0.85478823  0.02577736
0.84886759  0.02681577
0.84288550  0.02786711
0.83684623  0.02893091
0.83075404  0.03000666
0.82461311  0.03109390
0.81842763  0.03219215
0.81220170  0.03330092
0.80593941  0.03441974
0.79964475  0.03554814
0.79332169  0.03668563
0.78697412  0.03783175
0.78060585  0.03898603
0.77422064  0.04014800
0.76782217  0.04131719
0.76141402  0.04249315
0.75499973  0.04367541
0.74858272  0.04486351
0.74216635  0.04605700
0.73575388  0.04725543
0.72934847  0.04845836
0.72295322  0.04966533
0.71657112  0.05087590
0.71020505  0.05208965
0.70385783  0.05330612
0.69753217  0.05452490
0.69123066  0.05574555
0.68495583  0.05696765
0.67871009  0.05819079
0.67249576  0.05941454
0.66631507  0.06063849
0.66017013  0.06186225
0.65406297  0.06308539
0.64799553  0.06430754
0.64196963  0.06552828
0.63598700  0.06674724
0.63004930  0.06796402
0.62415806  0.06917824
0.61831473  0.07038953
0.61252067  0.07159751
0.60677714  0.07280182
0.60108532  0.07400210
0.59544629  0.07519797
0.58986103  0.07638910
0.58433047  0.07757513
0.57885540  0.07875571
0.57343658  0.07993051
0.56807464  0.08109920
0.56277016  0.08226143
0.55752361  0.08341689
0.55233542  0.08456526
0.54720591  0.08570621
0.54213532  0.08683945
0.53712386  0.08796466
0.53217161  0.08908154
0.52727863  0.09018980
0.52244487  0.09128914
0.51767024  0.09237929
0.51295459  0.09345995
0.50829767  0.09453085
0.50369921  0.09559171
0.49915886  0.09664229
0.49467622  0.09768230
0.49025082  0.09871149
0.48588216  0.09972962
0.48156967  0.10073643
0.47731273  0.10173168
0.47311069  0.10271514
0.46896284  0.10368657
0.46486843  0.10464574
0.46082667  0.10559243
0.45683672  0.10652643
0.45289771  0.10744751
0.44900874  0.10835548
0.44516888  0.10925012
0.44137714  0.11013124
0.43763253  0.11099865
0.43393402  0.11185215
0.43028055  0.11269155
0.42667103  0.11351669
0.42310438  0.11432738
0.41957946  0.11512345
0.41609512  0.11590473
0.41265022  0.11667107
0.40924357  0.11742231
0.40587399  0.11815829
0.40254027  0.11887886
0.39924120  0.11958389
0.39597557  0.12027322
0.39274215  0.12094674
0.38953970  0.12160430
0.38636700  0.12224578
0.38322280  0.12287105
0.38010587  0.12348001
0.37701497  0.12407254
0.37394887  0.12464852
0.37090634  0.12520786
0.36788616  0.12575045
0.36488712  0.12627620
0.36190800  0.12678501
0.35894760  0.12727680
0.35600475  0.12775147
0.35307828  0.12820896
0.35016701  0.12864919
0.34726981  0.12907208
0.34438555  0.12947756
0.34151312  0.12986557
0.33865144  0.13023605
0.33579942  0.13058894
0.33295602  0.13092420
0.33012021  0.13124176
0.32729099  0.13154159
0.32446738  0.13182364
0.32164843  0.13208787
0.31883320  0.13233425
0.31602079  0.13256275
0.31321033  0.13277334
0.31040099  0.13296600
0.30759193  0.13314070
0.30478238  0.13329743
0.30197158  0.13343617
0.29915882  0.13355691
0.29634339  0.13365965
0.29352466  0.13374438
0.29070200  0.13381109
0.28787481  0.13385979
0.28504255  0.13389049
0.28220469  0.13390318
0.27936077  0.13389789
0.27651032  0.13387463
0.27365296  0.13383340
0.27078829  0.13377424
0.26791599  0.13369715
0.26503577  0.13360217
0.26214736  0.13348933
0.25925054  0.13335864
0.25634514  0.13321015
0.25343100  0.13304389
0.25050802  0.13285989
0.24757614  0.13265819
0.24463532  0.13243884
0.24168558  0.13220187
0.23872696  0.13194734
0.23575955  0.13167529
0.23278347  0.13138576
0.22979889  0.13107882
0.22680600  0.13075451
0.22380504  0.13041289
0.22079629  0.13005401
0.21778006  0.12967794
0.21475669  0.12928473
0.21172656  0.12887444
0.20869010  0.12844713
0.20564776  0.12800288
0.20260003  0.12754174
0.19954741  0.12706377
0.19649048  0.12656906
0.19342982  0.12605766
0.19036603  0.12552965
0.18729978  0.12498508
0.18423174  0.12442405
0.18116262  0.12384661
0.17809316  0.12325283
0.17502411  0.12264280
0.17195627  0.12201657
0.16889045  0.12137423
0.16582750  0.12071585
0.16276827  0.12004150
0.15971365  0.11935126
0.15666454  0.11864519
0.15362188  0.11792337
0.15058660  0.11718588
0.14755966  0.11643278
0.14454204  0.11566414
0.14153474  0.11488005
0.13853875  0.11408057
0.13555509  0.11326576
0.13258480  0.11243571
0.12962889  0.11159047
0.12668842  0.11073012
0.12376443  0.10985472
0.12085797  0.10896434
0.11797010  0.10805905
0.11510187  0.10713889
0.11225434  0.10620395
0.10942855  0.10525427
0.10662556  0.10428991
0.10384640  0.10331094
0.10109211  0.10231740
0.09836372  0.10130936
0.09566223  0.10028686
0.09298865  0.09924995
0.09034396  0.09819869
0.08772913  0.09713311
0.08514511  0.09605326
0.08259284  0.09495918
0.08007321  0.09385092
0.07758712  0.09272851
0.07513543  0.09159198
0.07271897  0.09044137
0.07033854  0.08927670
0.06799491  0.08809802
0.06568883  0.08690534
0.06342101  0.08569868
0.06119211  0.08447807
0.05900277  0.08324353
0.05685359  0.08199508
0.05474512  0.08073272
0.05267788  0.07945648
0.05065234  0.07816635
0.04866892  0.07686236
0.04672801  0.07554450
0.04482995  0.07421278
0.04297501  0.07286720
0.04116344  0.07150776
0.03939543  0.07013446
0.03767112  0.06874730
0.03599058  0.06734627
0.03435387  0.06593137
0.03276096  0.06450259
0.03121179  0.06305992
0.02970622  0.06160335
0.02824410  0.06013287
0.02682518  0.05864848
0.02544920  0.05715017
0.02411582  0.05563792
0.02282466  0.05411173
0.02157529  0.05257158
0.02036722  0.05101748
0.01919994  0.04944941
0.01807286  0.04786737
0.01698536  0.04627137
0.01593679  0.04466140
0.01492644  0.04303746
0.01395357  0.04139957
0.01301742  0.03974774
0.01211716  0.03808198
0.01125198  0.03640232
0.01042101  0.03470879
0.00962338  0.03300141
0.00885819  0.03128024
0.00812454  0.02954531
0.00742153  0.02779670
0.00674824  0.02603446
0.00610379  0.02425867
0.00548727  0.02246942
0.00489784  0.02066682
0.00433464  0.01885097
0.00379688  0.01702200
0.00328381  0.01518005
0.00279472  0.01332528
0.00232898  0.01145787
0.00188602  0.00957800
0.00146537  0.00768589
0.00106666  0.00578177
0.00068960  0.00386589
0.00033405  0.00193853
0.00000000  0.00000000
0.00033405  -0.00125745
0.00068960  -0.00244868
0.00106666  -0.00357712
0.00146537  -0.00464602
0.00188602  -0.00565851
0.00232898  -0.00661759
0.00279472  -0.00752610
0.00328381  -0.00838677
0.00379688  -0.00920220
0.00433464  -0.00997487
0.00489784  -0.01070715
0.00548727  -0.01140130
0.00610379  -0.01205947
0.00674824  -0.01268371
0.00742153  -0.01327598
0.00812454  -0.01383814
0.00885819  -0.01437195
0.00962338  -0.01487911
0.01042101  -0.01536123
0.01125198  -0.01581981
0.01211716  -0.01625631
0.01301742  -0.01667211
0.01395357  -0.01706850
0.01492644  -0.01744673
0.01593679  -0.01780797
0.01698536  -0.01815332
0.01807286  -0.01848384
0.01919994  -0.01880053
0.02036722  -0.01910431
0.02157529  -0.01939609
0.02282466  -0.01967669
0.02411582  -0.01994690
0.02544920  -0.02020747
0.02682518  -0.02045909
0.02824410  -0.02070242
0.02970622  -0.02093807
0.03121179  -0.02116662
0.03276096  -0.02138861
0.03435387  -0.02160453
0.03599058  -0.02181486
0.03767112  -0.02202004
0.03939543  -0.02222046
0.04116344  -0.02241650
0.04297501  -0.02260850
0.04482995  -0.02279678
0.04672801  -0.02298163
0.04866892  -0.02316332
0.05065234  -0.02334209
0.05267788  -0.02351815
0.05474512  -0.02369171
0.05685359  -0.02386293
0.05900277  -0.02403197
0.06119211  -0.02419897
0.06342101  -0.02436405
0.06568883  -0.02452729
0.06799491  -0.02468880
0.07033854  -0.02484862
0.07271897  -0.02500683
0.07513543  -0.02516344
0.07758712  -0.02531849
0.08007321  -0.02547198
0.08259284  -0.02562392
0.08514511  -0.02577428
0.08772913  -0.02592305
0.09034396  -0.02607019
0.09298865  -0.02621566
0.09566223  -0.02635939
0.09836372  -0.02650132
0.10109211  -0.02664139
0.10384640  -0.02677951
0.10662556  -0.02691559
0.10942855  -0.02704954
0.11225434  -0.02718126
0.11510187  -0.02731064
0.11797010  -0.02743757
0.12085797  -0.02756193
0.12376443  -0.02768360
0.12668842  -0.02780245
0.12962889  -0.02791835
0.13258480  -0.02803116
0.13555509  -0.02814076
0.13853875  -0.02824699
0.14153474  -0.02834972
0.14454204  -0.02844881
0.14755966  -0.02854409
0.15058660  -0.02863544
0.15362188  -0.02872269
0.15666454  -0.02880570
0.15971365  -0.02888431
0.16276827  -0.02895839
0.16582750  -0.02902777
0.16889045  -0.02909230
0.17195627  -0.02915184
0.17502411  -0.02920624
0.17809316  -0.02925535
0.18116262  -0.02929903
0.18423174  -0.02933712
0.18729978  -0.02936950
0.19036603  -0.02939601
0.19342982  -0.02941653
0.19649048  -0.02943091
0.19954741  -0.02943903
0.20260003  -0.02944075
0.20564776  -0.02943595
0.20869010  -0.02942452
0.21172656  -0.02940632
0.21475669  -0.02938126
0.21778006  -0.02934921
0.22079629  -0.02931007
0.22380504  -0.02926375
0.22680600  -0.02921014
0.22979889  -0.02914916
0.23278347  -0.02908071
0.23575955  -0.02900472
0.23872696  -0.02892112
0.24168558  -0.02882983
0.24463532  -0.02873078
0.24757614  -0.02862392
0.25050802  -0.02850920
0.25343100  -0.02838658
0.25634514  -0.02825600
0.25925054  -0.02811743
0.26214736  -0.02797086
0.26503577  -0.02781625
0.26791599  -0.02765359
0.27078829  -0.02748288
0.27365296  -0.02730410
0.27651032  -0.02711728
0.27936077  -0.02692242
0.28220469  -0.02671954
0.28504255  -0.02650866
0.28787481  -0.02628982
0.29070200  -0.02606306
0.29352466  -0.02582843
0.29634339  -0.02558598
0.29915882  -0.02533577
0.30197158  -0.02507787
0.30478238  -0.02481236
0.30759193  -0.02453933
0.31040099  -0.02425885
0.31321033  -0.02397102
0.31602079  -0.02367596
0.31883320  -0.02337377
0.32164843  -0.02306457
0.32446738  -0.02274849
0.32729099  -0.02242565
0.33012021  -0.02209620
0.33295602  -0.02176027
0.33579942  -0.02141804
0.33865144  -0.02106964
0.34151312  -0.02071525
0.34438555  -0.02035503
0.34726981  -0.01998917
0.35016701  -0.01961785
0.35307828  -0.01924126
0.35600475  -0.01885959
0.35894760  -0.01847305
0.36190800  -0.01808183
0.36488712  -0.01768617
0.36788616  -0.01728626
0.37090634  -0.01688234
0.37394887  -0.01647462
0.37701497  -0.01606336
0.38010587  -0.01564877
0.38322280  -0.01523110
0.38636700  -0.01481061
0.38953970  -0.01438753
0.39274215  -0.01396212
0.39597557  -0.01353464
0.39924120  -0.01310534
0.40254027  -0.01267450
0.40587399  -0.01224238
0.40924357  -0.01180924
0.41265022  -0.01137536
0.41609512  -0.01094101
0.41957946  -0.01050647
0.42310438  -0.01007201
0.42667103  -0.00963792
0.43028055  -0.00920447
0.43393402  -0.00877194
0.43763253  -0.00834062
0.44137714  -0.00791079
0.44516888  -0.00748273
0.44900874  -0.00705672
0.45289771  -0.00663305
0.45683672  -0.00621199
0.46082667  -0.00579382
0.46486843  -0.00537883
0.46896284  -0.00496729
0.47311069  -0.00455947
0.47731273  -0.00415565
0.48156967  -0.00375611
0.48588216  -0.00336110
0.49025082  -0.00297089
0.49467622  -0.00258574
0.49915886  -0.00220592
0.50369921  -0.00183168
0.50829767  -0.00146327
0.51295459  -0.00110092
0.51767024  -0.00074490
0.52244487  -0.00039542
0.52727863  -0.00005273
0.53217161  0.00028296
0.53712386  0.00061142
0.54213532  0.00093244
0.54720591  0.00124581
0.55233542  0.00155134
0.55752361  0.00184882
0.56277016  0.00213808
0.56807464  0.00241892
0.57343658  0.00269119
0.57885540  0.00295472
0.58433047  0.00320934
0.58986103  0.00345493
0.59544629  0.00369133
0.60108532  0.00391841
0.60677714  0.00413607
0.61252067  0.00434417
0.61831473  0.00454264
0.62415806  0.00473136
0.63004930  0.00491026
0.63598700  0.00507928
0.64196963  0.00523833
0.64799553  0.00538738
0.65406297  0.00552638
0.66017013  0.00565531
0.66631507  0.00577414
0.67249576  0.00588286
0.67871009  0.00598148
0.68495583  0.00607001
0.69123066  0.00614848
0.69753217  0.00621692
0.70385783  0.00627539
0.71020505  0.00632393
0.71657112  0.00636263
0.72295322  0.00639157
0.72934847  0.00641084
0.73575388  0.00642055
0.74216635  0.00642082
0.74858272  0.00641178
0.75499973  0.00639358
0.76141402  0.00636636
0.76782217  0.00633029
0.77422064  0.00628556
0.78060585  0.00623235
0.78697412  0.00617086
0.79332169  0.00610131
0.79964475  0.00602393
0.80593941  0.00593895
0.81220170  0.00584662
0.81842763  0.00574719
0.82461311  0.00564095
0.83075404  0.00552817
0.83684623  0.00540914
0.84288550  0.00528417
0.84886759  0.00515357
0.85478823  0.00501768
0.86064314  0.00487681
0.86642801  0.00473132
0.87213851  0.00458157
0.87777034  0.00442791
0.88331918  0.00427071
0.88878073  0.00411038
0.89415072  0.00394728
0.89942492  0.00378183
0.90459913  0.00361444
0.90966920  0.00344551
0.91463105  0.00327547
0.91948069  0.00310476
0.92421418  0.00293380
0.92882772  0.00276306
0.93331759  0.00259297
0.93768021  0.00242399
0.94191213  0.00225659
0.94601005  0.00209123
0.94997085  0.00192839
0.95379158  0.00176855
0.95746951  0.00161217
0.96100210  0.00145975
0.96438705  0.00131178
0.96762234  0.00116874
0.97070618  0.00103113
0.97363709  0.00089943
0.97641391  0.00077415
0.97903579  0.00065579
0.98150227  0.00054483
0.98381322  0.00044177
0.98596894  0.00034712
0.98797017  0.00026135
0.98981805  0.00018498
0.99151425  0.00011848
0.99306091  0.00006235
0.99446071  0.00001708
0.99571689  -0.00001687
0.99683328  -0.00003900
0.99781434  -0.00004884
0.99866517  -0.00004593
0.99939155  -0.00002980
1.00000000  0.00000000
