# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 01357
# Species         : Calidris_acuminata
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 128.80 mm
# Secondary1       : 58.60 mm
# Kipps Distance   : 70.40 mm
# Hand-Wing Index  : 54.50
# Tail Length      : 53.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.198
# Pointedness Index: 0.5466
# Efficiency Index : 0.2979
# Wing Loading Proxy: 0.0412
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1460  at x/c = 0.2504
# Max f/c          : 0.0502  at x/c = 0.3266
# Est. Reynolds    : 2.95e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939148  0.00008725
0.99866459  0.00020174
0.99781245  0.00034324
0.99682888  0.00051156
0.99570847  0.00070646
0.99444646  0.00092771
0.99303874  0.00117504
0.99148184  0.00144819
0.98977284  0.00174688
0.98790942  0.00207082
0.98588974  0.00241971
0.98371250  0.00279325
0.98137684  0.00319111
0.97888236  0.00361296
0.97622908  0.00405846
0.97341740  0.00452726
0.97044812  0.00501902
0.96732235  0.00553337
0.96404155  0.00606994
0.96060749  0.00662836
0.95702220  0.00720824
0.95328800  0.00780919
0.94940742  0.00843082
0.94538327  0.00907274
0.94121851  0.00973454
0.93691634  0.01041581
0.93248011  0.01111613
0.92791333  0.01183510
0.92321966  0.01257229
0.91840291  0.01332729
0.91346697  0.01409965
0.90841586  0.01488897
0.90325368  0.01569480
0.89798462  0.01651672
0.89261293  0.01735428
0.88714291  0.01820706
0.88157891  0.01907461
0.87592533  0.01995650
0.87018656  0.02085229
0.86436706  0.02176154
0.85847125  0.02268380
0.85250357  0.02361865
0.84646845  0.02456563
0.84037031  0.02552431
0.83421355  0.02649425
0.82800252  0.02747500
0.82174155  0.02846614
0.81543494  0.02946723
0.80908692  0.03047782
0.80270169  0.03149748
0.79628337  0.03252579
0.78983603  0.03356231
0.78336370  0.03460660
0.77687029  0.03565825
0.77035967  0.03671683
0.76383563  0.03778191
0.75730188  0.03885307
0.75076204  0.03992989
