# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 01361
# Species         : Calidris_canutus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 164.40 mm
# Secondary1       : 69.10 mm
# Kipps Distance   : 95.20 mm
# Hand-Wing Index  : 57.90
# Tail Length      : 60.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.379
# Pointedness Index: 0.5791
# Efficiency Index : 0.3353
# Wing Loading Proxy: 0.0394
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1398  at x/c = 0.2484
# Max f/c          : 0.0489  at x/c = 0.3266
# Est. Reynolds    : 3.97e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939146  0.00008680
0.99866446  0.00019990
0.99781202  0.00033913
0.99682789  0.00050426
0.99570658  0.00069508
0.99444325  0.00091136
0.99303375  0.00115284
0.99147454  0.00141927
0.98976266  0.00171038
0.98789574  0.00202588
0.98587191  0.00236548
0.98368982  0.00272889
0.98134860  0.00311578
0.97884781  0.00352584
0.97618746  0.00395874
0.97336794  0.00441414
0.97039001  0.00489170
0.96725480  0.00539106
0.96396376  0.00591186
0.96051864  0.00645374
0.95692148  0.00701633
0.95317461  0.00759925
0.94928056  0.00820211
0.94524214  0.00882453
0.94106233  0.00946612
0.93674434  0.01012647
0.93229153  0.01080519
0.92770743  0.01150187
0.92299573  0.01221611
0.91816023  0.01294749
0.91320486  0.01369559
0.90813365  0.01446001
0.90295074  0.01524032
0.89766032  0.01603611
0.89226667  0.01684695
0.88677413  0.01767241
0.88118706  0.01851208
0.87550989  0.01936552
0.86974705  0.02023232
0.86390301  0.02111204
0.85798221  0.02200425
0.85198914  0.02290853
0.84592825  0.02382446
0.83980398  0.02475160
0.83362076  0.02568953
0.82738297  0.02663782
0.82109498  0.02759606
0.81476109  0.02856381
0.80838558  0.02954065
0.80197267  0.03052616
0.79552650  0.03151993
0.78905119  0.03252153
0.78255076  0.03353055
0.77602917  0.03454658
0.76949032  0.03556920
0.76293801  0.03659800
0.75637598  0.03763258
0.74980787  0.03867253
0.74323725  0.03971746
0.73666759  0.04076695
0.73010227  0.04182062
0.72354458  0.04287807
0.71699773  0.04393891
0.71046481  0.04500275
0.70394884  0.04606920
0.69745271  0.04713790
0.69097923  0.04820845
0.68453111  0.04928049
0.67811097  0.05035364
0.67172130  0.05142753
0.66536451  0.05250181
0.65904291  0.05357611
0.65275870  0.05465007
0.64651398  0.05572335
0.64031075  0.05679559
0.63415091  0.05786645
0.62803627  0.05893558
0.62196851  0.06000266
0.61594926  0.06106735
0.60998000  0.06212931
0.60406215  0.06318823
0.59819701  0.06424378
0.59238581  0.06529565
0.58662967  0.06634353
0.58092962  0.06738710
0.57528659  0.06842606
0.56970143  0.06946012
0.56417492  0.07048897
0.55870771  0.07151233
0.55330041  0.07252991
0.54795351  0.07354143
0.54266744  0.07454660
0.53744254  0.07554516
0.53227908  0.07653684
0.52717724  0.07752136
0.52213714  0.07849848
0.51715883  0.07946792
0.51224226  0.08042945
0.50738734  0.08138281
0.50259391  0.08232775
0.49786172  0.08326405
0.49319050  0.08419146
0.48857986  0.08510976
0.48402942  0.08601871
0.47953868  0.08691810
0.47510712  0.08780770
0.47073416  0.08868732
0.46641916  0.08955672
0.46216145  0.09041572
0.45796029  0.09126411
0.45381492  0.09210169
0.44972450  0.09292827
0.44568819  0.09374367
0.44170509  0.09454770
0.43777426  0.09534017
0.43389474  0.09612093
0.43006551  0.09688978
0.42628556  0.09764658
0.42255381  0.09839114
0.41886918  0.09912332
0.41523055  0.09984296
0.41163679  0.10054990
0.40808674  0.10124401
0.40457921  0.10192513
0.40111302  0.10259314
0.39768695  0.10324788
0.39429977  0.10388924
0.39095026  0.10451708
0.38763715  0.10513129
0.38435921  0.10573173
0.38111515  0.10631830
0.37790373  0.10689088
0.37472366  0.10744937
0.37157366  0.10799365
0.36845248  0.10852363
0.36535884  0.10903921
0.36229147  0.10954030
0.35924910  0.11002680
0.35623048  0.11049864
0.35323436  0.11095572
0.35025950  0.11139796
0.34730466  0.11182529
0.34436864  0.11223764
0.34145022  0.11263494
0.33854822  0.11301711
0.33566146  0.11338411
0.33278878  0.11373586
0.32992905  0.11407231
0.32708115  0.11439342
0.32424398  0.11469912
0.32141646  0.11498937
0.31859754  0.11526413
0.31578619  0.11552336
0.31298141  0.11576701
0.31018222  0.11599506
0.30738768  0.11620748
0.30459685  0.11640423
0.30180885  0.11658528
0.29902282  0.11675063
0.29623791  0.11690023
0.29345334  0.11703409
0.29066833  0.11715218
0.28788215  0.11725449
0.28509409  0.11734102
0.28230349  0.11741175
0.27950972  0.11746668
0.27671218  0.11750581
0.27391030  0.11752914
0.27110357  0.11753667
0.26829149  0.11752842
0.26547362  0.11750438
0.26264954  0.11746457
0.25981888  0.11740900
0.25698131  0.11733768
0.25413652  0.11725064
0.25128427  0.11714788
0.24842432  0.11702944
0.24555651  0.11689534
0.24268068  0.11674559
0.23979675  0.11658023
0.23690464  0.11639929
0.23400435  0.11620279
0.23109587  0.11599078
0.22817928  0.11576327
0.22525467  0.11552032
0.22232216  0.11526195
0.21938195  0.11498821
0.21643423  0.11469913
0.21347926  0.11439476
0.21051732  0.11407514
0.20754875  0.11374032
0.20457390  0.11339033
0.20159317  0.11302523
0.19860701  0.11264507
0.19561587  0.11224990
