# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 01597
# Species         : Ducula_poliocephala
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 212.00 mm
# Secondary1       : 149.90 mm
# Kipps Distance   : 63.40 mm
# Hand-Wing Index  : 29.80
# Tail Length      : 149.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.414
# Pointedness Index: 0.2991
# Efficiency Index : 0.0891
# Wing Loading Proxy: 0.0094
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1745  at x/c = 0.2649
# Max f/c          : 0.0570  at x/c = 0.3417
# Est. Reynolds    : 4.43e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939160  0.00008964
0.99866553  0.00021124
0.99781554  0.00036457
0.99683608  0.00054936
0.99572224  0.00076533
0.99446977  0.00101220
0.99307500  0.00128967
0.99153486  0.00159741
0.98984680  0.00193510
0.98800879  0.00230241
0.98601930  0.00269897
0.98387725  0.00312442
0.98158201  0.00357839
0.97913334  0.00406049
0.97653141  0.00457034
0.97377676  0.00510752
0.97087024  0.00567163
0.96781306  0.00626224
0.96460671  0.00687893
0.96125297  0.00752127
0.95775389  0.00818880
0.95411174  0.00888109
0.95032905  0.00959767
0.94640853  0.01033808
0.94235310  0.01110187
0.93816585  0.01188856
0.93385003  0.01269766
0.92940906  0.01352871
0.92484646  0.01438122
0.92016590  0.01525470
0.91537113  0.01614865
0.91046602  0.01706259
0.90545451  0.01799602
0.90034060  0.01894844
0.89512839  0.01991934
0.88982199  0.02090822
0.88442557  0.02191459
0.87894333  0.02293792
0.87337949  0.02397772
0.86773828  0.02503347
0.86202395  0.02610467
0.85624073  0.02719080
0.85039286  0.02829137
0.84448455  0.02940585
0.83851999  0.03053374
0.83250334  0.03167453
0.82643874  0.03282771
0.82033026  0.03399279
0.81418196  0.03516924
0.80799782  0.03635657
0.80178179  0.03755427
0.79553773  0.03876184
0.78926948  0.03997879
0.78298077  0.04120462
0.77667529  0.04243882
0.77035664  0.04368092
0.76402835  0.04493041
0.75769387  0.04618681
0.75135658  0.04744964
