# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 01664
# Species         : Macropygia_ruficeps
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 141.00 mm
# Secondary1       : 88.40 mm
# Kipps Distance   : 51.10 mm
# Hand-Wing Index  : 36.60
# Tail Length      : 150.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.595
# Pointedness Index: 0.3624
# Efficiency Index : 0.1326
# Wing Loading Proxy: 0.0106
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1694  at x/c = 0.2609
# Max f/c          : 0.0555  at x/c = 0.3367
# Est. Reynolds    : 2.59e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939156  0.00008914
0.99866527  0.00020927
0.99781469  0.00036015
0.99683410  0.00054154
0.99571845  0.00075316
0.99446335  0.00099475
0.99306502  0.00126602
0.99152026  0.00156665
0.98982644  0.00189634
0.98798143  0.00225475
0.98598363  0.00264155
0.98383189  0.00305638
0.98152552  0.00349889
0.97906424  0.00396870
0.97644818  0.00446544
0.97367782  0.00498871
0.97075403  0.00553812
0.96767796  0.00611325
0.96445112  0.00671371
0.96107527  0.00733906
0.95755245  0.00798887
0.95388496  0.00866272
0.95007532  0.00936016
0.94612627  0.01008075
0.94204074  0.01082403
0.93782185  0.01158954
0.93347289  0.01237684
0.92899728  0.01318544
0.92439860  0.01401488
0.91968054  0.01486470
0.91484691  0.01573440
0.90990160  0.01662351
0.90484861  0.01753155
0.89969200  0.01845804
0.89443588  0.01940248
0.88908443  0.02036439
0.88364188  0.02134328
0.87811246  0.02233866
0.87250047  0.02335003
0.86681017  0.02437690
0.86104588  0.02541877
0.85521188  0.02647515
0.84931246  0.02754555
0.84335189  0.02862947
0.83733442  0.02972642
0.83126425  0.03083590
0.82514559  0.03195742
0.81898257  0.03309048
0.81277929  0.03423460
0.80653979  0.03538929
0.80026806  0.03655405
0.79396805  0.03772841
0.78764361  0.03891187
0.78129855  0.04010395
0.77493660  0.04130416
0.76856141  0.04251204
0.76217656  0.04372711
0.75578555  0.04494888
0.74939180  0.04617690
0.74299863  0.04741068
0.73660929  0.04864976
0.73022694  0.04989369
0.72385464  0.05114200
0.71749536  0.05239424
0.71115199  0.05364994
0.70482732  0.05490867
0.69852403  0.05616997
0.69224472  0.05743341
0.68599189  0.05869854
0.67976795  0.05996494
0.67357519  0.06123216
0.66741583  0.06249978
0.66129198  0.06376738
0.65520566  0.06503454
0.64915878  0.06630085
0.64315317  0.06756590
0.63719054  0.06882927
0.63127254  0.07009057
0.62540069  0.07134939
0.61957644  0.07260536
0.61380114  0.07385808
0.60807604  0.07510716
0.60240231  0.07635222
0.59678103  0.07759290
0.59121318  0.07882882
0.58569966  0.08005962
0.58024130  0.08128494
0.57483881  0.08250442
0.56949284  0.08371771
0.56420396  0.08492446
0.55897264  0.08612435
0.55379931  0.08731702
0.54868428  0.08850215
0.54362780  0.08967941
0.53863007  0.09084849
0.53369117  0.09200907
0.52881116  0.09316082
0.52399000  0.09430346
0.51922760  0.09543668
0.51452378  0.09656018
0.50987833  0.09767367
0.50529097  0.09877687
0.50076134  0.09986950
0.49628904  0.10095127
0.49187362  0.10202193
0.48751458  0.10308120
0.48321134  0.10412882
0.47896329  0.10516454
0.47476979  0.10618811
0.47063012  0.10719927
0.46654355  0.10819781
0.46250927  0.10918346
0.45852647  0.11015601
0.45459428  0.11111524
0.45071179  0.11206091
0.44687808  0.11299281
0.44309217  0.11391074
0.43935308  0.11481449
0.43565976  0.11570385
0.43201118  0.11657864
0.42840626  0.11743865
0.42484390  0.11828371
0.42132298  0.11911364
0.41784236  0.11992825
0.41440089  0.12072737
0.41099741  0.12151084
0.40763072  0.12227850
0.40429962  0.12303019
0.40100293  0.12376575
0.39773942  0.12448504
0.39450786  0.12518792
0.39130705  0.12587424
0.38813574  0.12654387
0.38499270  0.12719668
0.38187671  0.12783256
0.37878654  0.12845136
0.37572095  0.12905299
0.37267872  0.12963733
0.36965864  0.13020428
0.36665950  0.13075372
0.36368009  0.13128556
0.36071922  0.13179971
0.35777571  0.13229608
0.35484839  0.13277458
0.35193612  0.13323514
0.34903774  0.13367766
0.34615214  0.13410209
0.34327822  0.13450835
0.34041487  0.13489639
0.33756105  0.13526612
0.33471570  0.13561752
0.33187780  0.13595050
0.32904635  0.13626504
0.32622037  0.13656109
0.32339892  0.13683860
0.32058106  0.13709754
0.31776589  0.13733787
0.31495256  0.13755957
0.31214021  0.13776261
0.30932803  0.13794696
0.30651525  0.13811261
0.30370111  0.13825955
0.30088488  0.13838775
0.29806589  0.13849722
0.29524348  0.13858795
0.29241703  0.13865993
0.28958596  0.13871318
0.28674970  0.13874768
0.28390775  0.13876346
0.28105962  0.13876052
0.27820487  0.13873888
0.27534310  0.13869855
0.27247392  0.13863955
0.26959701  0.13856192
0.26671208  0.13846566
0.26381885  0.13835083
0.26091711  0.13821743
0.25800667  0.13806551
0.25508740  0.13789511
0.25215918  0.13770626
0.24922195  0.13749901
0.24627567  0.13727340
0.24332036  0.13702947
0.24035605  0.13676727
0.23738284  0.13648686
0.23440084  0.13618829
0.23141022  0.13587161
0.22841117  0.13553688
0.22540393  0.13518416
0.22238876  0.13481351
0.21936598  0.13442498
0.21633593  0.13401865
0.21329899  0.13359457
0.21025557  0.13315282
0.20720613  0.13269347
0.20415115  0.13221657
0.20109114  0.13172221
0.19802665  0.13121045
0.19495828  0.13068136
0.19188662  0.13013503
0.18881234  0.12957152
0.18573609  0.12899090
0.18265860  0.12839327
0.17958058  0.12777868
0.17650280  0.12714722
0.17342604  0.12649896
0.17035112  0.12583399
0.16727886  0.12515237
0.16421014  0.12445419
0.16114583  0.12373952
0.15808683  0.12300845
0.15503406  0.12226104
0.15198847  0.12149738
0.14895100  0.12071754
0.14592264  0.11992160
0.14290437  0.11910963
0.13989720  0.11828171
0.13690213  0.11743791
0.13392018  0.11657830
0.13095240  0.11570296
0.12799981  0.11481196
0.12506347  0.11390537
0.12214442  0.11298325
0.11924372  0.11204567
0.11636241  0.11109270
0.11350156  0.11012441
0.11066220  0.10914085
0.10784539  0.10814209
0.10505217  0.10712818
0.10228357  0.10609918
0.09954061  0.10505515
0.09682431  0.10399614
0.09413567  0.10292220
0.09147567  0.10183339
0.08884529  0.10072974
0.08624547  0.09961130
0.08367715  0.09847812
0.08114124  0.09733023
0.07863863  0.09616768
0.07617017  0.09499049
0.07373672  0.09379870
0.07133907  0.09259234
0.06897800  0.09137143
0.06665426  0.09013601
0.06436856  0.08888609
0.06212158  0.08762169
0.05991396  0.08634284
0.05774630  0.08504954
0.05561917  0.08374181
0.05353308  0.08241966
0.05148852  0.08108310
0.04948593  0.07973213
0.04752569  0.07836675
0.04560814  0.07698696
0.04373360  0.07559277
0.04190230  0.07418417
0.04011444  0.07276116
0.03837019  0.07132373
0.03666963  0.06987186
0.03501282  0.06840556
0.03339975  0.06692480
0.03183036  0.06542959
0.03030456  0.06391989
0.02882218  0.06239571
0.02738301  0.06085703
0.02598679  0.05930383
0.02463320  0.05773610
0.02332188  0.05615383
0.02205242  0.05455700
0.02082434  0.05294561
0.01963715  0.05131965
0.01849028  0.04967910
0.01738314  0.04802397
0.01631508  0.04635424
0.01528542  0.04466994
0.01429343  0.04297105
0.01333838  0.04125760
0.01241947  0.03952959
0.01153588  0.03778704
0.01068679  0.03603000
0.00987133  0.03425848
0.00908864  0.03247253
0.00833783  0.03067220
0.00761801  0.02885756
0.00692829  0.02702867
0.00626781  0.02518561
0.00563568  0.02332849
0.00503107  0.02145739
0.00445316  0.01957245
0.00390116  0.01767379
0.00337433  0.01576158
0.00287200  0.01383597
0.00239354  0.01189715
0.00193840  0.00994533
0.00150613  0.00798074
0.00109635  0.00600363
0.00070880  0.00401427
0.00034335  0.00201295
0.00000000  0.00000000
0.00034335  -0.00128717
0.00070880  -0.00250789
0.00109635  -0.00366563
0.00150613  -0.00476366
0.00193840  -0.00580516
0.00239354  -0.00679312
0.00287200  -0.00773042
0.00337433  -0.00861982
0.00390116  -0.00946392
0.00445316  -0.01026524
0.00503107  -0.01102615
0.00563568  -0.01174894
0.00626781  -0.01243577
0.00692829  -0.01308870
0.00761801  -0.01370971
0.00833783  -0.01430067
0.00908864  -0.01486335
0.00987133  -0.01539947
0.01068679  -0.01591061
0.01153588  -0.01639833
0.01241947  -0.01686407
0.01333838  -0.01730921
0.01429343  -0.01773507
0.01528542  -0.01814287
0.01631508  -0.01853381
0.01738314  -0.01890899
0.01849028  -0.01926947
0.01963715  -0.01961624
0.02082434  -0.01995025
0.02205242  -0.02027237
0.02332188  -0.02058344
0.02463320  -0.02088426
0.02598679  -0.02117555
0.02738301  -0.02145803
0.02882218  -0.02173233
0.03030456  -0.02199908
0.03183036  -0.02225883
0.03339975  -0.02251213
0.03501282  -0.02275948
0.03666963  -0.02300132
0.03837019  -0.02323810
0.04011444  -0.02347022
0.04190230  -0.02369803
0.04373360  -0.02392187
0.04560814  -0.02414206
0.04752569  -0.02435888
0.04948593  -0.02457258
0.05148852  -0.02478340
0.05353308  -0.02499154
0.05561917  -0.02519719
0.05774630  -0.02540052
0.05991396  -0.02560168
0.06212158  -0.02580078
0.06436856  -0.02599793
0.06665426  -0.02619323
0.06897800  -0.02638674
0.07133907  -0.02657852
0.07373672  -0.02676860
0.07617017  -0.02695703
0.07863863  -0.02714380
0.08114124  -0.02732891
0.08367715  -0.02751235
0.08624547  -0.02769410
0.08884529  -0.02787412
