# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 01687
# Species         : Patagioenas_araucana
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 210.20 mm
# Secondary1       : 132.10 mm
# Kipps Distance   : 77.90 mm
# Hand-Wing Index  : 37.00
# Tail Length      : 133.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.591
# Pointedness Index: 0.3706
# Efficiency Index : 0.1371
# Wing Loading Proxy: 0.0119
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1655  at x/c = 0.2606
# Max f/c          : 0.0553  at x/c = 0.3367
# Est. Reynolds    : 4.38e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939156  0.00008899
0.99866526  0.00020867
0.99781464  0.00035879
0.99683398  0.00053911
0.99571823  0.00074935
0.99446297  0.00098925
0.99306443  0.00125850
0.99151940  0.00155681
0.98982524  0.00188385
0.98797982  0.00223929
0.98598153  0.00262279
0.98382923  0.00303401
0.98152220  0.00347257
0.97906018  0.00393810
0.97644328  0.00443023
0.97367201  0.00494856
0.97074719  0.00549270
0.96767002  0.00606223
0.96444197  0.00665675
0.96106482  0.00727583
0.95754060  0.00791904
0.95387162  0.00858595
0.95006040  0.00927611
0.94610967  0.00998909
0.94202237  0.01072443
0.93780162  0.01148168
0.93345070  0.01226036
0.92897306  0.01306003
0.92437225  0.01388021
0.91965199  0.01472043
0.91481607  0.01558022
0.90986840  0.01645909
0.90481297  0.01735656
0.89965384  0.01827216
0.89439514  0.01920540
0.88904104  0.02015580
0.88359578  0.02112285
0.87806359  0.02210609
0.87244876  0.02310501
0.86675558  0.02411913
0.86098834  0.02514795
0.85515136  0.02619099
0.84924890  0.02724775
0.84328526  0.02831775
0.83726467  0.02940049
0.83119136  0.03049548
0.82506952  0.03160223
0.81890329  0.03272026
0.81269677  0.03384908
0.80645401  0.03498821
0.80017901  0.03613715
0.79387570  0.03729544
0.78754796  0.03846258
0.78119958  0.03963811
0.77483430  0.04082154
0.76845578  0.04201240
0.76206760  0.04321023
0.75567326  0.04441455
0.74927618  0.04562490
0.74287969  0.04684081
0.73648705  0.04806183
0.73010140  0.04928750
0.72372581  0.05051736
0.71736327  0.05175097
0.71101665  0.05298788
0.70468875  0.05422765
0.69838225  0.05546984
0.69209976  0.05671401
0.68584378  0.05795973
0.67961671  0.05920657
0.67342086  0.06045412
0.66725844  0.06170194
0.66113157  0.06294963
0.65504226  0.06419677
0.64899242  0.06544295
0.64298389  0.06668778
0.63701839  0.06793085
0.63109755  0.06917177
0.62522291  0.07041016
0.61939591  0.07164561
0.61361790  0.07287776
0.60789014  0.07410623
0.60221380  0.07533065
0.59658995  0.07655064
0.59101958  0.07776586
0.58550359  0.07897593
0.58004280  0.08018052
0.57463793  0.08137926
0.56928964  0.08257183
0.56399848  0.08375787
0.55876494  0.08493706
0.55358943  0.08610908
0.54847228  0.08727359
0.54341373  0.08843028
0.53841397  0.08957883
0.53347310  0.09071894
0.52859116  0.09185030
0.52376813  0.09297262
0.51900389  0.09408560
0.51429830  0.09518896
0.50965113  0.09628240
0.50506208  0.09736566
0.50053082  0.09843845
0.49605695  0.09950051
0.49163999  0.10055158
0.48727946  0.10159140
0.48297478  0.10261971
0.47872534  0.10363627
0.47453048  0.10464083
0.47038951  0.10563315
0.46630167  0.10661300
0.46226617  0.10758015
0.45828219  0.10853438
0.45434886  0.10947547
0.45046528  0.11040320
0.44663051  0.11131737
0.44284358  0.11221776
0.43910350  0.11310419
0.43540924  0.11397646
0.43175975  0.11483437
0.42815395  0.11567774
0.42459075  0.11650639
0.42106902  0.11732015
0.41758763  0.11811884
0.41414541  0.11890231
0.41074121  0.11967037
0.40737383  0.12042289
0.40404208  0.12115971
0.40074475  0.12188068
0.39748063  0.12258565
0.39424850  0.12327450
0.39104713  0.12394708
0.38787528  0.12460326
0.38473174  0.12524292
0.38161525  0.12586595
0.37852461  0.12647222
0.37545857  0.12706162
0.37241591  0.12763404
