# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 01698
# Species         : Patagioenas_oenops
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 192.00 mm
# Secondary1       : 123.50 mm
# Kipps Distance   : 68.50 mm
# Hand-Wing Index  : 35.70
# Tail Length      : 117.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.555
# Pointedness Index: 0.3568
# Efficiency Index : 0.1274
# Wing Loading Proxy: 0.0133
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1679  at x/c = 0.2614
# Max f/c          : 0.0556  at x/c = 0.3367
# Est. Reynolds    : 3.88e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939157  0.00008914
0.99866531  0.00020926
0.99781480  0.00036011
0.99683436  0.00054145
0.99571895  0.00075301
0.99446420  0.00099452
0.99306634  0.00126566
0.99152219  0.00156615
0.98982913  0.00189565
0.98798505  0.00225384
0.98598835  0.00264037
0.98383790  0.00305489
0.98153300  0.00349704
0.97907339  0.00396644
0.97645920  0.00446271
0.97369092  0.00498545
0.97076941  0.00553427
0.96769584  0.00610875
0.96447171  0.00670848
0.96109879  0.00733303
0.95757911  0.00798198
0.95391498  0.00865489
0.95010891  0.00935130
0.94616363  0.01007079
0.94208208  0.01081288
0.93786738  0.01157713
0.93352280  0.01236306
0.92905178  0.01317022
0.92445788  0.01399812
0.91974478  0.01484630
0.91491629  0.01571428
0.90997631  0.01660157
0.90492880  0.01750769
0.89977784  0.01843216
0.89452753  0.01937448
0.88918205  0.02033417
0.88374560  0.02131074
0.87822243  0.02230369
0.87261681  0.02331252
0.86693301  0.02433676
0.86117533  0.02537589
0.85534805  0.02642943
0.84945545  0.02749688
0.84350180  0.02857775
0.83749133  0.02967153
0.83142825  0.03077775
0.82531674  0.03189589
0.81916094  0.03302548
0.81296493  0.03416602
0.80673275  0.03531702
0.80046840  0.03647799
0.79417579  0.03764845
0.78785879  0.03882791
0.78152119  0.04001589
0.77516671  0.04121191
0.76879900  0.04241549
0.76242163  0.04362616
0.75603810  0.04484344
0.74965182  0.04606686
0.74326610  0.04729596
0.73688419  0.04853027
0.73050925  0.04976933
0.72414432  0.05101268
0.71779237  0.05225986
0.71145629  0.05351044
0.70513885  0.05476395
0.69884275  0.05601995
0.69257056  0.05727801
0.68632479  0.05853768
0.68010784  0.05979854
0.67392200  0.06106015
0.66776949  0.06232209
0.66165240  0.06358394
0.65557276  0.06484529
