# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02084
# Species         : Chalcites_crassirostris
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 86.00 mm
# Secondary1       : 51.80 mm
# Kipps Distance   : 34.20 mm
# Hand-Wing Index  : 39.80
# Tail Length      : 57.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.660
# Pointedness Index: 0.3977
# Efficiency Index : 0.1583
# Wing Loading Proxy: 0.0291
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1690  at x/c = 0.2590
# Max f/c          : 0.0547  at x/c = 0.3367
# Est. Reynolds    : 1.47e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939155  0.00008896
0.99866515  0.00020854
0.99781429  0.00035852
0.99683316  0.00053865
0.99571666  0.00074868
0.99446033  0.00098835
0.99306032  0.00125737
0.99151339  0.00155545
0.98981686  0.00188227
0.98796856  0.00223753
0.98596685  0.00262088
0.98381055  0.00303198
0.98149894  0.00347050
0.97903173  0.00393605
0.97640901  0.00442827
0.97363127  0.00494678
0.97069934  0.00549119
0.96761439  0.00606110
0.96437790  0.00665611
0.96099164  0.00727580
0.95745766  0.00791975
0.95377824  0.00858753
0.94995592  0.00927873
0.94599344  0.00999288
0.94189375  0.01072956
0.93765997  0.01148831
0.93329541  0.01226868
0.92880350  0.01307021
0.92418784  0.01389244
0.91945214  0.01473490
0.91460022  0.01559713
0.90963600  0.01647864
0.90456348  0.01737897
0.89938677  0.01829764
0.89410999  0.01923417
0.88873734  0.02018807
0.88327308  0.02115886
0.87772147  0.02214606
0.87208681  0.02314918
0.86637341  0.02416773
0.86058561  0.02520123
0.85472771  0.02624918
0.84880403  0.02731110
0.84281887  0.02838649
0.83677649  0.02947488
0.83068115  0.03057576
0.82453704  0.03168865
0.81834835  0.03281308
0.81211919  0.03394853
0.80585364  0.03509455
0.79955571  0.03625063
0.79322936  0.03741630
0.78687848  0.03859108
0.78050690  0.03977448
0.77411837  0.04096604
0.76771656  0.04216527
0.76130509  0.04337170
0.75488747  0.04458487
0.74846714  0.04580430
0.74204746  0.04702954
0.73563168  0.04826011
0.72922298  0.04949556
0.72282445  0.05073543
0.71643909  0.05197927
0.71006978  0.05322663
0.70371934  0.05447706
0.69739048  0.05573012
0.69108580  0.05698537
0.68480783  0.05824238
0.67855898  0.05950070
0.67234157  0.06075992
0.66615783  0.06201960
0.66000988  0.06327933
0.65389975  0.06453869
0.64782937  0.06579727
0.64180057  0.06705465
0.63581509  0.06831044
0.62987458  0.06956424
0.62398056  0.07081564
0.61813451  0.07206426
0.61233778  0.07330971
0.60659162  0.07455161
0.60089722  0.07578958
0.59525565  0.07702324
0.58966791  0.07825224
0.58413491  0.07947620
0.57865747  0.08069476
0.57323632  0.08190757
0.56787210  0.08311429
0.56256539  0.08431456
0.55731668  0.08550805
0.55212637  0.08669441
0.54699479  0.08787333
0.54192220  0.08904447
0.53690878  0.09020751
0.53195463  0.09136215
0.52705980  0.09250806
0.52222425  0.09364494
0.51744789  0.09477249
0.51273055  0.09589041
0.50807201  0.09699842
0.50347197  0.09809622
0.49893010  0.09918355
0.49444599  0.10026011
0.49001918  0.10132563
0.48564915  0.10237987
0.48133535  0.10342254
0.47707716  0.10445340
0.47287391  0.10547219
0.46872491  0.10647867
0.46462939  0.10747259
0.46058657  0.10845373
0.45659562  0.10942184
0.45265566  0.11037671
0.44876578  0.11131810
