# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02194
# Species         : Falco_amurensis
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 234.20 mm
# Secondary1       : 110.20 mm
# Kipps Distance   : 124.00 mm
# Hand-Wing Index  : 52.90
# Tail Length      : 121.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.125
# Pointedness Index: 0.5295
# Efficiency Index : 0.2801
# Wing Loading Proxy: 0.0175
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1445  at x/c = 0.2513
# Max f/c          : 0.0506  at x/c = 0.3266
# Est. Reynolds    : 5.06e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939148  0.00008732
0.99866465  0.00020199
0.99781265  0.00034381
0.99682935  0.00051255
0.99570936  0.00070799
0.99444797  0.00092986
0.99304109  0.00117790
0.99148527  0.00145186
0.98977763  0.00175143
0.98791585  0.00207632
0.98589813  0.00242623
0.98372317  0.00280083
0.98139013  0.00319981
0.97889862  0.00362282
0.97624866  0.00406952
0.97344068  0.00453955
0.97047546  0.00503256
0.96735414  0.00554818
0.96407816  0.00608603
0.96064930  0.00664573
0.95706960  0.00722689
0.95334136  0.00782912
0.94946713  0.00845202
0.94544968  0.00909518
0.94129201  0.00975820
0.93699728  0.01044066
0.93256885  0.01114215
0.92801022  0.01186224
0.92332504  0.01260051
0.91851711  0.01335653
0.91359031  0.01412988
0.90854866  0.01492012
0.90339625  0.01572681
0.89813724  0.01654952
0.89277588  0.01738781
0.88731645  0.01824124
0.88176331  0.01910937
0.87612082  0.01999176
0.87039339  0.02088797
0.86458544  0.02179755
0.85870138  0.02272006
0.85274565  0.02365506
0.84672267  0.02460210
0.84063682  0.02556074
0.83449251  0.02653055
0.82829407  0.02751107
0.82204582  0.02850187
0.81575205  0.02950252
0.80941697  0.03051257
0.80304476  0.03153158
0.79663954  0.03255913
0.79020538  0.03359478
0.78374626  0.03463811
0.77726611  0.03568867
0.77076878  0.03674605
0.76425805  0.03780982
0.75773761  0.03887956
0.75121107  0.03995485
0.74468197  0.04103528
0.73815373  0.04212043
0.73162972  0.04320989
0.72511319  0.04430326
0.71860732  0.04540013
0.71211516  0.04650009
0.70563970  0.04760276
0.69918381  0.04870774
0.69275028  0.04981463
0.68634179  0.05092305
0.67996092  0.05203262
0.67361015  0.05314295
0.66729186  0.05425367
0.66100834  0.05536441
0.65476177  0.05647479
0.64855422  0.05758446
