# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02323
# Species         : Megapodius_layardi
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 236.00 mm
# Secondary1       : 176.40 mm
# Kipps Distance   : 59.60 mm
# Hand-Wing Index  : 25.30
# Tail Length      : 81.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.338
# Pointedness Index: 0.2525
# Efficiency Index : 0.0639
# Wing Loading Proxy: 0.0164
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1793  at x/c = 0.2675
# Max f/c          : 0.0579  at x/c = 0.3417
# Est. Reynolds    : 5.11e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939162  0.00008998
0.99866570  0.00021261
0.99781611  0.00036764
0.99683739  0.00055481
0.99572475  0.00077383
0.99447401  0.00102441
0.99308161  0.00130625
0.99154452  0.00161901
0.98986027  0.00196237
0.98802689  0.00233598
0.98604290  0.00273947
0.98390727  0.00317249
0.98161939  0.00363465
0.97917906  0.00412556
0.97658649  0.00464481
0.97384222  0.00519200
0.97094714  0.00576671
0.96790246  0.00636852
0.96470967  0.00699698
0.96137057  0.00765165
0.95788719  0.00833209
0.95426182  0.00903783
0.95049696  0.00976842
0.94659532  0.01052339
0.94255980  0.01130226
0.93839349  0.01210455
0.93409962  0.01292978
0.92968156  0.01377746
0.92514284  0.01464709
0.92048709  0.01553819
0.91571804  0.01645024
0.91083953  0.01738275
0.90585547  0.01833522
0.90076983  0.01930712
0.89558667  0.02029796
0.89031008  0.02130721
0.88494419  0.02233437
0.87949317  0.02337892
0.87396119  0.02444034
0.86835247  0.02551811
0.86267120  0.02661171
0.85692159  0.02772063
0.85110784  0.02884435
0.84523411  0.02998234
0.83930456  0.03113410
0.83332333  0.03229909
0.82729450  0.03347680
0.82122212  0.03466672
0.81511021  0.03586833
0.80896271  0.03708111
0.80278353  0.03830456
0.79657651  0.03953816
0.79034544  0.04078139
0.78409402  0.04203377
0.77782591  0.04329476
0.77154468  0.04456389
0.76525383  0.04584064
0.75895677  0.04712451
0.75265684  0.04841502
0.74635730  0.04971166
0.74006131  0.05101395
0.73377197  0.05232140
0.72749227  0.05363353
0.72122510  0.05494987
0.71497330  0.05626992
0.70873957  0.05759322
0.70252656  0.05891931
0.69633679  0.06024771
0.69017271  0.06157796
0.68403667  0.06290961
0.67793092  0.06424220
0.67185762  0.06557529
0.66581883  0.06690842
0.65981652  0.06824116
0.65385256  0.06957308
0.64792874  0.07090373
0.64204674  0.07223269
0.63620815  0.07355955
0.63041447  0.07488387
0.62466712  0.07620525
0.61896741  0.07752329
0.61331656  0.07883756
0.60771572  0.08014768
0.60216594  0.08145325
0.59666819  0.08275389
0.59122333  0.08404920
0.58583217  0.08533880
0.58049542  0.08662234
0.57521371  0.08789942
0.56998759  0.08916970
0.56481753  0.09043281
0.55970393  0.09168840
0.55464711  0.09293612
0.54964731  0.09417562
0.54470472  0.09540658
0.53981942  0.09662864
0.53499147  0.09784150
0.53022082  0.09904482
0.52550738  0.10023829
0.52085100  0.10142160
0.51625144  0.10259444
0.51170844  0.10375651
0.50722165  0.10490752
0.50279067  0.10604716
0.49841507  0.10717517
0.49409433  0.10829126
0.48982792  0.10939516
0.48561523  0.11048659
0.48145561  0.11156529
0.47734837  0.11263101
0.47329279  0.11368350
0.46928810  0.11472250
0.46533347  0.11574777
0.46142806  0.11675908
0.45757099  0.11775619
0.45376133  0.11873889
0.44999815  0.11970694
0.44628046  0.12066013
0.44260726  0.12159826
0.43897752  0.12252112
0.43539018  0.12342850
0.43184417  0.12432021
0.42833838  0.12519607
0.42487171  0.12605589
0.42144301  0.12689948
0.41805114  0.12772669
0.41469494  0.12853733
0.41137324  0.12933124
0.40808485  0.13010827
0.40482858  0.13086826
0.40160323  0.13161106
0.39840761  0.13233654
0.39524049  0.13304454
0.39210068  0.13373494
0.38898696  0.13440761
0.38589812  0.13506243
0.38283296  0.13569927
0.37979028  0.13631802
0.37676888  0.13691858
0.37376757  0.13750083
0.37078517  0.13806468
0.36782051  0.13861004
0.36487242  0.13913680
0.36193976  0.13964490
0.35902140  0.14013424
0.35611620  0.14060474
0.35322308  0.14105635
0.35034093  0.14148899
0.34746869  0.14190259
0.34460532  0.14229710
0.34174977  0.14267246
0.33890105  0.14302862
0.33605817  0.14336554
0.33322016  0.14368318
0.33038609  0.14398149
0.32755505  0.14426045
0.32472615  0.14452003
0.32189853  0.14476019
0.31907136  0.14498092
0.31624384  0.14518221
0.31341520  0.14536403
0.31058469  0.14552638
0.30775161  0.14566926
0.30491528  0.14579265
0.30207505  0.14589657
0.29923031  0.14598101
0.29638047  0.14604599
0.29352499  0.14609152
0.29066336  0.14611761
0.28779510  0.14612428
0.28491977  0.14611156
0.28203697  0.14607946
0.27914633  0.14602803
0.27624751  0.14595728
0.27334021  0.14586725
0.27042418  0.14575799
0.26749920  0.14562952
0.26456508  0.14548190
0.26162168  0.14531517
0.25866888  0.14512938
0.25570662  0.14492457
0.25273485  0.14470081
0.24975359  0.14445814
0.24676287  0.14419663
0.24376278  0.14391632
0.24075342  0.14361730
0.23773496  0.14329961
0.23470758  0.14296332
0.23167151  0.14260851
0.22862702  0.14223524
0.22557440  0.14184358
0.22251398  0.14143360
0.21944614  0.14100537
0.21637129  0.14055898
0.21328986  0.14009450
0.21020233  0.13961199
0.20710920  0.13911155
0.20401102  0.13859324
0.20090836  0.13805716
0.19780181  0.13750337
0.19469201  0.13693195
0.19157963  0.13634300
0.18846536  0.13573658
0.18534992  0.13511278
0.18223406  0.13447168
0.17911854  0.13381336
0.17600418  0.13313789
0.17289179  0.13244536
0.16978222  0.13173585
0.16667635  0.13100944
0.16357506  0.13026619
0.16047926  0.12950619
0.15738988  0.12872952
0.15430787  0.12793624
0.15123419  0.12712643
0.14816982  0.12630016
0.14511575  0.12545749
0.14207299  0.12459851
0.13904255  0.12372326
0.13602546  0.12283181
0.13302274  0.12192423
0.13003543  0.12100057
0.12706459  0.12006089
0.12411125  0.11910524
0.12117647  0.11813367
0.11826129  0.11714623
0.11536676  0.11614297
0.11249393  0.11512391
0.10964383  0.11408911
0.10681750  0.11303859
0.10401597  0.11197239
0.10124025  0.11089053
0.09849134  0.10979303
0.09577025  0.10867991
0.09307793  0.10755120
0.09041535  0.10640689
0.08778346  0.10524699
0.08518318  0.10407151
0.08261540  0.10288045
0.08008099  0.10167378
0.07758082  0.10045151
0.07511571  0.09921361
0.07268644  0.09796006
0.07029379  0.09669084
0.06793848  0.09540591
0.06562122  0.09410523
0.06334268  0.09278876
0.06110348  0.09145645
0.05890421  0.09010826
0.05674542  0.08874411
0.05462763  0.08736395
0.05255130  0.08596771
0.05051685  0.08455531
0.04852468  0.08312667
0.04657511  0.08168171
0.04466844  0.08022034
0.04280490  0.07874245
0.04098470  0.07724796
0.03920797  0.07573675
0.03747481  0.07420871
0.03578527  0.07266373
0.03413935  0.07110169
0.03253698  0.06952246
0.03097807  0.06792591
0.02946245  0.06631191
0.02798994  0.06468032
0.02656025  0.06303101
0.02517311  0.06136382
0.02382814  0.05967860
0.02252496  0.05797522
0.02126311  0.05625351
0.02004211  0.05451332
0.01886143  0.05275449
0.01772048  0.05097686
0.01661865  0.04918027
0.01555531  0.04736457
0.01452975  0.04552958
0.01354128  0.04367516
0.01258914  0.04180114
0.01167258  0.03990736
0.01079080  0.03799368
0.00994301  0.03605993
0.00912840  0.03410596
0.00834615  0.03213165
0.00759544  0.03013683
0.00687548  0.02812139
0.00618544  0.02608520
0.00552457  0.02402813
0.00489210  0.02195008
0.00428731  0.01985095
0.00370954  0.01773065
