# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02373
# Species         : Rhynchortyx_cinctus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 110.20 mm
# Secondary1       : 69.70 mm
# Kipps Distance   : 39.60 mm
# Hand-Wing Index  : 36.20
# Tail Length      : 45.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.581
# Pointedness Index: 0.3593
# Efficiency Index : 0.1301
# Wing Loading Proxy: 0.0347
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1710  at x/c = 0.2611
# Max f/c          : 0.0556  at x/c = 0.3367
# Est. Reynolds    : 2.21e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939157  0.00008922
0.99866529  0.00020956
0.99781474  0.00036080
0.99683421  0.00054268
0.99571867  0.00075495
0.99446373  0.00099732
0.99306561  0.00126952
0.99152112  0.00157123
0.98982763  0.00190213
0.98798304  0.00226191
0.98598573  0.00265022
0.98383456  0.00306671
0.98152885  0.00351102
0.97906831  0.00398277
0.97645308  0.00448160
0.97368364  0.00500710
0.97076086  0.00555889
0.96768591  0.00613654
0.96446027  0.00673966
0.96108572  0.00736782
0.95756430  0.00802058
0.95389830  0.00869752
0.95009025  0.00939819
0.94614287  0.01012215
0.94205912  0.01086894
0.93784209  0.01163811
0.93349507  0.01242919
0.92902150  0.01324172
0.92442494  0.01407523
0.91970909  0.01492924
0.91487775  0.01580327
0.90993480  0.01669684
0.90488425  0.01760948
0.89973015  0.01854069
0.89447661  0.01948998
0.88912782  0.02045687
0.88368798  0.02144087
0.87816134  0.02244147
0.87255217  0.02345819
0.86686477  0.02449052
0.86110341  0.02553799
0.85527240  0.02660007
0.84937601  0.02767629
0.84341852  0.02876615
0.83740415  0.02986914
0.83133714  0.03098477
0.82522166  0.03211255
0.81906184  0.03325198
0.81286179  0.03440257
0.80662555  0.03556382
0.80035710  0.03673525
0.79406038  0.03791636
0.78773925  0.03910667
0.78139750  0.04030570
0.77503887  0.04151295
0.76866701  0.04272795
0.76228548  0.04395022
0.75589780  0.04517927
0.74950736  0.04641465
0.74311751  0.04765586
0.73673147  0.04890246
0.73035241  0.05015397
0.72398339  0.05140992
0.71762738  0.05266987
0.71128725  0.05393335
0.70496579  0.05519991
0.69866569  0.05646910
0.69238955  0.05774048
0.68613986  0.05901360
0.67991903  0.06028803
0.67372935  0.06156334
0.66757303  0.06283909
0.66145219  0.06411486
0.65536884  0.06539022
0.64932489  0.06666476
0.64332217  0.06793806
0.63736239  0.06920973
0.63144720  0.07047934
0.62557811  0.07174650
0.61975658  0.07301082
0.61398394  0.07427190
0.60826147  0.07552936
0.60259031  0.07678281
0.59697156  0.07803189
0.59140618  0.07927620
0.58589509  0.08051540
0.58043909  0.08174911
0.57503892  0.08297697
0.56969521  0.08419864
0.56440854  0.08541376
0.55917939  0.08662199
0.55400816  0.08782300
0.54889517  0.08901644
0.54384069  0.09020199
0.53884489  0.09137932
