# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02468
# Species         : Lyrurus_tetrix
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 240.50 mm
# Secondary1       : 151.00 mm
# Kipps Distance   : 87.50 mm
# Hand-Wing Index  : 36.80
# Tail Length      : 130.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.593
# Pointedness Index: 0.3638
# Efficiency Index : 0.1339
# Wing Loading Proxy: 0.0122
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1646  at x/c = 0.2608
# Max f/c          : 0.0553  at x/c = 0.3367
# Est. Reynolds    : 5.24e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939156  0.00008897
0.99866526  0.00020859
0.99781467  0.00035861
0.99683404  0.00053878
0.99571834  0.00074883
0.99446316  0.00098849
0.99306472  0.00125746
0.99151983  0.00155544
0.98982584  0.00188209
0.98798063  0.00223710
0.98598258  0.00262012
0.98383056  0.00303079
0.98152386  0.00346876
0.97906221  0.00393364
0.97644573  0.00442507
0.97367491  0.00494263
0.97075061  0.00548594
0.96767399  0.00605459
0.96444655  0.00664816
0.96107004  0.00726624
0.95754653  0.00790838
0.95387829  0.00857415
0.95006786  0.00926312
0.94611797  0.00997484
0.94203156  0.01070886
0.93781174  0.01146471
0.93346180  0.01224194
0.92898517  0.01304008
0.92438543  0.01385867
0.91966627  0.01469724
0.91483149  0.01555529
0.90988500  0.01643237
0.90483079  0.01732799
0.89967292  0.01824166
0.89441551  0.01917290
0.88906274  0.02012123
0.88361883  0.02108616
0.87808803  0.02206719
0.87247461  0.02306385
0.86678288  0.02407563
0.86101711  0.02510206
0.85518162  0.02614263
0.84928069  0.02719685
0.84331858  0.02826425
0.83729955  0.02934432
0.83122781  0.03043658
0.82510756  0.03154054
0.81894293  0.03265571
0.81273803  0.03378161
0.80649690  0.03491776
0.80022354  0.03606366
0.79392188  0.03721884
0.78759580  0.03838282
0.78124908  0.03955512
0.77488546  0.04073527
0.76850861  0.04192280
0.76212210  0.04311724
0.75572943  0.04431811
0.74933401  0.04552495
0.74293919  0.04673732
0.73654820  0.04795473
0.73016420  0.04917675
0.72379026  0.05040291
0.71742936  0.05163277
0.71108437  0.05286589
0.70475809  0.05410182
0.69845320  0.05534013
0.69217231  0.05658037
0.68591791  0.05782213
0.67969241  0.05906498
0.67349812  0.06030848
0.66733724  0.06155223
0.66121189  0.06279581
0.65512408  0.06403881
0.64907573  0.06528082
0.64306867  0.06652145
0.63710462  0.06776030
0.63118522  0.06899696
0.62531199  0.07023107
0.61948638  0.07146223
0.61370974  0.07269006
0.60798333  0.07391419
0.60230832  0.07513425
0.59668578  0.07634987
0.59111669  0.07756070
0.58560197  0.07876638
0.58014242  0.07996656
0.57473877  0.08116089
0.56939167  0.08234904
0.56410168  0.08353066
0.55886929  0.08470542
0.55369491  0.08587301
0.54857886  0.08703309
0.54352139  0.08818535
0.53852268  0.08932949
0.53358285  0.09046518
0.52870193  0.09159214
0.52387989  0.09271007
0.51911662  0.09381867
0.51441198  0.09491765
0.50976573  0.09600674
0.50517759  0.09708566
0.50064722  0.09815414
0.49617421  0.09921191
0.49175810  0.10025870
0.48739839  0.10129427
0.48309452  0.10231836
0.47884587  0.10333072
0.47465178  0.10433112
0.47051156  0.10531931
0.46642446  0.10629506
0.46238968  0.10725815
0.45840640  0.10820836
0.45447376  0.10914545
0.45059085  0.11006924
0.44675674  0.11097950
0.44297045  0.11187603
0.43923101  0.11275865
0.43553736  0.11362714
0.43188848  0.11448133
0.42828328  0.11532103
0.42472066  0.11614606
0.42119951  0.11695625
0.41771868  0.11775144
0.41427702  0.11853144
0.41087337  0.11929611
0.40750653  0.12004529
0.40417531  0.12077883
0.40087851  0.12149658
0.39761491  0.12219840
0.39438329  0.12288416
0.39118243  0.12355371
0.38801110  0.12420694
0.38486805  0.12484372
0.38175207  0.12546393
0.37866193  0.12606746
0.37559638  0.12665419
0.37255422  0.12722401
0.36953422  0.12777684
0.36653517  0.12831256
0.36355587  0.12883109
0.36059513  0.12933234
0.35765177  0.12981621
0.35472462  0.13028264
0.35181252  0.13073154
0.34891433  0.13116284
0.34602893  0.13157648
0.34315522  0.13197238
0.34029211  0.13235049
0.33743853  0.13271074
0.33459344  0.13305310
0.33175581  0.13337750
0.32892464  0.13368390
0.32609896  0.13397226
0.32327781  0.13424255
0.32046027  0.13449472
0.31764544  0.13472875
0.31483244  0.13494461
0.31202045  0.13514228
0.30920863  0.13532173
0.30639622  0.13548296
0.30358246  0.13562594
0.30076663  0.13575066
0.29794805  0.13585713
0.29512605  0.13594533
0.29230003  0.13601527
0.28946938  0.13606695
0.28663357  0.13610037
0.28379207  0.13611555
0.28094440  0.13611250
0.27809013  0.13609123
0.27522883  0.13605176
0.27236015  0.13599410
0.26948373  0.13591830
0.26659930  0.13582436
0.26370659  0.13571232
0.26080537  0.13558221
0.25789547  0.13543407
0.25497674  0.13526793
0.25204907  0.13508382
0.24911239  0.13488180
0.24616668  0.13466190
0.24321194  0.13442417
0.24024822  0.13416866
0.23727559  0.13389542
0.23429420  0.13360449
0.23130418  0.13329593
0.22830575  0.13296981
0.22529913  0.13262616
0.22228459  0.13226506
0.21926246  0.13188656
0.21623306  0.13149073
0.21319677  0.13107763
0.21015402  0.13064732
0.20710526  0.13019986
0.20405096  0.12973534
0.20099164  0.12925381
0.19792786  0.12875534
0.19486020  0.12824000
0.19178927  0.12770787
0.18871571  0.12715901
0.18564021  0.12659350
0.18256346  0.12601141
0.17948620  0.12541282
0.17640919  0.12479779
0.17333321  0.12416641
0.17025907  0.12351873
0.16718762  0.12285485
0.16411970  0.12217483
0.16105621  0.12147875
0.15799803  0.12076668
0.15494610  0.12003869
0.15190135  0.11929486
0.14886475  0.11853526
0.14583725  0.11775995
0.14281986  0.11696903
0.13981357  0.11616254
0.13681940  0.11534057
0.13383836  0.11450317
0.13087150  0.11365042
0.12791984  0.11278239
0.12498444  0.11189914
0.12206634  0.11100072
0.11916659  0.11008721
0.11628626  0.10915866
0.11342638  0.10821513
0.11058802  0.10725668
0.10777221  0.10628337
0.10498000  0.10529524
0.10221242  0.10429234
0.09947049  0.10327473
0.09675523  0.10224246
0.09406764  0.10119555
0.09140870  0.10013407
0.08877938  0.09905804
0.08618064  0.09796751
0.08361340  0.09686250
0.08107859  0.09574306
0.07857708  0.09460920
0.07610974  0.09346096
0.07367740  0.09229835
0.07128088  0.09112141
0.06892095  0.08993014
0.06659835  0.08872456
0.06431380  0.08750469
0.06206797  0.08627053
0.05986151  0.08502209
0.05769502  0.08375937
0.05556906  0.08248237
0.05348415  0.08119109
0.05144077  0.07988553
0.04943935  0.07856568
0.04748030  0.07723152
0.04556395  0.07588305
0.04369059  0.07452024
0.04186048  0.07314308
0.04007383  0.07175154
0.03833076  0.07034561
0.03663140  0.06892526
0.03497578  0.06749046
0.03336390  0.06604117
0.03179571  0.06457737
0.03027109  0.06309903
0.02878989  0.06160611
0.02735190  0.06009858
0.02595685  0.05857639
0.02460443  0.05703952
0.02329427  0.05548792
0.02202595  0.05392155
0.02079902  0.05234039
0.01961296  0.05074438
0.01846722  0.04913351
0.01736118  0.04750772
0.01629422  0.04586700
0.01526564  0.04421130
0.01427474  0.04254060
0.01332074  0.04085488
0.01240287  0.03915411
0.01152031  0.03743828
0.01067222  0.03570738
0.00985775  0.03396139
0.00907602  0.03220032
0.00832616  0.03042418
0.00760726  0.02863298
0.00691846  0.02682673
0.00625885  0.02500548
0.00562758  0.02316927
0.00502380  0.02131813
0.00444669  0.01945215
0.00389547  0.01757139
0.00336940  0.01567595
0.00286779  0.01376593
0.00239002  0.01184145
0.00193555  0.00990264
0.00150391  0.00794968
0.00109473  0.00598272
0.00070776  0.00400197
0.00034285  0.00200765
0.00000000  0.00000000
0.00034285  -0.00128508
0.00070776  -0.00250261
0.00109473  -0.00365607
0.00150391  -0.00474880
0.00193555  -0.00578399
0.00239002  -0.00676469
0.00286779  -0.00769379
0.00336940  -0.00857409
0.00389547  -0.00940824
0.00444669  -0.01019876
0.00502380  -0.01094808
0.00562758  -0.01165850
0.00625885  -0.01233220
0.00691846  -0.01297130
0.00760726  -0.01357778
0.00832616  -0.01415354
0.00907602  -0.01470039
0.00985775  -0.01522005
0.01067222  -0.01571416
0.01152031  -0.01618426
0.01240287  -0.01663185
0.01332074  -0.01705831
0.01427474  -0.01746499
0.01526564  -0.01785314
0.01629422  -0.01822396
0.01736118  -0.01857859
0.01846722  -0.01891809
0.01961296  -0.01924349
0.02079902  -0.01955574
0.02202595  -0.01985574
0.02329427  -0.02014436
0.02460443  -0.02042239
0.02595685  -0.02069060
0.02735190  -0.02094968
0.02878989  -0.02120033
0.03027109  -0.02144315
0.03179571  -0.02167874
0.03336390  -0.02190766
0.03497578  -0.02213040
0.03663140  -0.02234745
0.03833076  -0.02255925
0.04007383  -0.02276622
0.04186048  -0.02296873
0.04369059  -0.02316715
0.04556395  -0.02336178
0.04748030  -0.02355293
0.04943935  -0.02374086
0.05144077  -0.02392584
0.05348415  -0.02410806
0.05556906  -0.02428775
0.05769502  -0.02446507
0.05986151  -0.02464017
0.06206797  -0.02481321
0.06431380  -0.02498430
0.06659835  -0.02515354
0.06892095  -0.02532101
0.07128088  -0.02548678
0.07367740  -0.02565091
0.07610974  -0.02581342
0.07857708  -0.02597435
0.08107859  -0.02613371
0.08361340  -0.02629148
0.08618064  -0.02644766
0.08877938  -0.02660223
0.09140870  -0.02675513
0.09406764  -0.02690633
0.09675523  -0.02705577
0.09947049  -0.02720338
0.10221242  -0.02734909
0.10498000  -0.02749282
0.10777221  -0.02763447
0.11058802  -0.02777395
0.11342638  -0.02791115
0.11628626  -0.02804596
0.11916659  -0.02817827
0.12206634  -0.02830796
0.12498444  -0.02843490
0.12791984  -0.02855896
0.13087150  -0.02868001
0.13383836  -0.02879791
0.13681940  -0.02891251
0.13981357  -0.02902368
0.14281986  -0.02913126
0.14583725  -0.02923511
0.14886475  -0.02933508
0.15190135  -0.02943102
0.15494610  -0.02952277
0.15799803  -0.02961017
0.16105621  -0.02969308
0.16411970  -0.02977134
0.16718762  -0.02984480
0.17025907  -0.02991330
0.17333321  -0.02997668
0.17640919  -0.03003480
0.17948620  -0.03008751
0.18256346  -0.03013465
0.18564021  -0.03017607
0.18871571  -0.03021164
0.19178927  -0.03024121
0.19486020  -0.03026463
0.19792786  -0.03028177
0.20099164  -0.03029249
0.20405096  -0.03029666
0.20710526  -0.03029416
0.21015402  -0.03028485
0.21319677  -0.03026862
0.21623306  -0.03024535
0.21926246  -0.03021493
0.22228459  -0.03017724
0.22529913  -0.03013219
0.22830575  -0.03007968
0.23130418  -0.03001961
0.23429420  -0.02995189
0.23727559  -0.02987645
0.24024822  -0.02979320
0.24321194  -0.02970207
0.24616668  -0.02960299
0.24911239  -0.02949591
0.25204907  -0.02938077
0.25497674  -0.02925752
0.25789547  -0.02912612
0.26080537  -0.02898654
0.26370659  -0.02883874
0.26659930  -0.02868271
0.26948373  -0.02851843
0.27236015  -0.02834588
0.27522883  -0.02816508
0.27809013  -0.02797601
0.28094440  -0.02777871
0.28379207  -0.02757317
0.28663357  -0.02735944
0.28946938  -0.02713754
0.29230003  -0.02690751
0.29512605  -0.02666941
0.29794805  -0.02642328
0.30076663  -0.02616920
0.30358246  -0.02590722
0.30639622  -0.02563743
0.30920863  -0.02535991
0.31202045  -0.02507475
0.31483244  -0.02478205
0.31764544  -0.02448191
0.32046027  -0.02417446
0.32327781  -0.02385980
0.32609896  -0.02353807
0.32892464  -0.02320940
0.33175581  -0.02287393
0.33459344  -0.02253181
