# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02532
# Species         : Scleroptila_shelleyi
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 165.60 mm
# Secondary1       : 117.00 mm
# Kipps Distance   : 48.80 mm
# Hand-Wing Index  : 29.40
# Tail Length      : 73.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.415
# Pointedness Index: 0.2947
# Efficiency Index : 0.0866
# Wing Loading Proxy: 0.0193
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1772  at x/c = 0.2651
# Max f/c          : 0.0572  at x/c = 0.3417
# Est. Reynolds    : 3.19e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939160  0.00008974
0.99866555  0.00021166
0.99781559  0.00036551
0.99683619  0.00055104
0.99572246  0.00076797
0.99447014  0.00101601
0.99307559  0.00129486
0.99153572  0.00160421
0.98984799  0.00194374
0.98801040  0.00231309
0.98602140  0.00271192
0.98387992  0.00313986
0.98158533  0.00359655
0.97913740  0.00408160
0.97653631  0.00459462
0.97378257  0.00513519
0.97087708  0.00570292
0.96782101  0.00629738
0.96461586  0.00691815
0.96126343  0.00756479
0.95776574  0.00823685
0.95412508  0.00893389
0.95034398  0.00965546
0.94642513  0.01040108
0.94237147  0.01117031
0.93818608  0.01196265
0.93387222  0.01277765
0.92943328  0.01361480
0.92487281  0.01447364
0.92019445  0.01535367
0.91540197  0.01625440
0.91049922  0.01717534
0.90549015  0.01811597
0.90037876  0.01907582
0.89516913  0.02005436
0.88986538  0.02105109
0.88447167  0.02206552
0.87899220  0.02309712
0.87343119  0.02414539
0.86779287  0.02520982
0.86208148  0.02628990
0.85630125  0.02738511
0.85045642  0.02849495
0.84455118  0.02961890
0.83858973  0.03075644
0.83257623  0.03190708
0.82651480  0.03307029
0.82040954  0.03424557
0.81426447  0.03543241
0.80808359  0.03663030
0.80187083  0.03783873
0.79563007  0.03905721
0.78936512  0.04028522
0.78307973  0.04152226
0.77677757  0.04276785
0.77046224  0.04402147
0.76413728  0.04528264
0.75780613  0.04655086
0.75147216  0.04782565
0.74513864  0.04910651
0.73880878  0.05039297
0.73248569  0.05168455
0.72617239  0.05298076
0.71987180  0.05428114
0.71358677  0.05558520
0.70732004  0.05689249
0.70107426  0.05820255
0.69485200  0.05951491
0.68865572  0.06082911
0.68248777  0.06214471
0.67635045  0.06346125
0.67024591  0.06477829
0.66417625  0.06609540
0.65814345  0.06741213
0.65214940  0.06872806
0.64619589  0.07004276
0.64028462  0.07135580
0.63441721  0.07266677
0.62859515  0.07397526
0.62281988  0.07528084
0.61709273  0.07658313
0.61141492  0.07788172
0.60578762  0.07917622
0.60021188  0.08046624
0.59468867  0.08175138
0.58921888  0.08303128
0.58380331  0.08430555
0.57844268  0.08557383
0.57313763  0.08683575
0.56788871  0.08809095
0.56269640  0.08933908
0.55756109  0.09057978
0.55248311  0.09181271
0.54746272  0.09303753
0.54250007  0.09425391
0.53759529  0.09546151
0.53274840  0.09666002
0.52795938  0.09784911
0.52322813  0.09902846
0.51855448  0.10019778
0.51393822  0.10135676
0.50937906  0.10250509
0.50487667  0.10364249
0.50043064  0.10476867
0.49604052  0.10588334
0.49170582  0.10698623
0.48742597  0.10807707
0.48320037  0.10915559
0.47902838  0.11022153
0.47490929  0.11127463
0.47084238  0.11231465
0.46682686  0.11334133
0.46286191  0.11435444
0.45894668  0.11535373
0.45508028  0.11633899
0.45126179  0.11730999
0.44749025  0.11826651
0.44376467  0.11920832
0.44008405  0.12013523
0.43644735  0.12104703
0.43285349  0.12194353
0.42930141  0.12282451
0.42578999  0.12368981
0.42231810  0.12453924
0.41888462  0.12537260
0.41548837  0.12618975
0.41212820  0.12699050
0.40880292  0.12777469
0.40551133  0.12854216
0.40225225  0.12929276
0.39902446  0.13002634
0.39582675  0.13074277
0.39265791  0.13144189
0.38951671  0.13212357
0.38640195  0.13278769
0.38331241  0.13343413
0.38024686  0.13406275
0.37720411  0.13467345
0.37418294  0.13526613
0.37118216  0.13584066
0.36820059  0.13639695
0.36523704  0.13693491
0.36229034  0.13745444
0.35935934  0.13795546
0.35644290  0.13843789
0.35353988  0.13890164
0.35064919  0.13934664
0.34776971  0.13977283
0.34490039  0.14018013
0.34204015  0.14056850
0.33918798  0.14093786
0.33634285  0.14128818
0.33350377  0.14161939
0.33066977  0.14193147
0.32783992  0.14222436
0.32501329  0.14249804
0.32218900  0.14275247
0.31936619  0.14298762
0.31654401  0.14320347
0.31372166  0.14340000
0.31089838  0.14357719
0.30807340  0.14373504
0.30524603  0.14387353
0.30241557  0.14399266
0.29958138  0.14409242
0.29674284  0.14417282
0.29389937  0.14423387
0.29105043  0.14427557
0.28819549  0.14429794
0.28533409  0.14430099
0.28246577  0.14428474
0.27959013  0.14424921
0.27670681  0.14419443
0.27381547  0.14412042
0.27091582  0.14402722
0.26800758  0.14391486
0.26509055  0.14378338
0.26216455  0.14363282
0.25922941  0.14346321
0.25628504  0.14327461
0.25333137  0.14306706
0.25036836  0.14284061
0.24739602  0.14259532
0.24441440  0.14233123
0.24142356  0.14204840
0.23842364  0.14174690
0.23541479  0.14142678
0.23239719  0.14108810
0.22937109  0.14073094
0.22633675  0.14035534
0.22329446  0.13996140
0.22024458  0.13954916
0.21718747  0.13911871
0.21412355  0.13867011
0.21105325  0.13820344
0.20797706  0.13771878
0.20489548  0.13721619
0.20180907  0.13669575
0.19871839  0.13615755
0.19562406  0.13560165
0.19252671  0.13502814
0.18942701  0.13443710
0.18632566  0.13382861
0.18322338  0.13320274
0.18012093  0.13255957
0.17701909  0.13189919
0.17391865  0.13122168
0.17082045  0.13052710
0.16772535  0.12981555
0.16463420  0.12908711
0.16154792  0.12834184
0.15846741  0.12757983
0.15539361  0.12680115
0.15232747  0.12600589
0.14926995  0.12519411
0.14622205  0.12436589
0.14318475  0.12352129
0.14015906  0.12266040
0.13714600  0.12178328
0.13414660  0.12089000
0.13116190  0.11998063
0.12819292  0.11905522
0.12524073  0.11811384
0.12230637  0.11715655
0.11939089  0.11618342
0.11649534  0.11519448
0.11362077  0.11418980
0.11076823  0.11316942
0.10793875  0.11213340
0.10513338  0.11108178
0.10235313  0.11001460
0.09959902  0.10893189
0.09687205  0.10783370
0.09417322  0.10672006
0.09150349  0.10559099
0.08886383  0.10444652
0.08625517  0.10328667
0.08367844  0.10211147
0.08113452  0.10092092
0.07862428  0.09971504
0.07614858  0.09849383
0.07370823  0.09725730
0.07130402  0.09600545
0.06893671  0.09473827
0.06660702  0.09345575
0.06431565  0.09215789
0.06206324  0.09084466
0.05985043  0.08951605
0.05767779  0.08817202
0.05554586  0.08681256
0.05345514  0.08543763
0.05140608  0.08404719
0.04939910  0.08264121
0.04743457  0.08121963
0.04551281  0.07978241
0.04363409  0.07832950
0.04179864  0.07686083
0.04000664  0.07537637
0.03825821  0.07387603
0.03655343  0.07235975
0.03489233  0.07082747
0.03327489  0.06927910
0.03170103  0.06771459
0.03017063  0.06613384
0.02868351  0.06453678
0.02723944  0.06292333
0.02583814  0.06129340
0.02447930  0.05964691
0.02316252  0.05798377
0.02188739  0.05630389
0.02065345  0.05460718
0.01946016  0.05289356
0.01830697  0.05116293
0.01719329  0.04941522
0.01611847  0.04765033
0.01508184  0.04586817
0.01408269  0.04406868
0.01312027  0.04225176
0.01219382  0.04041734
0.01130254  0.03856535
0.01044563  0.03669573
0.00962225  0.03480840
0.00883156  0.03290332
0.00807273  0.03098043
0.00734491  0.02903970
0.00664727  0.02708109
0.00597897  0.02510458
0.00533922  0.02311017
0.00472723  0.02109784
0.00414227  0.01906761
0.00358363  0.01701951
0.00305066  0.01495357
0.00254279  0.01286987
0.00205949  0.01076846
0.00160033  0.00864946
0.00116497  0.00651296
0.00075319  0.00435911
0.00036486  0.00218806
0.00000000  0.00000000
0.00036486  -0.00135292
0.00075319  -0.00263630
0.00116497  -0.00385374
0.00160033  -0.00500870
0.00205949  -0.00610447
0.00254279  -0.00714421
0.00305066  -0.00813092
0.00358363  -0.00906748
0.00414227  -0.00995662
0.00472723  -0.01080098
0.00533922  -0.01160305
0.00597897  -0.01236521
0.00664727  -0.01308972
0.00734491  -0.01377876
0.00807273  -0.01443439
0.00883156  -0.01505856
0.00962225  -0.01565314
0.01044563  -0.01621991
0.01130254  -0.01676056
0.01219382  -0.01727670
0.01312027  -0.01776984
0.01408269  -0.01824144
0.01508184  -0.01869286
0.01611847  -0.01912541
0.01719329  -0.01954032
0.01830697  -0.01993875
0.01946016  -0.02032182
0.02065345  -0.02069056
0.02188739  -0.02104596
0.02316252  -0.02138895
0.02447930  -0.02172040
0.02583814  -0.02204115
0.02723944  -0.02235196
0.02868351  -0.02265357
0.03017063  -0.02294665
0.03170103  -0.02323186
0.03327489  -0.02350978
0.03489233  -0.02378098
0.03655343  -0.02404598
0.03825821  -0.02430526
0.04000664  -0.02455927
0.04179864  -0.02480844
0.04363409  -0.02505313
0.04551281  -0.02529371
0.04743457  -0.02553050
0.04939910  -0.02576379
0.05140608  -0.02599385
0.05345514  -0.02622094
0.05554586  -0.02644525
0.05767779  -0.02666699
0.05985043  -0.02688634
0.06206324  -0.02710344
0.06431565  -0.02731841
0.06660702  -0.02753138
0.06893671  -0.02774243
0.07130402  -0.02795164
0.07370823  -0.02815907
0.07614858  -0.02836474
0.07862428  -0.02856870
0.08113452  -0.02877095
0.08367844  -0.02897148
0.08625517  -0.02917029
0.08886383  -0.02936733
0.09150349  -0.02956258
0.09417322  -0.02975597
0.09687205  -0.02994745
0.09959902  -0.03013694
0.10235313  -0.03032435
0.10513338  -0.03050961
0.10793875  -0.03069260
0.11076823  -0.03087322
0.11362077  -0.03105135
0.11649534  -0.03122688
0.11939089  -0.03139968
0.12230637  -0.03156960
0.12524073  -0.03173652
0.12819292  -0.03190028
0.13116190  -0.03206074
0.13414660  -0.03221774
0.13714600  -0.03237114
0.14015906  -0.03252076
0.14318475  -0.03266645
0.14622205  -0.03280804
0.14926995  -0.03294537
0.15232747  -0.03307825
0.15539361  -0.03320654
0.15846741  -0.03333004
0.16154792  -0.03344860
0.16463420  -0.03356203
0.16772535  -0.03367017
0.17082045  -0.03377284
0.17391865  -0.03386988
0.17701909  -0.03396110
0.18012093  -0.03404635
0.18322338  -0.03412545
0.18632566  -0.03419824
0.18942701  -0.03426455
0.19252671  -0.03432422
0.19562406  -0.03437709
0.19871839  -0.03442301
0.20180907  -0.03446182
0.20489548  -0.03449338
0.20797706  -0.03451753
0.21105325  -0.03453413
0.21412355  -0.03454305
0.21718747  -0.03454416
0.22024458  -0.03453731
0.22329446  -0.03452240
0.22633675  -0.03449929
