# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02574
# Species         : Balearica_regulorum
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 569.00 mm
# Secondary1       : 352.20 mm
# Kipps Distance   : 214.20 mm
# Hand-Wing Index  : 38.00
# Tail Length      : 243.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.616
# Pointedness Index: 0.3764
# Efficiency Index : 0.1431
# Wing Loading Proxy: 0.0066
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1554  at x/c = 0.2572
# Max f/c          : 0.0547  at x/c = 0.3367
# Est. Reynolds    : 1.69e+05
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939156  0.00008861
0.99866522  0.00020712
0.99781452  0.00035531
0.99683369  0.00053289
0.99571767  0.00073961
0.99446203  0.00097518
0.99306296  0.00123931
0.99151726  0.00153166
0.98982224  0.00185194
0.98797580  0.00219979
0.98597629  0.00257488
0.98382256  0.00297684
0.98151389  0.00340532
0.97905002  0.00385993
0.97643104  0.00434028
0.97365746  0.00484600
0.97073010  0.00537667
0.96765015  0.00593188
0.96441909  0.00651123
0.96103868  0.00711428
0.95751098  0.00774062
0.95383827  0.00838979
0.95002309  0.00906138
0.94606816  0.00975492
0.94197643  0.01046997
0.93775103  0.01120607
0.93339524  0.01196277
0.92891250  0.01273961
0.92430639  0.01353611
0.91958061  0.01435182
0.91473898  0.01518626
0.90978540  0.01603895
0.90472387  0.01690943
0.89955846  0.01779721
0.89429330  0.01870182
0.88893258  0.01962278
0.88348053  0.02055960
0.87794140  0.02151181
0.87231949  0.02247892
0.86661909  0.02346046
0.86084451  0.02445593
0.85500006  0.02546486
0.84909003  0.02648677
0.84311869  0.02752118
0.83709033  0.02856760
0.83100915  0.02962555
0.82487935  0.03069457
0.81870510  0.03177418
0.81249050  0.03286389
0.80623960  0.03396324
0.79995641  0.03507175
0.79364488  0.03618897
0.78730887  0.03731441
0.78095221  0.03844763
0.77457863  0.03958815
0.76819180  0.04073552
0.76179530  0.04188928
0.75539265  0.04304898
0.74898727  0.04421418
0.74258250  0.04538441
0.73618160  0.04655925
0.72978772  0.04773824
0.72340395  0.04892096
0.71703326  0.05010697
0.71067855  0.05129584
0.70434261  0.05248714
0.69802813  0.05368046
0.69173773  0.05487538
0.68547390  0.05607148
0.67923906  0.05726836
0.67303553  0.05846560
0.66686551  0.05966281
0.66073112  0.06085959
0.65463439  0.06205554
0.64857723  0.06325029
0.64256148  0.06444344
0.63658886  0.06563462
0.63066102  0.06682344
0.62477948  0.06800955
0.61894570  0.06919258
0.61316103  0.07037216
0.60742673  0.07154793
0.60174397  0.07271955
0.59611382  0.07388668
0.59053729  0.07504895
0.58501526  0.07620605
0.57954856  0.07735764
0.57413792  0.07850338
0.56878399  0.07964296
0.56348732  0.08077606
0.55824842  0.08190237
0.55306768  0.08302157
0.54794543  0.08413336
0.54288193  0.08523745
0.53787735  0.08633353
0.53293181  0.08742133
0.52804534  0.08850056
0.52321791  0.08957093
0.51844943  0.09063218
0.51373973  0.09168403
0.50908858  0.09272623
0.50449571  0.09375850
0.49996076  0.09478060
0.49548334  0.09579227
0.49106297  0.09679328
0.48669917  0.09778337
0.48239135  0.09876232
0.47813891  0.09972989
0.47394120  0.10068587
0.46979750  0.10163001
0.46570706  0.10256212
0.46166911  0.10348198
0.45768280  0.10438938
0.45374727  0.10528412
0.44986161  0.10616600
0.44602490  0.10703484
0.44223616  0.10789043
0.43849438  0.10873260
0.43479855  0.10956117
0.43114762  0.11037596
0.42754049  0.11117681
0.42397608  0.11196354
0.42045326  0.11273601
0.41697088  0.11349404
0.41352780  0.11423750
0.41012285  0.11496622
0.40675482  0.11568008
0.40342254  0.11637892
0.40012478  0.11706262
0.39686033  0.11773104
0.39362798  0.11838407
0.39042648  0.11902157
0.38725461  0.11964343
0.38411114  0.12024953
0.38099483  0.12083978
0.37790444  0.12141405
0.37483876  0.12197226
0.37179654  0.12251430
0.36877658  0.12304009
0.36577766  0.12354952
0.36279857  0.12404253
0.35983812  0.12451902
0.35689513  0.12497892
0.35396842  0.12542216
0.35105685  0.12584866
0.34815926  0.12625837
0.34527454  0.12665121
0.34240157  0.12702714
0.33953927  0.12738609
