# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02697
# Species         : Rallus_antarcticus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 91.40 mm
# Secondary1       : 64.00 mm
# Kipps Distance   : 27.30 mm
# Hand-Wing Index  : 29.90
# Tail Length      : 47.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.428
# Pointedness Index: 0.2987
# Efficiency Index : 0.0893
# Wing Loading Proxy: 0.0303
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1810  at x/c = 0.2648
# Max f/c          : 0.0572  at x/c = 0.3417
# Est. Reynolds    : 1.62e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939160  0.00008985
0.99866553  0.00021208
0.99781553  0.00036645
0.99683605  0.00055272
0.99572218  0.00077061
0.99446967  0.00101984
0.99307485  0.00130012
0.99153464  0.00161113
0.98984650  0.00195255
0.98800839  0.00232404
0.98601877  0.00272526
0.98387658  0.00315585
0.98158118  0.00361543
0.97913232  0.00410364
0.97653019  0.00462007
0.97377530  0.00516433
0.97086853  0.00573601
0.96781107  0.00633469
0.96460442  0.00695996
0.96125036  0.00761136
0.95775093  0.00828848
0.95410841  0.00899085
0.95032532  0.00971803
0.94640438  0.01046955
0.94234850  0.01124496
0.93816079  0.01204377
0.93384449  0.01286552
0.92940301  0.01370972
0.92483988  0.01457590
0.92015876  0.01546355
0.91536342  0.01637219
0.91045772  0.01730133
0.90544560  0.01825046
0.90033107  0.01921908
0.89511821  0.02020669
0.88981114  0.02121278
0.88441405  0.02223685
0.87893111  0.02327838
0.87336656  0.02433686
0.86772463  0.02541178
0.86200957  0.02650263
0.85622560  0.02760890
0.85037697  0.02873006
0.84446789  0.02986561
0.83850256  0.03101503
0.83248512  0.03217780
0.82641972  0.03335341
0.82031044  0.03454135
0.81416133  0.03574111
0.80797638  0.03695217
0.80175953  0.03817403
0.79551465  0.03940618
0.78924557  0.04064810
0.78295604  0.04189930
0.77664973  0.04315926
0.77033025  0.04442750
0.76400113  0.04570350
0.75766582  0.04698678
0.75132769  0.04827684
0.74499004  0.04957318
0.73865605  0.05087532
0.73232884  0.05218277
0.72601144  0.05349506
0.71970678  0.05481169
0.71341770  0.05613219
0.70714695  0.05745610
0.70089718  0.05878293
0.69467096  0.06011223
0.68847075  0.06144354
0.68229892  0.06277638
0.67615775  0.06411032
0.67004941  0.06544489
0.66397599  0.06677966
0.65793947  0.06811418
0.65194175  0.06944800
0.64598463  0.07078071
0.64006980  0.07211186
0.63419887  0.07344104
0.62837336  0.07476781
0.62259470  0.07609178
0.61686420  0.07741252
0.61118312  0.07872963
0.60555260  0.08004270
0.59997370  0.08135134
0.59444740  0.08265516
0.58897458  0.08395377
0.58355605  0.08524678
0.57819252  0.08653382
0.57288463  0.08781452
0.56763294  0.08908851
0.56243793  0.09035542
0.55730000  0.09161490
0.55221946  0.09286660
0.54719657  0.09411016
0.54223150  0.09534525
0.53732436  0.09657153
0.53247518  0.09778867
0.52768395  0.09899633
0.52295054  0.10019421
0.51827482  0.10138198
0.51365655  0.10255934
0.50909545  0.10372597
0.50459118  0.10488158
0.50014335  0.10602587
0.49575150  0.10715856
0.49141512  0.10827935
0.48713367  0.10938797
0.48290654  0.11048415
0.47873308  0.11156762
0.47461259  0.11263811
0.47054433  0.11369537
0.46652754  0.11473914
0.46256138  0.11576919
0.45864501  0.11678525
0.45477752  0.11778711
0.45095801  0.11877452
0.44718550  0.11974727
0.44345903  0.12070513
0.43977756  0.12164788
0.43614007  0.12257532
0.43254549  0.12348724
0.42899273  0.12438344
0.42548070  0.12526373
0.42200825  0.12612792
0.41857426  0.12697581
0.41517756  0.12780724
0.41181699  0.12862203
0.40849135  0.12942001
0.40519947  0.13020102
0.40194014  0.13096489
0.39871215  0.13171148
0.39551428  0.13244063
0.39234533  0.13315221
0.38920408  0.13384607
0.38608930  0.13452207
0.38299977  0.13518010
0.37993430  0.13582002
0.37689165  0.13644171
0.37387064  0.13704507
0.37087005  0.13762998
0.36788871  0.13819633
0.36492542  0.13874404
0.36197903  0.13927299
0.35904837  0.13978310
0.35613231  0.14027429
0.35322971  0.14074647
0.35033946  0.14119956
0.34746046  0.14163350
0.34459165  0.14204820
0.34173196  0.14244362
0.33888036  0.14281969
0.33603584  0.14317635
0.33319739  0.14351356
0.33036406  0.14383127
0.32753490  0.14412943
0.32470900  0.14440800
0.32188546  0.14466696
0.31906342  0.14490628
0.31624204  0.14512592
0.31342052  0.14532586
0.31059809  0.14550609
0.30777399  0.14566659
0.30494752  0.14580736
0.30211798  0.14592838
0.29928474  0.14602965
0.29644718  0.14611117
0.29360470  0.14617295
0.29075678  0.14621500
0.28790288  0.14623731
0.28504253  0.14623992
0.28217530  0.14622284
0.27930077  0.14618608
0.27641858  0.14612968
0.27352838  0.14605366
0.27062989  0.14595804
0.26772285  0.14584288
0.26480703  0.14570819
0.26188225  0.14555402
0.25894837  0.14538041
0.25600527  0.14518741
0.25305289  0.14497506
0.25009120  0.14474342
0.24712019  0.14449253
0.24413992  0.14422245
0.24115046  0.14393324
0.23815194  0.14362496
0.23514450  0.14329766
0.23212835  0.14295141
0.22910371  0.14258627
0.22607084  0.14220232
0.22303007  0.14179962
0.21998171  0.14137824
0.21692615  0.14093825
0.21386380  0.14047973
0.21079509  0.14000275
0.20772052  0.13950739
0.20464059  0.13899372
0.20155584  0.13846182
0.19846685  0.13791178
0.19537423  0.13734366
0.19227861  0.13675756
0.18918068  0.13615354
0.18608111  0.13553171
0.18298065  0.13489212
0.17988003  0.13423488
0.17678005  0.13356006
0.17368151  0.13286774
0.17058522  0.13215800
0.16749206  0.13143094
0.16440289  0.13068662
0.16131860  0.12992514
0.15824012  0.12914657
0.15516837  0.12835099
0.15210431  0.12753849
0.14904891  0.12670914
0.14600314  0.12586301
0.14296801  0.12500020
0.13994452  0.12412076
0.13693369  0.12322478
0.13393654  0.12231233
0.13095412  0.12138347
0.12798746  0.12043829
0.12503762  0.11947684
0.12210563  0.11849919
0.11919255  0.11750541
0.11629944  0.11649555
0.11342733  0.11546968
0.11057728  0.11442785
0.10775033  0.11337011
0.10494751  0.11229652
0.10216984  0.11120713
0.09941834  0.11010199
0.09669401  0.10898112
0.09399784  0.10784459
0.09133081  0.10669242
0.08869387  0.10552465
0.08608797  0.10434131
0.08351401  0.10314242
0.08097289  0.10192802
0.07846548  0.10069812
0.07599263  0.09945274
0.07355516  0.09819190
0.07115385  0.09691561
0.06878946  0.09562387
0.06646271  0.09431669
0.06417431  0.09299406
0.06192489  0.09165600
0.05971508  0.09030248
0.05754545  0.08893350
0.05541656  0.08754904
0.05332889  0.08614909
0.05128290  0.08473363
0.04927900  0.08330263
0.04731756  0.08185607
0.04539890  0.08039391
0.04352328  0.07891612
0.04169095  0.07742266
0.03990206  0.07591351
0.03815675  0.07438860
0.03645509  0.07284790
0.03479712  0.07129137
0.03318280  0.06971895
0.03161205  0.06813058
0.03008475  0.06652623
0.02860073  0.06490583
0.02715975  0.06326933
0.02576152  0.06161667
0.02440574  0.05994779
0.02309200  0.05826265
0.02181989  0.05656118
0.02058894  0.05484332
0.01939863  0.05310902
0.01824839  0.05135823
0.01713762  0.04959090
0.01606568  0.04780697
0.01503190  0.04600641
0.01403556  0.04418916
0.01307591  0.04235519
0.01215218  0.04050447
0.01126359  0.03863697
0.01040930  0.03675267
0.00958851  0.03485155
0.00880035  0.03293362
0.00804400  0.03099886
0.00731859  0.02904730
0.00662330  0.02707896
0.00595729  0.02509387
0.00531976  0.02309209
0.00470992  0.02107366
0.00412704  0.01903867
0.00357041  0.01698721
0.00303938  0.01491939
0.00253337  0.01283533
0.00205184  0.01073519
0.00159438  0.00861914
0.00116064  0.00648736
0.00075039  0.00434008
0.00036350  0.00217754
0.00000000  0.00000000
0.00036350  -0.00134942
0.00075039  -0.00263057
0.00116064  -0.00384701
0.00159438  -0.00500214
0.00205184  -0.00609921
0.00253337  -0.00714133
0.00303938  -0.00813147
0.00357041  -0.00907247
0.00412704  -0.00996702
0.00470992  -0.01081772
0.00531976  -0.01162701
0.00595729  -0.01239724
0.00662330  -0.01313066
0.00731859  -0.01382938
0.00804400  -0.01449545
0.00880035  -0.01513078
0.00958851  -0.01573722
0.01040930  -0.01631652
0.01126359  -0.01687033
0.01215218  -0.01740023
0.01307591  -0.01790772
0.01403556  -0.01839422
0.01503190  -0.01886108
0.01606568  -0.01930957
0.01713762  -0.01974090
0.01824839  -0.02015622
0.01939863  -0.02055661
0.02058894  -0.02094309
0.02181989  -0.02131662
0.02309200  -0.02167811
0.02440574  -0.02202843
0.02576152  -0.02236837
0.02715975  -0.02269870
0.02860073  -0.02302012
0.03008475  -0.02333329
0.03161205  -0.02363885
0.03318280  -0.02393738
0.03479712  -0.02422941
0.03645509  -0.02451545
0.03815675  -0.02479598
0.03990206  -0.02507142
0.04169095  -0.02534217
0.04352328  -0.02560861
0.04539890  -0.02587107
0.04731756  -0.02612987
0.04927900  -0.02638528
0.05128290  -0.02663756
0.05332889  -0.02688694
0.05541656  -0.02713363
0.05754545  -0.02737780
0.05971508  -0.02761963
0.06192489  -0.02785923
0.06417431  -0.02809674
0.06646271  -0.02833225
0.06878946  -0.02856584
0.07115385  -0.02879758
0.07355516  -0.02902750
0.07599263  -0.02925565
0.07846548  -0.02948202
0.08097289  -0.02970664
0.08351401  -0.02992947
0.08608797  -0.03015049
0.08869387  -0.03036967
0.09133081  -0.03058695
0.09399784  -0.03080227
0.09669401  -0.03101555
0.09941834  -0.03122672
0.10216984  -0.03143568
0.10494751  -0.03164234
0.10775033  -0.03184657
0.11057728  -0.03204827
0.11342733  -0.03224731
0.11629944  -0.03244357
0.11919255  -0.03263690
0.12210563  -0.03282716
0.12503762  -0.03301420
0.12798746  -0.03319787
0.13095412  -0.03337802
0.13393654  -0.03355449
0.13693369  -0.03372710
0.13994452  -0.03389569
0.14296801  -0.03406010
0.14600314  -0.03422014
0.14904891  -0.03437564
0.15210431  -0.03452644
0.15516837  -0.03467234
0.15824012  -0.03481318
0.16131860  -0.03494876
0.16440289  -0.03507892
0.16749206  -0.03520348
0.17058522  -0.03532225
0.17368151  -0.03543505
0.17678005  -0.03554172
0.17988003  -0.03564207
0.18298065  -0.03573594
0.18608111  -0.03582314
0.18918068  -0.03590351
0.19227861  -0.03597689
0.19537423  -0.03604310
0.19846685  -0.03610199
0.20155584  -0.03615340
0.20464059  -0.03619717
0.20772052  -0.03623316
0.21079509  -0.03626121
0.21386380  -0.03628119
0.21692615  -0.03629295
0.21998171  -0.03629636
0.22303007  -0.03629130
