# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02730
# Species         : Zapornia_parva
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 100.90 mm
# Secondary1       : 55.80 mm
# Kipps Distance   : 43.80 mm
# Hand-Wing Index  : 44.00
# Tail Length      : 52.90 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.808
# Pointedness Index: 0.4341
# Efficiency Index : 0.1910
# Wing Loading Proxy: 0.0342
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1619  at x/c = 0.2566
# Max f/c          : 0.0535  at x/c = 0.3317
# Est. Reynolds    : 1.96e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939153  0.00008848
0.99866499  0.00020662
0.99781376  0.00035421
0.99683194  0.00053101
0.99571432  0.00073677
0.99445637  0.00097122
0.99305416  0.00123410
0.99150438  0.00152512
0.98980428  0.00184396
0.98795166  0.00219033
0.98594482  0.00256389
0.98378253  0.00296432
0.98146406  0.00339126
0.97898905  0.00384437
0.97635760  0.00432327
0.97357016  0.00482760
0.97062756  0.00535697
0.96753095  0.00591100
0.96428180  0.00648929
0.96088189  0.00709144
0.95733324  0.00771702
0.95363817  0.00836564
0.94979921  0.00903687
0.94581911  0.00973027
0.94170083  0.01044541
0.93744751  0.01118186
0.93306246  0.01193917
0.92854916  0.01271690
0.92391122  0.01351460
0.91915236  0.01433180
0.91427643  0.01516805
0.90928739  0.01602290
0.90418926  0.01689587
0.89898616  0.01778651
0.89368226  0.01869434
0.88828179  0.01961889
0.88278903  0.02055970
0.87720828  0.02151629
0.87154388  0.02248819
0.86580017  0.02347492
0.85998151  0.02447601
0.85409225  0.02549098
0.84813673  0.02651936
0.84211929  0.02756067
0.83604423  0.02861444
0.82991583  0.02968019
0.82373834  0.03075746
0.81751596  0.03184575
0.81125284  0.03294461
0.80495310  0.03405357
0.79862077  0.03517215
0.79225986  0.03629988
0.78587428  0.03743630
0.77946789  0.03858095
0.77304448  0.03973337
0.76660776  0.04089308
0.76016136  0.04205965
0.75370883  0.04323260
0.74725363  0.04441149
0.74079915  0.04559588
0.73434867  0.04678530
0.72790541  0.04797932
0.72147248  0.04917749
0.71505288  0.05037938
0.70864955  0.05158456
0.70226532  0.05279259
0.69590291  0.05400304
0.68956496  0.05521549
0.68325402  0.05642951
0.67697250  0.05764470
0.67072277  0.05886064
0.66450706  0.06007691
0.65832751  0.06129312
0.65218617  0.06250886
0.64608499  0.06372373
0.64002581  0.06493735
0.63401039  0.06614931
0.62804038  0.06735924
0.62211734  0.06856676
0.61624274  0.06977148
0.61041794  0.07097304
0.60464422  0.07217107
0.59892276  0.07336521
0.59325465  0.07455509
0.58764091  0.07574037
0.58208243  0.07692069
0.57658005  0.07809571
