# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 02936
# Species         : Ammomanes_cinctura
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 89.80 mm
# Secondary1       : 64.90 mm
# Kipps Distance   : 25.00 mm
# Hand-Wing Index  : 27.70
# Tail Length      : 52.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.384
# Pointedness Index: 0.2784
# Efficiency Index : 0.0771
# Wing Loading Proxy: 0.0262
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1844  at x/c = 0.2661
# Max f/c          : 0.0577  at x/c = 0.3417
# Est. Reynolds    : 1.48e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939161  0.00009005
0.99866561  0.00021290
0.99781581  0.00036830
0.99683669  0.00055601
0.99572341  0.00077574
0.99447175  0.00102723
0.99307808  0.00131015
0.99153937  0.00162422
0.98985308  0.00196909
0.98801724  0.00234443
0.98603031  0.00274989
0.98389126  0.00318512
0.98159945  0.00364973
0.97915468  0.00414334
0.97655712  0.00466557
0.97380731  0.00521600
0.97090613  0.00579424
0.96785478  0.00639985
0.96465476  0.00703241
0.96130785  0.00769149
0.95781610  0.00837663
0.95418178  0.00908740
0.95040741  0.00982332
0.94649570  0.01058395
0.94244956  0.01136881
0.93827208  0.01217742
0.93396651  0.01300930
0.92953623  0.01386398
0.92498477  0.01474096
0.92031579  0.01563975
0.91553302  0.01655985
0.91064032  0.01750075
0.90564162  0.01846197
0.90054091  0.01944299
0.89534226  0.02044330
0.89004977  0.02146239
0.88466759  0.02249974
0.87919992  0.02355485
0.87365095  0.02462720
0.86802490  0.02571626
0.86232600  0.02682151
0.85655847  0.02794245
0.85072652  0.02907855
0.84483434  0.03022928
0.83888612  0.03139413
0.83288600  0.03257258
0.82683809  0.03376411
0.82074646  0.03496819
0.81461514  0.03618432
0.80844810  0.03741196
0.80224926  0.03865061
0.79602249  0.03989976
0.78977159  0.04115888
0.78350028  0.04242746
0.77721224  0.04370500
0.77091105  0.04499099
0.76460023  0.04628492
0.75828322  0.04758629
0.75196336  0.04889459
0.74564393  0.05020934
0.73932811  0.05153003
0.73301901  0.05285617
0.72671964  0.05418726
0.72043291  0.05552284
0.71416165  0.05686240
0.70790860  0.05820548
0.70167641  0.05955159
0.69546762  0.06090026
0.68928468  0.06225103
0.68312997  0.06360342
0.67700573  0.06495698
0.67091414  0.06631124
0.66485727  0.06766576
0.65883711  0.06902009
0.65285553  0.07037377
0.64691432  0.07172638
0.64101519  0.07307747
0.63515972  0.07442661
0.62934942  0.07577337
0.62358572  0.07711734
0.61786994  0.07845808
0.61220330  0.07979520
0.60658696  0.08112827
0.60102197  0.08245690
0.59550931  0.08378069
0.59004984  0.08509925
0.58464438  0.08641217
0.57929364  0.08771909
0.57399825  0.08901961
0.56875877  0.09031337
0.56357567  0.09160000
0.55844935  0.09287913
0.55338013  0.09415040
0.54836825  0.09541347
0.54341390  0.09666798
0.53851717  0.09791358
0.53367811  0.09914995
0.52889669  0.10037675
0.52417280  0.10159365
0.51950628  0.10280032
0.51489692  0.10399647
0.51034443  0.10518176
0.50584847  0.10635590
0.50140865  0.10751858
0.49702452  0.10866952
0.49269557  0.10980841
0.48842125  0.11093498
0.48420097  0.11204895
0.48003406  0.11315005
0.47591985  0.11423800
0.47185759  0.11531254
0.46784651  0.11637342
0.46388579  0.11742038
0.45997458  0.11845318
0.45611199  0.11947157
0.45229711  0.12047533
0.44852897  0.12146421
0.44480661  0.12243800
0.44112900  0.12339648
0.43749511  0.12433942
0.43390389  0.12526663
0.43035425  0.12617790
0.42684509  0.12707302
0.42337528  0.12795181
0.41994370  0.12881408
0.41654919  0.12965964
0.41319058  0.13048832
0.40986669  0.13129995
0.40657634  0.13209436
0.40331832  0.13287138
0.40009145  0.13363087
0.39689450  0.13437266
0.39372627  0.13509661
0.39058553  0.13580258
0.38747109  0.13649044
0.38438172  0.13716005
0.38131622  0.13781128
0.37827337  0.13844402
0.37525198  0.13905815
0.37225085  0.13965355
0.36926880  0.14023012
0.36630465  0.14078776
0.36335723  0.14132637
0.36042540  0.14184586
0.35750801  0.14234613
0.35460394  0.14282712
0.35171208  0.14328873
0.34883134  0.14373089
0.34596064  0.14415354
0.34309894  0.14455661
0.34024519  0.14494004
0.33739840  0.14530378
0.33455756  0.14564776
0.33172172  0.14597196
0.32888993  0.14627631
0.32606128  0.14656080
0.32323489  0.14682537
0.32040988  0.14707000
0.31758543  0.14729467
0.31476074  0.14749935
0.31193502  0.14768403
0.30910755  0.14784869
0.30627759  0.14799331
0.30344448  0.14811791
0.30060756  0.14822246
0.29776623  0.14830698
0.29491989  0.14837147
0.29206801  0.14841594
0.28921007  0.14844039
0.28634558  0.14844485
0.28347412  0.14842934
0.28059528  0.14839387
0.27770868  0.14833847
0.27481399  0.14826318
0.27191092  0.14816802
0.26899921  0.14805302
0.26607863  0.14791823
0.26314901  0.14776369
0.26021020  0.14758944
0.25726208  0.14739553
0.25430459  0.14718200
0.25133769  0.14694891
0.24836140  0.14669631
0.24537575  0.14642426
0.24238082  0.14613282
0.23937673  0.14582204
0.23636363  0.14549200
0.23334172  0.14514275
0.23031123  0.14477437
0.22727243  0.14438692
0.22422560  0.14398048
0.22117110  0.14355511
0.21810929  0.14311089
0.21504059  0.14264789
0.21196543  0.14216620
0.20888429  0.14166589
0.20579769  0.14114704
0.20270616  0.14060972
0.19961027  0.14005403
0.19651064  0.13948004
0.19340791  0.13888784
0.19030273  0.13827750
0.18719580  0.13764911
0.18408785  0.13700276
0.18097963  0.13633853
0.17787191  0.13565650
0.17476550  0.13495675
0.17166122  0.13423938
0.16855993  0.13350446
0.16546250  0.13275208
0.16236982  0.13198233
0.15928280  0.13119527
0.15620238  0.13039100
0.15312951  0.12956959
0.15006515  0.12873113
