# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03099
# Species         : Coracina_leucopygia
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 149.10 mm
# Secondary1       : 100.20 mm
# Kipps Distance   : 48.30 mm
# Hand-Wing Index  : 32.50
# Tail Length      : 106.30 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.488
# Pointedness Index: 0.3239
# Efficiency Index : 0.1053
# Wing Loading Proxy: 0.0140
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1742  at x/c = 0.2633
# Max f/c          : 0.0565  at x/c = 0.3417
# Est. Reynolds    : 2.78e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939158  0.00008950
0.99866543  0.00021070
0.99781520  0.00036336
0.99683529  0.00054723
0.99572073  0.00076203
0.99446722  0.00100749
0.99307104  0.00128330
0.99152906  0.00158915
0.98983871  0.00192474
0.98799793  0.00228971
0.98600514  0.00268372
0.98385924  0.00310642
0.98155958  0.00355743
0.97910590  0.00403639
0.97649836  0.00454289
0.97373747  0.00507655
0.97082410  0.00563695
0.96775942  0.00622369
0.96454493  0.00683634
0.96118242  0.00747448
0.95767391  0.00813766
0.95402170  0.00882544
0.95022831  0.00953738
0.94629646  0.01027301
0.94222907  0.01103189
0.93802926  0.01181353
0.93370029  0.01261748
0.92924556  0.01344326
0.92466864  0.01429038
0.91997318  0.01515838
0.91516298  0.01604675
0.91024191  0.01695501
0.90521393  0.01788267
0.90008307  0.01882924
0.89485342  0.01979421
0.88952914  0.02077709
0.88411440  0.02177739
0.87861343  0.02279459
0.87303046  0.02382819
0.86736977  0.02487769
0.86163560  0.02594259
0.85583222  0.02702238
0.84996388  0.02811656
0.84403482  0.02922461
0.83804925  0.03034605
0.83201135  0.03148035
0.82592528  0.03262702
0.81979515  0.03378556
0.81362501  0.03495546
0.80741890  0.03613622
0.80118075  0.03732734
0.79491448  0.03852833
0.78862391  0.03973869
0.78231283  0.04095793
0.77598493  0.04218555
0.76964383  0.04342106
0.76329308  0.04466398
0.75693616  0.04591382
0.75057645  0.04717010
0.74421725  0.04843234
0.73786178  0.04970007
0.73151317  0.05097280
0.72517447  0.05225007
0.71884861  0.05353142
0.71253846  0.05481638
0.70624678  0.05610448
0.69997624  0.05739528
0.69372942  0.05868832
0.68750879  0.05998315
0.68131673  0.06127932
0.67515554  0.06257639
0.66902740  0.06387393
0.66293441  0.06517151
0.65687857  0.06646869
0.65086177  0.06776505
0.64488582  0.06906016
0.63895244  0.07035362
0.63306324  0.07164501
0.62721975  0.07293392
0.62142339  0.07421996
0.61567551  0.07550272
0.60997734  0.07678180
0.60433005  0.07805683
0.59873470  0.07932742
0.59319227  0.08059318
0.58770365  0.08185375
0.58226965  0.08310875
0.57689100  0.08435783
0.57156833  0.08560061
0.56630220  0.08683675
0.56109310  0.08806590
0.55594141  0.08928771
0.55084748  0.09050184
0.54581155  0.09170796
0.54083380  0.09290574
0.53591433  0.09409486
0.53105317  0.09527499
0.52625031  0.09644582
0.52150564  0.09760705
0.51681901  0.09875836
