# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03108
# Species         : Coracina_schistacea
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 158.40 mm
# Secondary1       : 107.30 mm
# Kipps Distance   : 51.10 mm
# Hand-Wing Index  : 32.30
# Tail Length      : 132.10 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.476
# Pointedness Index: 0.3226
# Efficiency Index : 0.1042
# Wing Loading Proxy: 0.0112
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1739  at x/c = 0.2634
# Max f/c          : 0.0565  at x/c = 0.3417
# Est. Reynolds    : 3.01e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939158  0.00008950
0.99866544  0.00021071
0.99781523  0.00036337
0.99683535  0.00054723
0.99572085  0.00076204
0.99446741  0.00100749
0.99307133  0.00128330
0.99152949  0.00158915
0.98983931  0.00192471
0.98799873  0.00228967
0.98600619  0.00268366
0.98386058  0.00310633
0.98156124  0.00355731
0.97910794  0.00403622
0.97650081  0.00454267
0.97374038  0.00507627
0.97082751  0.00563660
0.96776339  0.00622326
0.96454951  0.00683582
0.96118764  0.00747386
0.95767983  0.00813692
0.95402837  0.00882458
0.95023577  0.00953638
0.94630476  0.01027187
0.94223826  0.01103058
0.93803938  0.01181205
0.93371138  0.01261580
0.92925767  0.01344137
0.92468181  0.01428828
0.91998746  0.01515603
0.91517840  0.01604415
0.91025851  0.01695214
0.90523175  0.01787952
0.90010215  0.01882578
0.89487379  0.01979043
0.88955083  0.02077298
0.88413745  0.02177292
0.87863786  0.02278974
0.87305632  0.02382296
0.86739706  0.02487205
0.86166436  0.02593652
0.85586248  0.02701587
0.84999566  0.02810958
0.84406813  0.02921715
0.83808412  0.03033809
0.83204779  0.03147187
0.82596331  0.03261800
0.81983479  0.03377598
0.81366627  0.03494531
0.80746178  0.03612548
0.80122527  0.03731599
0.79496064  0.03851635
0.78867173  0.03972606
0.78236231  0.04094463
0.77603606  0.04217156
0.76969663  0.04340637
0.76334754  0.04464857
0.75699228  0.04589768
0.75063423  0.04715320
0.74427669  0.04841467
0.73792287  0.04968161
0.73157591  0.05095354
0.72523884  0.05222999
0.71891461  0.05351050
0.71260608  0.05479460
0.70631601  0.05608184
0.70004707  0.05737176
0.69380183  0.05866390
0.68758277  0.05995781
0.68139227  0.06125306
0.67523262  0.06254919
0.66910600  0.06384578
0.66301451  0.06514239
0.65696015  0.06643859
0.65094481  0.06773396
0.64497031  0.06902807
0.63903836  0.07032052
0.63315056  0.07161089
0.62730845  0.07289877
0.62151345  0.07418376
0.61576690  0.07546546
0.61007004  0.07674349
0.60442403  0.07801745
0.59882994  0.07928696
0.59328874  0.08055164
0.58780134  0.08181111
0.58236852  0.08306502
0.57699103  0.08431299
0.57166949  0.08555467
0.56640446  0.08678969
0.56119643  0.08801772
0.55604580  0.08923841
0.55095289  0.09045142
0.54591795  0.09165642
0.54094116  0.09285307
0.53602263  0.09404106
0.53116239  0.09522006
0.52636041  0.09638976
0.52161659  0.09754985
0.51693078  0.09870004
