# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03471
# Species         : Corvus_corax
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 419.70 mm
# Secondary1       : 252.70 mm
# Kipps Distance   : 167.20 mm
# Hand-Wing Index  : 39.80
# Tail Length      : 228.70 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.661
# Pointedness Index: 0.3984
# Efficiency Index : 0.1586
# Wing Loading Proxy: 0.0073
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1558  at x/c = 0.2590
# Max f/c          : 0.0543  at x/c = 0.3367
# Est. Reynolds    : 1.11e+05
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939155  0.00008853
0.99866515  0.00020679
0.99781429  0.00035457
0.99683316  0.00053160
0.99571666  0.00073762
0.99446033  0.00097234
0.99306032  0.00123548
0.99151339  0.00152672
0.98981686  0.00184575
0.98796856  0.00219225
0.98596685  0.00256586
0.98381055  0.00296623
0.98149894  0.00339302
0.97903173  0.00384584
0.97640901  0.00432431
0.97363127  0.00482806
0.97069934  0.00535667
0.96761439  0.00590975
0.96437790  0.00648689
0.96099164  0.00708767
0.95745766  0.00771166
0.95377824  0.00835844
0.94995592  0.00902756
0.94599344  0.00971860
0.94189375  0.01043110
0.93765997  0.01116462
0.93329541  0.01191869
0.92880350  0.01269287
0.92418784  0.01348669
0.91945214  0.01429969
0.91460022  0.01513140
0.90963600  0.01598135
0.90456348  0.01684907
0.89938677  0.01773409
0.89410999  0.01863593
0.88873734  0.01955411
0.88327308  0.02048817
0.87772147  0.02143761
0.87208681  0.02240197
0.86637341  0.02338077
0.86058561  0.02437351
0.85472771  0.02537974
0.84880403  0.02639896
0.84281887  0.02743070
0.83677649  0.02847448
0.83068115  0.02952983
0.82453704  0.03059627
0.81834835  0.03167332
0.81211919  0.03276052
0.80585364  0.03385740
0.79955571  0.03496348
0.79322936  0.03607831
0.78687848  0.03720140
0.78050689  0.03833231
0.77411836  0.03947058
0.76771656  0.04061574
0.76130509  0.04176734
0.75488747  0.04292493
0.74846714  0.04408806
0.74204745  0.04525629
0.73563167  0.04642918
0.72922297  0.04760628
