# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03506
# Species         : Corvus_validus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 335.40 mm
# Secondary1       : 209.00 mm
# Kipps Distance   : 126.40 mm
# Hand-Wing Index  : 37.60
# Tail Length      : 166.30 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.605
# Pointedness Index: 0.3769
# Efficiency Index : 0.1417
# Wing Loading Proxy: 0.0096
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1606  at x/c = 0.2603
# Max f/c          : 0.0550  at x/c = 0.3367
# Est. Reynolds    : 8.20e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939156  0.00008880
0.99866523  0.00020790
0.99781457  0.00035706
0.99683381  0.00053602
0.99571789  0.00074451
0.99446241  0.00098226
0.99306355  0.00124897
0.99151811  0.00154433
0.98982344  0.00186802
0.98797741  0.00221970
0.98597839  0.00259904
0.98382522  0.00300568
0.98151722  0.00343925
0.97905408  0.00389938
0.97643594  0.00438570
0.97366328  0.00489780
0.97073694  0.00543529
0.96765810  0.00599776
0.96442824  0.00658479
0.96104914  0.00719597
0.95752283  0.00783087
0.95385161  0.00848904
0.95003801  0.00917006
0.94608476  0.00987347
0.94199481  0.01059883
0.93777127  0.01134568
0.93341743  0.01211356
0.92893672  0.01290201
0.92433274  0.01371056
0.91960916  0.01453874
0.91476982  0.01538609
0.90981860  0.01625212
0.90475951  0.01713635
0.89959661  0.01803831
0.89433403  0.01895752
0.88897596  0.01989349
0.88352663  0.02084573
0.87799028  0.02181378
0.87237120  0.02279713
0.86667368  0.02379530
0.86090204  0.02480781
0.85506058  0.02583416
0.84915357  0.02687388
0.84318532  0.02792648
0.83716006  0.02899147
0.83108203  0.03006837
0.82495542  0.03115669
0.81878437  0.03225596
0.81257300  0.03336569
0.80632536  0.03448540
0.80004544  0.03561462
0.79373720  0.03675287
0.78740450  0.03789968
0.78105115  0.03905457
0.77468088  0.04021709
0.76829738  0.04138675
0.76190420  0.04256311
0.75550488  0.04374569
0.74910281  0.04493405
0.74270135  0.04612772
0.73630375  0.04732625
0.72991316  0.04852920
0.72353266  0.04973612
0.71716522  0.05094657
0.71081374  0.05216012
0.70448101  0.05337632
0.69816972  0.05459474
0.69188248  0.05581496
0.68562178  0.05703657
0.67939004  0.05825912
0.67318957  0.05948223
0.66702258  0.06070546
0.66089119  0.06192842
0.65479741  0.06315070
0.64874317  0.06437190
0.64273030  0.06559164
0.63676051  0.06680952
0.63083545  0.06802516
0.62495666  0.06923817
0.61912557  0.07044818
0.61334355  0.07165483
0.60761184  0.07285773
0.60193163  0.07405654
0.59630398  0.07525090
0.59072988  0.07644044
0.58521025  0.07762483
0.57974588  0.07880372
0.57433752  0.07997678
0.56898581  0.08114366
0.56369131  0.08230405
0.55845452  0.08345762
0.55327583  0.08460404
0.54815557  0.08574301
0.54309401  0.08687422
0.53809131  0.08799737
0.53314759  0.08911214
0.52826288  0.09021826
0.52343715  0.09131543
0.51867031  0.09240336
0.51396219  0.09348178
0.50931257  0.09455042
0.50472116  0.09560900
0.50018761  0.09665726
0.49571153  0.09769493
0.49129245  0.09872178
0.48692987  0.09973754
0.48262322  0.10074196
0.47837189  0.10173482
0.47417522  0.10271588
0.47003251  0.10368490
0.46594301  0.10464165
0.46190592  0.10558593
0.45792043  0.10651751
0.45398565  0.10743619
0.45010070  0.10834174
0.44626463  0.10923399
0.44247648  0.11011272
0.43873524  0.11097775
0.43503989  0.11182888
0.43138937  0.11266594
0.42778262  0.11348875
0.42421852  0.11429714
0.42069596  0.11509093
0.41721379  0.11586997
0.41377087  0.11663409
0.41036602  0.11738313
0.40699805  0.11811696
