# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03641
# Species         : Procnias_averano
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 152.70 mm
# Secondary1       : 113.80 mm
# Kipps Distance   : 39.70 mm
# Hand-Wing Index  : 25.90
# Tail Length      : 88.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.342
# Pointedness Index: 0.2600
# Efficiency Index : 0.0673
# Wing Loading Proxy: 0.0152
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1823  at x/c = 0.2671
# Max f/c          : 0.0579  at x/c = 0.3417
# Est. Reynolds    : 2.87e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939162  0.00009006
0.99866568  0.00021292
0.99781603  0.00036833
0.99683721  0.00055605
0.99572441  0.00077578
0.99447345  0.00102725
0.99308073  0.00131014
0.99154323  0.00162413
0.98985847  0.00196891
0.98802448  0.00234411
0.98603976  0.00274940
0.98390326  0.00318439
0.98161440  0.00364872
0.97917297  0.00414200
0.97657915  0.00466382
0.97383350  0.00521378
0.97093689  0.00579147
0.96789054  0.00639646
0.96469595  0.00702832
0.96135489  0.00768660
0.95786942  0.00837087
0.95424181  0.00908065
0.95047457  0.00981550
0.94657041  0.01057495
0.94253224  0.01135853
0.93836314  0.01216574
0.93406634  0.01299612
0.92964523  0.01384918
0.92510333  0.01472441
0.92044427  0.01562134
0.91567179  0.01653945
0.91078973  0.01747824
0.90580200  0.01843722
0.90071260  0.01941586
0.89552557  0.02041366
0.89024500  0.02143010
0.88487504  0.02246467
0.87941986  0.02351686
0.87388363  0.02458614
0.86827058  0.02567200
0.86258490  0.02677391
0.85683081  0.02789136
0.85101251  0.02902383
0.84513417  0.03017078
0.83919995  0.03133171
0.83321400  0.03250610
0.82718040  0.03369341
0.82110321  0.03489314
0.81498644  0.03610476
0.80883405  0.03732776
0.80264996  0.03856162
0.79643800  0.03980583
0.79020197  0.04105987
0.78394558  0.04232324
0.77767249  0.04359542
0.77138627  0.04487591
0.76509042  0.04616421
0.75878837  0.04745980
0.75248346  0.04876220
0.74617895  0.05007091
0.73987800  0.05138542
0.73358372  0.05270526
0.72729910  0.05402993
0.72102704  0.05535895
0.71477037  0.05669184
0.70853181  0.05802812
0.70231400  0.05936732
0.69611948  0.06070897
0.68995068  0.06205259
0.68380997  0.06339773
0.67769959  0.06474394
0.67162171  0.06609075
0.66557840  0.06743771
0.65957162  0.06878438
0.65360326  0.07013032
0.64767508  0.07147509
0.64178879  0.07281825
0.63594598  0.07415938
0.63014814  0.07549806
0.62439669  0.07683386
0.61869296  0.07816637
0.61303816  0.07949519
0.60743344  0.08081989
0.60187984  0.08214010
0.59637835  0.08345540
0.59092983  0.08476542
0.58553509  0.08606976
0.58019483  0.08736804
0.57490969  0.08865990
0.56968022  0.08994496
0.56450688  0.09122285
0.55939009  0.09249321
0.55433015  0.09375570
0.54932732  0.09500996
0.54438177  0.09625565
0.53949360  0.09749242
0.53466285  0.09871995
0.52988949  0.09993791
0.52517341  0.10114598
0.52051447  0.10234383
0.51591244  0.10353116
0.51136704  0.10470765
0.50687794  0.10587301
0.50244472  0.10702694
0.49806696  0.10816915
0.49374414  0.10929936
0.48947572  0.11041728
0.48526109  0.11152265
0.48109962  0.11261518
0.47699060  0.11369462
0.47293332  0.11476072
0.46892698  0.11581320
0.46497079  0.11685184
0.46106389  0.11787638
0.45720539  0.11888660
0.45339438  0.11988225
0.44962991  0.12086312
0.44591100  0.12182897
0.44223665  0.12277960
0.43860582  0.12371480
0.43501745  0.12463436
0.43147047  0.12553808
0.42796377  0.12642577
0.42449625  0.12729724
0.42106677  0.12815230
0.41767417  0.12899078
0.41431729  0.12981250
0.41099497  0.13061729
0.40770601  0.13140500
0.40444923  0.13217545
0.40122342  0.13292851
0.39802737  0.13366402
0.39485989  0.13438184
0.39171975  0.13508183
0.38860576  0.13576386
0.38551669  0.13642781
0.38245135  0.13707354
0.37940853  0.13770094
0.37638702  0.13830990
0.37338565  0.13890030
0.37040323  0.13947206
0.36743858  0.14002506
0.36449054  0.14055921
0.36155797  0.14107443
0.35863972  0.14157063
0.35573468  0.14204773
0.35284174  0.14250566
0.34995981  0.14294434
0.34708783  0.14336371
0.34422473  0.14376370
0.34136949  0.14414427
0.33852111  0.14450535
0.33567859  0.14484690
0.33284097  0.14516887
0.33000732  0.14547123
0.32717671  0.14575393
0.32434828  0.14601696
0.32152115  0.14626027
0.31869449  0.14648385
0.31586751  0.14668768
0.31303943  0.14687174
0.31020951  0.14703602
0.30737703  0.14718051
0.30454133  0.14730521
0.30170174  0.14741012
0.29885766  0.14749524
0.29600851  0.14756058
0.29315374  0.14760615
0.29029284  0.14763197
0.28742533  0.14763804
0.28455078  0.14762441
0.28166877  0.14759107
0.27877893  0.14753808
0.27588094  0.14746544
0.27297450  0.14737321
0.27005934  0.14726141
0.26713526  0.14713009
0.26420206  0.14697928
0.26125959  0.14680904
0.25830775  0.14661940
0.25534647  0.14641043
0.25237571  0.14618217
0.24939548  0.14593467
0.24640582  0.14566800
0.24340680  0.14538222
0.24039855  0.14507739
0.23738122  0.14475356
0.23435499  0.14441082
0.23132011  0.14404922
0.22827682  0.14366883
0.22522544  0.14326972
0.22216629  0.14285198
0.21909976  0.14241567
0.21602624  0.14196086
0.21294617  0.14148764
0.20986004  0.14099608
0.20676834  0.14048626
0.20367162  0.13995825
0.20057046  0.13941215
0.19746545  0.13884803
0.19435723  0.13826597
0.19124647  0.13766606
0.18813385  0.13704837
0.18502010  0.13641299
0.18190597  0.13576000
0.17879224  0.13508949
0.17567970  0.13440153
0.17256918  0.13369621
0.16946153  0.13297360
0.16635761  0.13223380
0.16325833  0.13147687
0.16016458  0.13070290
0.15707731  0.12991197
0.15399746  0.12910415
0.15092599  0.12827951
0.14786388  0.12743814
0.14481213  0.12658011
0.14177174  0.12570548
0.13874372  0.12481432
0.13572911  0.12390671
0.13272892  0.12298270
0.12974422  0.12204237
0.12677602  0.12108576
0.12382539  0.12011295
0.12089338  0.11912398
0.11798103  0.11811890
0.11508939  0.11709777
0.11221950  0.11606064
0.10937241  0.11500754
0.10654916  0.11393852
0.10375076  0.11285361
0.10097823  0.11175286
0.09823257  0.11063628
0.09551479  0.10950390
0.09282584  0.10835575
0.09016670  0.10719185
0.08753831  0.10601220
0.08494157  0.10481683
0.08237740  0.10360573
0.07984667  0.10237891
0.07735023  0.10113636
0.07488890  0.09987809
0.07246347  0.09860406
0.07007472  0.09731428
0.06772336  0.09600872
0.06541011  0.09468736
0.06313562  0.09335015
0.06090052  0.09199708
0.05870540  0.09062809
0.05655081  0.08924316
0.05443726  0.08784221
0.05236521  0.08642521
0.05033510  0.08499209
0.04834728  0.08354280
0.04640211  0.08207725
0.04449987  0.08059539
0.04264080  0.07909713
0.04082508  0.07758239
0.03905286  0.07605109
0.03732424  0.07450313
0.03563925  0.07293842
0.03399789  0.07135688
0.03240011  0.06975838
0.03084578  0.06814284
0.02933476  0.06651013
0.02786683  0.06486016
0.02644174  0.06319280
0.02505918  0.06150794
0.02371878  0.05980547
0.02242016  0.05808526
0.02116285  0.05634719
0.01994636  0.05459114
0.01877016  0.05281698
0.01763366  0.05102459
0.01653625  0.04921386
0.01547727  0.04738465
0.01445604  0.04553684
0.01347183  0.04367032
0.01252391  0.04178498
0.01161150  0.03988069
0.01073381  0.03795734
0.00989003  0.03601484
0.00907936  0.03405309
0.00830097  0.03207198
0.00755404  0.03007144
0.00683775  0.02805138
0.00615130  0.02601174
0.00549392  0.02395246
0.00486483  0.02187348
0.00426332  0.01977477
0.00368871  0.01765631
0.00314037  0.01551809
0.00261772  0.01336011
0.00212028  0.01118240
0.00164763  0.00898499
0.00119943  0.00676796
0.00077548  0.00453137
0.00037566  0.00227534
0.00000000  0.00000000
0.00037566  -0.00138637
0.00077548  -0.00270199
0.00119943  -0.00395053
