# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 03760
# Species         : Emberiza_hortulana
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 85.60 mm
# Secondary1       : 61.10 mm
# Kipps Distance   : 24.70 mm
# Hand-Wing Index  : 28.80
# Tail Length      : 65.90 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.401
# Pointedness Index: 0.2886
# Efficiency Index : 0.0831
# Wing Loading Proxy: 0.0213
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1835  at x/c = 0.2654
# Max f/c          : 0.0575  at x/c = 0.3417
# Est. Reynolds    : 1.36e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939160  0.00008998
0.99866557  0.00021260
0.99781567  0.00036764
0.99683637  0.00055484
0.99572280  0.00077392
0.99447071  0.00102460
0.99307647  0.00130660
0.99153700  0.00161959
0.98984979  0.00196326
0.98801281  0.00233726
0.98602454  0.00274125
0.98388392  0.00317487
0.98159031  0.00363775
0.97914350  0.00412950
0.97654365  0.00464975
0.97379130  0.00519808
0.97088733  0.00577409
0.96783293  0.00637735
0.96462959  0.00700745
0.96127911  0.00766395
0.95778351  0.00834640
0.95414510  0.00905437
0.95036636  0.00978738
0.94645004  0.01054499
0.94239903  0.01132673
0.93821643  0.01213211
0.93390550  0.01296067
0.92946962  0.01381193
0.92491233  0.01468538
0.92023728  0.01558056
0.91544822  0.01649695
0.91054902  0.01743406
0.90554361  0.01839139
0.90043599  0.01936844
0.89523023  0.02036469
0.88993046  0.02137964
0.88454082  0.02241278
0.87906551  0.02346360
0.87350876  0.02453157
0.86787477  0.02561619
0.86216778  0.02671694
0.85639204  0.02783329
0.85055175  0.02896474
0.84465112  0.03011076
0.83869434  0.03127084
0.83268556  0.03244446
0.82662891  0.03363109
0.82052845  0.03483023
0.81438824  0.03604135
0.80821224  0.03726395
0.80200439  0.03849750
0.79576857  0.03974149
0.78950858  0.04099542
0.78322816  0.04225877
0.77693098  0.04353104
0.77062065  0.04481171
0.76430068  0.04610029
0.75797452  0.04739627
0.75164553  0.04869916
0.74531698  0.05000846
0.73899208  0.05132367
0.73267393  0.05264431
0.72636554  0.05396988
0.72006984  0.05529990
0.71378967  0.05663390
0.70752778  0.05797139
0.70128680  0.05931190
0.69506929  0.06065496
0.68887772  0.06200009
0.68271444  0.06334685
0.67658174  0.06469476
0.67048177  0.06604337
0.66441663  0.06739224
0.65838829  0.06874090
0.65239864  0.07008893
0.64644947  0.07143588
0.64054249  0.07278131
0.63467929  0.07412480
0.62886139  0.07546592
0.62309021  0.07680424
0.61736707  0.07813936
0.61169321  0.07947087
0.60606978  0.08079834
0.60049784  0.08212139
0.59497835  0.08343961
0.58951221  0.08475261
0.58410021  0.08606001
0.57874308  0.08736141
0.57344144  0.08865645
0.56819586  0.08994476
0.56300680  0.09122595
0.55787467  0.09249968
0.55279979  0.09376558
0.54778241  0.09502330
0.54282270  0.09627249
0.53792076  0.09751282
0.53307665  0.09874394
0.52829031  0.09996553
0.52356167  0.10117726
0.51889055  0.10237881
0.51427673  0.10356986
0.50971994  0.10475011
0.50521982  0.10591924
0.50077600  0.10707697
0.49638800  0.10822299
0.49205534  0.10935701
0.48777746  0.11047876
0.48355375  0.11158796
0.47938356  0.11268433
0.47526621  0.11376760
0.47120095  0.11483753
0.46718702  0.11589384
0.46322358  0.11693628
0.45930978  0.11796462
0.45544475  0.11897861
0.45162755  0.11997802
0.44785723  0.12096261
0.44413281  0.12193217
0.44045327  0.12288647
0.43681758  0.12382530
0.43322468  0.12474845
0.42967348  0.12565572
0.42616288  0.12654691
0.42269175  0.12742182
0.41925897  0.12828028
