# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04584
# Species         : Orochelidon_murina
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 112.70 mm
# Secondary1       : 56.30 mm
# Kipps Distance   : 57.00 mm
# Hand-Wing Index  : 50.30
# Tail Length      : 61.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.002
# Pointedness Index: 0.5058
# Efficiency Index : 0.2544
# Wing Loading Proxy: 0.0325
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1532  at x/c = 0.2528
# Max f/c          : 0.0516  at x/c = 0.3317
# Est. Reynolds    : 2.20e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939150  0.00008779
0.99866475  0.00020386
0.99781297  0.00034802
0.99683011  0.00052003
0.99571081  0.00071966
0.99445042  0.00094666
0.99304491  0.00120076
0.99149085  0.00148170
0.98978542  0.00178919
0.98792631  0.00212291
0.98591177  0.00248258
0.98374051  0.00286786
0.98141173  0.00327842
0.97892504  0.00371392
0.97628049  0.00417403
0.97347851  0.00465837
0.97051990  0.00516659
0.96740579  0.00569830
0.96413765  0.00625314
0.96071725  0.00683070
0.95714662  0.00743061
0.95342807  0.00805245
0.94956414  0.00869583
0.94555760  0.00936033
0.94141144  0.01004553
0.93712881  0.01075102
0.93271305  0.01147637
0.92816766  0.01222115
0.92349628  0.01298492
0.91870269  0.01376726
0.91379075  0.01456772
0.90876447  0.01538586
0.90362791  0.01622124
0.89838524  0.01707340
0.89304066  0.01794190
0.88759846  0.01882630
0.88206296  0.01972613
0.87643851  0.02064095
0.87072949  0.02157029
0.86494030  0.02251372
0.85907535  0.02347076
0.85313904  0.02444097
0.84713576  0.02542389
0.84106990  0.02641907
0.83494582  0.02742605
0.82876784  0.02844437
0.82254026  0.02947358
0.81626734  0.03051323
0.80995328  0.03156287
0.80360224  0.03262205
0.79721832  0.03369032
0.79080555  0.03476723
0.78436791  0.03585233
0.77790931  0.03694518
0.77143357  0.03804535
0.76494446  0.03915238
0.75844564  0.04026585
0.75194072  0.04138532
0.74543320  0.04251035
0.73892651  0.04364052
0.73242398  0.04477540
0.72592885  0.04591456
0.71944427  0.04705759
0.71297330  0.04820407
0.70651891  0.04935359
0.70008395  0.05050572
0.69367118  0.05166007
0.68728329  0.05281622
0.68092283  0.05397379
0.67459228  0.05513236
0.66829401  0.05629156
0.66203029  0.05745098
0.65580328  0.05861024
0.64961506  0.05976896
0.64346760  0.06092677
0.63736277  0.06208328
0.63130235  0.06323813
0.62528800  0.06439095
0.61932132  0.06554138
0.61340377  0.06668906
0.60753676  0.06783364
0.60172156  0.06897477
0.59595938  0.07011211
0.59025132  0.07124531
0.58459840  0.07237403
0.57900155  0.07349796
0.57346159  0.07461675
0.56797928  0.07573010
0.56255529  0.07683767
0.55719018  0.07793915
0.55188447  0.07903425
0.54663857  0.08012264
0.54145281  0.08120404
0.53632746  0.08227815
0.53126270  0.08334467
0.52625864  0.08440332
0.52131532  0.08545382
0.51643272  0.08649589
0.51161072  0.08752926
0.50684918  0.08855366
0.50214784  0.08956882
0.49750644  0.09057450
0.49292460  0.09157044
0.48840193  0.09255638
0.48393795  0.09353208
0.47953214  0.09449730
0.47518393  0.09545181
0.47089269  0.09639538
0.46665774  0.09732777
0.46247838  0.09824878
0.45835383  0.09915817
0.45428328  0.10005574
0.45026590  0.10094129
0.44630078  0.10181459
0.44238702  0.10267547
0.43852365  0.10352372
0.43470968  0.10435915
0.43094409  0.10518158
0.42722584  0.10599083
0.42355385  0.10678671
0.41992701  0.10756906
0.41634421  0.10833771
0.41280429  0.10909250
0.40930610  0.10983326
0.40584846  0.11055985
0.40243016  0.11127210
0.39905000  0.11196988
0.39570676  0.11265304
0.39239920  0.11332145
0.38912607  0.11397497
0.38588614  0.11461346
0.38267816  0.11523681
0.37950085  0.11584490
0.37635297  0.11643760
0.37323326  0.11701480
0.37014046  0.11757640
0.36707332  0.11812229
0.36403058  0.11865236
0.36101101  0.11916653
0.35801337  0.11966469
0.35503643  0.12014676
0.35207898  0.12061265
0.34913981  0.12106227
0.34621772  0.12149556
0.34331155  0.12191244
0.34042013  0.12231283
0.33754231  0.12269667
0.33467698  0.12306389
0.33182301  0.12341444
0.32897933  0.12374826
0.32614487  0.12406530
0.32331858  0.12436550
0.32049946  0.12464882
0.31768650  0.12491523
0.31487873  0.12516467
0.31207523  0.12539711
0.30927506  0.12561253
0.30647736  0.12581089
0.30368126  0.12599216
0.30088593  0.12615633
0.29809059  0.12630337
0.29529447  0.12643326
0.29249685  0.12654601
0.28969702  0.12664158
0.28689433  0.12671998
0.28408814  0.12678120
0.28127787  0.12682523
0.27846295  0.12685209
0.27564286  0.12686177
0.27281713  0.12685428
0.26998530  0.12682963
0.26714696  0.12678783
0.26430175  0.12672889
0.26144931  0.12665284
0.25858937  0.12655968
0.25572166  0.12644945
0.25284596  0.12632216
0.24996209  0.12617785
0.24706991  0.12601654
0.24416932  0.12583826
0.24126025  0.12564305
0.23834268  0.12543093
0.23541663  0.12520195
0.23248215  0.12495615
0.22953933  0.12469357
0.22658830  0.12441425
0.22362923  0.12411823
0.22066233  0.12380556
0.21768785  0.12347629
0.21470606  0.12313047
0.21171729  0.12276814
0.20872190  0.12238937
0.20572027  0.12199421
0.20271284  0.12158270
0.19970006  0.12115492
0.19668244  0.12071090
0.19366052  0.12025073
0.19063485  0.11977445
0.18760603  0.11928212
0.18457470  0.11877381
0.18154151  0.11824958
0.17850716  0.11770949
0.17547236  0.11715362
0.17243787  0.11658201
0.16940447  0.11599475
0.16637294  0.11539189
0.16334413  0.11477350
0.16031888  0.11413965
0.15729807  0.11349041
0.15428260  0.11282584
0.15127338  0.11214601
0.14827135  0.11145099
0.14527747  0.11074086
0.14229270  0.11001566
0.13931804  0.10927548
0.13635449  0.10852039
0.13340306  0.10775044
0.13046478  0.10696571
0.12754069  0.10616626
0.12463182  0.10535216
0.12173922  0.10452348
0.11886396  0.10368029
0.11600708  0.10282264
0.11316966  0.10195060
0.11035274  0.10106424
0.10755739  0.10016362
0.10478467  0.09924880
0.10203562  0.09831985
0.09931128  0.09737682
0.09661269  0.09641978
0.09394087  0.09544878
0.09129684  0.09446389
0.08868158  0.09346515
0.08609609  0.09245264
0.08354133  0.09142640
0.08101824  0.09038649
0.07852774  0.08933296
0.07607073  0.08826587
0.07364809  0.08718526
0.07126066  0.08609119
0.06890927  0.08498371
0.06659470  0.08386288
0.06431770  0.08272872
0.06207901  0.08158131
0.05987931  0.08042068
0.05771924  0.07924687
0.05559942  0.07805994
0.05352042  0.07685994
0.05148277  0.07564690
0.04948695  0.07442087
0.04753340  0.07318190
0.04562253  0.07193002
0.04375467  0.07066530
0.04193012  0.06938777
0.04014914  0.06809747
0.03841192  0.06679446
0.03671861  0.06547878
0.03506931  0.06415047
0.03346405  0.06280960
0.03190282  0.06145620
0.03038557  0.06009034
0.02891216  0.05871206
0.02748242  0.05732143
0.02609613  0.05591850
0.02475300  0.05450333
0.02345269  0.05307600
0.02219482  0.05163657
0.02097894  0.05018512
0.01980455  0.04872171
0.01867112  0.04724645
0.01757804  0.04575941
0.01652468  0.04426069
0.01551035  0.04275039
0.01453431  0.04122862
0.01359580  0.03969549
0.01269400  0.03815114
0.01182807  0.03659568
0.01099713  0.03502927
0.01020028  0.03345205
0.00943659  0.03186419
0.00870509  0.03026587
0.00800484  0.02865726
0.00733485  0.02703858
0.00669414  0.02541004
0.00608174  0.02377186
0.00549667  0.02212430
0.00493798  0.02046761
0.00440473  0.01880208
0.00389603  0.01712801
0.00341100  0.01544573
0.00294883  0.01375556
0.00250876  0.01205789
0.00209009  0.01035309
0.00169221  0.00864159
0.00131459  0.00692382
0.00095680  0.00520027
0.00061854  0.00347142
0.00029962  0.00173781
0.00000000  0.00000000
0.00029962  -0.00112950
0.00061854  -0.00220050
0.00095680  -0.00321605
0.00131459  -0.00417907
0.00169221  -0.00509234
0.00209009  -0.00595852
0.00250876  -0.00678015
0.00294883  -0.00755966
0.00341100  -0.00829935
0.00389603  -0.00900144
0.00440473  -0.00966802
0.00493798  -0.01030110
0.00549667  -0.01090260
0.00608174  -0.01147432
0.00669414  -0.01201800
0.00733485  -0.01253529
0.00800484  -0.01302775
0.00870509  -0.01349688
0.00943659  -0.01394409
0.01020028  -0.01437072
0.01099713  -0.01477806
0.01182807  -0.01516731
0.01269400  -0.01553962
0.01359580  -0.01589609
0.01453431  -0.01623773
0.01551035  -0.01656554
0.01652468  -0.01688042
0.01757804  -0.01718325
0.01867112  -0.01747485
0.01980455  -0.01775600
0.02097894  -0.01802743
0.02219482  -0.01828983
0.02345269  -0.01854384
0.02475300  -0.01879007
0.02609613  -0.01902909
0.02748242  -0.01926143
0.02891216  -0.01948759
0.03038557  -0.01970804
0.03190282  -0.01992321
0.03346405  -0.02013351
0.03506931  -0.02033929
0.03671861  -0.02054092
0.03841192  -0.02073871
0.04014914  -0.02093296
0.04193012  -0.02112392
0.04375467  -0.02131186
0.04562253  -0.02149698
0.04753340  -0.02167950
0.04948695  -0.02185959
0.05148277  -0.02203742
0.05352042  -0.02221312
0.05559942  -0.02238683
0.05771924  -0.02255865
0.05987931  -0.02272867
0.06207901  -0.02289697
0.06431770  -0.02306361
0.06659470  -0.02322864
0.06890927  -0.02339209
0.07126066  -0.02355399
0.07364809  -0.02371433
0.07607073  -0.02387312
0.07852774  -0.02403035
0.08101824  -0.02418599
0.08354133  -0.02434001
0.08609609  -0.02449236
0.08868158  -0.02464299
0.09129684  -0.02479185
0.09394087  -0.02493886
0.09661269  -0.02508396
0.09931128  -0.02522704
0.10203562  -0.02536804
0.10478467  -0.02550685
0.10755739  -0.02564338
0.11035274  -0.02577751
0.11316966  -0.02590913
0.11600708  -0.02603814
0.11886396  -0.02616442
0.12173922  -0.02628783
0.12463182  -0.02640826
0.12754069  -0.02652557
0.13046478  -0.02663964
0.13340306  -0.02675032
0.13635449  -0.02685749
0.13931804  -0.02696100
0.14229270  -0.02706072
0.14527747  -0.02715651
0.14827135  -0.02724821
0.15127338  -0.02733570
0.15428260  -0.02741883
0.15729807  -0.02749745
0.16031888  -0.02757143
0.16334413  -0.02764063
0.16637294  -0.02770489
0.16940447  -0.02776409
0.17243787  -0.02781809
0.17547236  -0.02786674
0.17850716  -0.02790992
0.18154151  -0.02794748
0.18457470  -0.02797931
0.18760603  -0.02800527
0.19063485  -0.02802523
0.19366052  -0.02803907
0.19668244  -0.02804668
0.19970006  -0.02804793
0.20271284  -0.02804271
0.20572027  -0.02803092
0.20872190  -0.02801244
0.21171729  -0.02798718
0.21470606  -0.02795503
0.21768785  -0.02791591
0.22066233  -0.02786972
0.22362923  -0.02781638
0.22658830  -0.02775582
0.22953933  -0.02768795
0.23248215  -0.02761271
0.23541663  -0.02753004
0.23834268  -0.02743987
0.24126025  -0.02734215
0.24416932  -0.02723683
0.24706991  -0.02712388
0.24996209  -0.02700326
0.25284596  -0.02687493
0.25572166  -0.02673887
0.25858937  -0.02659507
0.26144931  -0.02644351
0.26430175  -0.02628419
0.26714696  -0.02611711
0.26998530  -0.02594227
0.27281713  -0.02575969
0.27564286  -0.02556939
0.27846295  -0.02537140
0.28127787  -0.02516575
0.28408814  -0.02495248
0.28689433  -0.02473164
0.28969702  -0.02450327
0.29249685  -0.02426745
0.29529447  -0.02402424
0.29809059  -0.02377371
0.30088593  -0.02351594
0.30368126  -0.02325102
0.30647736  -0.02297904
0.30927506  -0.02270011
0.31207523  -0.02241433
0.31487873  -0.02212181
0.31768650  -0.02182268
0.32049946  -0.02151706
0.32331858  -0.02120508
0.32614487  -0.02088689
0.32897933  -0.02056262
0.33182301  -0.02023244
0.33467698  -0.01989650
0.33754231  -0.01955496
0.34042013  -0.01920799
0.34331155  -0.01885577
0.34621772  -0.01849848
0.34913981  -0.01813631
0.35207898  -0.01776945
0.35503643  -0.01739809
0.35801337  -0.01702244
0.36101101  -0.01664271
0.36403058  -0.01625911
0.36707332  -0.01587185
0.37014046  -0.01548116
0.37323326  -0.01508726
0.37635297  -0.01469039
0.37950085  -0.01429077
0.38267816  -0.01388865
0.38588614  -0.01348427
0.38912607  -0.01307787
0.39239920  -0.01266969
