# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 04596
# Species         : Phedinopsis_brazzae
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 99.80 mm
# Secondary1       : 52.70 mm
# Kipps Distance   : 47.10 mm
# Hand-Wing Index  : 47.20
# Tail Length      : 50.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.894
# Pointedness Index: 0.4719
# Efficiency Index : 0.2228
# Wing Loading Proxy: 0.0374
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1577  at x/c = 0.2547
# Max f/c          : 0.0526  at x/c = 0.3317
# Est. Reynolds    : 2.02e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939151  0.00008814
0.99866487  0.00020527
0.99781336  0.00035117
0.99683101  0.00052562
0.99571254  0.00072837
0.99445335  0.00095917
0.99304946  0.00121775
0.99149751  0.00150382
0.98979470  0.00181709
0.98793879  0.00215726
0.98592803  0.00252400
0.98376119  0.00291700
0.98143748  0.00333591
0.97895654  0.00378039
0.97631843  0.00425008
0.97352361  0.00474461
0.97057287  0.00526361
0.96746738  0.00580670
0.96420858  0.00637350
0.96079826  0.00696360
0.95723845  0.00757660
0.95353145  0.00821210
0.94967981  0.00886968
0.94568628  0.00954893
0.94155384  0.01024940
0.93728563  0.01097069
0.93288498  0.01171235
0.92835539  0.01247394
0.92370046  0.01325502
0.91892395  0.01405515
0.91402974  0.01487388
0.90902178  0.01571076
0.90390413  0.01656533
0.89868093  0.01743713
0.89335637  0.01832572
0.88793470  0.01923062
0.88242023  0.02015137
0.87681729  0.02108752
0.87113022  0.02203860
0.86536341  0.02300414
0.85952124  0.02398369
0.85360808  0.02497676
0.84762830  0.02598291
0.84158626  0.02700165
0.83548630  0.02803254
0.82933272  0.02907510
0.82312979  0.03012886
0.81688174  0.03119337
0.81059274  0.03226817
0.80426694  0.03335279
0.79790841  0.03444677
0.79152116  0.03554966
0.78510913  0.03666100
0.77867623  0.03778034
0.77222624  0.03890722
0.76576290  0.04004119
0.75928988  0.04118181
0.75281073  0.04232863
0.74632895  0.04348121
0.73984795  0.04463911
0.73337103  0.04580188
0.72690142  0.04696911
0.72044226  0.04814035
0.71399657  0.04931518
0.70756730  0.05049317
0.70115729  0.05167390
0.69476930  0.05285695
0.68840598  0.05404192
0.68206988  0.05522838
0.67576346  0.05641593
0.66948907  0.05760416
0.66324896  0.05879268
0.65704530  0.05998110
0.65088015  0.06116901
0.64475545  0.06235602
0.63867308  0.06354177
0.63263479  0.06472586
0.62664226  0.06590792
0.62069704  0.06708758
0.61480061  0.06826447
0.60895436  0.06943823
0.60315956  0.07060850
0.59741741  0.07177493
0.59172900  0.07293716
0.58609534  0.07409485
0.58051735  0.07524767
0.57499587  0.07639526
0.56953164  0.07753731
0.56412532  0.07867349
0.55877748  0.07980346
0.55348862  0.08092693
0.54825916  0.08204356
0.54308943  0.08315306
0.53797968  0.08425511
0.53293011  0.08534943
0.52794083  0.08643571
0.52301186  0.08751367
0.51814319  0.08858301
0.51333470  0.08964347
0.50858625  0.09069476
0.50389760  0.09173662
0.49926845  0.09276877
0.49469847  0.09379096
0.49018723  0.09480293
0.48573428  0.09580442
0.48133910  0.09679520
0.47700110  0.09777501
0.47271968  0.09874362
0.46849417  0.09970080
0.46432384  0.10064631
0.46020793  0.10157994
0.45614565  0.10250147
0.45213615  0.10341067
0.44817854  0.10430734
0.44427192  0.10519128
0.44041533  0.10606228
0.43660778  0.10692016
0.43284826  0.10776470
0.42913573  0.10859574
0.42546911  0.10941308
0.42184731  0.11021656
0.41826922  0.11100599
0.41473369  0.11178121
0.41123957  0.11254205
0.40778568  0.11328835
0.40437083  0.11401996
0.40099382  0.11473673
0.39765343  0.11543850
0.39434844  0.11612514
0.39107760  0.11679651
0.38783969  0.11745248
0.38463344  0.11809291
0.38145762  0.11871768
0.37831096  0.11932667
0.37519223  0.11991976
0.37210016  0.12049684
0.36903351  0.12105780
0.36599103  0.12160253
0.36297149  0.12213094
0.35997367  0.12264293
0.35699632  0.12313840
0.35403826  0.12361727
0.35109827  0.12407946
0.34817518  0.12452487
0.34526780  0.12495344
0.34237498  0.12536509
0.33949559  0.12575976
0.33662849  0.12613737
0.33377260  0.12649786
0.33092682  0.12684119
0.32809009  0.12716728
0.32526138  0.12747610
0.32243968  0.12776759
0.31962399  0.12804172
0.31681334  0.12829843
0.31400681  0.12853770
0.31120348  0.12875949
0.30840247  0.12896377
0.30560293  0.12915052
0.30280403  0.12931970
0.30000499  0.12947131
0.29720504  0.12960532
0.29440345  0.12972172
0.29159954  0.12982050
0.28879265  0.12990165
0.28598213  0.12996517
0.28316742  0.13001106
0.28034794  0.13003931
0.27752318  0.13004994
0.27469265  0.13004294
0.27185592  0.13001834
0.26901256  0.12997613
0.26616220  0.12991634
0.26330451  0.12983899
0.26043920  0.12974409
0.25756601  0.12963167
0.25468471  0.12950175
0.25179512  0.12935437
0.24889710  0.12918955
0.24599056  0.12900732
0.24307542  0.12880772
0.24015165  0.12859079
0.23721928  0.12835656
0.23427835  0.12810508
0.23132895  0.12783639
0.22837121  0.12755053
0.22540531  0.12724756
0.22243143  0.12692751
0.21944983  0.12659044
0.21646079  0.12623641
0.21346462  0.12586547
0.21046168  0.12547766
0.20745235  0.12507306
0.20443707  0.12465171
0.20141628  0.12421367
0.19839050  0.12375902
0.19536024  0.12328780
0.19232606  0.12280008
0.18928857  0.12229593
0.18624838  0.12177542
0.18320616  0.12123859
0.18016259  0.12068554
0.17711839  0.12011631
0.17407430  0.11953098
0.17103110  0.11892963
0.16798958  0.11831231
0.16495057  0.11767910
0.16191491  0.11703006
0.15888348  0.11636528
0.15585716  0.11568482
0.15283688  0.11498875
