# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06055
# Species         : Oriolus_percivali
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 129.60 mm
# Secondary1       : 99.50 mm
# Kipps Distance   : 31.20 mm
# Hand-Wing Index  : 23.80
# Tail Length      : 90.50 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.303
# Pointedness Index: 0.2407
# Efficiency Index : 0.0573
# Wing Loading Proxy: 0.0144
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1864  at x/c = 0.2683
# Max f/c          : 0.0584  at x/c = 0.3467
# Est. Reynolds    : 2.32e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939163  0.00009027
0.99866576  0.00021377
0.99781630  0.00037026
0.99683783  0.00055947
0.99572558  0.00078113
0.99447543  0.00103494
0.99308381  0.00132061
0.99154774  0.00163781
0.98986476  0.00198621
0.98803293  0.00236546
0.98605077  0.00277522
0.98391727  0.00321510
0.98163184  0.00368474
0.97919431  0.00418375
0.97660485  0.00471171
0.97386405  0.00526823
0.97097278  0.00585289
0.96793226  0.00646526
0.96474400  0.00710490
0.96140977  0.00777137
0.95793163  0.00846423
0.95431185  0.00918301
0.95055293  0.00992724
0.94665758  0.01069647
0.94262871  0.01149021
0.93846937  0.01230799
0.93418281  0.01314930
0.92977240  0.01401368
0.92524164  0.01490060
0.92059416  0.01580959
0.91583368  0.01674013
0.91096403  0.01769172
0.90598912  0.01866384
0.90091291  0.01965598
0.89573943  0.02066763
0.89047278  0.02169827
0.88511707  0.02274738
0.87967645  0.02381444
0.87415509  0.02489891
0.86855720  0.02600029
0.86288695  0.02711804
0.85714854  0.02825163
0.85134616  0.02940055
0.84548396  0.03056425
0.83956609  0.03174223
0.83359666  0.03293394
0.82757975  0.03413887
0.82151940  0.03535648
0.81541961  0.03658626
0.80928433  0.03782768
0.80311743  0.03908021
0.79692275  0.04034334
0.79070407  0.04161654
0.78446509  0.04289930
0.77820944  0.04419111
0.77194068  0.04549144
0.76566230  0.04679979
0.75937771  0.04811564
0.75309023  0.04943850
0.74680311  0.05076785
0.74051952  0.05210319
0.73424252  0.05344404
0.72797510  0.05478988
0.72172016  0.05614024
0.71548050  0.05749461
0.70925885  0.05885253
0.70305781  0.06021349
0.69687992  0.06157703
0.69072762  0.06294268
0.68460324  0.06430995
0.67850902  0.06567839
0.67244714  0.06704753
0.66641963  0.06841692
0.66042846  0.06978610
0.65447549  0.07115461
0.64856252  0.07252203
0.64269120  0.07388789
0.63686314  0.07525177
0.63107982  0.07661324
0.62534266  0.07797187
0.61965296  0.07932723
0.61401195  0.08067891
0.60842077  0.08202650
0.60288046  0.08336958
0.59739198  0.08470776
0.59195621  0.08604063
0.58657394  0.08736781
0.58124589  0.08868890
0.57597267  0.09000352
0.57075485  0.09131130
0.56559288  0.09261186
0.56048717  0.09390483
0.55543804  0.09518986
0.55044572  0.09646658
0.54551039  0.09773464
0.54063216  0.09899371
0.53581106  0.10024343
0.53104707  0.10148347
0.52634007  0.10271350
0.52168992  0.10393320
0.51709639  0.10514225
0.51255920  0.10634033
0.50807803  0.10752714
0.50365246  0.10870237
0.49928206  0.10986572
0.49496633  0.11101691
0.49070471  0.11215564
0.48649661  0.11328164
0.48234140  0.11439463
0.47823836  0.11549434
0.47418679  0.11658051
0.47018591  0.11765287
0.46623490  0.11871117
0.46233292  0.11975517
0.45847910  0.12078462
0.45467250  0.12179928
0.45091220  0.12279893
0.44719721  0.12378333
0.44352653  0.12475227
0.43989913  0.12570553
0.43631396  0.12664289
0.43276994  0.12756417
0.42926599  0.12846915
0.42580098  0.12935764
0.42237379  0.13022946
0.41898326  0.13108442
0.41562826  0.13192234
0.41230759  0.13274305
0.40902008  0.13354638
0.40576455  0.13433217
0.40253979  0.13510027
0.39934461  0.13585052
0.39617780  0.13658278
0.39303815  0.13729690
0.38992447  0.13799275
0.38683554  0.13867019
0.38377015  0.13932911
0.38072712  0.13996938
0.37770525  0.14059088
0.37470334  0.14119351
0.37172023  0.14177715
0.36875474  0.14234171
0.36580571  0.14288709
0.36287200  0.14341320
0.35995248  0.14391995
0.35704602  0.14440726
0.35415153  0.14487505
0.35126791  0.14532326
0.34839411  0.14575181
0.34552907  0.14616063
0.34267177  0.14654969
0.33982120  0.14691890
0.33697638  0.14726824
0.33413634  0.14759765
0.33130016  0.14790710
0.32846692  0.14819654
0.32563574  0.14846594
0.32280576  0.14871528
0.31997615  0.14894453
0.31714612  0.14915368
0.31431488  0.14934270
0.31148171  0.14951159
0.30864589  0.14966034
0.30580675  0.14978895
0.30296363  0.14989741
0.30011593  0.14998573
0.29726307  0.15005391
0.29440450  0.15010198
0.29153972  0.15012994
0.28866823  0.15013782
0.28578962  0.15012562
0.28290346  0.15009339
0.28000940  0.15004115
