# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06320
# Species         : Seiurus_aurocapilla
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 73.20 mm
# Secondary1       : 55.10 mm
# Kipps Distance   : 18.30 mm
# Hand-Wing Index  : 24.90
# Tail Length      : 50.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.328
# Pointedness Index: 0.2500
# Efficiency Index : 0.0622
# Wing Loading Proxy: 0.0264
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1896  at x/c = 0.2677
# Max f/c          : 0.0583  at x/c = 0.3467
# Est. Reynolds    : 1.14e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939162  0.00009034
0.99866572  0.00021404
0.99781616  0.00037086
0.99683751  0.00056055
0.99572497  0.00078283
0.99447439  0.00103743
0.99308219  0.00132403
0.99154538  0.00164233
0.98986147  0.00199200
0.98802850  0.00237270
0.98604500  0.00278407
0.98390993  0.00322576
0.98162271  0.00369739
0.97918313  0.00419857
0.97659139  0.00472890
0.97384804  0.00528799
0.97095398  0.00587542
0.96791041  0.00649077
0.96471883  0.00713359
0.96138103  0.00780347
0.95789904  0.00849993
0.95427516  0.00922254
0.95051188  0.00997083
0.94661192  0.01074433
0.94257818  0.01154257
0.93841373  0.01236507
0.93412180  0.01321134
0.92970579  0.01408090
0.92516919  0.01497325
0.92051564  0.01588789
0.91574888  0.01682432
0.91087273  0.01778203
0.90589111  0.01876051
0.90080799  0.01975925
0.89562741  0.02077774
0.89035347  0.02181545
0.88499029  0.02287187
0.87954204  0.02394647
0.87401290  0.02503873
0.86840706  0.02614812
0.86272874  0.02727413
0.85698211  0.02841621
0.85117139  0.02957385
0.84530073  0.03074651
0.83937430  0.03193367
0.83339622  0.03313480
0.82737057  0.03434937
0.82130140  0.03557684
0.81519271  0.03681671
0.80904847  0.03806843
0.80287256  0.03933148
0.79666884  0.04060535
0.79044107  0.04188950
0.78419297  0.04318341
0.77792818  0.04448657
0.77165028  0.04579846
0.76536275  0.04711857
0.75906901  0.04844637
0.75277240  0.04978137
0.74647618  0.05112305
0.74018349  0.05247090
0.73389744  0.05382443
0.72762101  0.05518313
0.72135711  0.05654651
0.71510854  0.05791407
0.70887803  0.05928533
0.70266821  0.06065980
0.69648161  0.06203699
0.69032067  0.06341642
0.68418774  0.06479763
0.67808506  0.06618013
0.67201480  0.06756347
0.66597902  0.06894717
0.65997968  0.07033077
0.65401865  0.07171383
0.64809771  0.07309588
0.64221856  0.07447649
0.63638277  0.07585521
0.63059186  0.07723161
0.62484722  0.07860524
0.61915017  0.07997568
0.61350194  0.08134251
0.60790367  0.08270531
0.60235641  0.08406366
0.59686113  0.08541716
0.59141869  0.08676539
0.58602989  0.08810797
