# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06341
# Species         : Setophaga_occidentalis
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 66.90 mm
# Secondary1       : 48.80 mm
# Kipps Distance   : 18.00 mm
# Hand-Wing Index  : 26.90
# Tail Length      : 52.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.371
# Pointedness Index: 0.2691
# Efficiency Index : 0.0724
# Wing Loading Proxy: 0.0262
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1878  at x/c = 0.2666
# Max f/c          : 0.0579  at x/c = 0.3417
# Est. Reynolds    : 1.01e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939161  0.00009020
0.99866564  0.00021349
0.99781591  0.00036963
0.99683692  0.00055837
0.99572386  0.00077944
0.99447250  0.00103256
0.99307926  0.00131743
0.99154108  0.00163373
0.98985548  0.00198115
0.98802046  0.00235934
0.98603451  0.00276796
0.98389659  0.00320665
0.98160610  0.00367504
0.97916281  0.00417273
0.97656691  0.00469935
0.97381895  0.00525448
0.97091980  0.00583772
0.96787067  0.00644865
0.96467307  0.00708683
0.96132876  0.00775184
0.95783980  0.00844322
0.95420846  0.00916053
0.95043726  0.00990331
0.94652890  0.01067110
0.94248631  0.01146341
0.93831255  0.01227979
0.93401088  0.01311974
0.92958467  0.01398278
0.92503746  0.01486842
0.92037289  0.01577616
0.91559470  0.01670551
0.91070673  0.01765596
0.90571290  0.01862701
0.90061722  0.01961815
0.89542373  0.02062886
0.89013654  0.02165863
0.88475979  0.02270695
0.87929767  0.02377330
0.87375436  0.02485715
0.86813409  0.02595799
0.86244107  0.02707529
0.85667951  0.02820853
0.85085362  0.02935718
0.84496760  0.03052073
0.83902560  0.03169865
0.83303178  0.03289040
0.82699023  0.03409548
0.82090502  0.03531335
0.81478016  0.03654349
0.80861964  0.03778538
0.80242735  0.03903850
0.79620717  0.04030233
0.78996287  0.04157635
0.78369820  0.04286004
0.77741680  0.04415288
0.77112227  0.04545437
0.76481810  0.04676399
0.75850774  0.04808124
0.75219452  0.04940561
0.74588172  0.05073658
0.73957252  0.05207367
0.73327001  0.05341637
0.72697719  0.05476419
0.72069698  0.05611664
0.71443221  0.05747322
0.70818561  0.05883345
0.70195981  0.06019684
0.69575736  0.06156293
0.68958071  0.06293122
0.68343222  0.06430126
0.67731415  0.06567257
0.67122866  0.06704468
0.66517782  0.06841715
0.65916361  0.06978950
0.65318791  0.07116130
0.64725250  0.07253209
0.64135908  0.07390143
0.63550924  0.07526889
0.62970449  0.07663402
0.62394624  0.07799639
0.61823582  0.07935560
0.61257445  0.08071120
0.60696329  0.08206279
0.60140337  0.08340996
0.59589568  0.08475229
0.59044110  0.08608940
0.58504041  0.08742088
0.57969434  0.08874634
0.57440352  0.09006540
0.56916850  0.09137767
0.56398976  0.09268279
0.55886769  0.09398037
0.55380261  0.09527005
0.54879477  0.09655148
0.54384435  0.09782430
0.53895145  0.09908816
0.53411610  0.10034271
0.52933829  0.10158762
0.52461789  0.10282255
0.51995477  0.10404717
0.51534870  0.10526117
0.51079939  0.10646422
0.50630650  0.10765600
0.50186965  0.10883623
0.49748838  0.11000458
0.49316220  0.11116078
0.48889054  0.11230452
0.48467280  0.11343552
0.48050835  0.11455351
0.47639649  0.11565820
0.47233649  0.11674934
0.46832756  0.11782665
0.46436890  0.11888988
0.46045966  0.11993878
0.45659894  0.12097310
0.45278584  0.12199260
0.44901939  0.12299705
0.44529862  0.12398621
0.44162252  0.12495986
0.43799006  0.12591777
0.43440017  0.12685975
0.43085178  0.12778557
0.42734379  0.12869503
0.42387508  0.12958794
0.42044451  0.13046411
0.41705093  0.13132334
0.41369318  0.13216545
0.41037007  0.13299028
0.40708043  0.13379763
0.40382306  0.13458736
0.40059675  0.13535930
