# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 06543
# Species         : Passer_zarudnyi
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 72.90 mm
# Secondary1       : 55.10 mm
# Kipps Distance   : 17.80 mm
# Hand-Wing Index  : 24.40
# Tail Length      : 62.10 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.323
# Pointedness Index: 0.2442
# Efficiency Index : 0.0596
# Wing Loading Proxy: 0.0213
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1904  at x/c = 0.2680
# Max f/c          : 0.0584  at x/c = 0.3467
# Est. Reynolds    : 1.11e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939162  0.00009038
0.99866573  0.00021422
0.99781622  0.00037128
0.99683765  0.00056129
0.99572525  0.00078400
0.99447486  0.00103910
0.99308293  0.00132631
0.99154645  0.00164531
0.98986296  0.00199576
0.98803051  0.00237734
0.98604762  0.00278968
0.98391327  0.00323243
0.98162686  0.00370520
0.97918821  0.00420762
0.97659751  0.00473929
0.97385532  0.00529979
0.97096252  0.00588873
0.96792034  0.00650566
0.96473027  0.00715017
0.96139409  0.00782181
0.95791385  0.00852012
0.95429184  0.00924467
0.95053054  0.00999498
0.94663268  0.01077058
0.94260114  0.01157101
0.93843902  0.01239577
0.93414953  0.01324439
0.92973606  0.01411638
0.92520212  0.01501124
0.92055133  0.01592846
0.91578743  0.01686755
0.91091423  0.01782800
0.90593566  0.01880929
0.90085568  0.01981092
0.89567833  0.02083237
0.89040770  0.02187312
0.88504792  0.02293264
0.87960313  0.02401041
0.87407753  0.02510591
0.86847531  0.02621862
0.86280065  0.02734800
0.85705777  0.02849352
0.85125083  0.02965466
0.84538402  0.03083089
0.83946148  0.03202167
0.83348733  0.03322649
0.82746565  0.03444480
0.82140049  0.03567607
0.81529585  0.03691979
0.80915568  0.03817542
0.80298387  0.03944244
0.79678426  0.04072031
0.79056062  0.04200852
0.78431667  0.04330655
0.77805603  0.04461387
0.77178229  0.04592996
0.76549892  0.04725431
0.75920934  0.04858640
0.75291688  0.04992572
0.74662480  0.05127176
0.74033625  0.05262402
0.73405432  0.05398198
0.72778198  0.05534515
0.72152216  0.05671304
0.71527764  0.05808514
0.70905116  0.05946096
0.70284534  0.06084001
0.69666270  0.06222182
0.69050569  0.06360590
0.68437665  0.06499176
0.67827783  0.06637895
0.67221138  0.06776699
0.66617936  0.06915540
0.66018374  0.07054374
0.65422638  0.07193155
0.64830908  0.07331837
0.64243349  0.07470375
0.63660123  0.07608725
0.63081377  0.07746843
0.62507254  0.07884686
0.61937885  0.08022210
0.61373391  0.08159373
0.60813888  0.08296133
0.60259479  0.08432448
0.59710261  0.08568277
0.59166322  0.08703580
0.58627741  0.08838317
0.58094589  0.08972447
0.57566929  0.09105932
0.57044817  0.09238733
0.56528298  0.09370813
0.56017414  0.09502133
0.55512195  0.09632657
0.55012666  0.09762347
0.54518844  0.09891169
0.54030741  0.10019087
0.53548359  0.10146066
0.53071696  0.10272071
0.52600742  0.10397068
0.52135480  0.10521026
0.51675889  0.10643910
0.51221941  0.10765688
0.50773602  0.10886330
0.50330833  0.11005803
0.49893589  0.11124078
0.49461819  0.11241124
0.49035470  0.11356912
0.48614481  0.11471413
0.48198787  0.11584599
0.47788321  0.11696442
0.47383008  0.11806915
0.46982773  0.11915991
0.46587532  0.12023645
0.46197203  0.12129850
0.45811697  0.12234581
0.45430921  0.12337815
0.45054782  0.12439527
0.44683182  0.12539693
0.44316020  0.12638293
0.43953194  0.12735302
0.43594598  0.12830699
0.43240124  0.12924464
0.42889663  0.13016575
0.42543104  0.13107013
0.42200334  0.13195758
0.41861237  0.13282791
0.41525698  0.13368094
0.41193600  0.13451649
0.40864824  0.13533438
0.40539252  0.13613445
0.40216763  0.13691654
0.39897238  0.13768049
0.39580557  0.13842614
0.39266597  0.13915336
0.38955240  0.13986199
0.38646363  0.14055190
0.38339847  0.14122296
0.38035571  0.14187505
0.37733417  0.14250805
0.37433264  0.14312183
0.37134996  0.14371629
0.36838495  0.14429133
0.36543646  0.14484683
0.36250333  0.14538271
0.35958443  0.14589888
0.35667864  0.14639525
0.35378487  0.14687174
0.35090201  0.14732826
0.34802902  0.14776477
0.34516483  0.14818117
0.34230842  0.14857742
0.33945878  0.14895345
0.33661492  0.14930922
0.33377590  0.14964467
0.33094077  0.14995976
0.32810861  0.15025446
0.32527855  0.15052872
0.32244973  0.15078252
0.31962132  0.15101582
0.31679251  0.15122862
0.31396254  0.15142089
0.31113067  0.15159261
0.30829618  0.15174379
0.30545840  0.15187440
0.30261668  0.15198445
0.29977040  0.15207395
0.29691900  0.15214290
0.29406191  0.15219131
0.29119864  0.15221919
0.28832871  0.15222655
0.28545166  0.15221344
0.28256711  0.15217985
0.27967468  0.15212583
0.27677403  0.15205140
0.27386488  0.15195660
0.27094696  0.15184147
0.26802005  0.15170604
0.26508396  0.15155036
0.26213855  0.15137448
0.25918372  0.15117845
0.25621938  0.15096231
0.25324550  0.15072613
0.25026209  0.15046995
0.24726919  0.15019385
0.24426687  0.14989788
0.24125526  0.14958210
0.23823449  0.14924659
0.23520478  0.14889141
0.23216633  0.14851664
0.22911942  0.14812234
0.22606434  0.14770859
0.22300142  0.14727547
0.21993105  0.14682305
0.21685361  0.14635142
0.21376955  0.14586065
0.21067935  0.14535082
0.20758351  0.14482203
0.20448257  0.14427434
0.20137710  0.14370786
0.19826770  0.14312266
0.19515500  0.14251882
0.19203967  0.14189644
0.18892240  0.14125561
0.18580391  0.14059640
0.18268495  0.13991891
0.17956628  0.13922323
0.17644871  0.13850944
0.17333307  0.13777762
0.17022019  0.13702788
0.16711094  0.13626028
0.16400622  0.13547492
0.16090694  0.13467188
0.15781402  0.13385125
0.15472842  0.13301311
0.15165108  0.13215753
0.14858300  0.13128460
0.14552516  0.13039441
0.14247856  0.12948701
0.13944422  0.12856250
0.13642317  0.12762094
0.13341643  0.12666240
0.13042504  0.12568695
0.12745004  0.12469467
0.12449249  0.12368561
0.12155343  0.12265984
0.11863391  0.12161741
0.11573498  0.12055838
0.11285768  0.11948281
0.11000305  0.11839075
0.10717213  0.11728224
0.10436594  0.11615732
0.10158549  0.11501604
0.09883180  0.11385843
0.09610585  0.11268454
0.09340862  0.11149437
0.09074107  0.11028797
0.08810414  0.10906536
0.08549876  0.10782654
0.08292583  0.10657155
0.08038621  0.10530037
0.07788077  0.10401303
0.07541033  0.10270952
0.07297568  0.10138984
0.07057760  0.10005397
0.06821681  0.09870192
0.06589402  0.09733365
0.06360989  0.09594916
0.06136506  0.09454841
0.05916012  0.09313138
0.05699562  0.09169803
0.05487208  0.09024831
0.05278996  0.08878220
0.05074970  0.08729963
0.04875168  0.08580056
0.04679623  0.08428494
0.04488366  0.08275269
0.04301420  0.08120376
0.04118805  0.07963807
0.03940536  0.07805556
0.03766624  0.07645615
0.03597072  0.07483976
0.03431882  0.07320631
0.03271048  0.07155570
0.03114559  0.06988786
0.02962402  0.06820269
0.02814555  0.06650010
0.02670993  0.06477999
0.02531688  0.06304226
0.02396603  0.06128682
0.02265700  0.05951358
0.02138934  0.05772242
0.02016257  0.05591325
0.01897616  0.05408596
0.01782955  0.05224048
0.01672211  0.05037668
0.01565322  0.04849449
0.01462219  0.04659381
0.01362831  0.04467454
0.01267084  0.04273662
0.01174904  0.04077994
0.01086211  0.03880445
0.01000927  0.03681007
0.00918971  0.03479675
0.00840261  0.03276442
0.00764718  0.03071304
0.00692259  0.02864259
0.00622807  0.02655303
0.00556283  0.02444436
0.00492613  0.02231658
0.00431725  0.02016970
0.00373553  0.01800376
0.00318033  0.01581880
0.00265111  0.01361489
0.00214737  0.01139212
0.00166870  0.00915061
0.00121479  0.00689046
0.00078541  0.00461186
0.00038047  0.00231497
0.00000000  0.00000000
0.00038047  -0.00140216
0.00078541  -0.00273452
0.00121479  -0.00400071
0.00166870  -0.00520424
0.00214737  -0.00634844
0.00265111  -0.00743651
0.00318033  -0.00847147
0.00373553  -0.00945625
0.00431725  -0.01039361
0.00492613  -0.01128621
0.00556283  -0.01213655
0.00622807  -0.01294706
0.00692259  -0.01372003
0.00764718  -0.01445763
0.00840261  -0.01516195
0.00918971  -0.01583497
0.01000927  -0.01647857
0.01086211  -0.01709454
0.01174904  -0.01768458
0.01267084  -0.01825031
0.01362831  -0.01879326
0.01462219  -0.01931489
0.01565322  -0.01981658
0.01672211  -0.02029963
0.01782955  -0.02076528
0.01897616  -0.02121469
0.02016257  -0.02164899
0.02138934  -0.02206921
0.02265700  -0.02247633
0.02396603  -0.02287128
0.02531688  -0.02325495
0.02670993  -0.02362814
0.02814555  -0.02399164
0.02962402  -0.02434616
0.03114559  -0.02469238
0.03271048  -0.02503094
0.03431882  -0.02536243
0.03597072  -0.02568740
0.03766624  -0.02600635
0.03940536  -0.02631977
0.04118805  -0.02662810
0.04301420  -0.02693172
0.04488366  -0.02723103
0.04679623  -0.02752636
0.04875168  -0.02781801
0.05074970  -0.02810628
0.05278996  -0.02839140
0.05487208  -0.02867362
0.05699562  -0.02895313
0.05916012  -0.02923012
0.06136506  -0.02950473
0.06360989  -0.02977710
0.06589402  -0.03004734
0.06821681  -0.03031554
0.07057760  -0.03058178
0.07297568  -0.03084612
0.07541033  -0.03110858
0.07788077  -0.03136919
0.08038621  -0.03162796
0.08292583  -0.03188486
0.08549876  -0.03213989
0.08810414  -0.03239301
0.09074107  -0.03264415
0.09340862  -0.03289327
0.09610585  -0.03314027
0.09883180  -0.03338509
0.10158549  -0.03362763
0.10436594  -0.03386777
0.10717213  -0.03410541
0.11000305  -0.03434043
0.11285768  -0.03457269
0.11573498  -0.03480205
0.11863391  -0.03502838
0.12155343  -0.03525152
0.12449249  -0.03547131
0.12745004  -0.03568760
0.13042504  -0.03590021
0.13341643  -0.03610897
0.13642317  -0.03631372
0.13944422  -0.03651426
0.14247856  -0.03671043
0.14552516  -0.03690202
0.14858300  -0.03708886
0.15165108  -0.03727076
0.15472842  -0.03744752
0.15781402  -0.03761896
0.16090694  -0.03778487
0.16400622  -0.03794508
0.16711094  -0.03809938
0.17022019  -0.03824758
0.17333307  -0.03838949
0.17644871  -0.03852492
0.17956628  -0.03865367
0.18268495  -0.03877556
0.18580391  -0.03889040
0.18892240  -0.03899801
0.19203967  -0.03909821
0.19515500  -0.03919081
0.19826770  -0.03927563
0.20137710  -0.03935251
0.20448257  -0.03942128
0.20758351  -0.03948176
0.21067935  -0.03953380
0.21376955  -0.03957724
0.21685361  -0.03961193
0.21993105  -0.03963771
0.22300142  -0.03965445
0.22606434  -0.03966201
0.22911942  -0.03966026
0.23216633  -0.03964906
0.23520478  -0.03962830
0.23823449  -0.03959786
0.24125526  -0.03955764
0.24426687  -0.03950752
0.24726919  -0.03944743
0.25026209  -0.03937727
0.25324550  -0.03929695
0.25621938  -0.03920640
0.25918372  -0.03910556
0.26213855  -0.03899436
0.26508396  -0.03887276
0.26802005  -0.03874070
0.27094696  -0.03859816
0.27386488  -0.03844509
0.27677403  -0.03828149
0.27967468  -0.03810734
0.28256711  -0.03792262
