# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07152
# Species         : Hypsipetes_leucocephalus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 117.80 mm
# Secondary1       : 88.70 mm
# Kipps Distance   : 29.10 mm
# Hand-Wing Index  : 24.70
# Tail Length      : 97.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.328
# Pointedness Index: 0.2470
# Efficiency Index : 0.0610
# Wing Loading Proxy: 0.0136
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1860  at x/c = 0.2678
# Max f/c          : 0.0583  at x/c = 0.3467
# Est. Reynolds    : 2.05e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939162  0.00009023
0.99866572  0.00021360
0.99781618  0.00036986
0.99683756  0.00055877
0.99572508  0.00078004
0.99447458  0.00103338
0.99308249  0.00131849
0.99154581  0.00163505
0.98986207  0.00198274
0.98802931  0.00236121
0.98604605  0.00277010
0.98391127  0.00320905
0.98162437  0.00367767
0.97918516  0.00417560
0.97659384  0.00470241
0.97385095  0.00525772
0.97095740  0.00584109
0.96791438  0.00645211
0.96472340  0.00709034
0.96138625  0.00775535
0.95790497  0.00844667
0.95428183  0.00916386
0.95051935  0.00990645
0.94662022  0.01067398
0.94258736  0.01146597
0.93842384  0.01228193
0.93413289  0.01312139
0.92971790  0.01398386
0.92518236  0.01486884
0.92052992  0.01577582
0.91576430  0.01670432
0.91088933  0.01765382
0.90590893  0.01862381
0.90082706  0.01961379
0.89564778  0.02062324
0.89037516  0.02165163
0.88501334  0.02269846
0.87956648  0.02376320
0.87403875  0.02484533
0.86843436  0.02594433
0.86275750  0.02705967
0.85701237  0.02819083
0.85120317  0.02933728
0.84533405  0.03049850
0.83940917  0.03167396
0.83343266  0.03286314
0.82740860  0.03406551
0.82134104  0.03528054
0.81523397  0.03650772
0.80909136  0.03774652
0.80291709  0.03899642
0.79671501  0.04025690
0.79048889  0.04152743
0.78424245  0.04280752
0.77797933  0.04409663
0.77170309  0.04539426
0.76541722  0.04669990
0.75912515  0.04801303
0.75283020  0.04933316
0.74653563  0.05065978
0.74024460  0.05199239
0.73396020  0.05333048
0.72768541  0.05467358
0.72142314  0.05602119
0.71517619  0.05737281
0.70894730  0.05872797
0.70273908  0.06008619
0.69655406  0.06144698
0.69039470  0.06280988
0.68426332  0.06417441
0.67816219  0.06554011
0.67209346  0.06690651
0.66605918  0.06827317
0.66006133  0.06963963
0.65410177  0.07100543
0.64818229  0.07237013
0.64230457  0.07373330
0.63647020  0.07509450
0.63068067  0.07645329
0.62493740  0.07780925
0.61924170  0.07916196
0.61359479  0.08051101
0.60799782  0.08185597
0.60245183  0.08319644
0.59695779  0.08453202
0.59151658  0.08586231
0.58612899  0.08718692
0.58079572  0.08850546
0.57551742  0.08981756
0.57029463  0.09112282
0.56512782  0.09242089
0.56001739  0.09371138
0.55496365  0.09499396
0.54996686  0.09626824
0.54502718  0.09753389
0.54014473  0.09879056
0.53531953  0.10003791
0.53055156  0.10127560
0.52584072  0.10250330
0.52118684  0.10372070
0.51658972  0.10492746
0.51204906  0.10612328
0.50756454  0.10730785
0.50313575  0.10848087
0.49876225  0.10964204
0.49444354  0.11079106
0.49017907  0.11192766
0.48596824  0.11305154
0.48181041  0.11416244
0.47770489  0.11526009
0.47365094  0.11634422
0.46964780  0.11741457
0.46569465  0.11847089
0.46179065  0.11951293
0.45793491  0.12054044
0.45412652  0.12155320
0.45036453  0.12255097
0.44664796  0.12353352
0.44297582  0.12450064
0.43934706  0.12545210
0.43576063  0.12638770
0.43221546  0.12730723
0.42871046  0.12821049
0.42524450  0.12909729
0.42181646  0.12996745
0.41842519  0.13082077
0.41506953  0.13165708
0.41174830  0.13247621
0.40846032  0.13327799
0.40520441  0.13406225
0.40197937  0.13482885
0.39878399  0.13557762
0.39561707  0.13630843
0.39247739  0.13702112
0.38936376  0.13771557
0.38627497  0.13839165
0.38320980  0.13904922
0.38016706  0.13968816
0.37714556  0.14030837
0.37414410  0.14090972
0.37116150  0.14149211
0.36819660  0.14205545
0.36524823  0.14259963
0.36231525  0.14312456
0.35939652  0.14363015
0.35649092  0.14411633
0.35359735  0.14458301
0.35071473  0.14503013
0.34784198  0.14545761
0.34497805  0.14586540
0.34212192  0.14625342
0.33927257  0.14662163
0.33642903  0.14696999
0.33359034  0.14729843
0.33075555  0.14760693
0.32792375  0.14789543
0.32509407  0.14816393
0.32226563  0.14841237
0.31943762  0.14864075
0.31660924  0.14884903
0.31377970  0.14903721
0.31094827  0.14920527
0.30811424  0.14935320
0.30527692  0.14948100
0.30243569  0.14958867
0.29958991  0.14967621
0.29673901  0.14974363
0.29388245  0.14979095
0.29101972  0.14981816
0.28815033  0.14982530
0.28527384  0.14981239
0.28238986  0.14977944
0.27949801  0.14972649
0.27659796  0.14965357
0.27368941  0.14956071
0.27077210  0.14944795
0.26784582  0.14931533
0.26491038  0.14916290
0.26196562  0.14899069
0.25901145  0.14879876
0.25604779  0.14858717
0.25307460  0.14835596
0.25009189  0.14810518
0.24709970  0.14783491
0.24409811  0.14754520
0.24108724  0.14723612
0.23806723  0.14690772
0.23503827  0.14656009
0.23200061  0.14619328
0.22895448  0.14580736
0.22590021  0.14540243
0.22283811  0.14497853
0.21976857  0.14453576
0.21669198  0.14407419
0.21360878  0.14359389
0.21051946  0.14309496
0.20742451  0.14257746
0.20432447  0.14204148
0.20121992  0.14148710
0.19811146  0.14091441
0.19499972  0.14032349
0.19188536  0.13971443
0.18876908  0.13908730
0.18565159  0.13844219
0.18253365  0.13777919
0.17941602  0.13709838
0.17629951  0.13639985
0.17318494  0.13568368
0.17007315  0.13494995
0.16696502  0.13419875
0.16386143  0.13343015
0.16076330  0.13264424
0.15767155  0.13184111
0.15458714  0.13102082
