# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 07443
# Species         : Sitta_leucopsis
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 77.10 mm
# Secondary1       : 56.80 mm
# Kipps Distance   : 19.60 mm
# Hand-Wing Index  : 25.60
# Tail Length      : 43.60 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.357
# Pointedness Index: 0.2542
# Efficiency Index : 0.0651
# Wing Loading Proxy: 0.0311
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1878  at x/c = 0.2673
# Max f/c          : 0.0582  at x/c = 0.3417
# Est. Reynolds    : 1.33e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939162  0.00009025
0.99866569  0.00021368
0.99781607  0.00037006
0.99683730  0.00055913
0.99572458  0.00078062
0.99447373  0.00103424
0.99308117  0.00131968
0.99154387  0.00163665
0.98985937  0.00198481
0.98802569  0.00236381
0.98604133  0.00277332
0.98390527  0.00321296
0.98161689  0.00368235
0.97917602  0.00418113
0.97658282  0.00470888
0.97383786  0.00526521
0.97094202  0.00584970
0.96789650  0.00646193
0.96470281  0.00710147
0.96136273  0.00776788
0.95787831  0.00846070
0.95425182  0.00917950
0.95048576  0.00992380
0.94658287  0.01069314
0.94254602  0.01148705
0.93837831  0.01230505
0.93408298  0.01314666
0.92966340  0.01401138
0.92512309  0.01489873
0.92046568  0.01580820
0.91569492  0.01673930
0.91081463  0.01769152
0.90582874  0.01866436
0.90074122  0.01965729
0.89555612  0.02066982
0.89027754  0.02170141
0.88490962  0.02275156
0.87945651  0.02381974
0.87392241  0.02490544
0.86831153  0.02600812
0.86262805  0.02712727
0.85687620  0.02826235
0.85106017  0.02941285
0.84518414  0.03057824
0.83925226  0.03175799
0.83326867  0.03295158
0.82723745  0.03415848
0.82116267  0.03537816
0.81504833  0.03661010
0.80889838  0.03785378
0.80271675  0.03910868
0.79650726  0.04037427
0.79027371  0.04165004
0.78401981  0.04293546
0.77774921  0.04423002
0.77146549  0.04553320
0.76517214  0.04684450
0.75887259  0.04816341
0.75257017  0.04948941
0.74626814  0.05082200
0.73996968  0.05216068
0.73367787  0.05350495
0.72739571  0.05485432
0.72112610  0.05620828
0.71487187  0.05756636
0.70863573  0.05892806
0.70242033  0.06029290
0.69622818  0.06166040
0.69006175  0.06303009
0.68392338  0.06440149
0.67781532  0.06577414
0.67173974  0.06714756
0.66569870  0.06852131
0.65969416  0.06989492
0.65372801  0.07126795
0.64780202  0.07263993
0.64191789  0.07401044
0.63607719  0.07537904
0.63028145  0.07674528
0.62453206  0.07810874
0.61883035  0.07946900
0.61317755  0.08082563
0.60757478  0.08217821
0.60202311  0.08352635
0.59652351  0.08486963
0.59107684  0.08620765
0.58568391  0.08754001
0.58034543  0.08886634
0.57506203  0.09018623
0.56983426  0.09149930
0.56466259  0.09280520
0.55954742  0.09410353
0.55448907  0.09539394
0.54948779  0.09667608
0.54454375  0.09794957
0.53965706  0.09921408
0.53482774  0.10046926
0.53005578  0.10171477
0.52534107  0.10295028
0.52068345  0.10417547
0.51608271  0.10539000
0.51153856  0.10659356
0.50705066  0.10778585
0.50261863  0.10896654
0.49824200  0.11013536
0.49392029  0.11129199
0.48965294  0.11243614
0.48543935  0.11356755
0.48127887  0.11468592
0.47717082  0.11579098
0.47311447  0.11688247
0.46910904  0.11796012
0.46515371  0.11902368
0.46124765  0.12007289
0.45738996  0.12110751
0.45357973  0.12212730
0.44981600  0.12313202
0.44609781  0.12412145
0.44242415  0.12509536
0.43879397  0.12605353
0.43520624  0.12699575
0.43165987  0.12792181
0.42815376  0.12883150
0.42468680  0.12972464
0.42125784  0.13060103
0.41786576  0.13146048
0.41450937  0.13230282
0.41118752  0.13312786
0.40789900  0.13393544
0.40464264  0.13472540
0.40141724  0.13549756
0.39822158  0.13625178
0.39505446  0.13698792
0.39191468  0.13770581
0.38880101  0.13840533
0.38571227  0.13908634
0.38264722  0.13974872
0.37960468  0.14039233
0.37658345  0.14101707
0.37358234  0.14162281
0.37060016  0.14220944
0.36763574  0.14277688
0.36468793  0.14332500
0.36175556  0.14385373
0.35883751  0.14436298
0.35593266  0.14485264
0.35303990  0.14532266
0.35015814  0.14577295
0.34728631  0.14620345
0.34442337  0.14661408
0.34156827  0.14700479
0.33872002  0.14737552
0.33587763  0.14772622
0.33304013  0.14805684
0.33020660  0.14836734
0.32737610  0.14865768
0.32454777  0.14892782
0.32172073  0.14917774
0.31889417  0.14940741
0.31606727  0.14961681
0.31323927  0.14980592
0.31040942  0.14997473
0.30757702  0.15012322
0.30474137  0.15025140
0.30190185  0.15035926
0.29905782  0.15044680
0.29620872  0.15051403
0.29335399  0.15056096
0.29049313  0.15058761
0.28762565  0.15059398
0.28475112  0.15058010
