# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08561
# Species         : Grandala_coelicolor
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 142.40 mm
# Secondary1       : 80.10 mm
# Kipps Distance   : 60.10 mm
# Hand-Wing Index  : 42.90
# Tail Length      : 91.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.778
# Pointedness Index: 0.4221
# Efficiency Index : 0.1811
# Wing Loading Proxy: 0.0195
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1614  at x/c = 0.2573
# Max f/c          : 0.0538  at x/c = 0.3367
# Est. Reynolds    : 2.62e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939153  0.00008853
0.99866503  0.00020682
0.99781390  0.00035464
0.99683226  0.00053177
0.99571494  0.00073794
0.99445740  0.00097289
0.99305577  0.00123633
0.99150674  0.00152799
0.98980757  0.00184755
0.98795609  0.00219470
0.98595059  0.00256910
0.98378987  0.00297043
0.98147319  0.00339832
0.97900023  0.00385243
0.97637107  0.00433239
0.97358617  0.00483781
0.97064636  0.00536833
0.96755280  0.00592353
0.96430697  0.00650303
0.96091063  0.00710641
0.95736583  0.00773327
0.95367486  0.00838318
0.94984025  0.00905571
0.94586477  0.00975044
0.94175135  0.01046693
0.93750315  0.01120473
0.93312347  0.01196340
0.92861578  0.01274250
0.92398367  0.01354156
0.91923087  0.01436014
0.91436123  0.01519776
0.90937869  0.01605397
0.90428727  0.01692830
0.89909108  0.01782028
0.89379428  0.01872944
0.88840110  0.01965531
0.88291581  0.02059742
0.87734269  0.02155530
0.87168608  0.02252846
0.86595031  0.02351643
0.86013973  0.02451873
0.85425868  0.02553489
0.84831150  0.02656443
0.84230251  0.02760687
0.83623602  0.02866174
0.83011628  0.02972855
0.82394753  0.03080684
0.81773397  0.03189614
0.81147975  0.03299596
0.80518896  0.03410583
0.79886564  0.03522529
0.79251378  0.03635386
0.78613729  0.03749108
0.77974002  0.03863649
0.77332575  0.03978962
0.76689818  0.04095001
0.76046093  0.04211719
0.75401754  0.04329073
0.74757147  0.04447016
0.74112611  0.04565503
0.73468473  0.04684489
0.72825052  0.04803931
0.72182660  0.04923783
0.71541597  0.05044003
0.70902156  0.05164546
0.70264618  0.05285369
0.69629257  0.05406430
0.68996334  0.05527687
0.68366103  0.05649096
0.67738808  0.05770617
0.67114683  0.05892208
0.66493950  0.06013828
0.65876823  0.06135437
0.65263508  0.06256994
0.64654197  0.06378460
0.64049077  0.06499795
0.63448320  0.06620962
0.62852093  0.06741920
0.62260551  0.06862633
0.61673840  0.06983062
0.61092096  0.07103170
0.60515448  0.07222922
0.59944012  0.07342280
0.59377899  0.07461208
0.58817208  0.07579673
0.58262030  0.07697637
0.57712448  0.07815068
0.57168536  0.07931932
0.56630358  0.08048194
0.56097973  0.08163821
0.55571429  0.08278782
0.55050767  0.08393045
0.54536021  0.08506577
0.54027217  0.08619347
0.53524372  0.08731326
0.53027497  0.08842483
0.52536597  0.08952787
0.52051668  0.09062211
0.51572701  0.09170725
0.51099678  0.09278301
0.50632579  0.09384912
0.50171373  0.09490530
0.49716026  0.09595129
0.49266497  0.09698682
0.48822740  0.09801163
0.48384704  0.09902547
0.47952333  0.10002810
0.47525563  0.10101927
0.47104329  0.10199874
0.46688560  0.10296628
0.46278181  0.10392166
0.45873111  0.10486465
0.45473267  0.10579504
0.45078561  0.10671261
0.44688904  0.10761715
0.44304199  0.10850846
0.43924349  0.10938634
0.43549254  0.11025059
0.43178810  0.11110101
0.42812911  0.11193743
0.42451448  0.11275966
0.42094311  0.11356753
0.41741385  0.11436085
0.41392557  0.11513947
0.41047709  0.11590323
0.40706724  0.11665195
0.40369482  0.11738549
0.40035861  0.11810370
0.39705742  0.11880643
0.39378999  0.11949354
0.39055512  0.12016489
0.38735155  0.12082036
0.38417805  0.12145982
0.38103337  0.12208313
0.37791627  0.12269018
0.37482550  0.12328087
0.37175984  0.12385507
0.36871803  0.12441267
0.36569886  0.12495359
0.36270110  0.12547771
0.35972354  0.12598495
0.35676497  0.12647522
0.35382421  0.12694842
0.35090008  0.12740448
0.34799140  0.12784332
0.34509703  0.12826487
0.34221584  0.12866905
0.33934672  0.12905580
0.33648856  0.12942505
0.33364029  0.12977675
0.33080086  0.13011085
0.32796923  0.13042729
0.32514440  0.13072602
0.32232538  0.13100700
0.31951121  0.13127020
0.31670095  0.13151557
0.31389372  0.13174307
0.31108862  0.13195269
0.30828481  0.13214440
0.30548146  0.13231817
0.30267780  0.13247398
0.29987307  0.13261182
0.29706653  0.13273167
0.29425751  0.13283353
0.29144534  0.13291738
0.28862939  0.13298323
0.28580908  0.13303108
0.28298385  0.13306092
0.28015319  0.13307277
0.27731661  0.13306662
0.27447366  0.13304251
0.27162393  0.13300043
0.26876706  0.13294040
0.26590270  0.13286245
0.26303056  0.13276660
0.26015038  0.13265288
0.25726194  0.13252130
0.25436505  0.13237190
0.25145958  0.13220472
0.24854541  0.13201979
0.24562248  0.13181714
0.24269076  0.13159682
0.23975026  0.13135887
0.23680103  0.13110332
0.23384315  0.13083024
0.23087676  0.13053966
0.22790201  0.13023163
0.22491910  0.12990621
0.22192827  0.12956345
0.21892981  0.12920341
0.21592401  0.12882614
0.21291123  0.12843170
0.20989186  0.12802015
0.20686631  0.12759155
0.20383503  0.12714597
0.20079852  0.12668347
0.19775731  0.12620411
0.19471194  0.12570796
0.19166300  0.12519509
0.18861112  0.12466556
0.18555694  0.12411946
