# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08582
# Species         : Sialia_mexicana
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 104.40 mm
# Secondary1       : 66.20 mm
# Kipps Distance   : 39.20 mm
# Hand-Wing Index  : 37.20
# Tail Length      : 64.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.577
# Pointedness Index: 0.3755
# Efficiency Index : 0.1397
# Wing Loading Proxy: 0.0246
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1712  at x/c = 0.2605
# Max f/c          : 0.0554  at x/c = 0.3367
# Est. Reynolds    : 1.75e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939156  0.00008917
0.99866525  0.00020939
0.99781462  0.00036041
0.99683392  0.00054200
0.99571811  0.00075391
0.99446278  0.00099584
0.99306414  0.00126752
0.99151897  0.00156865
0.98982464  0.00189891
0.98797902  0.00225798
0.98598048  0.00264552
0.98382789  0.00306118
0.98152054  0.00350461
0.97905815  0.00397544
0.97644084  0.00447329
0.97366910  0.00499777
0.97074377  0.00554849
0.96766604  0.00612504
0.96443739  0.00672701
0.96105959  0.00735399
0.95753468  0.00800554
0.95386495  0.00868124
0.95005294  0.00938065
0.94610137  0.01010332
0.94201318  0.01084879
0.93779150  0.01161663
0.93343961  0.01240636
0.92896095  0.01321752
0.92435908  0.01404965
0.91963771  0.01490226
0.91480065  0.01577490
0.90985180  0.01666707
0.90479515  0.01757829
0.89963476  0.01850809
0.89437477  0.01945597
0.88901935  0.02042144
0.88357272  0.02140402
0.87803915  0.02240322
0.87242290  0.02341854
0.86672828  0.02444948
0.86095958  0.02549556
0.85512109  0.02655628
0.84921713  0.02763114
0.84325194  0.02871965
0.83722980  0.02982131
0.83115491  0.03093563
0.82503148  0.03206212
0.81886364  0.03320027
0.81265550  0.03434960
0.80641112  0.03550962
0.80013448  0.03667984
0.79382952  0.03785976
0.78750013  0.03904891
0.78115009  0.04024679
0.77478315  0.04145293
0.76840296  0.04266684
0.76201312  0.04388805
0.75561711  0.04511607
0.74921837  0.04635045
0.74282022  0.04759069
0.73642591  0.04883634
0.73003861  0.05008693
0.72366139  0.05134201
0.71729721  0.05260110
0.71094897  0.05386376
0.70461945  0.05512953
0.69831135  0.05639796
0.69202727  0.05766861
0.68576971  0.05894104
0.67954107  0.06021481
0.67334367  0.06148949
0.66717972  0.06276464
0.66105133  0.06403984
0.65496052  0.06531467
0.64890920  0.06658871
0.64289921  0.06786155
0.63693227  0.06913277
0.63101000  0.07040198
0.62513396  0.07166877
0.61930558  0.07293275
0.61352622  0.07419352
0.60779712  0.07545069
0.60211947  0.07670390
0.59649432  0.07795275
0.59092269  0.07919687
0.58540546  0.08043590
0.57994344  0.08166947
0.57453738  0.08289723
0.56918792  0.08411882
0.56389561  0.08533389
0.55866095  0.08654209
0.55348434  0.08774309
0.54836611  0.08893656
0.54330651  0.09012215
0.53830572  0.09129956
0.53336385  0.09246846
0.52848094  0.09362853
0.52365695  0.09477946
0.51889179  0.09592096
0.51418529  0.09705272
0.50953723  0.09817445
0.50494733  0.09928585
0.50041523  0.10038665
0.49594054  0.10147656
0.49152280  0.10255531
0.48716150  0.10362263
0.48285607  0.10467826
0.47860591  0.10572194
0.47441035  0.10675341
0.47026869  0.10777243
0.46618019  0.10877875
0.46214405  0.10977213
0.45815945  0.11075234
0.45422551  0.11171914
0.45034134  0.11267233
0.44650600  0.11361167
0.44271853  0.11453695
0.43897792  0.11544797
0.43528314  0.11634451
0.43163315  0.11722639
0.42802687  0.11809340
0.42446320  0.11894536
0.42094101  0.11978209
0.41745918  0.12060340
0.41401654  0.12140911
0.41061192  0.12219907
0.40724414  0.12297310
0.40391200  0.12373104
0.40061430  0.12447274
0.39734981  0.12519804
0.39411732  0.12590681
0.39091560  0.12659890
0.38774342  0.12727417
0.38459954  0.12793249
0.38148274  0.12857373
0.37839178  0.12919777
0.37532543  0.12980450
0.37228248  0.13039379
0.36926169  0.13096553
0.36626186  0.13151963
0.36328179  0.13205599
0.36032028  0.13257449
0.35737615  0.13307506
0.35444823  0.13355761
0.35153536  0.13402205
0.34863641  0.13446830
0.34575026  0.13489629
0.34287579  0.13530594
0.34001191  0.13569720
0.33715757  0.13606999
0.33431172  0.13642427
0.33147332  0.13675997
0.32864138  0.13707705
0.32581492  0.13737545
0.32299300  0.13765514
0.32017468  0.13791607
0.31735906  0.13815822
0.31454528  0.13838155
0.31173249  0.13858603
0.30891988  0.13877164
0.30610667  0.13893836
0.30329211  0.13908617
0.30047547  0.13921506
0.29765608  0.13932502
0.29483326  0.13941604
0.29200642  0.13948812
0.28917495  0.13954127
0.28633832  0.13957547
0.28349599  0.13959075
0.28064750  0.13958712
0.27779240  0.13956457
0.27493028  0.13952314
0.27206076  0.13946284
0.26918353  0.13938369
0.26629827  0.13928572
0.26340474  0.13916895
0.26050271  0.13903342
0.25759200  0.13887917
0.25467247  0.13870621
0.25174401  0.13851460
0.24880655  0.13830438
0.24586007  0.13807558
0.24290457  0.13782826
0.23994010  0.13756246
0.23696674  0.13727824
0.23398463  0.13697563
0.23099392  0.13665471
0.22799481  0.13631553
0.22498754  0.13595813
0.22197238  0.13558260
0.21894963  0.13518898
0.21591966  0.13477733
0.21288283  0.13434774
0.20983956  0.13390025
0.20679032  0.13343495
0.20373557  0.13295189
0.20067585  0.13245115
0.19761170  0.13193281
0.19454371  0.13139693
0.19147249  0.13084359
0.18839870  0.13027286
0.18532301  0.12968483
0.18224612  0.12907956
0.17916878  0.12845713
0.17609174  0.12781762
0.17301579  0.12716111
0.16994174  0.12648768
0.16687044  0.12579741
0.16380274  0.12509037
0.16073953  0.12436664
0.15768171  0.12362631
0.15463021  0.12286945
0.15158596  0.12209614
0.14854993  0.12130647
0.14552309  0.12050050
0.14250643  0.11967831
0.13950096  0.11883999
0.13650769  0.11798561
0.13352764  0.11711524
0.13056186  0.11622896
0.12761137  0.11532685
0.12467723  0.11440898
0.12176049  0.11347541
0.11886220  0.11252622
0.11598341  0.11156149
0.11312519  0.11058127
