# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 08739
# Species         : Contopus_nigrescens
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 66.80 mm
# Secondary1       : 48.10 mm
# Kipps Distance   : 18.60 mm
# Hand-Wing Index  : 28.00
# Tail Length      : 62.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.389
# Pointedness Index: 0.2784
# Efficiency Index : 0.0780
# Wing Loading Proxy: 0.0221
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1866  at x/c = 0.2659
# Max f/c          : 0.0577  at x/c = 0.3417
# Est. Reynolds    : 1.00e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939161  0.00009011
0.99866560  0.00021314
0.99781577  0.00036884
0.99683660  0.00055697
0.99572324  0.00077726
0.99447146  0.00102942
0.99307764  0.00131316
0.99153872  0.00162817
0.98985219  0.00197413
0.98801603  0.00235070
0.98602874  0.00275753
0.98388926  0.00319426
0.98159696  0.00366053
0.97915163  0.00415595
0.97655345  0.00468013
0.97380294  0.00523268
0.97090100  0.00581317
0.96784882  0.00642120
0.96464790  0.00705633
0.96130001  0.00771814
0.95780721  0.00840618
0.95417178  0.00911999
0.95039621  0.00985913
0.94648325  0.01062313
0.94243578  0.01141153
0.93825690  0.01222384
0.93394987  0.01305959
0.92951806  0.01391830
0.92496502  0.01479948
0.92029438  0.01570263
0.91550990  0.01662725
0.91061542  0.01757286
0.90561489  0.01853893
0.90051230  0.01952498
0.89531170  0.02053047
0.89001723  0.02155492
0.88463302  0.02259779
0.87916326  0.02365858
0.87361217  0.02473677
0.86798396  0.02583183
0.86228285  0.02694326
0.85651308  0.02807052
0.85067885  0.02921310
0.84478438  0.03037047
0.83883382  0.03154211
0.83283134  0.03272751
0.82678105  0.03392613
0.82068701  0.03513746
0.81455326  0.03636098
0.80838378  0.03759617
0.80218249  0.03884250
0.79595325  0.04009947
0.78969987  0.04136655
0.78342608  0.04264323
0.77713555  0.04392901
0.77083187  0.04522336
0.76451856  0.04652578
0.75819905  0.04783576
0.75187670  0.04915280
0.74555479  0.05047641
0.73923650  0.05180607
0.73292493  0.05314129
0.72662310  0.05448159
0.72033393  0.05582647
0.71406025  0.05717544
0.70780479  0.05852802
0.70157021  0.05988374
0.69535905  0.06124211
0.68917377  0.06260266
0.68301672  0.06396492
0.67689018  0.06532844
0.67079632  0.06669273
0.66473721  0.06805736
0.65871483  0.06942186
0.65273106  0.07078579
0.64678769  0.07214871
0.64088643  0.07351016
0.63502887  0.07486972
0.62921651  0.07622695
0.62345079  0.07758143
0.61773302  0.07893274
0.61206443  0.08028045
0.60644618  0.08162416
0.60087932  0.08296345
0.59536482  0.08429793
0.58990356  0.08562719
0.58449635  0.08695084
0.57914389  0.08826849
0.57384683  0.08957976
0.56860572  0.09088428
0.56342103  0.09218166
0.55829316  0.09347153
0.55322244  0.09475355
0.54820911  0.09602734
0.54325334  0.09729256
0.53835524  0.09854885
0.53351486  0.09979588
0.52873215  0.10103331
0.52400702  0.10226081
0.51933931  0.10347805
0.51472880  0.10468471
0.51017520  0.10588048
0.50567818  0.10706504
0.50123734  0.10823809
0.49685224  0.10939934
0.49252236  0.11054848
0.48824716  0.11168523
0.48402603  0.11280931
0.47985833  0.11392043
0.47574336  0.11501834
0.47168039  0.11610275
0.46766863  0.11717341
0.46370729  0.11823007
0.45979549  0.11927246
0.45593237  0.12030036
0.45211698  0.12131351
0.44834839  0.12231169
0.44462560  0.12329466
0.44094762  0.12426221
0.43731339  0.12521411
0.43372187  0.12615015
0.43017197  0.12707012
0.42666259  0.12797383
0.42319261  0.12886107
0.41976089  0.12973166
0.41636627  0.13058540
0.41300759  0.13142212
0.40968367  0.13224165
0.40639332  0.13304380
0.40313535  0.13382843
0.39990855  0.13459536
0.39671171  0.13534444
0.39354363  0.13607553
0.39040308  0.13678847
0.38728885  0.13748314
0.38419972  0.13815939
0.38113450  0.13881710
0.37809196  0.13945614
0.37507092  0.14007639
0.37207016  0.14067774
0.36908852  0.14126008
0.36612480  0.14182331
0.36317785  0.14236732
0.36024651  0.14289202
0.35732965  0.14339732
0.35442613  0.14388314
0.35153485  0.14434940
0.34865471  0.14479601
0.34578465  0.14522291
0.34292360  0.14563004
0.34007055  0.14601732
0.33722446  0.14638471
0.33438436  0.14673215
0.33154928  0.14705959
0.32871828  0.14736698
0.32589045  0.14765429
0.32306489  0.14792148
0.32024074  0.14816852
0.31741717  0.14839539
0.31459338  0.14860205
0.31176859  0.14878850
0.30894205  0.14895471
0.30611307  0.14910067
0.30328094  0.14922638
0.30044503  0.14933183
0.29760473  0.14941703
0.29475944  0.14948198
0.29190862  0.14952669
0.28905176  0.14955116
0.28618838  0.14955541
0.28331804  0.14953947
0.28044034  0.14950335
0.27755489  0.14944708
0.27466138  0.14937069
0.27175950  0.14927420
0.26884899  0.14915766
0.26592964  0.14902110
0.26300126  0.14886456
0.26006369  0.14868809
0.25711684  0.14849173
0.25416063  0.14827553
0.25119503  0.14803955
0.24822005  0.14778383
0.24523572  0.14750843
0.24224212  0.14721342
0.23923938  0.14689886
0.23622765  0.14656480
0.23320711  0.14621132
0.23017801  0.14583848
0.22714059  0.14544635
0.22409518  0.14503501
0.22104209  0.14460452
0.21798171  0.14415496
0.21491444  0.14368641
0.21184073  0.14319895
0.20876105  0.14269265
0.20567591  0.14216759
0.20258585  0.14162386
0.19949144  0.14106153
0.19639330  0.14048070
0.19329206  0.13988144
0.19018838  0.13926384
0.18708296  0.13862799
0.18397653  0.13797396
0.18086982  0.13730185
0.17776363  0.13661173
0.17465875  0.13590371
0.17155601  0.13517785
0.16845626  0.13443426
0.16536037  0.13367300
0.16226923  0.13289417
0.15918376  0.13209786
0.15610489  0.13128414
0.15303357  0.13045309
0.14997076  0.12960481
0.14691745  0.12873937
0.14387462  0.12785684
0.14084329  0.12695732
0.13782447  0.12604086
0.13481919  0.12510756
0.13182848  0.12415748
0.12885338  0.12319070
0.12589493  0.12220728
0.12295419  0.12120729
0.12003220  0.12019080
0.11713001  0.11915788
0.11424867  0.11810857
0.11138923  0.11704295
0.10855273  0.11596106
0.10574019  0.11486297
0.10295265  0.11374872
0.10019112  0.11261835
0.09745660  0.11147192
0.09475009  0.11030946
0.09207255  0.10913102
0.08942495  0.10793663
0.08680822  0.10672631
0.08422329  0.10550011
0.08167104  0.10425804
0.07915236  0.10300012
0.07666809  0.10172638
0.07421905  0.10043683
0.07180603  0.09913148
0.06942979  0.09781033
0.06709106  0.09647339
0.06479054  0.09512067
0.06252888  0.09375215
0.06030671  0.09236782
0.05812460  0.09096769
0.05598311  0.08955172
0.05388274  0.08811992
0.05182395  0.08667224
0.04980715  0.08520867
0.04783272  0.08372917
0.04590099  0.08223372
0.04401223  0.08072228
0.04216668  0.07919482
0.04036453  0.07765128
0.03860589  0.07609163
0.03689087  0.07451582
0.03521950  0.07292379
0.03359175  0.07131551
0.03200757  0.06969092
0.03046683  0.06804995
0.02896936  0.06639256
0.02751496  0.06471868
0.02610334  0.06302827
0.02473419  0.06132125
0.02340714  0.05959758
0.02212178  0.05785718
0.02087765  0.05610001
0.01967423  0.05432601
0.01851099  0.05253513
0.01738733  0.05072730
0.01630263  0.04890248
0.01525620  0.04706063
0.01424737  0.04520170
0.01327539  0.04332565
0.01233951  0.04143245
0.01143894  0.03952207
0.01057288  0.03759450
0.00974053  0.03564971
0.00894104  0.03368772
0.00817359  0.03170851
0.00743734  0.02971212
0.00673147  0.02769855
0.00605516  0.02566787
0.00540762  0.02362010
0.00478808  0.02155534
0.00419581  0.01947364
0.00363011  0.01737513
0.00309034  0.01525990
0.00257594  0.01312811
0.00208638  0.01097991
0.00162125  0.00881549
0.00118022  0.00663504
0.00076305  0.00443880
0.00036964  0.00222702
0.00000000  0.00000000
0.00036964  -0.00136896
0.00076305  -0.00266962
0.00118022  -0.00390556
0.00162125  -0.00508019
0.00208638  -0.00619678
0.00257594  -0.00725846
0.00309034  -0.00826819
0.00363011  -0.00922882
0.00419581  -0.01014307
0.00478808  -0.01101353
0.00540762  -0.01184266
0.00605516  -0.01263283
0.00673147  -0.01338626
0.00743734  -0.01410510
0.00817359  -0.01479138
0.00894104  -0.01544704
0.00974053  -0.01607392
0.01057288  -0.01667377
0.01143894  -0.01724825
0.01233951  -0.01779895
0.01327539  -0.01832735
0.01424737  -0.01883490
0.01525620  -0.01932292
0.01630263  -0.01979271
0.01738733  -0.02024547
0.01851099  -0.02068234
0.01967423  -0.02110440
0.02087765  -0.02151269
0.02212178  -0.02190815
0.02340714  -0.02229169
0.02473419  -0.02266418
0.02610334  -0.02302641
0.02751496  -0.02337914
0.02896936  -0.02372308
0.03046683  -0.02405888
0.03200757  -0.02438717
0.03359175  -0.02470852
0.03521950  -0.02502347
0.03689087  -0.02533253
0.03860589  -0.02563615
0.04036453  -0.02593477
0.04216668  -0.02622878
0.04401223  -0.02651854
0.04590099  -0.02680439
0.04783272  -0.02708662
0.04980715  -0.02736552
0.05182395  -0.02764134
0.05388274  -0.02791428
0.05598311  -0.02818457
0.05812460  -0.02845236
0.06030671  -0.02871780
0.06252888  -0.02898104
0.06479054  -0.02924218
0.06709106  -0.02950132
0.06942979  -0.02975851
0.07180603  -0.03001382
0.07421905  -0.03026728
0.07666809  -0.03051892
0.07915236  -0.03076874
0.08167104  -0.03101673
0.08422329  -0.03126287
0.08680822  -0.03150712
0.08942495  -0.03174943
0.09207255  -0.03198975
0.09475009  -0.03222800
0.09745660  -0.03246410
0.10019112  -0.03269795
0.10295265  -0.03292946
0.10574019  -0.03315851
0.10855273  -0.03338499
0.11138923  -0.03360877
0.11424867  -0.03382972
0.11713001  -0.03404769
0.12003220  -0.03426254
0.12295419  -0.03447412
0.12589493  -0.03468227
0.12885338  -0.03488683
0.13182848  -0.03508763
0.13481919  -0.03528450
0.13782447  -0.03547727
0.14084329  -0.03566576
0.14387462  -0.03584978
0.14691745  -0.03602917
0.14997076  -0.03620373
0.15303357  -0.03637328
0.15610489  -0.03653763
0.15918376  -0.03669659
0.16226923  -0.03684998
0.16536037  -0.03699761
0.16845626  -0.03713930
0.17155601  -0.03727484
0.17465875  -0.03740406
0.17776363  -0.03752678
0.18086982  -0.03764280
0.18397653  -0.03775195
0.18708296  -0.03785405
0.19018838  -0.03794891
0.19329206  -0.03803638
0.19639330  -0.03811626
0.19949144  -0.03818840
0.20258585  -0.03825263
0.20567591  -0.03830879
0.20876105  -0.03835672
0.21184073  -0.03839626
0.21491444  -0.03842728
0.21798171  -0.03844962
0.22104209  -0.03846315
0.22409518  -0.03846773
0.22714059  -0.03846324
0.23017801  -0.03844954
0.23320711  -0.03842653
0.23622765  -0.03839409
0.23923938  -0.03835212
0.24224212  -0.03830051
0.24523572  -0.03823918
0.24822005  -0.03816804
0.25119503  -0.03808701
0.25416063  -0.03799602
0.25711684  -0.03789500
0.26006369  -0.03778389
0.26300126  -0.03766265
0.26592964  -0.03753123
0.26884899  -0.03738960
0.27175950  -0.03723773
0.27466138  -0.03707559
0.27755489  -0.03690318
0.28044034  -0.03672050
0.28331804  -0.03652754
0.28618838  -0.03632431
0.28905176  -0.03611085
0.29190862  -0.03588717
0.29475944  -0.03565331
0.29760473  -0.03540933
0.30044503  -0.03515526
0.30328094  -0.03489118
0.30611307  -0.03461715
0.30894205  -0.03433325
0.31176859  -0.03403958
0.31459338  -0.03373621
0.31741717  -0.03342326
0.32024074  -0.03310084
0.32306489  -0.03276908
0.32589045  -0.03242808
0.32871828  -0.03207800
0.33154928  -0.03171898
0.33438436  -0.03135118
0.33722446  -0.03097474
0.34007055  -0.03058984
0.34292360  -0.03019666
0.34578465  -0.02979538
0.34865471  -0.02938620
0.35153485  -0.02896930
0.35442613  -0.02854490
0.35732965  -0.02811322
0.36024651  -0.02767446
0.36317785  -0.02722887
0.36612480  -0.02677667
0.36908852  -0.02631810
0.37207016  -0.02585342
0.37507092  -0.02538287
0.37809196  -0.02490671
0.38113450  -0.02442522
0.38419972  -0.02393866
0.38728885  -0.02344731
0.39040308  -0.02295144
0.39354363  -0.02245136
0.39671171  -0.02194734
0.39990855  -0.02143968
0.40313535  -0.02092870
0.40639332  -0.02041468
0.40968367  -0.01989794
0.41300759  -0.01937878
0.41636627  -0.01885754
0.41976089  -0.01833451
0.42319261  -0.01781003
0.42666259  -0.01728442
0.43017197  -0.01675799
0.43372187  -0.01623109
0.43731339  -0.01570404
0.44094762  -0.01517716
0.44462560  -0.01465080
0.44834839  -0.01412527
0.45211698  -0.01360093
0.45593237  -0.01307808
0.45979549  -0.01255708
0.46370729  -0.01203825
0.46766863  -0.01152192
0.47168039  -0.01100842
0.47574336  -0.01049807
0.47985833  -0.00999122
0.48402603  -0.00948817
0.48824716  -0.00898925
0.49252236  -0.00849478
0.49685224  -0.00800508
0.50123734  -0.00752045
0.50567818  -0.00704121
0.51017520  -0.00656765
0.51472880  -0.00610009
0.51933931  -0.00563881
0.52400702  -0.00518411
0.52873215  -0.00473626
0.53351486  -0.00429555
0.53835524  -0.00386226
0.54325334  -0.00343663
0.54820911  -0.00301895
0.55322244  -0.00260945
0.55829316  -0.00220839
0.56342103  -0.00181601
0.56860572  -0.00143252
0.57384683  -0.00105816
0.57914389  -0.00069314
0.58449635  -0.00033766
0.58990356  0.00000808
0.59536482  0.00034389
0.60087932  0.00066961
0.60644618  0.00098505
0.61206443  0.00129006
0.61773302  0.00158451
0.62345079  0.00186824
0.62921651  0.00214114
0.63502887  0.00240308
0.64088643  0.00265398
0.64678769  0.00289372
0.65273106  0.00312224
0.65871483  0.00333947
0.66473721  0.00354535
0.67079632  0.00373983
0.67689018  0.00392288
