# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 09410
# Species         : Ardea_humbloti
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 449.00 mm
# Secondary1       : 281.00 mm
# Kipps Distance   : 168.00 mm
# Hand-Wing Index  : 37.50
# Tail Length      : 169.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.598
# Pointedness Index: 0.3742
# Efficiency Index : 0.1403
# Wing Loading Proxy: 0.0094
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1582  at x/c = 0.2575
# Max f/c          : 0.0549  at x/c = 0.3367
# Est. Reynolds    : 1.22e+05
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939156  0.00008873
0.99866524  0.00020760
0.99781458  0.00035637
0.99683383  0.00053478
0.99571795  0.00074257
0.99446250  0.00097945
0.99306370  0.00124512
0.99151833  0.00153928
0.98982374  0.00186159
0.98797781  0.00221172
0.98597891  0.00258934
0.98382589  0.00299407
0.98151805  0.00342557
0.97905510  0.00388344
0.97643716  0.00436731
0.97366473  0.00487678
0.97073865  0.00541146
0.96766008  0.00597093
0.96443053  0.00655477
0.96105175  0.00716257
0.95752579  0.00779390
0.95385495  0.00844831
0.95004174  0.00912538
0.94608891  0.00982464
0.94199940  0.01054566
0.93777632  0.01128798
0.93342297  0.01205113
0.92894278  0.01283466
0.92433932  0.01363809
0.91961630  0.01446097
0.91477753  0.01530281
0.90982690  0.01616314
0.90476842  0.01704148
0.89960615  0.01793736
0.89434422  0.01885029
0.88898681  0.01977980
0.88353815  0.02072539
0.87800249  0.02168659
0.87238412  0.02266291
0.86668733  0.02365387
0.86091643  0.02465898
0.85507571  0.02567776
0.84916946  0.02670971
0.84320198  0.02775437
0.83717750  0.02881124
0.83110025  0.02987985
0.82497444  0.03095971
0.81880419  0.03205034
0.81259363  0.03315127
0.80634680  0.03426202
0.80006771  0.03538211
0.79376029  0.03651107
0.78742841  0.03764844
0.78107589  0.03879374
0.77470646  0.03994651
0.76832379  0.04110628
0.76193145  0.04227260
0.75553295  0.04344500
0.74913172  0.04462305
0.74273109  0.04580627
0.73633431  0.04699423
0.72994455  0.04818647
0.72356487  0.04938257
0.71719826  0.05058208
0.71084759  0.05178456
0.70451567  0.05298959
0.69820518  0.05419674
0.69191873  0.05540559
0.68565882  0.05661572
0.67942787  0.05782671
0.67322817  0.05903815
0.66706195  0.06024964
0.66093132  0.06146078
0.65483829  0.06267116
0.64878479  0.06388040
0.64277265  0.06508810
0.63680359  0.06629388
0.63087924  0.06749736
0.62500115  0.06869817
0.61917076  0.06989592
0.61338941  0.07109026
0.60765838  0.07228083
0.60197882  0.07346727
0.59635182  0.07464922
0.59077836  0.07582633
0.58525935  0.07699828
0.57979559  0.07816471
0.57438783  0.07932529
0.56903671  0.08047970
0.56374279  0.08162761
0.55850656  0.08276870
0.55332843  0.08390266
0.54820871  0.08502918
0.54314768  0.08614796
0.53814550  0.08725869
0.53320228  0.08836109
0.52831807  0.08945486
0.52349282  0.09053972
0.51872645  0.09161539
0.51401879  0.09268160
0.50936962  0.09373807
0.50477864  0.09478455
0.50024552  0.09582076
0.49576985  0.09684646
0.49135118  0.09786140
0.48698898  0.09886532
0.48268272  0.09985800
0.47843176  0.10083919
0.47423545  0.10180867
0.47009309  0.10276621
0.46600393  0.10371158
0.46196717  0.10464458
0.45798200  0.10556498
0.45404754  0.10647259
0.45016289  0.10736720
0.44632712  0.10824861
0.44253925  0.10911664
0.43879829  0.10997109
0.43510321  0.11081178
0.43145296  0.11163853
0.42784646  0.11245117
0.42428262  0.11324953
0.42076030  0.11403344
0.41727837  0.11480275
0.41383568  0.11555729
0.41043106  0.11629692
0.40706331  0.11702149
0.40373124  0.11773086
0.40043365  0.11842489
0.39716932  0.11910344
0.39393702  0.11976639
0.39073553  0.12041362
0.38756361  0.12104499
0.38442004  0.12166040
0.38130359  0.12225973
0.37821301  0.12284287
0.37514708  0.12340973
0.37210458  0.12396020
0.36908428  0.12449418
0.36608498  0.12501159
0.36310546  0.12551234
0.36014454  0.12599634
0.35720104  0.12646351
0.35427378  0.12691378
0.35136161  0.12734708
0.34846339  0.12776334
0.34557800  0.12816249
0.34270432  0.12854448
0.33984127  0.12890925
0.33698778  0.12925675
0.33414281  0.12958692
0.33130532  0.12989972
0.32847433  0.13019512
0.32564884  0.13047307
0.32282792  0.13073353
0.32001063  0.13097648
0.31719607  0.13120189
0.31438337  0.13140973
0.31157170  0.13159999
0.30876022  0.13177264
0.30594818  0.13192768
0.30313480  0.13206508
0.30031938  0.13218484
0.29750122  0.13228697
0.29467967  0.13237144
0.29185411  0.13243827
0.28902395  0.13248747
0.28618864  0.13251903
0.28334767  0.13253296
0.28050055  0.13252929
0.27764684  0.13250802
0.27478613  0.13246917
0.27191805  0.13241277
0.26904227  0.13233884
0.26615849  0.13224740
0.26326645  0.13213848
0.26036593  0.13201212
0.25745674  0.13186834
0.25453875  0.13170718
0.25161185  0.13152868
0.24867597  0.13133288
0.24573107  0.13111983
0.24277717  0.13088955
0.23981432  0.13064211
0.23684260  0.13037755
0.23386213  0.13009592
0.23087308  0.12979727
0.22787563  0.12948165
0.22487004  0.12914912
0.22185656  0.12879973
0.21883552  0.12843355
0.21580725  0.12805063
0.21277213  0.12765103
0.20973059  0.12723482
0.20668307  0.12680205
0.20363006  0.12635280
0.20057208  0.12588712
0.19750967  0.12540508
0.19444343  0.12490674
0.19137397  0.12439219
0.18830193  0.12386148
0.18522800  0.12331467
0.18215288  0.12275185
0.17907729  0.12217308
0.17600201  0.12157843
0.17292782  0.12096796
0.16985554  0.12034176
0.16678599  0.11969988
0.16372005  0.11904240
0.16065859  0.11836939
0.15760251  0.11768091
0.15455275  0.11697703
0.15151023  0.11625783
0.14847593  0.11552337
0.14545081  0.11477372
0.14243587  0.11400894
0.13943210  0.11322910
0.13644053  0.11243425
0.13346216  0.11162448
0.13049805  0.11079983
0.12754922  0.10996036
0.12461673  0.10910614
0.12170162  0.10823723
0.11880495  0.10735367
0.11592777  0.10645552
0.11307114  0.10554284
0.11023610  0.10461568
0.10742371  0.10367408
0.10463499  0.10271809
0.10187100  0.10174775
0.09913274  0.10076311
0.09642124  0.09976421
0.09373750  0.09875107
0.09108249  0.09772375
0.08845720  0.09668226
0.08586257  0.09562664
0.08329953  0.09455692
0.08076900  0.09347311
0.07827186  0.09237524
0.07580898  0.09126333
0.07338119  0.09013739
0.07098929  0.08899744
0.06863406  0.08784348
0.06631626  0.08667551
0.06403658  0.08549355
0.06179570  0.08429759
0.05959426  0.08308762
0.05743287  0.08186364
0.05531208  0.08062564
0.05323241  0.07937360
0.05119435  0.07810752
0.04919831  0.07682736
0.04724469  0.07553310
0.04533384  0.07422473
0.04346604  0.07290220
0.04164154  0.07156550
0.03986054  0.07021457
0.03812318  0.06884939
0.03642956  0.06746991
0.03477973  0.06607609
0.03317366  0.06466788
0.03161132  0.06324524
0.03009257  0.06180811
0.02861726  0.06035644
0.02718518  0.05889018
0.02579604  0.05740927
0.02444954  0.05591365
0.02314529  0.05440326
0.02188289  0.05287805
0.02066186  0.05133795
0.01948168  0.04978290
0.01834179  0.04821284
0.01724158  0.04662771
0.01618040  0.04502745
0.01515757  0.04341200
0.01417236  0.04178130
0.01322400  0.04013530
0.01231170  0.03847394
0.01143465  0.03679717
0.01059199  0.03510494
0.00978287  0.03339722
0.00900640  0.03167395
0.00826170  0.02993512
0.00754786  0.02818068
0.00686400  0.02641063
0.00620923  0.02462493
0.00558267  0.02282360
0.00498348  0.02100663
0.00441081  0.01917403
0.00386390  0.01732582
0.00334199  0.01546205
0.00284438  0.01358275
0.00237047  0.01168799
0.00191968  0.00977783
0.00149156  0.00785238
0.00108573  0.00591174
0.00070194  0.00395603
0.00034003  0.00198539
0.00000000  0.00000000
0.00034003  -0.00127523
0.00070194  -0.00248197
0.00108573  -0.00362374
0.00149156  -0.00470388
0.00191968  -0.00572561
0.00237047  -0.00669202
0.00284438  -0.00760602
0.00334199  -0.00847043
0.00386390  -0.00928791
0.00441081  -0.01006104
0.00498348  -0.01079223
0.00558267  -0.01148382
0.00620923  -0.01213804
0.00686400  -0.01275698
0.00754786  -0.01334267
0.00826170  -0.01389703
0.00900640  -0.01442188
0.00978287  -0.01491897
0.01059199  -0.01538995
0.01143465  -0.01583639
0.01231170  -0.01625980
0.01322400  -0.01666158
0.01417236  -0.01704310
0.01515757  -0.01740563
0.01618040  -0.01775038
0.01724158  -0.01807851
0.01834179  -0.01839111
0.01948168  -0.01868921
0.02066186  -0.01897378
0.02188289  -0.01924575
0.02314529  -0.01950598
0.02444954  -0.01975530
0.02579604  -0.01999448
0.02718518  -0.02022425
0.02861726  -0.02044530
0.03009257  -0.02065826
0.03161132  -0.02086374
0.03317366  -0.02106230
0.03477973  -0.02125448
0.03642956  -0.02144076
0.03812318  -0.02162160
0.03986054  -0.02179744
0.04164154  -0.02196866
0.04346604  -0.02213564
0.04533384  -0.02229870
0.04724469  -0.02245817
