# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10097
# Species         : Pseudobulweria_macgillivrayi
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 204.00 mm
# Secondary1       : 80.00 mm
# Kipps Distance   : 124.00 mm
# Hand-Wing Index  : 60.80
# Tail Length      : 82.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.550
# Pointedness Index: 0.6078
# Efficiency Index : 0.3696
# Wing Loading Proxy: 0.0311
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1350  at x/c = 0.2467
# Max f/c          : 0.0479  at x/c = 0.3216
# Est. Reynolds    : 4.69e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939145  0.00008641
0.99866435  0.00019837
0.99781166  0.00033569
0.99682705  0.00049817
0.99570496  0.00068559
0.99444051  0.00089773
0.99302949  0.00113435
0.99146831  0.00139520
0.98975398  0.00168000
0.98788407  0.00198850
0.98585670  0.00232040
0.98367048  0.00267541
0.98132451  0.00305322
0.97881835  0.00345353
0.97615196  0.00387601
0.97332575  0.00432034
0.97034045  0.00478618
0.96719719  0.00527317
0.96389740  0.00578099
0.96044285  0.00630926
0.95683558  0.00685762
0.95307789  0.00742571
0.94917235  0.00801316
0.94512176  0.00861958
0.94092912  0.00924459
0.93659764  0.00988780
0.93213069  0.01054883
0.92753182  0.01122727
0.92280473  0.01192274
0.91795324  0.01263482
0.91298129  0.01336312
0.90789294  0.01410723
0.90269234  0.01486674
0.89738371  0.01564124
0.89197134  0.01643033
0.88645958  0.01723358
0.88085284  0.01805058
0.87515555  0.01888092
0.86937218  0.01972419
0.86350719  0.02057996
0.85756509  0.02144782
0.85155037  0.02232736
0.84546749  0.02321816
0.83932094  0.02411980
0.83311515  0.02503186
0.82685454  0.02595394
0.82054349  0.02688562
0.81418634  0.02782649
0.80778738  0.02877613
0.80135085  0.02973414
0.79488094  0.03070011
0.78838176  0.03167364
0.78185737  0.03265431
0.77531175  0.03364172
0.76874881  0.03463549
0.76217239  0.03563520
0.75558624  0.03664046
0.74899401  0.03765087
0.74239931  0.03866606
0.73580562  0.03968562
0.72921634  0.04070918
0.72263479  0.04173634
0.71606417  0.04276674
0.70950762  0.04380000
0.70296814  0.04483573
0.69644867  0.04587358
0.68995202  0.04691317
