# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10117
# Species         : Pterodroma_incerta
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 318.00 mm
# Secondary1       : 109.20 mm
# Kipps Distance   : 208.80 mm
# Hand-Wing Index  : 65.60
# Tail Length      : 124.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.912
# Pointedness Index: 0.6566
# Efficiency Index : 0.4307
# Wing Loading Proxy: 0.0234
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1257  at x/c = 0.2411
# Max f/c          : 0.0460  at x/c = 0.3216
# Est. Reynolds    : 7.63e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939142  0.00008571
0.99866417  0.00019557
0.99781105  0.00032940
0.99682565  0.00048702
0.99570228  0.00066822
0.99443598  0.00087278
0.99302245  0.00110048
0.99145801  0.00135108
0.98973961  0.00162432
0.98786476  0.00191995
0.98583152  0.00223769
0.98363846  0.00257726
0.98128464  0.00293838
0.97876957  0.00332074
0.97609321  0.00372404
0.97325591  0.00414796
0.97025842  0.00459219
0.96710183  0.00505638
0.96378758  0.00554022
0.96031741  0.00604336
0.95669339  0.00656544
0.95291781  0.00710612
0.94899325  0.00766505
0.94492252  0.00824185
0.94070864  0.00883617
0.93635482  0.00944763
0.93186447  0.01007586
0.92724115  0.01072049
0.92248859  0.01138112
0.91761063  0.01205739
0.91261125  0.01274890
0.90749453  0.01345527
0.90226465  0.01417610
0.89692586  0.01491101
0.89148250  0.01565960
0.88593895  0.01642149
0.88029964  0.01719626
0.87456906  0.01798354
0.86875169  0.01878292
0.86285206  0.01959401
0.85687469  0.02041641
0.85082411  0.02124972
0.84470485  0.02209355
0.83852141  0.02294751
0.83227827  0.02381119
0.82597988  0.02468421
0.81963067  0.02556617
0.81323502  0.02645668
0.80679725  0.02735536
0.80032164  0.02826180
0.79381242  0.02917563
0.78727374  0.03009645
0.78070968  0.03102389
0.77412428  0.03195756
0.76752148  0.03289709
0.76090515  0.03384209
0.75427906  0.03479220
0.74764693  0.03574703
0.74101237  0.03670623
0.73437891  0.03766941
0.72774997  0.03863623
0.72112891  0.03960631
0.71451896  0.04057930
0.70792327  0.04155485
0.70134489  0.04253260
0.69478678  0.04351219
0.68825178  0.04449330
0.68174265  0.04547557
0.67526202  0.04645866
0.66881244  0.04744224
0.66239636  0.04842598
0.65601611  0.04940954
0.64967393  0.05039261
0.64337195  0.05137486
0.63711220  0.05235598
0.63089662  0.05333564
0.62472702  0.05431354
0.61860514  0.05528938
0.61253260  0.05626285
0.60651092  0.05723365
0.60054155  0.05820148
0.59462580  0.05916607
0.58876491  0.06012711
0.58296002  0.06108433
0.57721218  0.06203745
0.57152234  0.06298619
0.56589136  0.06393028
0.56032002  0.06486945
0.55480899  0.06580345
