# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10121
# Species         : Pterodroma_longirostris
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 212.20 mm
# Secondary1       : 82.50 mm
# Kipps Distance   : 129.80 mm
# Hand-Wing Index  : 61.10
# Tail Length      : 105.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 2.572
# Pointedness Index: 0.6117
# Efficiency Index : 0.3737
# Wing Loading Proxy: 0.0243
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1350  at x/c = 0.2465
# Max f/c          : 0.0478  at x/c = 0.3216
# Est. Reynolds    : 4.43e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939144  0.00008639
0.99866434  0.00019827
0.99781162  0.00033547
0.99682696  0.00049779
0.99570479  0.00068500
0.99444023  0.00089689
0.99302905  0.00113322
0.99146767  0.00139372
0.98975308  0.00167816
0.98788286  0.00198624
0.98585512  0.00231769
0.98366847  0.00267221
0.98132202  0.00304950
0.97881530  0.00344926
0.97614829  0.00387115
0.97332138  0.00431486
0.97033532  0.00478004
0.96719123  0.00526637
0.96389054  0.00577347
0.96043501  0.00630101
0.95682669  0.00684862
0.95306788  0.00741593
0.94916116  0.00800256
0.94510931  0.00860815
0.94091534  0.00923231
0.93658246  0.00987466
0.93211405  0.01053480
0.92751366  0.01121234
0.92278497  0.01190688
0.91793182  0.01261802
0.91295816  0.01334537
0.90786804  0.01408851
0.90266561  0.01484704
0.89735509  0.01562055
0.89194078  0.01640863
0.88642704  0.01721087
0.88081827  0.01802685
0.87511890  0.01885616
0.86933340  0.01969839
0.86346625  0.02055311
0.85752194  0.02141992
0.85150497  0.02229840
0.84541982  0.02318814
0.83927096  0.02408871
0.83306284  0.02499971
0.82679987  0.02592072
0.82048644  0.02685133
0.81412688  0.02779113
0.80772550  0.02873970
0.80128653  0.02969664
0.79481416  0.03066154
0.78831251  0.03163399
0.78178564  0.03261360
0.77523753  0.03359995
0.76867210  0.03459266
0.76209318  0.03559131
0.75550453  0.03659552
0.74890982  0.03760489
0.74231262  0.03861904
0.73571644  0.03963757
0.72912469  0.04066010
0.72254066  0.04168624
0.71596759  0.04271563
0.70940858  0.04374788
0.70286667  0.04478262
0.69634478  0.04581947
0.68984574  0.04685809
0.68337226  0.04789809
0.67692698  0.04893912
0.67051241  0.04998083
0.66413098  0.05102286
0.65778501  0.05206486
0.65147670  0.05310649
0.64520818  0.05414740
0.63898146  0.05518727
0.63279846  0.05622574
0.62666097  0.05726251
0.62057072  0.05829722
0.61452932  0.05932958
0.60853827  0.06035925
0.60259901  0.06138592
0.59671283  0.06240928
0.59088098  0.06342903
0.58510458  0.06444486
0.57938466  0.06545648
0.57372217  0.06646359
0.56811797  0.06746590
