# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10162
# Species         : Cacatua_sanguinea
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 256.20 mm
# Secondary1       : 160.50 mm
# Kipps Distance   : 95.80 mm
# Hand-Wing Index  : 37.40
# Tail Length      : 121.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.596
# Pointedness Index: 0.3739
# Efficiency Index : 0.1398
# Wing Loading Proxy: 0.0131
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1632  at x/c = 0.2604
# Max f/c          : 0.0551  at x/c = 0.3367
# Est. Reynolds    : 5.70e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939156  0.00008890
0.99866524  0.00020829
0.99781459  0.00035794
0.99683386  0.00053759
0.99571800  0.00074697
0.99446259  0.00098581
0.99306384  0.00125382
0.99151854  0.00155068
0.98982404  0.00187608
0.98797821  0.00222968
0.98597944  0.00261115
0.98382656  0.00302013
0.98151888  0.00345626
0.97905612  0.00391917
0.97643839  0.00440847
0.97366619  0.00492378
0.97074036  0.00546468
0.96766207  0.00603079
0.96443282  0.00662168
0.96105436  0.00723694
0.95752876  0.00787613
0.95385828  0.00853881
0.95004547  0.00922456
0.94609306  0.00993293
0.94200399  0.01066346
0.93778138  0.01141570
0.93342852  0.01218918
0.92894883  0.01298346
0.92434591  0.01379805
0.91962344  0.01463249
0.91478524  0.01548631
0.90983520  0.01635902
0.90477733  0.01725016
0.89961569  0.01815923
0.89435440  0.01908576
0.88899766  0.02002926
0.88354968  0.02098924
0.87801471  0.02196523
0.87239705  0.02295672
0.86670098  0.02396324
0.86093081  0.02498429
0.85509084  0.02601939
0.84918535  0.02706805
0.84321863  0.02812977
0.83719493  0.02920408
0.83111847  0.03029048
0.82499345  0.03138848
0.81882401  0.03249761
0.81261426  0.03361739
0.80636824  0.03474731
0.80008997  0.03588692
0.79378337  0.03703572
0.78745232  0.03819325
0.78110063  0.03935902
0.77473203  0.04053257
0.76835018  0.04171342
0.76195868  0.04290112
0.75556101  0.04409518
0.74916061  0.04529516
0.74276081  0.04650059
0.73636486  0.04771101
0.72997591  0.04892598
0.72359705  0.05014505
0.71723125  0.05136776
0.71088139  0.05259368
0.70455027  0.05382237
0.69824058  0.05505339
0.69195493  0.05628631
0.68569580  0.05752071
0.67946562  0.05875616
0.67326670  0.05999223
0.66710123  0.06122852
0.66097135  0.06246462
0.65487906  0.06370011
0.64882630  0.06493459
0.64281487  0.06616767
0.63684652  0.06739895
0.63092287  0.06862803
0.62504547  0.06985455
0.61921575  0.07107810
0.61343507  0.07229833
0.60770469  0.07351485
0.60202577  0.07472730
0.59639939  0.07593532
0.59082655  0.07713855
0.58530814  0.07833663
0.57984497  0.07952923
0.57443778  0.08071599
0.56908722  0.08189658
0.56379385  0.08307066
0.55855815  0.08423790
0.55338053  0.08539799
0.54826132  0.08655060
0.54320078  0.08769542
0.53819907  0.08883214
0.53325632  0.08996046
0.52837255  0.09108007
0.52354774  0.09219068
0.51878178  0.09329201
0.51407453  0.09438377
0.50942574  0.09546567
0.50483514  0.09653746
0.50030238  0.09759884
0.49582705  0.09864957
0.49140871  0.09968938
0.48704684  0.10071802
0.48274087  0.10173524
0.47849020  0.10274079
0.47429416  0.10373443
0.47015206  0.10471594
0.46606315  0.10568507
0.46202663  0.10664160
0.45804167  0.10758532
0.45410742  0.10851601
0.45022296  0.10943345
0.44638736  0.11033745
0.44259966  0.11122780
0.43885885  0.11210430
0.43516391  0.11296677
0.43151379  0.11381501
0.42790740  0.11464885
0.42434365  0.11546810
0.42082142  0.11627261
0.41733957  0.11706219
0.41389695  0.11783668
0.41049237  0.11859594
0.40712466  0.11933979
0.40379262  0.12006810
0.40049504  0.12078071
0.39723071  0.12147749
0.39399841  0.12215831
0.39079690  0.12282303
0.38762496  0.12347151
0.38448135  0.12410366
0.38136484  0.12471933
0.37827420  0.12531842
0.37520820  0.12590082
0.37216562  0.12646643
0.36914523  0.12701514
0.36614583  0.12754686
0.36316620  0.12806149
0.36020517  0.12855894
0.35726154  0.12903914
0.35433414  0.12950200
0.35142183  0.12994744
0.34852345  0.13037540
0.34563789  0.13078580
0.34276404  0.13117858
0.33990081  0.13155368
0.33704713  0.13191104
0.33420196  0.13225062
0.33136427  0.13257235
0.32853307  0.13287621
0.32570736  0.13316213
0.32288621  0.13343010
0.32006868  0.13368007
0.31725388  0.13391201
0.31444094  0.13412589
0.31162900  0.13432170
0.30881727  0.13449941
0.30600495  0.13465901
0.30319130  0.13480048
0.30037560  0.13492381
0.29755715  0.13502899
0.29473530  0.13511603
0.29190944  0.13518491
0.28907898  0.13523565
0.28624336  0.13526825
0.28340207  0.13528272
0.28055463  0.13527907
0.27770059  0.13525732
0.27483955  0.13521747
0.27197113  0.13515956
0.26909500  0.13508361
0.26621087  0.13498963
0.26331847  0.13487767
0.26041759  0.13474774
0.25750804  0.13459989
0.25458968  0.13443415
0.25166240  0.13425055
0.24872614  0.13404914
0.24578086  0.13382996
0.24282657  0.13359306
0.23986333  0.13333848
0.23689121  0.13306627
0.23391034  0.13277648
0.23092088  0.13246917
0.22792303  0.13214438
0.22491702  0.13180218
0.22190313  0.13144262
0.21888166  0.13106576
0.21585297  0.13067167
0.21281742  0.13026040
0.20977545  0.12983202
0.20672749  0.12938660
0.20367404  0.12892419
0.20061562  0.12844487
0.19755277  0.12794871
0.19448608  0.12743577
0.19141616  0.12690613
0.18834367  0.12635985
0.18526928  0.12579701
0.18219369  0.12521768
0.17911765  0.12462192
0.17604190  0.12400982
0.17296724  0.12338145
0.16989448  0.12273688
0.16682446  0.12207618
0.16375804  0.12139942
0.16069610  0.12070669
0.15763954  0.11999805
0.15458929  0.11927357
0.15154629  0.11853333
0.14851150  0.11777740
0.14548589  0.11700584
0.14247046  0.11621874
0.13946619  0.11541616
0.13647412  0.11459817
0.13349526  0.11376484
0.13053065  0.11291623
0.12758132  0.11205242
0.12464832  0.11117345
0.12173271  0.11027941
0.11883554  0.10937034
0.11595786  0.10844631
0.11310072  0.10750739
0.11026517  0.10655361
0.10745227  0.10558505
0.10466304  0.10460175
0.10189854  0.10360376
0.09915977  0.10259114
0.09644776  0.10156392
0.09376351  0.10052217
0.09110799  0.09946590
0.08848219  0.09839518
0.08588705  0.09731004
0.08332351  0.09621050
0.08079247  0.09509661
0.07829483  0.09396839
0.07583144  0.09282588
0.07340314  0.09166909
0.07101073  0.09049805
0.06865501  0.08931278
0.06633670  0.08811330
0.06405652  0.08689961
0.06181514  0.08567174
0.05961321  0.08442969
0.05745132  0.08317346
0.05533004  0.08190307
0.05324988  0.08061850
0.05121133  0.07931976
0.04921481  0.07800684
0.04726071  0.07667974
0.04534938  0.07533844
0.04348110  0.07398293
0.04165613  0.07261320
0.03987467  0.07122924
0.03813684  0.06983101
0.03644276  0.06841850
0.03479247  0.06699169
0.03318595  0.06555055
0.03162316  0.06409505
0.03010397  0.06262517
0.02862822  0.06114088
0.02719570  0.05964215
0.02580614  0.05812894
0.02445921  0.05660123
0.02315455  0.05505898
0.02189174  0.05350217
0.02067030  0.05193076
0.01948972  0.05034472
0.01834943  0.04874403
0.01724884  0.04712865
0.01618728  0.04549857
0.01516408  0.04385375
0.01417850  0.04219419
0.01322978  0.04051985
0.01231713  0.03883073
0.01143973  0.03712683
0.01059674  0.03540813
0.00978728  0.03367465
0.00901050  0.03192638
0.00826548  0.03016335
0.00755134  0.02838558
0.00686718  0.02659310
0.00621212  0.02478595
0.00558528  0.02296419
0.00498582  0.02112788
0.00441289  0.01927709
0.00386573  0.01741190
0.00334357  0.01553244
0.00284574  0.01363879
0.00237160  0.01173112
0.00192060  0.00980955
0.00149227  0.00787426
0.00108625  0.00592544
0.00070227  0.00396330
0.00034019  0.00198807
0.00000000  0.00000000
0.00034019  -0.00127628
0.00070227  -0.00248532
0.00108625  -0.00363058
0.00149227  -0.00471539
0.00192060  -0.00574292
0.00237160  -0.00671619
0.00284574  -0.00763811
0.00334357  -0.00851144
0.00386573  -0.00933881
0.00441289  -0.01012276
0.00498582  -0.01086567
0.00558528  -0.01156986
0.00621212  -0.01223749
0.00686718  -0.01287065
0.00755134  -0.01347134
0.00826548  -0.01404143
0.00901050  -0.01458273
0.00978728  -0.01509695
0.01059674  -0.01558572
0.01143973  -0.01605059
0.01231713  -0.01649301
0.01322978  -0.01691440
0.01417850  -0.01731607
0.01516408  -0.01769929
0.01618728  -0.01806524
0.01724884  -0.01841505
0.01834943  -0.01874979
0.01948972  -0.01907047
0.02067030  -0.01937804
0.02189174  -0.01967341
0.02315455  -0.01995742
0.02445921  -0.02023088
0.02580614  -0.02049454
0.02719570  -0.02074911
0.02862822  -0.02099525
0.03010397  -0.02123360
0.03162316  -0.02146473
0.03318595  -0.02168919
0.03479247  -0.02190750
0.03644276  -0.02212012
0.03813684  -0.02232751
0.03987467  -0.02253008
0.04165613  -0.02272819
0.04348110  -0.02292222
0.04534938  -0.02311246
0.04726071  -0.02329923
0.04921481  -0.02348280
0.05121133  -0.02366340
0.05324988  -0.02384126
0.05533004  -0.02401658
0.05745132  -0.02418954
0.05961321  -0.02436030
0.06181514  -0.02452899
0.06405652  -0.02469574
0.06633670  -0.02486064
0.06865501  -0.02502379
0.07101073  -0.02518524
0.07340314  -0.02534505
0.07583144  -0.02550327
0.07829483  -0.02565991
0.08079247  -0.02581499
0.08332351  -0.02596850
0.08588705  -0.02612043
0.08848219  -0.02627076
0.09110799  -0.02641945
0.09376351  -0.02656645
0.09644776  -0.02671172
0.09915977  -0.02685517
0.10189854  -0.02699676
0.10466304  -0.02713638
0.10745227  -0.02727395
0.11026517  -0.02740938
0.11310072  -0.02754257
0.11595786  -0.02767340
0.11883554  -0.02780177
0.12173271  -0.02792755
0.12464832  -0.02805062
0.12758132  -0.02817085
0.13053065  -0.02828811
0.13349526  -0.02840227
0.13647412  -0.02851318
0.13946619  -0.02862070
0.14247046  -0.02872469
0.14548589  -0.02882500
0.14851150  -0.02892148
0.15154629  -0.02901399
0.15458929  -0.02910237
0.15763954  -0.02918647
0.16069610  -0.02926613
0.16375804  -0.02934122
0.16682446  -0.02941156
0.16989448  -0.02947701
0.17296724  -0.02953743
0.17604190  -0.02959265
0.17911765  -0.02964253
0.18219369  -0.02968692
0.18526928  -0.02972568
0.18834367  -0.02975866
0.19141616  -0.02978572
0.19448608  -0.02980672
0.19755277  -0.02982152
0.20061562  -0.02982999
0.20367404  -0.02983201
0.20672749  -0.02982743
0.20977545  -0.02981615
0.21281742  -0.02979803
0.21585297  -0.02977297
0.21888166  -0.02974086
0.22190313  -0.02970157
0.22491702  -0.02965503
0.22792303  -0.02960112
0.23092088  -0.02953975
0.23391034  -0.02947084
0.23689121  -0.02939430
0.23986333  -0.02931007
0.24282657  -0.02921806
0.24578086  -0.02911821
0.24872614  -0.02901046
0.25166240  -0.02889476
0.25458968  -0.02877106
0.25750804  -0.02863932
0.26041759  -0.02849950
0.26331847  -0.02835159
0.26621087  -0.02819554
0.26909500  -0.02803136
0.27197113  -0.02785903
0.27483955  -0.02767854
0.27770059  -0.02748991
0.28055463  -0.02729315
0.28340207  -0.02708828
0.28624336  -0.02687531
0.28907898  -0.02665430
0.29190944  -0.02642526
0.29473530  -0.02618827
0.29755715  -0.02594336
0.30037560  -0.02569060
0.30319130  -0.02543006
0.30600495  -0.02516181
0.30881727  -0.02488595
0.31162900  -0.02460256
0.31444094  -0.02431173
0.31725388  -0.02401358
0.32006868  -0.02370821
0.32288621  -0.02339575
0.32570736  -0.02307632
0.32853307  -0.02275005
0.33136427  -0.02241708
0.33420196  -0.02207757
0.33704713  -0.02173165
0.33990081  -0.02137950
0.34276404  -0.02102129
0.34563789  -0.02065717
0.34852345  -0.02028734
0.35142183  -0.01991197
0.35433414  -0.01953127
0.35726154  -0.01914542
0.36020517  -0.01875463
0.36316620  -0.01835911
0.36614583  -0.01795907
0.36914523  -0.01755473
0.37216562  -0.01714633
0.37520820  -0.01673408
0.37827420  -0.01631823
0.38136484  -0.01589900
0.38448135  -0.01547666
0.38762496  -0.01505143
0.39079690  -0.01462359
0.39399841  -0.01419337
0.39723071  -0.01376105
0.40049504  -0.01332688
0.40379262  -0.01289113
0.40712466  -0.01245408
0.41049237  -0.01201598
0.41389695  -0.01157713
0.41733957  -0.01113778
0.42082142  -0.01069823
0.42434365  -0.01025875
0.42790740  -0.00981962
0.43151379  -0.00938113
0.43516391  -0.00894356
0.43885885  -0.00850720
0.44259966  -0.00807232
0.44638736  -0.00763923
0.45022296  -0.00720819
0.45410742  -0.00677950
0.45804167  -0.00635343
0.46202663  -0.00593028
0.46606315  -0.00551033
0.47015206  -0.00509385
0.47429416  -0.00468112
0.47849020  -0.00427242
0.48274087  -0.00386802
0.48704684  -0.00346819
0.49140871  -0.00307321
0.49582705  -0.00268333
0.50030238  -0.00229882
0.50483514  -0.00191993
0.50942574  -0.00154692
0.51407453  -0.00118004
0.51878178  -0.00081953
0.52354774  -0.00046562
0.52837255  -0.00011856
0.53325632  0.00022143
0.53819907  0.00055413
0.54320078  0.00087931
0.54826132  0.00119678
0.55338053  0.00150633
0.55855815  0.00180777
0.56379385  0.00210089
0.56908722  0.00238553
0.57443778  0.00266151
0.57984497  0.00292866
0.58530814  0.00318683
0.59082655  0.00343587
0.59639939  0.00367563
0.60202577  0.00390599
0.60770469  0.00412683
0.61343507  0.00433803
0.61921575  0.00453948
0.62504547  0.00473110
0.63092287  0.00491281
0.63684652  0.00508452
0.64281487  0.00524618
0.64882630  0.00539773
0.65487906  0.00553913
0.66097135  0.00567035
0.66710123  0.00579137
0.67326670  0.00590219
0.67946562  0.00600280
0.68569580  0.00609321
0.69195493  0.00617346
0.69824058  0.00624358
0.70455027  0.00630362
0.71088139  0.00635364
0.71723125  0.00639371
0.72359705  0.00642391
0.72997591  0.00644435
0.73636486  0.00645512
0.74276081  0.00645635
0.74916061  0.00644817
0.75556101  0.00643073
0.76195868  0.00640417
0.76835018  0.00636868
0.77473203  0.00632442
0.78110063  0.00627159
0.78745232  0.00621039
0.79378337  0.00614104
0.80008997  0.00606377
0.80636824  0.00597882
0.81261426  0.00588643
0.81882401  0.00578686
0.82499345  0.00568040
0.83111847  0.00556732
0.83719493  0.00544792
0.84321863  0.00532250
0.84918535  0.00519139
0.85509084  0.00505492
0.86093081  0.00491340
0.86670098  0.00476721
0.87239705  0.00461669
0.87801471  0.00446221
0.88354968  0.00430415
0.88899766  0.00414290
0.89435440  0.00397884
0.89961569  0.00381239
0.90477733  0.00364395
0.90983520  0.00347395
0.91478524  0.00330280
0.91962344  0.00313096
0.92434591  0.00295885
0.92894883  0.00278693
0.93342852  0.00261566
0.93778138  0.00244548
0.94200399  0.00227688
0.94609306  0.00211031
0.95004547  0.00194627
0.95385828  0.00178522
0.95752876  0.00162765
0.96105436  0.00147405
0.96443282  0.00132492
0.96766207  0.00118074
0.97074036  0.00104202
0.97366619  0.00090925
0.97643839  0.00078292
0.97905612  0.00066355
0.98151888  0.00055163
0.98382656  0.00044765
0.98597944  0.00035213
0.98797821  0.00026556
0.98982404  0.00018844
0.99151854  0.00012125
0.99306384  0.00006450
0.99446259  0.00001868
