# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10195
# Species         : Amazona_autumnalis
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 201.70 mm
# Secondary1       : 139.00 mm
# Kipps Distance   : 62.60 mm
# Hand-Wing Index  : 31.00
# Tail Length      : 117.40 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.451
# Pointedness Index: 0.3104
# Efficiency Index : 0.0962
# Wing Loading Proxy: 0.0124
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1735  at x/c = 0.2642
# Max f/c          : 0.0567  at x/c = 0.3417
# Est. Reynolds    : 4.14e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939159  0.00008955
0.99866548  0.00021089
0.99781539  0.00036377
0.99683573  0.00054794
0.99572157  0.00076312
0.99446863  0.00100903
0.99307324  0.00128536
0.99153228  0.00159181
0.98984320  0.00192804
0.98800396  0.00229372
0.98601300  0.00268849
0.98386925  0.00311199
0.98157204  0.00356386
0.97912115  0.00404370
0.97651672  0.00455113
0.97375930  0.00508575
0.97084973  0.00564714
0.96778922  0.00623489
0.96457925  0.00684858
0.96122161  0.00748776
0.95771834  0.00815201
0.95407172  0.00884087
0.95028428  0.00955389
0.94635872  0.01029061
0.94229798  0.01105057
0.93810514  0.01183330
0.93378348  0.01263833
0.92933639  0.01346517
0.92476743  0.01431336
0.92008025  0.01518239
0.91527862  0.01607179
0.91036642  0.01698105
0.90534758  0.01790970
0.90022614  0.01885722
0.89500618  0.01982312
0.88969183  0.02080690
0.88428727  0.02180806
0.87879671  0.02282609
0.87322437  0.02386049
0.86757450  0.02491075
0.86185135  0.02597637
0.85605917  0.02705683
0.85020220  0.02815163
0.84428467  0.02926028
0.83831077  0.03038225
0.83228468  0.03151704
0.82621053  0.03266415
0.82009243  0.03382307
0.81393443  0.03499331
0.80774052  0.03617436
0.80151466  0.03736571
0.79526073  0.03856687
0.78898256  0.03977735
0.78268391  0.04099665
0.77636846  0.04222427
0.77003983  0.04345973
0.76370156  0.04470254
0.75735711  0.04595222
0.75100985  0.04720827
0.74466308  0.04847023
0.73832000  0.04973760
0.73198374  0.05100994
0.72565732  0.05228675
0.71934369  0.05356757
0.71304570  0.05485195
0.70676609  0.05613942
0.70050753  0.05742952
0.69427259  0.05872180
0.68806374  0.06001582
0.68188335  0.06131112
0.67573370  0.06260727
0.66961698  0.06390383
0.66353528  0.06520037
0.65749058  0.06649646
0.65148479  0.06779168
0.64551969  0.06908560
0.63959701  0.07037781
0.63371835  0.07166790
0.62788523  0.07295547
0.62209907  0.07424011
0.61636121  0.07552142
0.61067289  0.07679902
0.60503527  0.07807252
0.59944940  0.07934153
0.59391626  0.08060567
0.58843675  0.08186458
0.58301167  0.08311788
0.57764173  0.08436521
0.57232758  0.08560622
0.56706977  0.08684055
0.56186878  0.08806785
0.55672501  0.08928779
0.55163879  0.09050001
0.54661037  0.09170419
0.54163992  0.09290001
0.53672754  0.09408713
0.53187328  0.09526525
0.52707711  0.09643405
0.52233892  0.09759321
0.51765855  0.09874245
0.51303579  0.09988146
0.50847035  0.10100995
0.50396188  0.10212764
0.49951000  0.10323425
0.49511424  0.10432949
0.49077411  0.10541309
0.48648904  0.10648480
0.48225844  0.10754436
0.47808164  0.10859149
0.47395796  0.10962597
0.46988665  0.11064753
0.46586694  0.11165595
0.46189800  0.11265098
0.45797897  0.11363240
0.45410897  0.11459998
0.45028706  0.11555350
0.44651230  0.11649276
0.44278369  0.11741753
0.43910021  0.11832762
0.43546083  0.11922283
0.43186448  0.12010296
0.42831007  0.12096783
0.42479650  0.12181724
0.42132263  0.12265103
0.41788733  0.12346901
0.41448943  0.12427102
0.41112776  0.12505690
0.40780114  0.12582648
0.40450837  0.12657961
0.40124826  0.12731614
0.39801958  0.12803593
0.39482112  0.12873884
0.39165168  0.12942473
0.38851002  0.13009347
0.38539492  0.13074493
0.38230517  0.13137900
0.37923955  0.13199555
0.37619685  0.13259448
0.37317586  0.13317568
0.37017538  0.13373905
0.36719421  0.13428448
0.36423119  0.13481189
0.36128512  0.13532119
0.35835486  0.13581228
0.35543927  0.13628510
0.35253720  0.13673956
0.34964756  0.13717559
0.34676923  0.13759313
0.34390115  0.13799211
0.34104225  0.13837247
0.33819150  0.13873416
0.33534788  0.13907713
0.33251040  0.13940132
0.32967809  0.13970671
0.32685001  0.13999325
