# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10346
# Species         : Loriculus_exilis
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 66.60 mm
# Secondary1       : 37.80 mm
# Kipps Distance   : 27.80 mm
# Hand-Wing Index  : 42.40
# Tail Length      : 28.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.762
# Pointedness Index: 0.4174
# Efficiency Index : 0.1770
# Wing Loading Proxy: 0.0612
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1655  at x/c = 0.2576
# Max f/c          : 0.0540  at x/c = 0.3367
# Est. Reynolds    : 1.54e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939154  0.00008869
0.99866505  0.00020747
0.99781396  0.00035613
0.99683241  0.00053441
0.99571522  0.00074208
0.99445788  0.00097886
0.99305650  0.00124449
0.99150781  0.00153866
0.98980907  0.00186108
0.98795810  0.00221144
0.98595321  0.00258940
0.98379321  0.00299463
0.98147735  0.00342679
0.97900531  0.00388551
0.97637719  0.00437043
0.97359344  0.00488117
0.97065491  0.00541735
0.96756274  0.00597857
0.96431841  0.00656445
0.96092370  0.00717456
0.95738064  0.00780850
0.95369153  0.00846585
0.94985891  0.00914618
0.94588552  0.00984905
0.94177432  0.01057404
0.93752845  0.01132069
0.93315120  0.01208856
0.92864605  0.01287720
0.92401660  0.01368616
0.91926656  0.01451497
0.91439978  0.01536317
0.90942019  0.01623030
0.90433182  0.01711589
0.89913877  0.01801946
0.89384520  0.01894055
0.88845534  0.01987868
0.88297343  0.02083337
0.87740378  0.02180415
0.87175071  0.02279053
0.86601855  0.02379204
0.86021164  0.02480820
0.85433433  0.02583852
0.84839094  0.02688252
0.84238580  0.02793973
0.83632319  0.02900965
0.83020739  0.03009182
0.82404261  0.03118575
0.81783307  0.03229095
0.81158289  0.03340696
0.80529617  0.03453330
0.79897695  0.03566948
0.79262920  0.03681504
0.78625684  0.03796950
0.77986372  0.03913239
0.77345360  0.04030324
0.76703018  0.04148159
0.76059709  0.04266697
0.75415786  0.04385891
0.74771594  0.04505697
0.74127472  0.04626068
0.73483747  0.04746958
0.72840738  0.04868323
0.72198755  0.04990118
0.71558100  0.05112298
0.70919064  0.05234820
0.70281929  0.05357638
0.69646966  0.05480710
0.69014440  0.05603993
0.68384602  0.05727443
0.67757696  0.05851019
0.67133955  0.05974678
0.66513603  0.06098378
0.65896853  0.06222078
0.65283909  0.06345738
0.64674965  0.06469316
0.64070206  0.06592773
0.63469806  0.06716070
0.62873930  0.06839166
0.62282734  0.06962023
0.61696363  0.07084603
0.61114954  0.07206867
0.60538634  0.07328779
0.59967521  0.07450301
0.59401724  0.07571396
0.58841343  0.07692029
0.58286468  0.07812164
0.57737183  0.07931766
0.57193562  0.08050799
0.56655668  0.08169230
0.56123560  0.08287025
0.55597287  0.08404151
0.55076889  0.08520574
0.54562401  0.08636262
0.54053847  0.08751184
0.53551245  0.08865308
0.53054607  0.08978603
0.52563937  0.09091039
0.52079231  0.09202585
0.51600480  0.09313213
0.51127667  0.09422893
0.50660770  0.09531597
0.50199760  0.09639297
0.49744601  0.09745966
0.49295255  0.09851575
0.48851674  0.09956100
0.48413807  0.10059513
0.47981597  0.10161790
0.47554983  0.10262905
0.47133899  0.10362833
0.46718272  0.10461552
0.46308029  0.10559036
0.45903089  0.10655263
0.45503369  0.10750210
0.45108781  0.10843856
0.44719234  0.10936178
0.44334635  0.11027155
0.43954885  0.11116767
0.43579883  0.11204994
0.43209527  0.11291815
0.42843710  0.11377211
0.42482324  0.11461164
0.42125257  0.11543656
0.41772397  0.11624668
0.41423629  0.11704183
0.41078836  0.11782184
0.40737901  0.11858655
0.40400703  0.11933580
0.40067123  0.12006943
0.39737038  0.12078729
0.39410326  0.12148924
0.39086864  0.12217513
0.38766528  0.12284483
0.38449194  0.12349820
0.38134738  0.12413511
0.37823036  0.12475545
0.37513963  0.12535909
0.37207396  0.12594591
