# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10505
# Species         : Pyrrhura_orcesi
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 119.00 mm
# Secondary1       : 75.40 mm
# Kipps Distance   : 43.60 mm
# Hand-Wing Index  : 36.60
# Tail Length      : 101.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.578
# Pointedness Index: 0.3664
# Efficiency Index : 0.1341
# Wing Loading Proxy: 0.0155
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1709  at x/c = 0.2609
# Max f/c          : 0.0555  at x/c = 0.3367
# Est. Reynolds    : 2.07e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939156  0.00008919
0.99866527  0.00020946
0.99781469  0.00036059
0.99683410  0.00054231
0.99571845  0.00075437
0.99446335  0.00099650
0.99306502  0.00126841
0.99152026  0.00156979
0.98982644  0.00190033
0.98798143  0.00225970
0.98598363  0.00264756
0.98383189  0.00306356
0.98152552  0.00350735
0.97906424  0.00397856
0.97644818  0.00447680
0.97367782  0.00500168
0.97075403  0.00555281
0.96767796  0.00612979
0.96445112  0.00673220
0.96107527  0.00735961
0.95755245  0.00801161
0.95388496  0.00868775
0.95007532  0.00938760
0.94612627  0.01011071
0.94204074  0.01085663
0.93782185  0.01162491
0.93347289  0.01241507
0.92899728  0.01322667
0.92439860  0.01405921
0.91968054  0.01491224
0.91484691  0.01578528
0.90990160  0.01667784
0.90484861  0.01758945
0.89969199  0.01851961
0.89443588  0.01946784
0.88908443  0.02043366
0.88364187  0.02141656
0.87811246  0.02241606
0.87250046  0.02343166
0.86681017  0.02446287
0.86104588  0.02550920
0.85521188  0.02657014
0.84931246  0.02764520
0.84335189  0.02873389
0.83733441  0.02983571
0.83126425  0.03095017
0.82514559  0.03207676
0.81898256  0.03321500
0.81277928  0.03436440
0.80653978  0.03552445
0.80026805  0.03669468
0.79396804  0.03787459
0.78764360  0.03906369
0.78129854  0.04026150
0.77493658  0.04146755
0.76856139  0.04268133
0.76217653  0.04390239
0.75578552  0.04513023
0.74939176  0.04636440
0.74299859  0.04760441
0.73660924  0.04884980
0.73022689  0.05010010
0.72385458  0.05135485
0.71749530  0.05261360
0.71115193  0.05387589
0.70482724  0.05514126
0.69852394  0.05640926
0.69224462  0.05767946
0.68599178  0.05895141
0.67976783  0.06022467
0.67357506  0.06149881
0.66741569  0.06277341
0.66129182  0.06404802
0.65520549  0.06532224
0.64915859  0.06659565
0.64315295  0.06786783
0.63719031  0.06913837
0.63127228  0.07040687
0.62540041  0.07167293
0.61957613  0.07293615
0.61380080  0.07419615
0.60807568  0.07545254
0.60240192  0.07670492
0.59678060  0.07795294
0.59121271  0.07919621
0.58569916  0.08043437
0.58024075  0.08166705
0.57483822  0.08289390
0.56949220  0.08411456
0.56420327  0.08532869
0.55897190  0.08653594
0.55379851  0.08773597
0.54868342  0.08892845
0.54362688  0.09011306
0.53862908  0.09128945
0.53369011  0.09245733
0.52881003  0.09361637
0.52398879  0.09476627
0.51922629  0.09590672
0.51452239  0.09703742
0.50987685  0.09815808
0.50528938  0.09926841
0.50075964  0.10036814
0.49628724  0.10145697
0.49187171  0.10253463
0.48751254  0.10360087
0.48320917  0.10465541
0.47896099  0.10569800
0.47476735  0.10672838
0.47062754  0.10774631
0.46654080  0.10875154
0.46250637  0.10974383
0.45852340  0.11072296
0.45459103  0.11168869
0.45070836  0.11264080
0.44687446  0.11357907
0.44308835  0.11450330
0.43934905  0.11541326
0.43565552  0.11630877
0.43200671  0.11718961
0.42840155  0.11805560
0.42483895  0.11890655
0.42131778  0.11974228
0.41783690  0.12056261
0.41439516  0.12136735
0.41099139  0.12215635
0.40762440  0.12292944
0.40429301  0.12368647
0.40099600  0.12442726
0.39773217  0.12515169
0.39450028  0.12585959
0.39129912  0.12655084
0.38812745  0.12722529
0.38498405  0.12788281
0.38186768  0.12852328
0.37877711  0.12914657
0.37571112  0.12975257
0.37266848  0.13034116
0.36964797  0.13091224
0.36664839  0.13146570
0.36366853  0.13200143
0.36070719  0.13251936
0.35776321  0.13301937
0.35483541  0.13350140
0.35192263  0.13396535
0.34902374  0.13441114
0.34613761  0.13483871
0.34326315  0.13524798
0.34039926  0.13563888
0.33754487  0.13601136
0.33469894  0.13636536
0.33186045  0.13670082
0.32902840  0.13701770
0.32620181  0.13731594
0.32337973  0.13759551
0.32056123  0.13785637
0.31774542  0.13809848
0.31493142  0.13832182
0.31211840  0.13852635
0.30930554  0.13871206
0.30649206  0.13887892
0.30367720  0.13902692
0.30086026  0.13915604
0.29804054  0.13926629
0.29521739  0.13935764
0.29239019  0.13943011
0.28955835  0.13948368
0.28672133  0.13951837
0.28387860  0.13953418
0.28102968  0.13953113
0.27817414  0.13950922
0.27531156  0.13946848
0.27244157  0.13940892
0.26956384  0.13933058
0.26667808  0.13923346
0.26378402  0.13911761
0.26088144  0.13898304
0.25797016  0.13882981
0.25505005  0.13865794
0.25212098  0.13846747
0.24918289  0.13825844
0.24623575  0.13803091
0.24327958  0.13778490
0.24031441  0.13752048
0.23734034  0.13723770
0.23435748  0.13693659
0.23136600  0.13661723
0.22836609  0.13627967
0.22535799  0.13592397
0.22234197  0.13555018
0.21931834  0.13515837
0.21628744  0.13474860
0.21324966  0.13432094
0.21020541  0.13387546
0.20715514  0.13341222
0.20409934  0.13293129
0.20103852  0.13243275
0.19797324  0.13191667
0.19490407  0.13138311
0.19183164  0.13083215
0.18875659  0.13026388
0.18567960  0.12967836
0.18260136  0.12907566
0.17952262  0.12845588
0.17644414  0.12781908
0.17336669  0.12716534
0.17029110  0.12649474
0.16721820  0.12580736
0.16414885  0.12510327
0.16108393  0.12438256
0.15802434  0.12364531
0.15497101  0.12289159
0.15192488  0.12212147
0.14888691  0.12133505
0.14585806  0.12053239
0.14283933  0.11971357
0.13983172  0.11887867
0.13683625  0.11802776
0.13385393  0.11716092
0.13088581  0.11627822
0.12793291  0.11537974
0.12499630  0.11446554
0.12207700  0.11353569
0.11917609  0.11259027
0.11629461  0.11162934
0.11343361  0.11065297
0.11059416  0.10966122
0.10777728  0.10865416
0.10498403  0.10763184
0.10221544  0.10659433
0.09947253  0.10554169
0.09675632  0.10447396
0.09406781  0.10339121
0.09140798  0.10229348
0.08877780  0.10118083
0.08617824  0.10005330
0.08361021  0.09891094
0.08107463  0.09775379
0.07857240  0.09658189
0.07610436  0.09539529
0.07367137  0.09419401
0.07127422  0.09297809
0.06891370  0.09174757
0.06659054  0.09050246
0.06430547  0.08924281
0.06205916  0.08796863
0.05985225  0.08667994
0.05768534  0.08537677
0.05555900  0.08405914
0.05347375  0.08272705
0.05143006  0.08138052
0.04942838  0.08001957
0.04746908  0.07864420
0.04555253  0.07725442
0.04367900  0.07585024
0.04184876  0.07443166
0.04006200  0.07299867
0.03831886  0.07155129
0.03661946  0.07008952
0.03496383  0.06861334
0.03335198  0.06712276
0.03178384  0.06561778
0.03025930  0.06409839
0.02877822  0.06256459
0.02734036  0.06101638
0.02594548  0.05945375
0.02459324  0.05787670
0.02328330  0.05628523
0.02201522  0.05467935
0.02078855  0.05305904
0.01960277  0.05142432
0.01845732  0.04977519
0.01735161  0.04811167
0.01628498  0.04643376
0.01525675  0.04474148
0.01426620  0.04303486
0.01331258  0.04131393
0.01239509  0.03957871
0.01151292  0.03782925
0.01066524  0.03606558
0.00985117  0.03428778
0.00906986  0.03249589
0.00832040  0.03069000
0.00760192  0.02887017
0.00691353  0.02703652
0.00625433  0.02518914
0.00562347  0.02332815
0.00502010  0.02145368
0.00444338  0.01956588
0.00389255  0.01766492
0.00336685  0.01575096
0.00286561  0.01382422
0.00238820  0.01188490
0.00193407  0.00993326
0.00150275  0.00796954
0.00109389  0.00599403
0.00070721  0.00400704
0.00034258  0.00200891
0.00000000  0.00000000
0.00034258  -0.00128447
0.00070721  -0.00250305
0.00109389  -0.00365918
0.00150275  -0.00475612
0.00193407  -0.00579700
0.00238820  -0.00678484
0.00286561  -0.00772246
0.00336685  -0.00861262
0.00389255  -0.00945791
0.00444338  -0.01026081
0.00502010  -0.01102369
0.00562347  -0.01174881
0.00625433  -0.01243833
0.00691353  -0.01309430
0.00760192  -0.01371867
0.00832040  -0.01431329
0.00906986  -0.01487994
0.00985117  -0.01542030
0.01066524  -0.01593597
0.01151292  -0.01642847
0.01239509  -0.01689923
0.01331258  -0.01734964
0.01426620  -0.01778099
0.01525675  -0.01819450
0.01628498  -0.01859135
0.01735161  -0.01897263
0.01845732  -0.01933940
0.01960277  -0.01969263
0.02078855  -0.02003326
0.02201522  -0.02036217
0.02328330  -0.02068017
0.02459324  -0.02098806
0.02594548  -0.02128656
0.02734036  -0.02157636
0.02877822  -0.02185811
0.03025930  -0.02213240
0.03178384  -0.02239981
0.03335198  -0.02266086
0.03496383  -0.02291604
0.03661946  -0.02316580
0.03831886  -0.02341057
0.04006200  -0.02365074
0.04184876  -0.02388666
0.04367900  -0.02411868
0.04555253  -0.02434710
0.04746908  -0.02457218
0.04942838  -0.02479419
0.05143006  -0.02501334
0.05347375  -0.02522985
0.05555900  -0.02544390
0.05768534  -0.02565564
0.05985225  -0.02586521
0.06205916  -0.02607274
0.06430547  -0.02627832
0.06659054  -0.02648205
0.06891370  -0.02668398
0.07127422  -0.02688417
0.07367137  -0.02708266
0.07610436  -0.02727946
0.07857240  -0.02747459
0.08107463  -0.02766803
0.08361021  -0.02785977
0.08617824  -0.02804978
0.08877780  -0.02823802
0.09140798  -0.02842443
0.09406781  -0.02860896
0.09675632  -0.02879152
0.09947253  -0.02897205
0.10221544  -0.02915045
0.10498403  -0.02932663
0.10777728  -0.02950047
0.11059416  -0.02967188
0.11343361  -0.02984073
0.11629461  -0.03000690
0.11917609  -0.03017025
0.12207700  -0.03033067
0.12499630  -0.03048799
0.12793291  -0.03064210
0.13088581  -0.03079283
0.13385393  -0.03094004
0.13683625  -0.03108357
0.13983172  -0.03122327
0.14283933  -0.03135897
0.14585806  -0.03149053
0.14888691  -0.03161778
0.15192488  -0.03174054
0.15497101  -0.03185867
0.15802434  -0.03197199
0.16108393  -0.03208035
0.16414885  -0.03218356
0.16721820  -0.03228148
0.17029110  -0.03237394
0.17336669  -0.03246076
0.17644414  -0.03254180
0.17952262  -0.03261689
0.18260136  -0.03268587
0.18567960  -0.03274859
0.18875659  -0.03280489
0.19183164  -0.03285461
0.19490407  -0.03289762
0.19797324  -0.03293376
0.20103852  -0.03296289
0.20409934  -0.03298487
0.20715514  -0.03299956
0.21020541  -0.03300685
0.21324966  -0.03300658
0.21628744  -0.03299865
0.21931834  -0.03298294
0.22234197  -0.03295932
0.22535799  -0.03292770
0.22836609  -0.03288796
0.23136600  -0.03284002
0.23435748  -0.03278377
0.23734034  -0.03271912
0.24031441  -0.03264601
0.24327958  -0.03256434
0.24623575  -0.03247406
0.24918289  -0.03237509
0.25212098  -0.03226739
0.25505005  -0.03215090
0.25797016  -0.03202557
0.26088144  -0.03189137
0.26378402  -0.03174827
0.26667808  -0.03159625
0.26956384  -0.03143528
0.27244157  -0.03126537
0.27531156  -0.03108650
0.27817414  -0.03089869
0.28102968  -0.03070194
0.28387860  -0.03049628
0.28672133  -0.03028173
0.28955835  -0.03005833
0.29239019  -0.02982611
0.29521739  -0.02958514
0.29804054  -0.02933547
0.30086026  -0.02907715
0.30367720  -0.02881028
0.30649206  -0.02853491
0.30930554  -0.02825115
0.31211840  -0.02795909
0.31493142  -0.02765883
0.31774542  -0.02735048
0.32056123  -0.02703416
0.32337973  -0.02671000
0.32620181  -0.02637812
0.32902840  -0.02603868
0.33186045  -0.02569180
0.33469894  -0.02533766
0.33754487  -0.02497640
0.34039926  -0.02460821
0.34326315  -0.02423325
0.34613761  -0.02385170
0.34902374  -0.02346376
0.35192263  -0.02306962
0.35483541  -0.02266949
0.35776321  -0.02226356
0.36070719  -0.02185205
0.36366853  -0.02143519
0.36664839  -0.02101320
0.36964797  -0.02058631
0.37266848  -0.02015475
0.37571112  -0.01971878
0.37877711  -0.01927863
0.38186768  -0.01883456
0.38498405  -0.01838683
0.38812745  -0.01793570
0.39129912  -0.01748142
0.39450028  -0.01702429
0.39773217  -0.01656455
0.40099600  -0.01610250
0.40429301  -0.01563842
0.40762440  -0.01517258
0.41099139  -0.01470528
0.41439516  -0.01423680
0.41783690  -0.01376744
0.42131778  -0.01329749
0.42483895  -0.01282725
0.42840155  -0.01235700
0.43200671  -0.01188706
0.43565552  -0.01141772
0.43934905  -0.01094929
0.44308835  -0.01048206
0.44687446  -0.01001633
0.45070836  -0.00955241
0.45459103  -0.00909059
0.45852340  -0.00863119
0.46250637  -0.00817449
0.46654080  -0.00772080
0.47062754  -0.00727041
0.47476735  -0.00682362
0.47896099  -0.00638072
0.48320917  -0.00594200
0.48751254  -0.00550775
0.49187171  -0.00507825
0.49628724  -0.00465378
0.50075964  -0.00423463
0.50528938  -0.00382106
0.50987685  -0.00341335
0.51452239  -0.00301176
0.51922629  -0.00261655
0.52398879  -0.00222797
0.52881003  -0.00184628
0.53369011  -0.00147171
0.53862908  -0.00110452
0.54362688  -0.00074492
0.54868342  -0.00039314
0.55379851  -0.00004941
0.55897190  0.00028608
0.56420327  0.00061310
0.56949220  0.00093147
0.57483822  0.00124101
0.58024075  0.00154152
0.58569916  0.00183285
0.59121271  0.00211481
0.59678060  0.00238727
0.60240192  0.00265008
0.60807568  0.00290310
0.61380080  0.00314621
0.61957613  0.00337929
0.62540041  0.00360224
0.63127228  0.00381495
0.63719031  0.00401735
0.64315295  0.00420937
0.64915859  0.00439093
0.65520549  0.00456198
0.66129182  0.00472249
0.66741569  0.00487243
0.67357506  0.00501177
0.67976783  0.00514050
0.68599178  0.00525865
0.69224462  0.00536621
0.69852394  0.00546322
0.70482724  0.00554973
0.71115193  0.00562577
0.71749530  0.00569143
0.72385458  0.00574677
0.73022689  0.00579188
0.73660924  0.00582687
0.74299859  0.00585186
0.74939176  0.00586696
0.75578552  0.00587232
0.76217653  0.00586809
0.76856139  0.00585444
0.77493658  0.00583153
0.78129854  0.00579957
0.78764360  0.00575874
0.79396804  0.00570927
0.80026805  0.00565138
0.80653978  0.00558531
0.81277928  0.00551131
0.81898256  0.00542963
0.82514559  0.00534056
0.83126425  0.00524438
0.83733441  0.00514138
0.84335189  0.00503187
0.84931246  0.00491617
0.85521188  0.00479461
0.86104588  0.00466753
0.86681017  0.00453529
0.87250046  0.00439824
0.87811246  0.00425675
0.88364187  0.00411120
0.88908443  0.00396199
0.89443588  0.00380952
0.89969199  0.00365419
0.90484861  0.00349642
0.90990160  0.00333664
0.91484691  0.00317528
0.91968054  0.00301279
0.92439860  0.00284960
0.92899728  0.00268618
0.93347289  0.00252299
0.93782185  0.00236049
0.94204074  0.00219917
0.94612627  0.00203949
0.95007532  0.00188195
0.95388496  0.00172704
0.95755245  0.00157525
0.96107527  0.00142706
0.96445112  0.00128300
0.96767796  0.00114355
0.97075403  0.00100922
