# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10542
# Species         : Trichoglossus_moluccanus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 142.80 mm
# Secondary1       : 77.20 mm
# Kipps Distance   : 65.60 mm
# Hand-Wing Index  : 45.90
# Tail Length      : 114.80 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.850
# Pointedness Index: 0.4594
# Efficiency Index : 0.2109
# Wing Loading Proxy: 0.0161
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1576  at x/c = 0.2554
# Max f/c          : 0.0529  at x/c = 0.3317
# Est. Reynolds    : 2.63e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939152  0.00008822
0.99866492  0.00020559
0.99781352  0.00035188
0.99683139  0.00052687
0.99571326  0.00073031
0.99445457  0.00096193
0.99305137  0.00122147
0.99150030  0.00150864
0.98979859  0.00182314
0.98794402  0.00216465
0.98593485  0.00253287
0.98376986  0.00292745
0.98144827  0.00334805
0.97896975  0.00379433
0.97633434  0.00426592
0.97354252  0.00476246
0.97059509  0.00528356
0.96749320  0.00582884
0.96423833  0.00639791
0.96083223  0.00699037
0.95727696  0.00760581
0.95357481  0.00824382
0.94972831  0.00890398
0.94574024  0.00958587
0.94161355  0.01028906
0.93735139  0.01101311
0.93295708  0.01175760
0.92843411  0.01252207
0.92378608  0.01330608
0.91901674  0.01410919
0.91412996  0.01493093
0.90912968  0.01577086
0.90401996  0.01662852
0.89880493  0.01750344
0.89348876  0.01839518
0.88807571  0.01930325
0.88257006  0.02022720
0.87697613  0.02116657
0.87129827  0.02212088
0.86554084  0.02308967
0.85970822  0.02407248
0.85380477  0.02506882
0.84783485  0.02607824
0.84180280  0.02710026
0.83571296  0.02813443
0.82956961  0.02918026
0.82337701  0.03023730
0.81713938  0.03130508
0.81086090  0.03238314
0.80454569  0.03347101
0.79819780  0.03456823
0.79182124  0.03567434
0.78541996  0.03678889
0.77899783  0.03791142
0.77255864  0.03904146
0.76610611  0.04017859
0.75964390  0.04132233
0.75317556  0.04247225
0.74670458  0.04362791
0.74023435  0.04478885
0.73376817  0.04595465
0.72730926  0.04712487
0.72086074  0.04829906
0.71442565  0.04947682
0.70800691  0.05065770
0.70160737  0.05184129
0.69522977  0.05302717
0.68887675  0.05421492
0.68255086  0.05540413
0.67625455  0.05659439
0.66999017  0.05778530
0.66375996  0.05897645
0.65756609  0.06016746
0.65141060  0.06135792
0.64529544  0.06254745
0.63922248  0.06373566
0.63319346  0.06492218
0.62721006  0.06610663
0.62127384  0.06728863
0.61538626  0.06846782
0.60954870  0.06964383
0.60376245  0.07081632
0.59802868  0.07198491
0.59234849  0.07314927
0.58672290  0.07430904
0.58115281  0.07546389
0.57563906  0.07661348
0.57018239  0.07775748
0.56478346  0.07889555
0.55944284  0.08002739
0.55416103  0.08115267
0.54893844  0.08227108
0.54377540  0.08338230
0.53867218  0.08448605
0.53362895  0.08558201
0.52864582  0.08666989
0.52372285  0.08774941
0.51885998  0.08882027
0.51405713  0.08988221
0.50931413  0.09093493
0.50463076  0.09197818
0.50000671  0.09301169
0.49544166  0.09403520
0.49093517  0.09504844
0.48648680  0.09605117
0.48209602  0.09704315
0.47776226  0.09802412
0.47348490  0.09899386
0.46926328  0.09995212
0.46509668  0.10089869
0.46098434  0.10183334
0.45692546  0.10275584
0.45291919  0.10366599
0.44896467  0.10456358
0.44506096  0.10544840
0.44120713  0.10632025
0.43740220  0.10717894
0.43364513  0.10802428
0.42993491  0.10885607
0.42627046  0.10967415
0.42265068  0.11047832
0.41907446  0.11126842
0.41554067  0.11204428
0.41204815  0.11280574
0.40859572  0.11355264
0.40518221  0.11428482
0.40180640  0.11500213
0.39846708  0.11570442
0.39516303  0.11639156
0.39189303  0.11706341
0.38865582  0.11771983
0.38545016  0.11836069
0.38227481  0.11898587
0.37912852  0.11959526
0.37601004  0.12018872
0.37291811  0.12076616
0.36985151  0.12132746
0.36680897  0.12187252
0.36378927  0.12240124
0.36079119  0.12291353
0.35781349  0.12340928
0.35485498  0.12388842
0.35191446  0.12435086
0.34899074  0.12479652
0.34608265  0.12522533
0.34318904  0.12563720
0.34030877  0.12603208
0.33744072  0.12640990
0.33458379  0.12677059
0.33173690  0.12711411
0.32889899  0.12744039
0.32606902  0.12774939
0.32324599  0.12804105
0.32042890  0.12831535
0.31761679  0.12857223
0.31480873  0.12881166
0.31200381  0.12903361
0.30920114  0.12923805
0.30639988  0.12942496
0.30359920  0.12959430
0.30079832  0.12974607
0.29799647  0.12988024
0.29519294  0.12999680
0.29238702  0.13009575
0.28957806  0.13017707
0.28676542  0.13024076
0.28394853  0.13028682
0.28112683  0.13031526
0.27829979  0.13032607
0.27546693  0.13031927
0.27262781  0.13029487
0.26978202  0.13025287
0.26692917  0.13019330
0.26406895  0.13011617
0.26120105  0.13002151
0.25832521  0.12990934
0.25544122  0.12977968
0.25254889  0.12963256
0.24964809  0.12946802
0.24673870  0.12928609
0.24382066  0.12908679
0.24089394  0.12887018
0.23795857  0.12863629
0.23501458  0.12838515
0.23206207  0.12811683
0.22910117  0.12783135
0.22613205  0.12752877
0.22315489  0.12720913
0.22016996  0.12687250
0.21717753  0.12651891
0.21417791  0.12614843
0.21117146  0.12576111
0.20815856  0.12535700
0.20513964  0.12493617
0.20211516  0.12449868
0.19908561  0.12404458
0.19605153  0.12357394
