# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10600
# Species         : Asio_otus
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 280.70 mm
# Secondary1       : 165.20 mm
# Kipps Distance   : 115.50 mm
# Hand-Wing Index  : 41.20
# Tail Length      : 137.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.699
# Pointedness Index: 0.4115
# Efficiency Index : 0.1695
# Wing Loading Proxy: 0.0124
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1576  at x/c = 0.2582
# Max f/c          : 0.0540  at x/c = 0.3367
# Est. Reynolds    : 6.45e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939154  0.00008851
0.99866510  0.00020672
0.99781411  0.00035440
0.99683276  0.00053132
0.99571588  0.00073720
0.99445901  0.00097178
0.99305827  0.00123476
0.99151039  0.00152585
0.98981266  0.00184473
0.98796292  0.00219107
0.98595950  0.00256455
0.98380121  0.00296481
0.98148731  0.00339150
0.97901750  0.00384426
0.97639187  0.00432271
0.97361090  0.00482646
0.97067541  0.00535513
0.96758658  0.00590831
0.96434587  0.00648560
0.96095506  0.00708659
0.95741619  0.00771086
0.95373155  0.00835798
0.94990368  0.00902752
0.94593533  0.00971904
0.94182944  0.01043210
0.93758915  0.01116626
0.93321776  0.01192107
0.92871872  0.01269606
0.92409563  0.01349079
0.91935221  0.01430479
0.91449229  0.01513760
0.90951979  0.01598875
0.90443874  0.01685778
0.89925323  0.01774421
0.89396741  0.01864757
0.88858549  0.01956739
0.88311173  0.02050318
0.87755040  0.02145449
0.87190583  0.02242082
0.86618233  0.02340170
0.86038424  0.02439666
0.85451589  0.02540521
0.84858160  0.02642688
0.84258567  0.02746119
0.83653240  0.02850767
0.83042604  0.02956583
0.82427081  0.03063522
0.81807088  0.03171534
0.81183041  0.03280574
0.80555345  0.03390593
0.79924406  0.03501546
0.79290619  0.03613384
0.78654374  0.03726063
0.78016055  0.03839536
0.77376040  0.03953756
0.76734695  0.04068678
0.76092384  0.04184257
0.75449458  0.04300447
0.74806262  0.04417202
0.74163134  0.04534480
0.73520399  0.04652234
0.72878377  0.04770421
0.72237377  0.04888998
0.71597699  0.05007921
0.70959634  0.05127146
0.70323464  0.05246632
0.69689459  0.05366336
0.69057882  0.05486216
0.68428985  0.05606231
0.67803011  0.05726338
0.67180192  0.05846499
