# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10866
# Species         : Nothoprocta_curvirostris
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 160.20 mm
# Secondary1       : 111.30 mm
# Kipps Distance   : 49.00 mm
# Hand-Wing Index  : 30.60
# Tail Length      : 55.20 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.439
# Pointedness Index: 0.3059
# Efficiency Index : 0.0936
# Wing Loading Proxy: 0.0261
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1758  at x/c = 0.2644
# Max f/c          : 0.0569  at x/c = 0.3417
# Est. Reynolds    : 3.12e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939159  0.00008964
0.99866550  0.00021127
0.99781544  0.00036463
0.99683584  0.00054948
0.99572179  0.00076553
0.99446901  0.00101251
0.99307383  0.00129011
0.99153314  0.00159803
0.98984440  0.00193593
0.98800557  0.00230347
0.98601510  0.00270031
0.98387191  0.00312609
0.98157536  0.00358043
0.97912521  0.00406296
0.97652162  0.00457327
0.97376512  0.00511098
0.97085657  0.00567567
0.96779717  0.00626692
0.96458841  0.00688431
0.96123207  0.00752741
0.95773019  0.00819577
0.95408506  0.00888895
0.95029920  0.00960650
0.94637532  0.01034795
0.94231635  0.01111285
0.93812538  0.01190071
0.93380566  0.01271108
0.92936062  0.01354346
0.92479377  0.01439739
0.92010880  0.01527236
0.91530946  0.01616789
0.91039962  0.01708349
0.90538322  0.01801866
0.90026430  0.01897291
0.89504692  0.01994572
0.88973522  0.02093661
0.88433337  0.02194506
0.87884558  0.02297057
0.87327607  0.02401263
0.86762909  0.02507073
0.86190888  0.02614437
0.85611969  0.02723304
0.85026576  0.02833622
0.84435130  0.02945341
0.83838051  0.03058410
0.83235757  0.03172778
0.82628660  0.03288394
0.82017171  0.03405207
0.81401694  0.03523168
0.80782629  0.03642225
0.80160370  0.03762328
0.79535307  0.03883427
0.78907820  0.04005472
0.78278287  0.04128413
0.77647074  0.04252201
0.77014544  0.04376785
0.76381050  0.04502118
0.75746937  0.04628150
0.75112543  0.04754832
0.74478197  0.04882117
0.73844220  0.05009955
0.73210923  0.05138300
0.72578610  0.05267104
0.71947573  0.05396320
0.71318097  0.05525901
0.70690459  0.05655800
0.70064923  0.05785972
0.69441746  0.05916371
0.68821175  0.06046952
0.68203447  0.06177669
0.67588791  0.06308478
0.66977424  0.06439336
0.66369555  0.06570198
0.65765382  0.06701021
0.65165097  0.06831762
0.64568877  0.06962380
0.63976895  0.07092831
0.63389310  0.07223074
0.62806275  0.07353069
0.62227932  0.07482774
0.61654414  0.07612150
0.61085845  0.07741157
0.60522341  0.07869756
0.59964008  0.07997907
0.59410943  0.08125574
0.58863236  0.08252717
0.58320966  0.08379300
0.57784205  0.08505286
0.57253018  0.08630638
0.56727460  0.08755322
0.56207579  0.08879301
0.55693415  0.09002541
0.55185000  0.09125008
0.54682359  0.09246668
0.54185510  0.09367487
0.53694463  0.09487434
0.53209223  0.09606475
0.52729785  0.09724579
0.52256141  0.09841716
0.51788274  0.09957854
0.51326161  0.10072963
0.50869776  0.10187013
0.50419083  0.10299977
0.49974042  0.10411824
0.49534609  0.10522528
0.49100733  0.10632059
0.48672359  0.10740393
0.48249425  0.10847501
0.47831868  0.10953359
0.47419617  0.11057940
0.47012598  0.11161221
0.46610734  0.11263175
0.46213942  0.11363781
0.45822137  0.11463013
0.45435229  0.11560850
0.45053127  0.11657269
0.44675734  0.11752249
0.44302952  0.11845768
0.43934678  0.11937805
0.43570811  0.12028340
0.43211241  0.12117353
0.42855862  0.12204826
0.42504562  0.12290739
0.42157229  0.12375074
0.41813748  0.12457814
0.41474004  0.12538941
0.41137879  0.12618438
0.40805254  0.12696290
0.40476012  0.12772481
0.40150030  0.12846994
0.39827190  0.12919817
0.39507368  0.12990933
0.39190443  0.13060331
0.38876294  0.13127995
0.38564799  0.13193914
0.38255835  0.13258075
0.37949280  0.13320466
0.37645015  0.13381076
0.37342917  0.13439894
0.37042868  0.13496909
0.36744748  0.13552111
0.36448439  0.13605491
0.36153823  0.13657040
0.35860786  0.13706749
0.35569213  0.13754610
0.35278990  0.13800614
0.34990007  0.13844756
0.34702153  0.13887027
0.34415322  0.13927421
0.34129407  0.13965932
0.33844305  0.14002556
0.33559913  0.14037285
0.33276134  0.14070116
0.32992870  0.14101045
0.32710026  0.14130067
0.32427511  0.14157178
0.32145236  0.14182376
0.31863114  0.14205657
0.31581062  0.14227020
0.31298999  0.14246462
0.31016847  0.14263982
0.30734532  0.14279578
0.30451982  0.14293250
0.30169130  0.14304996
0.29885909  0.14314817
0.29602259  0.14322713
0.29318121  0.14328685
0.29033439  0.14332732
0.28748164  0.14334857
0.28462247  0.14335061
0.28175644  0.14333345
0.27888314  0.14329712
0.27600219  0.14324165
0.27311328  0.14316705
0.27021610  0.14307337
0.26731039  0.14296062
0.26439593  0.14282886
0.26147254  0.14267811
0.25854007  0.14250842
0.25559842  0.14231983
0.25264751  0.14211240
0.24968731  0.14188616
0.24671783  0.14164116
0.24373911  0.14137747
0.24075124  0.14109514
0.23775433  0.14079422
0.23474854  0.14047478
0.23173406  0.14013687
0.22871112  0.13978056
0.22568000  0.13940591
0.22264099  0.13901300
0.21959443  0.13860188
0.21654071  0.13817264
0.21348022  0.13772533
0.21041342  0.13726003
0.20734079  0.13677682
0.20426283  0.13627577
0.20118009  0.13575695
0.19809315  0.13522045
0.19500262  0.13466633
0.19190913  0.13409468
0.18881336  0.13350557
0.18571601  0.13289909
0.18261779  0.13227531
0.17951947  0.13163430
0.17642183  0.13097616
0.17332566  0.13030096
0.17023180  0.12960878
0.16714111  0.12889969
0.16405446  0.12817378
0.16097273  0.12743112
0.15789686  0.12667180
