# Bird-inspired airfoil generated from AVONET morphological data
# Airfoil ID      : 10898
# Species         : Leucocarbo_ranfurlyi
# Flight Category : diving
# 
# === Morphological Measurements ===
# Wing Length      : 261.80 mm
# Secondary1       : 177.60 mm
# Kipps Distance   : 84.20 mm
# Hand-Wing Index  : 32.20
# Tail Length      : 115.00 mm
# 
# === Derived Indices ===
# Aspect Ratio     : 1.474
# Pointedness Index: 0.3216
# Efficiency Index : 0.1036
# Wing Loading Proxy: 0.0128
# 
# === Airfoil Geometry (chord-normalised) ===
# Max t/c          : 0.1697  at x/c = 0.2635
# Max f/c          : 0.0564  at x/c = 0.3417
# Est. Reynolds    : 5.87e+04
# 
# Coordinates: x/c  y/c,  TE→upper→LE→lower→TE (clockwise)
# Total points: 599
# X/C    Y/C
1.00000000  0.00000000
0.99939158  0.00008937
0.99866544  0.00021016
0.99781524  0.00036214
0.99683538  0.00054505
0.99572090  0.00075860
0.99446750  0.00100252
0.99307148  0.00127650
0.99152971  0.00158022
0.98983961  0.00191336
0.98799913  0.00227559
0.98600671  0.00266654
0.98386124  0.00308587
0.98156207  0.00353319
0.97910895  0.00400812
0.97650204  0.00451028
0.97374184  0.00503926
0.97082922  0.00559466
0.96776538  0.00617605
0.96455180  0.00678302
0.96119026  0.00741513
0.95768280  0.00807194
0.95403170  0.00875302
0.95023950  0.00945790
0.94630891  0.01018613
0.94224285  0.01093725
0.93804444  0.01171079
0.93371692  0.01250629
0.92926373  0.01332326
0.92468839  0.01416124
0.91999460  0.01501972
0.91518611  0.01589824
0.91026681  0.01679629
0.90524066  0.01771340
0.90011168  0.01864906
0.89488397  0.01960279
0.88956167  0.02057408
0.88414897  0.02156243
0.87865008  0.02256734
0.87306924  0.02358833
0.86741071  0.02462487
0.86167875  0.02567648
0.85587761  0.02674264
0.85001154  0.02782287
0.84408479  0.02891664
0.83810155  0.03002348
0.83206602  0.03114286
0.82598233  0.03227430
0.81985460  0.03341730
0.81368690  0.03457135
0.80748322  0.03573597
0.80124753  0.03691065
0.79498373  0.03809491
0.78869564  0.03928825
0.78238705  0.04049018
0.77606163  0.04170023
0.76972303  0.04291790
0.76337478  0.04414271
0.75702035  0.04537419
0.75066312  0.04661186
0.74430641  0.04785524
0.73795342  0.04910387
0.73160728  0.05035728
0.72527103  0.05161501
0.71894762  0.05287659
0.71263990  0.05414157
0.70635064  0.05540950
0.70008249  0.05667992
0.69383805  0.05795239
0.68761977  0.05922648
0.68143005  0.06050174
0.67527116  0.06177773
0.66914531  0.06305404
0.66305457  0.06433023
0.65700095  0.06560588
0.65098635  0.06688059
0.64501258  0.06815392
0.63908133  0.06942548
0.63319424  0.07069487
0.62735282  0.07196168
0.62155850  0.07322552
0.61581262  0.07448600
0.61011641  0.07574274
0.60447105  0.07699536
0.59887759  0.07824347
0.59333702  0.07948672
0.58785022  0.08072474
0.58241800  0.08195716
0.57704109  0.08318363
